"geneID"	"pathwayID"	"pathwayName"	"pdbID"
"YDR058C"	"sce00561"	"Glycerolipid metabolism"	NA
"YDR284C"	"sce00561"	"Glycerolipid metabolism"	NA
"YFL053W"	"sce00561"	"Glycerolipid metabolism"	NA
"YKR067W"	"sce00561"	"Glycerolipid metabolism"	NA
"YKR089C"	"sce00561"	"Glycerolipid metabolism"	NA
"YMR165C"	"sce00561"	"Glycerolipid metabolism"	NA
"YOR175C"	"sce00561"	"Glycerolipid metabolism"	NA
"YOR245C"	"sce00561"	"Glycerolipid metabolism"	NA
"YPR139C"	"sce00561"	"Glycerolipid metabolism"	NA
"YDR315C"	"sce00562"	"Inositol phosphate metabolism"	NA
"YJR110W"	"sce00562"	"Inositol phosphate metabolism"	NA
"YLR305C"	"sce00562"	"Inositol phosphate metabolism"	NA
"YNL325C"	"sce00562"	"Inositol phosphate metabolism"	NA
"YOL065C"	"sce00562"	"Inositol phosphate metabolism"	NA
"YPL268W"	"sce00562"	"Inositol phosphate metabolism"	NA
"YPR113W"	"sce00562"	"Inositol phosphate metabolism"	NA
"YBR004C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YCL052C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YDR302W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YDR434W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YGR216C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YHR188C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YJL062W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YJL091C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YJL132W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YKL165C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YLL031C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YLR459W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YNL038W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YOR149C"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YPL076W"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YPL096C-A"	"sce00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	NA
"YBL011W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YBR029C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YCL004W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YDL142C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YDR284C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YGR007W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YGR110W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YHR123W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YIL155C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YJR073C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YKR031C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YKR067W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YKR089C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YLR133W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YMR006C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YMR008C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YMR165C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YNL130C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YOR175C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YOR311C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YPL110C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YPL206C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YPR113W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YPR139C"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YPR140W"	"sce00564"	"Glycerophospholipid metabolism"	NA
"YHR123W"	"sce00565"	"Ether lipid metabolism"	NA
"YKR031C"	"sce00565"	"Ether lipid metabolism"	NA
"YKR089C"	"sce00565"	"Ether lipid metabolism"	NA
"YNL130C"	"sce00565"	"Ether lipid metabolism"	NA
"YOR175C"	"sce00565"	"Ether lipid metabolism"	NA
"YOR269W"	"sce00565"	"Ether lipid metabolism"	NA
"YKR089C"	"sce00590"	"Arachidonic acid metabolism"	NA
"YKR089C"	"sce00592"	"alpha-Linolenic acid metabolism"	NA
"YBR183W"	"sce00600"	"Sphingolipid metabolism"	NA
"YBR265W"	"sce00600"	"Sphingolipid metabolism"	NA
"YDR297W"	"sce00600"	"Sphingolipid metabolism"	NA
"YER019W"	"sce00600"	"Sphingolipid metabolism"	NA
"YHL003C"	"sce00600"	"Sphingolipid metabolism"	NA
"YJL134W"	"sce00600"	"Sphingolipid metabolism"	NA
"YKL008C"	"sce00600"	"Sphingolipid metabolism"	NA
"YKR053C"	"sce00600"	"Sphingolipid metabolism"	NA
"YMR296C"	"sce00600"	"Sphingolipid metabolism"	NA
"YOR171C"	"sce00600"	"Sphingolipid metabolism"	NA
"YPL087W"	"sce00600"	"Sphingolipid metabolism"	NA
"YDL174C"	"sce00620"	"Pyruvate metabolism"	NA
"YDL178W"	"sce00620"	"Pyruvate metabolism"	NA
"YEL071W"	"sce00620"	"Pyruvate metabolism"	NA
"YCL009C"	"sce00650"	"Butanoate metabolism"	NA
"YCL009C"	"sce00660"	"C5-Branched dibasic acid metabolism"	NA
"YBL013W"	"sce00670"	"One carbon pool by folate"	NA
"YDL021W"	"sce00680"	"Methane metabolism"	NA
"YFL053W"	"sce00680"	"Methane metabolism"	NA
"YOL056W"	"sce00680"	"Methane metabolism"	NA
"YDR236C"	"sce00740"	"Riboflavin metabolism"	NA
"YFL060C"	"sce00750"	"Vitamin B6 metabolism"	NA
"YGR017W"	"sce00750"	"Vitamin B6 metabolism"	NA
"YMR095C"	"sce00750"	"Vitamin B6 metabolism"	NA
"YNL334C"	"sce00750"	"Vitamin B6 metabolism"	NA
"YCL047C"	"sce00760"	"Nicotinate and nicotinamide metabolism"	NA
"YDR191W"	"sce00760"	"Nicotinate and nicotinamide metabolism"	NA
"YGL067W"	"sce00760"	"Nicotinate and nicotinamide metabolism"	NA
"YOR155C"	"sce00760"	"Nicotinate and nicotinamide metabolism"	NA
"YCL009C"	"sce00770"	"Pantothenate and CoA biosynthesis"	NA
"YHR063C"	"sce00770"	"Pantothenate and CoA biosynthesis"	NA
"YPL148C"	"sce00770"	"Pantothenate and CoA biosynthesis"	NA
"YDL141W"	"sce00780"	"Biotin metabolism"	NA
"YNR058W"	"sce00780"	"Biotin metabolism"	NA
"YLR239C"	"sce00785"	"Lipoic acid metabolism"	NA
"YHL018W"	"sce00790"	"Folate biosynthesis"	NA
"YNR033W"	"sce00790"	"Folate biosynthesis"	NA
"YOR241W"	"sce00790"	"Folate biosynthesis"	NA
"YER141W"	"sce00860"	"Porphyrin and chlorophyll metabolism"	NA
"YKL087C"	"sce00860"	"Porphyrin and chlorophyll metabolism"	NA
"YKR069W"	"sce00860"	"Porphyrin and chlorophyll metabolism"	NA
"YPL172C"	"sce00860"	"Porphyrin and chlorophyll metabolism"	NA
"YBR003W"	"sce00900"	"Terpenoid backbone biosynthesis"	NA
"YDL193W"	"sce00900"	"Terpenoid backbone biosynthesis"	NA
"YMR220W"	"sce00900"	"Terpenoid backbone biosynthesis"	NA
"YDL215C"	"sce00910"	"Nitrogen metabolism"	NA
"YJR130C"	"sce00920"	"Sulfur metabolism"	NA
"YLL058W"	"sce00920"	"Sulfur metabolism"	NA
"YML082W"	"sce00920"	"Sulfur metabolism"	NA
"YBL013W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YER087W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YFL022C"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YGR094W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YNL247W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YPL104W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"YPL160W"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_F"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_H"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_J"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_K1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_K2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_L"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_M1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_M2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_AGC_P"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_A"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_E"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_L"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_O"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tA_UGC_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tC_GCA_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tC_GCA_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tC_GCA_P1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tC_GCA_P2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tC_GCA_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_G1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_G2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_I1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_I2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_J1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_J2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_J3"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_J4"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_K"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_L1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_L2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_M"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_N"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_O"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tD_GUC_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_CUC_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_CUC_I"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_C"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_E1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_E2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_E3"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_G1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_G2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_G3"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_I"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_J"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_K"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_L"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_M"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_P"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tE_UUC_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_F"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_H1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_H2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_M"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_N"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_P1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_P2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tF_GAA_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_CCC_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_CCC_O"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_C"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_D1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_D2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_E"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_F1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_F2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_G1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_G2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_J1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_J2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_M"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_O1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_O2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_P1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_GCC_P2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_UCC_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_UCC_N"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_UCC_O"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tG_UCC_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_E1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_E2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_G1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_G2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_H"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_K"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_M"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tH_GUG_Q"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_B"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_D"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_E1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_E2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_G"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_I1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_I2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_L1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_L2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_N1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_N2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_P1"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
"tI_AAU_P2"	"sce00970"	"Aminoacyl-tRNA biosynthesis"	NA
