"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"url"	"mapid"	"id_mapping"	"chain"	"chain_new"	"id_mapping_chain"	"pident"	"mismatch"	"qstart2"	"qend2"	"sstart2"	"send2"	"Resolution"	"Coverage"	"pdb_length"	"locus"
"Q12377"	""	434	"5a9b15a275daaa3ac5713189"	"PDB"	1	434	"5mpd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12377.pdb?from=1&to=434&template=5mpd&provider=pdb"	"1_434_5mpd_5a9b15a275daaa3ac5713189"	"Q12377@5mpd"	"Q"	"Q"	"Q12377@5mpd@Q"	100	0	1	434	1	434	4.1	0.997695852534562	433	"YDL097C"
"P41057"	""	56	"5af28ff202efd05995a7eaec"	"PDB"	1	56	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P41057.pdb?from=1&to=56&template=6fai&provider=pdb"	"1_56_6fai_5af28ff202efd05995a7eaec"	"P41057@6fai"	"d"	"d"	"P41057@6fai@d"	100	0	1	37	20	56	3.4	0.642857142857143	36	"YLR388W"
"P32795"	""	747	"5a9b056175daaa5aad4e9219"	"PDB"	97	176	"2mv3"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32795.pdb?from=97&to=176&template=2mv3&provider=pdb"	"97_176_2mv3_5a9b056175daaa5aad4e9219"	"P32795@2mv3"	"A"	"A"	"P32795@2mv3@A"	100	0	2	81	97	176	NA	0.105756358768407	79	"YPR024W"
"Q12250"	""	445	"5a9b15a275daaa3ac5713189"	"PDB"	1	445	"5mpd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12250.pdb?from=1&to=445&template=5mpd&provider=pdb"	"1_445_5mpd_5a9b15a275daaa3ac5713189"	"Q12250@5mpd"	"P"	"P"	"Q12250@5mpd@P"	100	0	1	440	1	440	4.1	0.986516853932584	439	"YDL147W"
"P40016"	""	523	"5a9b15a275daaa3ac5713189"	"PDB"	1	523	"5mpd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P40016.pdb?from=1&to=523&template=5mpd&provider=pdb"	"1_523_5mpd_5a9b15a275daaa3ac5713189"	"P40016@5mpd"	"S"	"S"	"P40016@5mpd@S"	100	0	1	475	18	492	4.1	0.906309751434034	474	"YER021W"
"P38764"	""	993	"5a9b212e75daaa5901b8e25f"	"PDB"	1	993	"5wvk-Z-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38764.pdb?from=1&to=993&template=5wvk&provider=pdb"	"1_993_5wvk_5a9b212e75daaa5901b8e25f"	"P38764@5wvk"	"Z"	"Z"	"P38764@5wvk@Z"	100	0	1	577	49	625	4.2	0.580060422960725	576	"YHR027C"
"O13563"	"O13563-1"	156	"5a9b15a275daaa3ac5713189"	"PDB"	1	156	"5mpd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5mpd&provider=pdb"	"1_156_5mpd_5a9b15a275daaa3ac5713189"	"O13563@5mpd"	"X"	"X"	"O13563@5mpd@X"	100	0	1	127	7	133	4.1	0.807692307692308	126	"YLR421C"
"P32496"	""	274	"5a9b212e75daaa5901b8e25f"	"PDB"	1	274	"5wvk-T-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32496.pdb?from=1&to=274&template=5wvk&provider=pdb"	"1_274_5wvk_5a9b212e75daaa5901b8e25f"	"P32496@5wvk"	"T"	"T"	"P32496@5wvk@T"	100	0	1	272	1	272	4.2	0.989051094890511	271	"YFR052W"
"Q12189"	""	258	"5b20b39602efd020e0c0e1eb"	"PDB"	1	258	"1xtz"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12189.pdb?from=1&to=258&template=1xtz&provider=pdb"	"1_258_1xtz_5b20b39602efd020e0c0e1eb"	"Q12189@1xtz"	"A"	"A"	"Q12189@1xtz@A"	100	0	1	240	19	258	2.1	0.926356589147287	239	"YOR095C"
"P38805"	""	295	"5af28f3302efd0545e8150b4"	"PDB"	1	295	"6c0f"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38805.pdb?from=1&to=295&template=6c0f&provider=pdb"	"1_295_6c0f_5af28f3302efd0545e8150b4"	"P38805@6c0f"	"I"	"I"	"P38805@6c0f@I"	100	0	1	288	8	295	3.7	0.972881355932203	287	"YHR088W"
"P32477"	""	678	"5b20af5202efd013252bab3d"	"PDB"	1	678	"3lvv"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32477.pdb?from=1&to=678&template=3lvv&provider=pdb"	"1_678_3lvv_5b20af5202efd013252bab3d"	"P32477@3lvv"	"A"	"A"	"P32477@3lvv@A"	100	0	1	672	2	673	2.2	0.989675516224189	671	"YJL101C"
"P32910"	""	317	"5af28f8202efd056f0bf5404"	"PDB"	1	317	"6eu1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32910.pdb?from=1&to=317&template=6eu1&provider=pdb"	"1_317_6eu1_5af28f8202efd056f0bf5404"	"P32910@6eu1"	"P"	"P"	"P32910@6eu1@P"	100	0	1	151	165	315	3.4	0.473186119873817	150	"YNR003C"
"P34087"	""	171	"5a9b0c1275daaa36fdfa7752"	"PDB"	1	171	"4by7"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P34087.pdb?from=1&to=171&template=4by7&provider=pdb"	"1_171_4by7_5a9b0c1275daaa36fdfa7752"	"P34087@4by7"	"G"	"G"	"P34087@4by7@G"	100	0	1	171	1	171	3.15	0.994152046783626	170	"YDR404C"
"P04050"	""	1733	"5af28af002efd03b2bb801c9"	"PDB"	1	1733	"5vvs"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P04050.pdb?from=1&to=1733&template=5vvs&provider=pdb"	"1_1733_5vvs_5af28af002efd03b2bb801c9"	"P04050@5vvs"	"A"	"A"	"P04050@5vvs@A"	100	0	1	1455	8	1462	6.4	0.839007501442585	1454	"YDL140C"
"P20435"	""	155	"5a9b23bb75daaa78fd299798"	"PDB"	1	155	"4c2m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P20435.pdb?from=1&to=155&template=4c2m&provider=pdb"	"1_155_4c2m_5a9b23bb75daaa78fd299798"	"P20435@4c2m"	"F;U"	"F"	"P20435@4c2m@F"	100	0	1	100	55	154	2.8	0.638709677419355	99	"YPR187W"
"P20435"	""	155	"5a9b23bb75daaa78fd299798"	"PDB"	1	155	"4c2m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P20435.pdb?from=1&to=155&template=4c2m&provider=pdb"	"1_155_4c2m_5a9b23bb75daaa78fd299798"	"P20435@4c2m"	"F;U"	"U"	"P20435@4c2m@U"	100	0	1	100	55	154	2.8	0.638709677419355	99	"YPR187W"
"P20434"	""	215	"5a9b195675daaa6ad8180174"	"PDB"	1	215	"1twf"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P20434.pdb?from=1&to=215&template=1twf&provider=pdb"	"1_215_1twf_5a9b195675daaa6ad8180174"	"P20434@1twf"	"E"	"E"	"P20434@1twf@E"	100	0	1	215	1	215	2.3	0.995348837209302	214	"YBR154C"
"P46669"	""	326	"5a9b23bb75daaa78fd299798"	"PDB"	1	326	"4c2m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P46669.pdb?from=1&to=326&template=4c2m&provider=pdb"	"1_326_4c2m_5a9b23bb75daaa78fd299798"	"P46669@4c2m"	"4;G;O;V"	"4"	"P46669@4c2m@4"	100	0	1	54	263	316	2.8	0.162576687116564	53	"YOR340C"
"P47006"	""	233	"5b20b1b602efd01abb492e00"	"PDB"	1	233	"5w5y"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P47006.pdb?from=1&to=233&template=5w5y&provider=pdb"	"1_233_5w5y_5b20b1b602efd01abb492e00"	"P47006@5w5y"	"N"	"N"	"P47006@5w5y@N"	100	0	1	158	23	180	3.8	0.67381974248927	157	"YJL148W"
"Q04740"	""	348	"5a9b20a375daaa52372af49f"	"PDB"	5	51	"1qhk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04740.pdb?from=5&to=51&template=1qhk&provider=pdb"	"5_51_1qhk_5a9b20a375daaa52372af49f"	"Q04740@1qhk"	"A"	"A"	"Q04740@1qhk@A"	100	0	1	47	5	51	NA	0.132183908045977	46	"YMR234W"
"P05737"	""	244	"5af28f3302efd0545e8150b4"	"PDB"	1	244	"6c0f"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P05737.pdb?from=1&to=244&template=6c0f&provider=pdb"	"1_244_6c0f_5af28f3302efd0545e8150b4"	"P05737@6c0f"	"F"	"F"	"P05737@6c0f@F"	100	0	1	242	3	244	3.7	0.987704918032787	241	"YGL076C"
"Q02326"	""	176	"5a9afa3e75daaa3a2319a011"	"PDB"	1	176	"3jbs"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q02326.pdb?from=1&to=176&template=3jbs&provider=pdb"	"1_176_3jbs_5a9afa3e75daaa3a2319a011"	"Q02326@3jbs"	"A"	"A"	"Q02326@3jbs@A"	100	0	1	175	2	176	2.9	0.988636363636364	174	"YML073C"
"P49626"	""	362	"5a9b0f5f75daaa62ade414eb"	"PDB"	1	362	"2ww9"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P49626.pdb?from=1&to=362&template=2ww9&provider=pdb"	"1_362_2ww9_5a9b0f5f75daaa62ade414eb"	"P49626@2ww9"	"H"	"H"	"P49626@2ww9@H"	100	0	1	269	1	269	8.6	0.740331491712707	268	"YDR012W"
"P25368"	""	297	"5b20b21a02efd01bd9b49220"	"PDB"	256	297	"2mby"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P25368.pdb?from=256&to=297&template=2mby&provider=pdb"	"256_297_2mby_5b20b21a02efd01bd9b49220"	"P25368@2mby"	"A"	"A"	"P25368@2mby@A"	100	0	5	46	256	297	NA	0.138047138047138	41	"YCL031C"
"P49167"	""	78	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	78	"5h4p-k-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P49167.pdb?from=1&to=78&template=5h4p&provider=pdb"	"1_78_5h4p_5a9b284a75daaa3e7a40c7dc"	"P49167@5h4p"	"k"	"k"	"P49167@5h4p@k"	100	0	1	77	2	78	3.07	0.974358974358974	76	"YLR325C"
"P49166"	""	88	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	88	"5h4p-j-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P49166.pdb?from=1&to=88&template=5h4p&provider=pdb"	"1_88_5h4p_5a9b284a75daaa3e7a40c7dc"	"P49166@5h4p"	"j"	"j"	"P49166@5h4p@j"	100	0	1	87	2	88	3.07	0.977272727272727	86	"YLR185W"
"P0CX84"	""	120	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	120	"5h4p-h-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX84.pdb?from=1&to=120&template=5h4p&provider=pdb"	"1_120_5h4p_5a9b284a75daaa3e7a40c7dc"	"P0CX84@5h4p"	"h"	"h"	"P0CX84@5h4p@h"	100	0	1	119	2	120	3.07	0.983333333333333	118	"YDL191W"
"Q08179"	""	573	"5a9b2a9775daaa5d6c2bb991"	"PDB"	160	408	"3skq"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q08179.pdb?from=160&to=408&template=3skq&provider=pdb"	"160_408_3skq_5a9b2a9775daaa5d6c2bb991"	"Q08179@3skq"	"A"	"A"	"Q08179@3skq@A"	100	0	1	227	182	408	2.1	0.394415357766143	226	"YOL027C"
"P38061"	""	130	"5a9b276875daaa2c369d9d8c"	"PDB"	1	130	"5apo-e-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38061.pdb?from=1&to=130&template=5apo&provider=pdb"	"1_130_5apo_5a9b276875daaa2c369d9d8c"	"P38061@5apo"	"e"	"e"	"P38061@5apo@e"	100	0	1	129	2	130	3.41	0.984615384615385	128	"YBL092W"
"P04456"	""	142	"5a9afb6a75daaa47a8001e41"	"PDB"	1	142	"3jct-X-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P04456.pdb?from=1&to=142&template=3jct&provider=pdb"	"1_142_3jct_5a9afb6a75daaa47a8001e41"	"P04456@3jct"	"X"	"X"	"P04456@3jct@X"	100	0	1	141	2	142	3.08	0.985915492957746	140	"YOL127W"
"P04449"	""	155	"5b20af0c02efd010ab7435a7"	"PDB"	1	155	"4v8t-W-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P04449.pdb?from=1&to=155&template=4v8t&provider=pdb"	"1_155_4v8t_5b20af0c02efd010ab7435a7"	"P04449@4v8t"	"W"	"W"	"P04449@4v8t@W"	100	0	1	135	1	135	8.1	0.864516129032258	134	"YGL031C"
"Q3E7X9"	""	67	"5af28ff202efd05995a7eaec"	"PDB"	1	67	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X9.pdb?from=1&to=67&template=6fai&provider=pdb"	"1_67_6fai_5af28ff202efd05995a7eaec"	"Q3E7X9@6fai"	"c"	"c"	"Q3E7X9@6fai@c"	100	0	1	63	5	67	3.4	0.925373134328358	62	"YOR167C"
"P05749"	""	121	"5a9afb6a75daaa47a8001e41"	"PDB"	1	121	"3jct-U-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P05749.pdb?from=1&to=121&template=3jct&provider=pdb"	"1_121_3jct_5a9afb6a75daaa47a8001e41"	"P05749@3jct"	"U"	"U"	"P05749@3jct@U"	100	0	1	106	9	114	3.08	0.867768595041322	105	"YLR061W"
"P0CX23"	""	172	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	172	"5h4p-S-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX23.pdb?from=1&to=172&template=5h4p&provider=pdb"	"1_172_5h4p_5a9b284a75daaa3e7a40c7dc"	"P0CX23@5h4p"	"S"	"S"	"P0CX23@5h4p@S"	100	0	1	172	1	172	3.07	0.994186046511628	171	"YMR242C"
"P0CX82"	""	189	"5a9b1ed075daaa37c1e2636f"	"PDB"	1	189	"5t62-e-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX82.pdb?from=1&to=189&template=5t62&provider=pdb"	"1_189_5t62_5a9b1ed075daaa37c1e2636f"	"P0CX82@5t62"	"e"	"e"	"P0CX82@5t62@e"	100	0	1	188	2	189	3.1	0.989417989417989	187	"YBR084C-A"
"P0CX49"	""	186	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	186	"5h4p-Q-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX49.pdb?from=1&to=186&template=5h4p&provider=pdb"	"1_186_5h4p_5a9b284a75daaa3e7a40c7dc"	"P0CX49@5h4p"	"Q"	"Q"	"P0CX49@5h4p@Q"	100	0	1	185	2	186	3.07	0.989247311827957	184	"YOL120C"
"P36105"	""	138	"5a9afb6a75daaa47a8001e41"	"PDB"	1	138	"3jct-M-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P36105.pdb?from=1&to=138&template=3jct&provider=pdb"	"1_138_3jct_5a9afb6a75daaa47a8001e41"	"P36105@3jct"	"M"	"M"	"P36105@3jct@M"	100	0	1	137	2	138	3.08	0.985507246376812	136	"YKL006W"
"P41805"	""	221	"5ae97a9375daaa0f6077e5a0"	"PDB"	1	221	"5gak-s-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P41805.pdb?from=1&to=221&template=5gak&provider=pdb"	"1_221_5gak_5ae97a9375daaa0f6077e5a0"	"P41805@5gak"	"s"	"s"	"P41805@5gak@s"	100	0	1	220	2	221	3.88	0.990950226244344	219	"YLR075W"
"Q12308"	""	588	"5a9b064375daaa65412e28d5"	"PDB"	1	588	"2j04"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12308.pdb?from=1&to=588&template=2j04&provider=pdb"	"1_588_2j04_5a9b064375daaa65412e28d5"	"Q12308@2j04"	"A;C"	"A"	"Q12308@2j04@A"	100	0	1	587	2	588	3.2	0.996598639455782	586	"YPL007C"
"P05745"	""	100	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	100	"5h4p-i-bundle2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P05745.pdb?from=1&to=100&template=5h4p&provider=pdb"	"1_100_5h4p_5a9b284a75daaa3e7a40c7dc"	"P05745@5h4p"	"i"	"i"	"P05745@5h4p@i"	100	0	1	99	2	100	3.07	0.98	98	"YMR194W"
"P38339"	""	666	"5af28ca602efd0454fe9c93f"	"PDB"	450	666	"5my3"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38339.pdb?from=450&to=666&template=5my3&provider=pdb"	"450_666_5my3_5af28ca602efd0454fe9c93f"	"P38339@5my3"	"A"	"A"	"P38339@5my3@A"	100	0	1	200	467	666	2.19	0.298798798798799	199	"YBR260C"
