"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"
"Q3E7X9"	""	67	"cae424c69ede593f6a29dc2d91a241fd"	"5cdb9ab4a03a1b1475da2c63"	"SWISSMODEL"	5	67	"4v88.29.A"	-3.7662018326	0.5349460907	100	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X9.pdb?provider=swissmodel&from=5&to=67&template=4v88.29.A&provider=swissmodel"	"5_67_4v88.29.A_5cdb9ab4a03a1b1475da2c63"	"    0.59"	"    100.00"	"4v88"	NA
"P40484"	""	314	"bdc403493ffa28ce227a0d8fd985f41c"	"5cd512e08fd6f9c72c8cda32"	"SWISSMODEL"	81	313	"2hjn.1.A"	-2.7438649772	0.6830739966	100	"https://swissmodel.expasy.org/repository/uniprot/P40484.pdb?provider=swissmodel&from=81&to=313&template=2hjn.1.A&provider=swissmodel"	"81_313_2hjn.1.A_5cd512e08fd6f9c72c8cda32"	"    0.62"	"    100.00"	"2hjn"	NA
"P0C0X0"	""	67	"231243a4c10028983699584b2ceb6082"	"5cdb9f4a732c1e5e7d8f2831"	"SWISSMODEL"	5	67	"5mc6.12.A"	-1.5650519268	0.6890564338	100	"https://swissmodel.expasy.org/repository/uniprot/P0C0X0.pdb?provider=swissmodel&from=5&to=67&template=5mc6.12.A&provider=swissmodel"	"5_67_5mc6.12.A_5cdb9f4a732c1e5e7d8f2831"	"    0.58"	"    100.00"	"5mc6"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb36"	"SWISSMODEL"	249	622	"6e9w.1.A"	-2.7486487638	0.6680945402	37.6811599731	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=249&to=622&template=6e9w.1.A&provider=swissmodel"	"249_622_6e9w.1.A_5cd85341732c1e182528eb36"	"    0.40"	"    37.68"	"6e9w"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb32"	"SWISSMODEL"	328	671	"4ieb.1.A"	-3.4982921342	0.6496318829	33.7662353516	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=328&to=671&template=4ieb.1.A&provider=swissmodel"	"328_671_4ieb.1.A_5cd85341732c1e182528eb32"	"    0.38"	"    33.77"	"4ieb"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb2e"	"SWISSMODEL"	328	671	"4ifg.1.A"	-4.5388307094	0.6110003678	33.4415588379	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=328&to=671&template=4ifg.1.A&provider=swissmodel"	"328_671_4ifg.1.A_5cd85341732c1e182528eb2e"	"    0.38"	"    33.44"	"4ifg"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb2a"	"SWISSMODEL"	318	692	"4l9i.1.A"	-3.1614355686	0.653026987	29.8816566467	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=318&to=692&template=4l9i.1.A&provider=swissmodel"	"318_692_4l9i.1.A_5cd85341732c1e182528eb2a"	"    0.35"	"    29.88"	"4l9i"	NA
"P35997"	""	82	"2ca667bb3fe937c92797cde042881dc8"	"5cdb131a3b85d12873ea3338"	"SWISSMODEL"	2	82	"4v88.103.A"	-2.8126738692	0.608754069	100	"https://swissmodel.expasy.org/repository/uniprot/P35997.pdb?provider=swissmodel&from=2&to=82&template=4v88.103.A&provider=swissmodel"	"2_82_4v88.103.A_5cdb131a3b85d12873ea3338"	"    0.61"	"    100.00"	"4v88"	NA
"P39938"	""	119	"e9d7566350eabbcba3f6b87295a9587f"	"5cd98ce83b85d1b7791a6cee"	"SWISSMODEL"	2	104	"6fyx.1.3"	-2.4799363439	0.6660440082	92.4369735718	"https://swissmodel.expasy.org/repository/uniprot/P39938.pdb?provider=swissmodel&from=2&to=104&template=6fyx.1.3&provider=swissmodel"	"2_104_6fyx.1.3_5cd98ce83b85d1b7791a6cee"	"    0.59"	"    92.44"	"6fyx"	NA
"Q08213"	""	363	"5f65cb9c1cdc0601253a96d390de53c3"	"5cdd50808fd6f9459c77c883"	"SWISSMODEL"	2	362	"3ngn.1.A"	-4.9261977819	0.6011320425	25.6880741119	"https://swissmodel.expasy.org/repository/uniprot/Q08213.pdb?provider=swissmodel&from=2&to=362&template=3ngn.1.A&provider=swissmodel"	"2_362_3ngn.1.A_5cdd50808fd6f9459c77c883"	"    0.34"	"    25.69"	"3ngn"	NA
"P34253"	""	313	"82ac848e966496709b0f355ffd957673"	"5cd5152dd60c59960d9d633f"	"SWISSMODEL"	2	311	"3a4l.1.A"	-2.2608444786	0.6859003832	21.7213115692	"https://swissmodel.expasy.org/repository/uniprot/P34253.pdb?provider=swissmodel&from=2&to=311&template=3a4l.1.A&provider=swissmodel"	"2_311_3a4l.1.A_5cd5152dd60c59960d9d633f"	"    0.32"	"    21.72"	"3a4l"	NA
"P34253"	""	313	"82ac848e966496709b0f355ffd957673"	"5cd5152dd60c59960d9d633b"	"SWISSMODEL"	3	311	"3adb.1.A"	-3.2180709925	0.6509596795	21.6326522827	"https://swissmodel.expasy.org/repository/uniprot/P34253.pdb?provider=swissmodel&from=3&to=311&template=3adb.1.A&provider=swissmodel"	"3_311_3adb.1.A_5cd5152dd60c59960d9d633b"	"    0.32"	"    21.63"	"3adb"	NA
"P0C0T4"	""	108	"89fc6274feac428f1915c144602ecbf8"	"5cda0089732c1ee41c9de2fa"	"SWISSMODEL"	24	108	"4v6i.22.A"	-4.7598518893	0.498342013	99.0740737915	"https://swissmodel.expasy.org/repository/uniprot/P0C0T4.pdb?provider=swissmodel&from=24&to=108&template=4v6i.22.A&provider=swissmodel"	"24_108_4v6i.22.A_5cda0089732c1ee41c9de2fa"	"    0.59"	"    99.07"	"4v6i"	NA
"P0CX30"	""	145	"a2eef4459978872c013ff2597d4ee1f4"	"5cd8aaf0a03a1b105c66cd89"	"SWISSMODEL"	2	145	"4v88.24.A"	-2.8117868057	0.6389944026	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX30.pdb?provider=swissmodel&from=2&to=145&template=4v88.24.A&provider=swissmodel"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	"    0.61"	"    100.00"	"4v88"	NA
"P26783"	""	225	"aefa52fc1fce14ef0a14a0aea0b14517"	"5a7e8efd7aaa0d0a4ed854ee"	"SWISSMODEL"	13	225	"5wlc.3.A"	-2.2160655717	0.6921491051	100	"https://swissmodel.expasy.org/repository/uniprot/P26783.pdb?provider=swissmodel&from=13&to=225&template=5wlc.3.A&provider=swissmodel"	"13_225_5wlc.3.A_5a7e8efd7aaa0d0a4ed854ee"	"    0.59"	"    100.00"	"5wlc"	NA
"Q12308"	""	588	"d79bd1db95e063cc83f4f2c3c35d8d64"	"5cd74e45732c1e664b8a9baa"	"SWISSMODEL"	2	588	"2j04.1.A"	-3.9398244992	0.6213704055	100	"https://swissmodel.expasy.org/repository/uniprot/Q12308.pdb?provider=swissmodel&from=2&to=588&template=2j04.1.A&provider=swissmodel"	"2_588_2j04.1.A_5cd74e45732c1e664b8a9baa"	"    0.61"	"    100.00"	"2j04"	NA
"Q12308"	""	588	"d79bd1db95e063cc83f4f2c3c35d8d64"	"5cd74e45732c1e664b8a9ba6"	"SWISSMODEL"	92	349	"2ynp.1.A"	-4.9172146528	0.5733179318	11.6666669846	"https://swissmodel.expasy.org/repository/uniprot/Q12308.pdb?provider=swissmodel&from=92&to=349&template=2ynp.1.A&provider=swissmodel"	"92_349_2ynp.1.A_5cd74e45732c1e664b8a9ba6"	"    0.27"	"    11.67"	"2ynp"	NA
"P0CX29"	""	145	"a2eef4459978872c013ff2597d4ee1f4"	"5cd8aaf0a03a1b105c66cd89"	"SWISSMODEL"	2	145	"4v88.24.A"	-2.8117868057	0.6389944026	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX29.pdb?provider=swissmodel&from=2&to=145&template=4v88.24.A&provider=swissmodel"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	"    0.61"	"    100.00"	"4v88"	NA
"Q3E7Y3"	""	130	"17cf2f94c419dc078879c583e87500f3"	"5cd923b28fd6f9d3b20e81a8"	"SWISSMODEL"	2	129	"5nwy.1.f"	-2.5423263254	0.6507455516	31.0924377441	"https://swissmodel.expasy.org/repository/uniprot/Q3E7Y3.pdb?provider=swissmodel&from=2&to=129&template=5nwy.1.f&provider=swissmodel"	"2_129_5nwy.1.f_5cd923b28fd6f9d3b20e81a8"	"    0.36"	"    31.09"	"5nwy"	NA
"P53733"	""	91	"0ec9244be462cd97aaaf38c7347d79bf"	"5cdab593732c1e9fa7899d37"	"SWISSMODEL"	16	87	"4v7e.18.A"	-6.4500606009	0.3839208456	33.3333320618	"https://swissmodel.expasy.org/repository/uniprot/P53733.pdb?provider=swissmodel&from=16&to=87&template=4v7e.18.A&provider=swissmodel"	"16_87_4v7e.18.A_5cdab593732c1e9fa7899d37"	"    0.37"	"    33.33"	"4v7e"	NA
"P53733"	""	91	"0ec9244be462cd97aaaf38c7347d79bf"	"5cdab593732c1e9fa7899d33"	"SWISSMODEL"	9	88	"5mrc.58.A"	-0.63027355	0.7567542491	100	"https://swissmodel.expasy.org/repository/uniprot/P53733.pdb?provider=swissmodel&from=9&to=88&template=5mrc.58.A&provider=swissmodel"	"9_88_5mrc.58.A_5cdab593732c1e9fa7899d33"	"    0.61"	"    100.00"	"5mrc"	NA
"Q3E754"	""	87	"e0a0345e837fc30ea6f5e993f21558f2"	"5cdae59c8fd6f95cb616bab2"	"SWISSMODEL"	1	87	"5tga.22.A"	-4.1175884459	0.5360009618	98.8505783081	"https://swissmodel.expasy.org/repository/uniprot/Q3E754.pdb?provider=swissmodel&from=1&to=87&template=5tga.22.A&provider=swissmodel"	"1_87_5tga.22.A_5cdae59c8fd6f95cb616bab2"	"    0.60"	"    98.85"	"5tga"	NA
"Q3E754"	""	87	"e0a0345e837fc30ea6f5e993f21558f2"	"5cdae59c8fd6f95cb616baae"	"SWISSMODEL"	1	87	"4v6i.21.A"	-6.4778256567	0.3859073673	98.8505783081	"https://swissmodel.expasy.org/repository/uniprot/Q3E754.pdb?provider=swissmodel&from=1&to=87&template=4v6i.21.A&provider=swissmodel"	"1_87_4v6i.21.A_5cdae59c8fd6f95cb616baae"	"    0.60"	"    98.85"	"4v6i"	NA
"Q04373"	""	656	"fac17ca68e6035a88bff2eaaac2066d0"	"5cd7d75e9ffd12706478b6c1"	"SWISSMODEL"	116	655	"4wzr.2.A"	-3.5965282815	0.6420665943	25.2918281555	"https://swissmodel.expasy.org/repository/uniprot/Q04373.pdb?provider=swissmodel&from=116&to=655&template=4wzr.2.A&provider=swissmodel"	"116_655_4wzr.2.A_5cd7d75e9ffd12706478b6c1"	"    0.33"	"    25.29"	"4wzr"	NA
"Q04373"	""	656	"fac17ca68e6035a88bff2eaaac2066d0"	"5cd7d75e9ffd12706478b6bd"	"SWISSMODEL"	128	434	"3k49.1.A"	-4.40786769	0.6118533204	18.936876297	"https://swissmodel.expasy.org/repository/uniprot/Q04373.pdb?provider=swissmodel&from=128&to=434&template=3k49.1.A&provider=swissmodel"	"128_434_3k49.1.A_5cd7d75e9ffd12706478b6bd"	"    0.30"	"    18.94"	"3k49"	NA
"P38701"	""	121	"b7c8c12a414232b74d31051ab63ec340"	"59cc4e687f4bf94d2e51a419"	"SWISSMODEL"	12	121	"4v88.96.A"	-4.743426288	0.5459759993	100	"https://swissmodel.expasy.org/repository/uniprot/P38701.pdb?provider=swissmodel&from=12&to=121&template=4v88.96.A&provider=swissmodel"	"12_121_4v88.96.A_59cc4e687f4bf94d2e51a419"	"    0.60"	"    100.00"	"4v88"	NA
"P0CX56"	""	146	"3357d89a58f09728d6194c0b2d0f4a7b"	"5cd8a6b308cc8fc19f254284"	"SWISSMODEL"	2	128	"5wlc.1.A"	-2.5830592266	0.6501970431	94.5205459595	"https://swissmodel.expasy.org/repository/uniprot/P0CX56.pdb?provider=swissmodel&from=2&to=128&template=5wlc.1.A&provider=swissmodel"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	"    0.57"	"    94.52"	"5wlc"	NA
"P0CX55"	""	146	"3357d89a58f09728d6194c0b2d0f4a7b"	"5cd8a6b308cc8fc19f254284"	"SWISSMODEL"	2	128	"5wlc.1.A"	-2.5830592266	0.6501970431	94.5205459595	"https://swissmodel.expasy.org/repository/uniprot/P0CX55.pdb?provider=swissmodel&from=2&to=128&template=5wlc.1.A&provider=swissmodel"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	"    0.57"	"    94.52"	"5wlc"	NA
"P0CX83"	""	189	"ad8e11702e13915ab74feb295cdb8cd6"	"5cd7913d9ffd1252cba6ae1d"	"SWISSMODEL"	1	189	"4v6i.46.A"	-2.3846955795	0.6837447295	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX83.pdb?provider=swissmodel&from=1&to=189&template=4v6i.46.A&provider=swissmodel"	"1_189_4v6i.46.A_5cd7913d9ffd1252cba6ae1d"	"    0.59"	"    100.00"	"4v6i"	NA
"P0CX51"	""	143	"fe776f0b17493f231464d8a46e15412d"	"5cd8bc17a03a1bf13a51a4e3"	"SWISSMODEL"	3	143	"5mc6.6.A"	-2.2293941075	0.66667579	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX51.pdb?provider=swissmodel&from=3&to=143&template=5mc6.6.A&provider=swissmodel"	"3_143_5mc6.6.A_5cd8bc17a03a1bf13a51a4e3"	"    0.60"	"    100.00"	"5mc6"	NA
"P39516"	""	138	"9cf5668fc5032e5ea6acd29a42123286"	"5cd8e6c6a03a1b10008a2639"	"SWISSMODEL"	11	138	"6hhq.134.A"	-1.3579866041	0.7144806486	100	"https://swissmodel.expasy.org/repository/uniprot/P39516.pdb?provider=swissmodel&from=11&to=138&template=6hhq.134.A&provider=swissmodel"	"11_138_6hhq.134.A_5cd8e6c6a03a1b10008a2639"	"    0.60"	"    100.00"	"6hhq"	NA
"P0CX47"	""	156	"3090cf50aad3986752436af2f0d624b0"	"5cd85a991a200ba1b126d53a"	"SWISSMODEL"	39	123	"4v6i.18.A"	-6.3662881518	0.3970602359	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX47.pdb?provider=swissmodel&from=39&to=123&template=4v6i.18.A&provider=swissmodel"	"39_123_4v6i.18.A_5cd85a991a200ba1b126d53a"	"    0.61"	"    100.00"	"4v6i"	NA
"P0CX47"	""	156	"3090cf50aad3986752436af2f0d624b0"	"5cd85a991a200ba1b126d536"	"SWISSMODEL"	2	156	"5i4l.12.A"	-2.8288754879	0.6369283488	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX47.pdb?provider=swissmodel&from=2&to=156&template=5i4l.12.A&provider=swissmodel"	"2_156_5i4l.12.A_5cd85a991a200ba1b126d536"	"    0.61"	"    100.00"	"5i4l"	NA
"P32797"	""	924	"ce714945c3a747126a0081b6c0cdbd26"	"5cd9926d3b85d15d931900a1"	"SWISSMODEL"	13	224	"3nwt.1.B"	-3.462038776	0.650808222	100	"https://swissmodel.expasy.org/repository/uniprot/P32797.pdb?provider=swissmodel&from=13&to=224&template=3nwt.1.B&provider=swissmodel"	"13_224_3nwt.1.B_5cd9926d3b85d15d931900a1"	"    0.60"	"    100.00"	"3nwt"	NA
"P32797"	""	924	"ce714945c3a747126a0081b6c0cdbd26"	"5cd9926d3b85d15d9319009d"	"SWISSMODEL"	346	475	"4hce.1.B"	-2.2205972415	0.6856713742	100	"https://swissmodel.expasy.org/repository/uniprot/P32797.pdb?provider=swissmodel&from=346&to=475&template=4hce.1.B&provider=swissmodel"	"346_475_4hce.1.B_5cd9926d3b85d15d9319009d"	"    0.60"	"    100.00"	"4hce"	NA
"P25620"	""	114	"4deab739ef3ce973bc6261b9c8641b0e"	"5cd9cc168fd6f9da62729fba"	"SWISSMODEL"	27	58	"2db2.1.A"	-2.2492973323	0.5164636442	31.0344829559	"https://swissmodel.expasy.org/repository/uniprot/P25620.pdb?provider=swissmodel&from=27&to=58&template=2db2.1.A&provider=swissmodel"	"27_58_2db2.1.A_5cd9cc168fd6f9da62729fba"	"    0.35"	"    31.03"	"2db2"	NA
"P54786"	""	942	"8cc75f16fbfd321833abc48fd1173154"	"5a80962f7f4bf99c54494031"	"SWISSMODEL"	855	880	"4pdn.1.A"	-1.6470657352	0.5845028992	31.5789470673	"https://swissmodel.expasy.org/repository/uniprot/P54786.pdb?provider=swissmodel&from=855&to=880&template=4pdn.1.A&provider=swissmodel"	"855_880_4pdn.1.A_5a80962f7f4bf99c54494031"	"    0.34"	"    31.58"	"4pdn"	NA
"Q08219"	""	342	"4b83e4b565e199dc94baf66f63101ef9"	"59c8f24dad01f022786fb3fa"	"SWISSMODEL"	90	337	"3tx3.1.A"	-4.1465022316	0.6016550523	13.7168140411	"https://swissmodel.expasy.org/repository/uniprot/Q08219.pdb?provider=swissmodel&from=90&to=337&template=3tx3.1.A&provider=swissmodel"	"90_337_3tx3.1.A_59c8f24dad01f022786fb3fa"	"    0.27"	"    13.72"	"3tx3"	NA
"P20434"	""	215	"93c158a5afce1e4333573d5b2e77ac51"	"5cd70754d60c5999e5249dbb"	"SWISSMODEL"	2	215	"3gto.1.D"	-3.2329462634	0.6506839529	100	"https://swissmodel.expasy.org/repository/uniprot/P20434.pdb?provider=swissmodel&from=2&to=215&template=3gto.1.D&provider=swissmodel"	"2_215_3gto.1.D_5cd70754d60c5999e5249dbb"	"    0.61"	"    100.00"	"3gto"	NA
"P53117"	""	311	"c8ab4049651ef61983eb024460ca9b14"	"5cd5203d3b85d1de31614f18"	"SWISSMODEL"	102	214	"5azx.1.A"	-3.400511172	0.6172874694	15.7303371429	"https://swissmodel.expasy.org/repository/uniprot/P53117.pdb?provider=swissmodel&from=102&to=214&template=5azx.1.A&provider=swissmodel"	"102_214_5azx.1.A_5cd5203d3b85d1de31614f18"	"    0.28"	"    15.73"	"5azx"	NA
"P53117"	""	311	"c8ab4049651ef61983eb024460ca9b14"	"5cd5203d3b85d1de31614f14"	"SWISSMODEL"	99	139	"3n7x.1.A"	-2.6547530729	0.4850691203	32.1428565979	"https://swissmodel.expasy.org/repository/uniprot/P53117.pdb?provider=swissmodel&from=99&to=139&template=3n7x.1.A&provider=swissmodel"	"99_139_3n7x.1.A_5cd5203d3b85d1de31614f14"	"    0.33"	"    32.14"	"3n7x"	NA
"P25333"	""	603	"4a5d17027fc4bd5da5f41394a85cb16b"	"5cd76e6a9ffd121d5f0f91e5"	"SWISSMODEL"	308	594	"4ifg.1.A"	-2.5900058221	0.6706498284	31.2030067444	"https://swissmodel.expasy.org/repository/uniprot/P25333.pdb?provider=swissmodel&from=308&to=594&template=4ifg.1.A&provider=swissmodel"	"308_594_4ifg.1.A_5cd76e6a9ffd121d5f0f91e5"	"    0.35"	"    31.20"	"4ifg"	NA
"Q06522"	""	304	"b71a0a1b690c7736acc5d94ae9561383"	"5a7cf823c730d40d85d3f097"	"SWISSMODEL"	5	136	"5bov.1.A"	-3.4272878372	0.5970324367	16.806722641	"https://swissmodel.expasy.org/repository/uniprot/Q06522.pdb?provider=swissmodel&from=5&to=136&template=5bov.1.A&provider=swissmodel"	"5_136_5bov.1.A_5a7cf823c730d40d85d3f097"	"    0.28"	"    16.81"	"5bov"	NA
"Q06522"	""	304	"b71a0a1b690c7736acc5d94ae9561383"	"5a7cf823c730d40d85d3f093"	"SWISSMODEL"	27	146	"2zsh.1.A"	-4.0206265759	0.5697312934	15.7894735336	"https://swissmodel.expasy.org/repository/uniprot/Q06522.pdb?provider=swissmodel&from=27&to=146&template=2zsh.1.A&provider=swissmodel"	"27_146_2zsh.1.A_5a7cf823c730d40d85d3f093"	"    0.28"	"    15.79"	"2zsh"	NA
"P25381"	""	491	"9db645ad8b0bffb53e35141b1573c8ae"	"5b63718ad60c5953a255aaa2"	"SWISSMODEL"	15	421	"5vlp.1.A"	-4.44363174	0.6130064489	31.1614723206	"https://swissmodel.expasy.org/repository/uniprot/P25381.pdb?provider=swissmodel&from=15&to=421&template=5vlp.1.A&provider=swissmodel"	"15_421_5vlp.1.A_5b63718ad60c5953a255aaa2"	"    0.34"	"    31.16"	"5vlp"	NA
"Q08746"	""	203	"94e74ff911bf28b3582b0dce278f77dc"	"5cd744e03b85d132ebdb856e"	"SWISSMODEL"	9	201	"3jct.1.m"	-3.9942477992	0.6204129642	100	"https://swissmodel.expasy.org/repository/uniprot/Q08746.pdb?provider=swissmodel&from=9&to=201&template=3jct.1.m&provider=swissmodel"	"9_201_3jct.1.m_5cd744e03b85d132ebdb856e"	"    0.60"	"    100.00"	"3jct"	NA
"P10849"	""	440	"ced5ae90025b5a3899ad10140b3bf195"	"5a87dbf1ad01f070fb6d883f"	"SWISSMODEL"	277	384	"5iwb.1.B"	-3.1772433471	0.6237595848	10.5263156891	"https://swissmodel.expasy.org/repository/uniprot/P10849.pdb?provider=swissmodel&from=277&to=384&template=5iwb.1.B&provider=swissmodel"	"277_384_5iwb.1.B_5a87dbf1ad01f070fb6d883f"	"    0.26"	"    10.53"	"5iwb"	NA
"Q3E7X8"	""	1277	"11d62ff491ec8764d6719b9fc03c02ed"	"5cdb0da33b85d17eea6a2635"	"SWISSMODEL"	194	572	"4ljy.1.A"	-4.9573003908	0.5888930813	15.7099695206	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X8.pdb?provider=swissmodel&from=194&to=572&template=4ljy.1.A&provider=swissmodel"	"194_572_4ljy.1.A_5cdb0da33b85d17eea6a2635"	"    0.29"	"    15.71"	"4ljy"	NA
"Q3E7X8"	""	1277	"11d62ff491ec8764d6719b9fc03c02ed"	"5cdb0da33b85d17eea6a2631"	"SWISSMODEL"	196	572	"5zc9.1.A"	-4.7078494752	0.5983395208	21.7791404724	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X8.pdb?provider=swissmodel&from=196&to=572&template=5zc9.1.A&provider=swissmodel"	"196_572_5zc9.1.A_5cdb0da33b85d17eea6a2631"	"    0.31"	"    21.78"	"5zc9"	NA
"Q3E7X8"	""	1277	"11d62ff491ec8764d6719b9fc03c02ed"	"5cdb0da33b85d17eea6a262d"	"SWISSMODEL"	194	635	"2wwy.1.A"	-4.9965634174	0.60311528	18.062828064	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X8.pdb?provider=swissmodel&from=194&to=635&template=2wwy.1.A&provider=swissmodel"	"194_635_2wwy.1.A_5cdb0da33b85d17eea6a262d"	"    0.29"	"    18.06"	"2wwy"	NA
