Arthrobotrys_oligospora@Seq_1534	OG177333
Spathaspora_gorwiae@Seq_849	OG200144
Stagonospora_nodorum@Seq_10830	OG181026
Stagonospora_nodorum@Seq_4120	OG105223
Tetrapisispora_blattae@Seq_1400	OG120351
Wickerhamomyces_ciferrii@Seq_2941	OG66355
Xylona_heveae@Seq_6639	OG213096
YAL054C	OG1055
YBR117C	OG1112
YCR036W	OG2970
YDL168W	OG1521
YDR256C	OG1310
YEL039C	OG3790
YGL140C	OG5177
YGR088W	OG5404
YGR194C	OG3151
YGR289C	OG1040
YHR020W	OG1662
YHR096C	OG1013
YHR104W	OG1022
YIL162W	OG5441
YJL068C	OG3241
YJL069C	OG2750
YKL217W	OG1073
YKR003W	OG3548
YLL026W	OG1037
YML054C	OG1178
YML116W	OG1187
YMR006C	OG1044
YOL157C	OG1179
YOR388C	OG1458
YPL006W	OG2510
Zygosaccharomyces_bailii@Seq_3433	OG112887
yHAB132_Kazachstania_martiniae@Seq_5186	OG224315
yHAB133_Kazachstania_unispora@Seq_2940	OG136667
yHAB133_Kazachstania_unispora@Seq_3118	OG193455
yHAB133_Kazachstania_unispora@Seq_4286	OG103826
yHAB133_Kazachstania_unispora@Seq_4409	OG202165
yHAB134_Kazachstania_turicensis@Seq_3939	OG224999
yHAB134_Kazachstania_turicensis@Seq_5330	OG205710
yHAB143_Kazachstania_siamensis@Seq_2362	OG129724
yHAB143_Kazachstania_siamensis@Seq_2868	OG23863
yHAB143_Kazachstania_siamensis@Seq_3341	OG197418
yHAB143_Kazachstania_siamensis@Seq_4837	OG139868
yHAB143_Kazachstania_siamensis@Seq_4849	OG195970
yHAB143_Kazachstania_siamensis@Seq_5048	OG74702
yHAB143_Kazachstania_siamensis@Seq_770	OG46424
yHAB147_Kazachstania_taianensis@Seq_3785	OG31891
yHAB153_Kazachstania_rosinii@Seq_1415	OG155302
yHAB153_Kazachstania_rosinii@Seq_31	OG144623
yHAB153_Kazachstania_rosinii@Seq_3258	OG158020
yHAB153_Kazachstania_rosinii@Seq_4073	OG20471
yHAB153_Kazachstania_rosinii@Seq_4843	OG107117
yHAB153_Kazachstania_rosinii@Seq_683	OG222621
yHAB154_Kazachstania_transvaalensis@Seq_3285	OG157959
yHAB155_Kazachstania_spencerorum@Seq_4802	OG161383
yHAB155_Kazachstania_spencerorum@Seq_6327	OG47074
yHAB158_Kazachstania_viticola@Seq_1294	OG132883
yHAB158_Kazachstania_viticola@Seq_2494	OG166714
yHAB158_Kazachstania_viticola@Seq_3544	OG207703
yHAB159_Kazachstania_solicola@Seq_2359	OG146831
yHAB159_Kazachstania_solicola@Seq_5298	OG139719
yHAB159_Kazachstania_solicola@Seq_838	OG181702
yHAB160_Kazachstania_kunashirensis@Seq_5180	OG47273
yHAB164_Kazachstania_aerobia@Seq_2631	OG115054
yHAB166_Kazachstania_yakushimaensis@Seq_1553	OG162917
yHAB166_Kazachstania_yakushimaensis@Seq_3043	OG86880
yHAB166_Kazachstania_yakushimaensis@Seq_664	OG27869
yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_2433	OG47537
yHMPu5000026142_Citeromyces_matritensis@Seq_1149	OG81429
yHMPu5000026142_Citeromyces_matritensis@Seq_2394	OG226934
yHMPu5000026142_Citeromyces_matritensis@Seq_4894	OG124274
yHMPu5000026152_Torulaspora_franciscae@Seq_1367	OG195666
yHMPu5000026152_Torulaspora_franciscae@Seq_1380	OG34291
yHMPu5000026152_Torulaspora_franciscae@Seq_2285	OG81295
yHMPu5000026274_Komagataella_populi@Seq_2009	OG7442
yHMPu5000034631_Martiniozyma_abiesophila@Seq_2345	OG49157
yHMPu5000034654_Aciculoconidium_aculeatum@Seq_2902	OG176985
yHMPu5000034654_Aciculoconidium_aculeatum@Seq_4126	OG28500
yHMPu5000034654_Aciculoconidium_aculeatum@Seq_696	OG28503
yHMPu5000034655_Botryozyma_nematodophila@Seq_3408	OG161514
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_4689	OG51999
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_6157	OG35356
yHMPu5000034667_Blastobotrys_serpentis@Seq_1487	OG226300
yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4360	OG173265
yHMPu5000034749_Lipomyces_mesembrius@Seq_1020	OG156094
yHMPu5000034749_Lipomyces_mesembrius@Seq_187	OG104274
yHMPu5000034754_Lipomyces_arxii@Seq_4260	OG189892
yHMPu5000034754_Lipomyces_arxii@Seq_5868	OG228316
yHMPu5000034760_Lipomyces_kononenkoae@Seq_5795	OG137118
yHMPu5000034761_Lipomyces_lipofer@Seq_1374	OG146563
yHMPu5000034761_Lipomyces_lipofer@Seq_2248	OG54159
yHMPu5000034761_Lipomyces_lipofer@Seq_2576	OG126204
yHMPu5000034761_Lipomyces_lipofer@Seq_3584	OG11951
yHMPu5000034761_Lipomyces_lipofer@Seq_483	OG110856
yHMPu5000034761_Lipomyces_lipofer@Seq_5342	OG228363
yHMPu5000034761_Lipomyces_lipofer@Seq_981	OG194423
yHMPu5000034862_Zygotorulaspora_florentina@Seq_4058	OG27928
yHMPu5000034875_Tetrapisispora_fleetii@Seq_2734	OG224342
yHMPu5000034887_Ogataea_trehaloabstinens@Seq_1110	OG66716
yHMPu5000034918_Nakazawaea_holstii@Seq_5058	OG74663
yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_1769	OG126844
yHMPu5000034947_Ambrosiozyma_philentoma@Seq_3605	OG78619
yHMPu5000034947_Ambrosiozyma_philentoma@Seq_4822	OG33994
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_1909	OG140594
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_3948	OG160115
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_4491	OG194732
yHMPu5000034952_Citeromyces_siamensis@Seq_10981	OG110611
yHMPu5000034952_Citeromyces_siamensis@Seq_12653	OG142365
yHMPu5000034952_Citeromyces_siamensis@Seq_12781	OG105904
yHMPu5000034952_Citeromyces_siamensis@Seq_1379	OG139817
yHMPu5000034952_Citeromyces_siamensis@Seq_3293	OG134449
yHMPu5000034952_Citeromyces_siamensis@Seq_6283	OG211278
yHMPu5000034952_Citeromyces_siamensis@Seq_674	OG184668
yHMPu5000034952_Citeromyces_siamensis@Seq_835	OG99532
yHMPu5000034952_Citeromyces_siamensis@Seq_9979	OG214241
yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_1844	OG188432
yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_2742	OG232653
yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_5584	OG123934
yHMPu5000034998_Cephaloascus_albidus@Seq_4801	OG169574
yHMPu5000034998_Cephaloascus_albidus@Seq_5000	OG151295
yHMPu5000035046_Barnettozyma_populi@Seq_3049	OG66140
yHMPu5000035047_Barnettozyma_pratensis@Seq_2138	OG109138
yHMPu5000035048_Barnettozyma_salicaria@Seq_317	OG184946
yHMPu5000035048_Barnettozyma_salicaria@Seq_4728	OG167437
yHMPu5000035048_Barnettozyma_salicaria@Seq_5331	OG221578
yHMPu5000035244_Candida_incommunis@Seq_4397	OG1184
yHMPu5000035261_Candida_ponderosae@Seq_2927	OG66462
yHMPu5000035335_Candida_blattae@Seq_4976	OG132847
yHMPu5000035633_Candida_hispaniensis@Seq_2087	OG6904
yHMPu5000035633_Candida_hispaniensis@Seq_2232	OG120944
yHMPu5000035652_Torulaspora_maleeae@Seq_2255	OG81846
yHMPu5000035652_Torulaspora_maleeae@Seq_264	OG226710
yHMPu5000035674_Kregervanrija_delftensis@Seq_1300	OG195228
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2683	OG12396
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_3088	OG165822
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_3430	OG99004
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_3963	OG110362
yHMPu5000035690_Candida_vartiovaarae@Seq_1713	OG85893
yHMPu5000035691_Candida_salmanticensis@Seq_5875	OG230125
yHMPu5000041678_Debaryomyces_prosopidis@Seq_3265	OG112164
yHMPu5000041822_Dipodascus_geniculatus@Seq_921	OG6798
yHMPu5000041863_Candida_gorgasii@Seq_1495	OG4375
