species	expansion	contraction	rapidly_evolving
Torulaspora_Delbrueckii	3	93	2
Yhmpu5000035640_Yamadazyma_Philogaea	73	180	67
Yhmpu5000026197_Brettanomyces_Custersianus	48	128	39
Yhmpu5000034637_Ogataea_Populiabae	41	96	34
Candida_Infanticola	14	150	0
Candida_Boidinii_Jcm9604	56	174	29
Zygosaccharomyces_Rouxii	9	101	1
Yhmpu5000034761_Lipomyces_Lipofer	77	29	0
Yhmpu5000034999_Cephaloascus_Fragrans	43	60	30
Yhmpu5000034604_Sporopachydermia_Lactativora	11	24	0
Yhmpu5000034988_Candida_Fructus	154	99	135
Yhmpu5000035667_Kurtzmaniella_Cleridarum	102	43	91
Saccharomyces_Arboricola	10	171	2
Wickerhamomyces_Anomalus	33	51	2
Candida_Glabrata	10	42	3
Yhmpu5000035296_Priceomyces_Carsonii	119	175	93
Yhmpu5000034610_Saturnispora_Hagleri	112	73	110
Yhmpu5000035641_Yamadazyma_Scolyti	98	282	77
Ambrosiozyma_Kashinagacola	43	74	36
Yhmpu5000034623_Pichia_Norvegensis	75	130	46
Yhmpu5000034749_Lipomyces_Mesembrius	5	23	1
Lachancea_Mirantina	10	120	1
Yhmpu5000034671_Blastobotrys_Peoriensis	10	27	1
Metschnikowia_Shivogae	220	64	220
Candida_Arabinofermentans	32	120	25
Yhmpu5000034974_Deakozyma_Indianensis	8	58	1
Kuraishia_Capsulata	29	43	17
Yhmpu5000034978_Cyberlindnera_Mrakii	9	61	3
Yhmpu5000034891_Ogataea_Pini	35	48	28
Yhmpu5000035318_Hyphopichia_Heimii	133	50	129
Yhab132_Kazachstania_Martiniae	42	152	8
Yhmpu5000041840_Candida_Wancherniae	185	236	168
Yhmpu5000035695_Hanseniaspora_Pseudoguilliermondii	5	35	0
Eremothecium_Coryli	4	45	2
Yhmpu5000035011_Candida_Pyralidae	99	175	87
Yhmpu5000034673_Blastobotrys_Nivea	111	53	4
Pichia_Membranifaciens	61	205	51
Yhmpu5000034998_Cephaloascus_Albidus	68	87	30
Yhab166_Kazachstania_Yakushimaensis	52	39	10
Yhmpu5000035261_Candida_Ponderosae	53	154	1
Kazachstania_Africana	30	86	5
Yhmpu5000034892_Ogataea_Pilisensis	47	55	32
Yhmpu5000034660_Diddensiella_Caesifluorescens	15	78	0
Alloascoidea_Hylecoeti	237	772	6
Metschnikowia_Similis	288	153	283
Wickerhamiella_Domercqiae	10	198	1
Metschnikowia_Kipukae	260	303	229
Yhmpu5000034973_Danielozyma_Ontarioensis	123	210	109
Yhmpu5000026274_Komagataella_Populi	14	19	14
Tetrapisispora_Blattae	18	40	4
Lodderomyces_Elongisporus	110	59	89
Yhmpu5000026137_Ambrosiozyma_Ambrosiae	41	58	34
Lachancea_Fantastica	6	33	5
Yarrowia_Lipolytica	3	18	0
Yhmpu5000035047_Barnettozyma_Pratensis	17	77	1
Lachancea_Dasiensis	14	80	0
Yhmpu5000035703_Cyberlindnera_Americana	11	41	1
Yhmpu5000034605_Spencermartinsiella_Europaea	34	62	0
Yhmpu5000034952_Citeromyces_Siamensis	552	60	58
Zygosaccharomyces_Bailii	8	66	1
Yhmpu5000034963_Hanseniaspora_Clermontiae	7	38	6
Kluyveromyces_Marxianus	8	55	2
Yhmpu5000034950_Citeromyces_Hawaiiensis	55	84	18
Yhmpu5000035032_Candida_Gatunensis	86	222	84
Tortispora_Caseinolytica	2	95	0
Yhmpu5000035022_Candida_Emberorum	104	113	102
Candida_Homilentoma	128	82	112
Wickerhamia_Fluorescens	104	162	92
Yhmpu5000034881_Torulaspora_Pretoriensis	168	41	158
Lachancea_Thermotolerans	4	36	1
Scheffersomyces_Stipitis	113	64	99
Lipomyces_Starkeyi	10	18	1
Spathaspora_Hagerdaliae	115	77	110
Yhmpu5000035689_Candida_Mycetangii	17	66	2
Yhmpu5000035629_Yueomyces_Sinensis	16	84	3
Yhmpu5000034674_Blastobotrys_Muscicola	24	119	3
Yhmpu5000035252_Yamadazyma_Nakazawae	91	94	76
Metschnikowia_Cerradonensis	444	154	439
Yhmpu5000026142_Citeromyces_Matritensis	72	93	22
Yhmpu5000034883_Peterozyma_Xylosa	22	37	16
Yhmpu5000035650_Trigonopsis_Variabilis	16	41	0
Yhab153_Kazachstania_Rosinii	16	69	2
Yhmpu5000035268_Wickerhamomyces_Hampshirensis	34	118	4
Sporopachydermia_Quercuum	15	20	0
Yhmpu5000035242_Zygoascus_Ofunaensis	17	56	0
Scheffersomyces_Lignosus	119	48	98
Metschnikowia_Borealis	416	172	411
Yhmpu5000041833_Candida_Tammaniensis	110	120	89
Yhmpu5000035681_Candida_Gotoi	136	99	122
Yhmpu5000035302_Candida_Fragi	97	109	76
Yhmpu5000034629_Pichia_Exigua	58	162	53
Candida_Orthopsilosis	70	89	66
Metschnikowia_Drakensbergensis	230	140	230
Yhmpu5000034648_Candida_Restingae	97	68	88
Candida_Sojae	123	229	88
Hyphopichia_Burtonii	109	206	99
Yhmpu5000035282_Trigonopsis_Vinaria	20	30	0
Yhmpu5000035286_Candida_Azyma	7	29	6
Lachancea_Kluyveri	22	80	2
Vanderwaltozyma_Polyspora	48	51	5
Yhmpu5000034876_Tetrapisispora_Iriomotensis	70	66	3
Yhmpu5000034669_Blastobotrys_Raffinofermentans	33	15	2
Yhmpu5000035672_Phaffomyces_Thermotolerans	8	55	8
Spathaspora_Arborariae	91	110	83
Yhab143_Kazachstania_Siamensis	15	116	2
Pachysolen_Tannophilus	41	122	12
Candida_Tropicalis	119	68	98
Yhmpu5000035044_Barnettozyma_Californica	22	42	5
Yhmpu5000035243_Zygoascus_Meyerae	20	49	0
Yhmpu5000034612_Saturnispora_Saitoi	99	138	80
Yhmpu5000034887_Ogataea_Trehaloabstinens	50	66	36
Lachancea_Quebecensis	5	64	1
Yhmpu5000034758_Lipomyces_Japonicus	20	37	0
Yhmpu5000035244_Candida_Incommunis	18	43	0
Yhab160_Kazachstania_Kunashirensis	36	82	10
Nakazawaea_Peltata	25	75	12
Yhmpu5000034615_Saturnispora_Zaruensis	111	88	109
Yhmpu5000034646_Wickerhamiella_Cacticola	79	150	3
Yhmpu5000034902_Ogataea_Minuta	29	188	19
Yhmpu5000026145_Ambrosiozyma_Vanderkliftii	45	38	39
Lachancea_Nothofagi	6	73	3
Yhmpu5000034748_Lipomyces_Oligophaga	7	52	0
Yhmpu5000035665_Middelhovenomyces_Tepae	39	88	0
Yhmpu5000041863_Candida_Gorgasii	110	132	86
Yhmpu5000035018_Candida_Canberraensis	113	63	96
Tetrapisispora_Phaffii	5	41	2
Yhmpu5000034875_Tetrapisispora_Fleetii	3	37	3
Naumovozyma_Castellii	13	104	1
Candida_Intermedia	171	95	152
Yhmpu5000035639_Wickerhamomyces_Canadensis	12	46	9
Kluyveromyces_Lactis	5	27	1
Yhmpu5000034754_Lipomyces_Arxii	10	15	0
Candida_Albicans	134	4	131
Ogataea_Parapolymorpha	28	42	26
Metschnikowia_Matae_Maris	460	125	454
Yhmpu5000034655_Botryozyma_Nematodophila	107	111	2
Yhmpu5000034947_Ambrosiozyma_Philentoma	72	64	46
Yhmpu5000035662_Meyerozyma_Caribbica	86	103	85
Yhmpu5000034979_Cyberlindnera_Misumaiensis	12	57	4
Metschnikowia_Bowlesiae	325	128	320
Candida_Sorboxylosa	49	201	40
Arxula_Adeninivorans	1	29	0
Yhmpu5000035033_Candida_Cretensis	87	97	80
Yhmpu5000041713_Debaryomyces_Maramus	117	189	99
Yhmpu5000034710_Kluyveromyces_Dobzhanskii	4	38	2
Yhmpu5000034903_Ogataea_Naganishii	44	91	30
Yhmpu5000035654_Tortispora_Ganteri	15	17	0
Yhmpu5000034597_Candida_Stellimalicola	10	47	3
Nadsonia_Fulvescens_Var_Elongata	9	19	1
Metschnikowia_Dekortum	274	149	269
Yhmpu5000035658_Starmera_Amethionina	30	111	4
Eremothecium_Sinecaudum	9	85	3
Yhmpu5000035041_Ambrosiozyma_Pseudovanderkliftii	44	32	37
Yhmpu5000034742_Lipomyces_Suomiensis	18	24	0
Yhmpu5000035671_Phaffomyces_Antillensis	10	42	7
Yhmpu5000034631_Martiniozyma_Abiesophila	238	119	122
Yhmpu5000035325_Cyberlindnera_Petersonii	14	86	3
Saccharomyces_Cerevisiae	45	8	36
Nakaseomyces_Bacillisporus	7	69	1
Hanseniaspora_Valbyensis	40	38	4
Kazachstania_Naganishii	18	83	1
Yhmpu5000034636_Ogataea_Nitratoaversa	45	41	37
Yarrowia_Deformans	3	9	2
Yhmpu5000035040_Ambrosiozyma_Maleeae	46	127	38
Yhmpu5000035688_Cyberlindnera_Xylosilytica	64	83	3
Nakaseomyces_Bracarensis	8	40	3
Yhmpu5000034986_Candida_Oregonensis	178	332	143
Yhmpu5000035691_Candida_Salmanticensis	18	93	0
Yhmpu5000034627_Pichia_Heedii	65	50	53
Yhmpu5000034667_Blastobotrys_Serpentis	29	58	0
Yhab164_Kazachstania_Aerobia	16	45	15
Spathaspora_Girioi	98	92	80
Nakaseomyces_Delphensis	4	46	2
Hanseniaspora_Vinae	8	41	1
Lachancea_Waltii	32	92	2
Yhab158_Kazachstania_Viticola	63	91	14
Metschnikowia_Santaceciliae	422	188	417
Yhmpu5000035677_Kodamaea_Ohmeri	103	94	91
Candida_Versatilis	44	96	1
Yhmpu5000026256_Zygotorulaspora_Mrakii	8	73	1
Cyberlindnera_Jadinii	26	62	5
Yhab155_Kazachstania_Spencerorum	71	105	24
Cyberlindnera_Fabianii_Jcm3601	16	59	2
Yhmpu5000035046_Barnettozyma_Populi	8	48	1
Yhmpu5000041824_Debaryomyces_Subglobosus	101	82	91
Yhmpu5000034625_Pichia_Kudriavzevii	70	106	46
Yhmpu5000034622_Pichia_Occidentalis	76	60	60
