heat_type,expansion
No Heat tolerance,1898
No Heat tolerance,1666
No Heat tolerance,1643
No Heat tolerance,1131
No Heat tolerance,1122
No Heat tolerance,1036
No Heat tolerance,1014
No Heat tolerance,1665
No Heat tolerance,1106
No Heat tolerance,1134
No Heat tolerance,1163
No Heat tolerance,1057
No Heat tolerance,1094
No Heat tolerance,1084
No Heat tolerance,1392
No Heat tolerance,1146
No Heat tolerance,1174
No Heat tolerance,714
No Heat tolerance,781
No Heat tolerance,1945
No Heat tolerance,1986
No Heat tolerance,1593
No Heat tolerance,1185
No Heat tolerance,1176
No Heat tolerance,1128
No Heat tolerance,1226
No Heat tolerance,1040
No Heat tolerance,1132
No Heat tolerance,579
No Heat tolerance,570
No Heat tolerance,607
No Heat tolerance,631
No Heat tolerance,598
No Heat tolerance,561
No Heat tolerance,561
No Heat tolerance,542
No Heat tolerance,569
No Heat tolerance,570
No Heat tolerance,549
No Heat tolerance,551
No Heat tolerance,567
No Heat tolerance,587
No Heat tolerance,561
No Heat tolerance,560
No Heat tolerance,600
No Heat tolerance,568
No Heat tolerance,605
No Heat tolerance,689
No Heat tolerance,702
No Heat tolerance,580
No Heat tolerance,558
No Heat tolerance,543
No Heat tolerance,582
No Heat tolerance,570
No Heat tolerance,578
No Heat tolerance,558
No Heat tolerance,544
No Heat tolerance,647
No Heat tolerance,515
No Heat tolerance,601
No Heat tolerance,531
No Heat tolerance,497
No Heat tolerance,507
No Heat tolerance,598
No Heat tolerance,532
No Heat tolerance,516
No Heat tolerance,506
No Heat tolerance,570
No Heat tolerance,540
No Heat tolerance,545
No Heat tolerance,534
No Heat tolerance,540
No Heat tolerance,573
No Heat tolerance,536
No Heat tolerance,535
No Heat tolerance,607
No Heat tolerance,555
No Heat tolerance,535
No Heat tolerance,520
No Heat tolerance,558
No Heat tolerance,576
No Heat tolerance,546
No Heat tolerance,539
No Heat tolerance,532
No Heat tolerance,528
No Heat tolerance,543
No Heat tolerance,582
No Heat tolerance,527
No Heat tolerance,528
No Heat tolerance,629
No Heat tolerance,535
No Heat tolerance,531
No Heat tolerance,549
No Heat tolerance,541
No Heat tolerance,612
No Heat tolerance,537
No Heat tolerance,532
No Heat tolerance,564
No Heat tolerance,599
No Heat tolerance,608
No Heat tolerance,667
No Heat tolerance,691
No Heat tolerance,521
No Heat tolerance,561
No Heat tolerance,610
No Heat tolerance,518
No Heat tolerance,704
No Heat tolerance,1079
No Heat tolerance,529
No Heat tolerance,688
No Heat tolerance,523
No Heat tolerance,529
No Heat tolerance,514
No Heat tolerance,561
No Heat tolerance,550
No Heat tolerance,538
No Heat tolerance,549
No Heat tolerance,746
