Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Yhmpu5000035274&Wickerhamomyces&Alni	23 (5)	25	1.09	58 (0)	59	1.02	1828	-0.0117808
Lachancea&Meyersii	4 (1)	6	1.5	45 (0)	45	1.0	1860	-0.0137203
Metschnikowia&Kamakouana	351 (349)	383	1.09	225 (212)	229	1.02	1333	0.00962575
Brettanomyces&Anomalus	52 (43)	53	1.02	39 (0)	39	1.0	1818	-0.00158035
Candida&Tenuis	85 (74)	90	1.06	239 (0)	239	1.0	1585	-0.0329718
Ascoidea&Asiatica	71 (6)	94	1.32	56 (0)	56	1.0	1782	0.00416637
Yhmpu5000035652&Torulaspora&Maleeae	1 (1)	1	1.0	150 (1)	151	1.01	1758	-0.0440342
Yhmpu5000035699&Cyberlindnera&Maclurae	12 (2)	15	1.25	63 (0)	63	1.0	1834	-0.0127146
Candida&Apicola	11 (0)	15	1.36	61 (0)	61	1.0	1837	-0.00660872
Yhmpu5000034614&Saturnispora&Silvae	67 (59)	73	1.09	70 (0)	70	1.0	1772	-0.0119963
Yhmpu5000034918&Nakazawaea&Holstii	41 (12)	43	1.05	120 (0)	120	1.0	1748	-0.0140794
Yhmpu5000035690&Candida&Vartiovaarae	3 (2)	3	1.0	72 (1)	74	1.03	1834	-0.0201135
Metschnikowia&Proteae	250 (249)	269	1.08	97 (97)	97	1.0	1562	0.0161626
Yhmpu5000034899&Ogataea&Kodamae	28 (25)	33	1.18	189 (0)	190	1.01	1692	-0.0535163
Lachancea&Lanzarotensis	4 (1)	4	1.0	56 (0)	56	1.0	1849	-0.0118526
Yhmpu5000035037&Candida&Montana	13 (0)	13	1.0	133 (0)	133	1.0	1763	-0.0247827
Naumovozyma&Dairenensis	24 (1)	28	1.17	36 (0)	36	1.0	1849	-0.00373536
Nakaseomyces&Nivariensis	12 (1)	12	1.0	33 (0)	33	1.0	1864	-0.00510021
Yhmpu5000041855&Candida&Ascalaphidarum	92 (74)	96	1.04	228 (0)	231	1.01	1589	-0.0537318
Yhmpu5000035651&Torulaspora&Microellipsoides	64 (3)	70	1.09	79 (0)	79	1.0	1766	-0.000431004
Metschnikowia&Hawaiiensis	359 (358)	401	1.12	138 (137)	140	1.01	1412	0.0219812
Yhmpu5000034901&Ogataea&Methylivora	139 (30)	149	1.07	96 (0)	96	1.0	1674	0.00811723
Yhmpu5000034643&Candida&Schatavii	135 (81)	142	1.05	144 (0)	144	1.0	1630	0.000574671
Yhmpu5000035643&Yarrowia&Bubula	17 (2)	19	1.12	24 (0)	24	1.0	1868	0.00409453
Ashbya&Aceri	5 (1)	5	1.0	42 (0)	42	1.0	1862	-0.0102723
Yhmpu5000034866&Zygosaccharomyces&Bisporus	6 (1)	6	1.0	65 (0)	65	1.0	1838	-0.0140794
Yhmpu5000034890&Ogataea&Ramenticola	55 (36)	57	1.04	71 (0)	72	1.01	1783	-0.0143668
Yhmpu5000035659&Saturnispora&Dispora	102 (100)	116	1.14	124 (119)	127	1.02	1683	-0.00818907
Yhmpu5000034865&Zygosaccharomyces&Kombuchaensis	9 (4)	15	1.67	122 (0)	122	1.0	1778	-0.0331873
Ogataea&Methanolica	57 (34)	92	1.61	50 (0)	50	1.0	1802	0.00431004
Saccharomyces&Uvarum	7 (5)	7	1.0	49 (0)	49	1.0	1853	-0.0105596
Millerozyma&Acaciae	85 (76)	86	1.01	305 (0)	306	1.0	1519	-0.0634294
Yhmpu5000034886&Ogataea&Trehalophila	49 (37)	52	1.06	44 (0)	44	1.0	1816	-0.00222685
Yhmpu5000034654&Aciculoconidium&Aculeatum	119 (93)	125	1.05	104 (0)	104	1.0	1686	-0.00366353
Yhmpu5000034757&Lipomyces&Doorenjongii	15 (0)	17	1.13	63 (0)	64	1.02	1831	-0.039365
Yhmpu5000034594&Starmera&Quercuum	46 (3)	54	1.17	76 (0)	76	1.0	1787	-0.00308886
Yhmpu5000034661&Dipodascus&Albidus	15 (1)	20	1.33	17 (0)	17	1.0	1877	0.00624955
Ascoidea&Rubescens	38 (5)	45	1.18	142 (0)	144	1.01	1729	-0.0280871
Yhmpu5000034681&Blastobotrys&Americana	6 (2)	9	1.5	35 (0)	35	1.0	1868	-0.0129301
Yhmpu5000034862&Zygotorulaspora&Florentina	18 (3)	24	1.33	72 (0)	72	1.0	1819	-0.00754256
Yhmpu5000035687&Cyberlindnera&Suaveolens	7 (7)	7	1.0	51 (0)	51	1.0	1851	-0.0123554
Nakaseomyces&Castellii	7 (1)	11	1.57	96 (0)	96	1.0	1806	-0.0249982
Metschnikowia&Lockheadii	416 (410)	507	1.22	163 (161)	170	1.04	1330	0.0282307
Yhmpu5000035633&Candida&Hispaniensis	6 (0)	8	1.33	60 (0)	60	1.0	1843	-0.0209037
Lachancea&Cidri	7 (1)	7	1.0	93 (0)	93	1.0	1809	-0.0231305
Yhmpu5000034670&Blastobotrys&Proliferans	18 (0)	21	1.17	40 (0)	40	1.0	1851	0.00545938
Yhmpu5000034932&Kuraishia&Ogatae	47 (23)	51	1.09	184 (0)	185	1.01	1678	-0.156454
Yhmpu5000034939&Komagataella&Pseudopastoris	8 (7)	8	1.0	88 (84)	88	1.0	1813	-0.0170965
Yhmpu5000034967&Candida&Freyschussii	12 (2)	12	1.0	147 (0)	151	1.03	1750	-0.0464765
Saccharomyces&Paradoxus	1 (1)	1	1.0	168 (0)	168	1.0	1740	-0.0441779
Debaryomyces&Hansenii	109 (87)	111	1.02	145 (0)	145	1.0	1655	-0.0115653
Metschnikowia&Arizonensis	321 (317)	355	1.11	140 (2)	142	1.01	1448	0.0111343
Babjeviella&Inositovora	65 (15)	81	1.25	377 (0)	379	1.01	1467	-0.1696
Yhmpu5000035031&Candida&Kruisii	193 (88)	206	1.07	88 (1)	89	1.01	1628	0.0262912
Yhmpu5000026152&Torulaspora&Franciscae	61 (58)	62	1.02	103 (0)	103	1.0	1745	0.00158035
Yhmpu5000035674&Kregervanrija&Delftensis	70 (67)	75	1.07	66 (0)	66	1.0	1773	-0.0109906
Yhmpu5000035675&Kregervanrija&Fluxuum	118 (109)	131	1.11	45 (0)	45	1.0	1746	0.00948208
Candida&Auris	129 (122)	133	1.03	108 (0)	108	1.0	1672	-0.00617772
Candida&Parapsilosis	94 (76)	101	1.07	100 (1)	101	1.01	1715	-0.00409453
Saccharomyces&Eubayanus	10 (9)	11	1.1	44 (0)	44	1.0	1855	-0.0117808
Yhab136&Kazachstania&Bromeliacearum	26 (2)	34	1.31	91 (0)	92	1.01	1792	-0.0180303
Yhmpu5000034632&Candida&Athensensis	86 (79)	87	1.01	253 (0)	253	1.0	1570	-0.0455427
Yhmpu5000034946&Ambrosiozyma&Oregonensis	55 (40)	63	1.15	55 (0)	55	1.0	1799	-0.00114934
Yarrowia&Keelungensis	1 (0)	1	1.0	15 (0)	15	1.0	1893	-0.00122118
Yhmpu5000034893&Ogataea&Philodendra	34 (23)	35	1.03	107 (0)	107	1.0	1768	-0.0275124
Yhmpu5000034606&Priceomyces&Medius	109 (91)	115	1.06	142 (0)	142	1.0	1658	-0.0108469
Yhmpu5000026124&Ogataea&Henricii	37 (28)	39	1.05	74 (1)	75	1.01	1798	-0.0120681
Candida&Carpophila	75 (75)	76	1.01	108 (0)	108	1.0	1726	-0.0117808
Candida&Tanzawaensis	98 (91)	101	1.03	128 (0)	129	1.01	1683	-0.0138639
Yhab133&Kazachstania&Unispora	5 (2)	7	1.4	59 (0)	59	1.0	1845	-0.00488471
Eremothecium&Gossypii	5 (1)	5	1.0	41 (1)	42	1.02	1863	-0.00969758
Metschnikowia&Continentalis	438 (432)	532	1.21	159 (157)	163	1.03	1312	0.0319661
Yhmpu5000034957&Hanseniaspora&Osmophila	34 (1)	35	1.03	34 (0)	34	1.0	1841	0.00280152
Yhmpu5000034635&Nadsonia&Fulvescens	13 (3)	18	1.38	17 (0)	17	1.0	1879	0.014726
Meyerozyma&Guilliermondii	75 (69)	78	1.04	187 (0)	187	1.0	1647	-0.0202572
Yhab148&Kazachstania&Intestinalis	15 (2)	15	1.0	130 (0)	132	1.02	1764	-0.0509302
Candida&Dubliniensis	91 (90)	98	1.08	121 (0)	121	1.0	1697	-0.0104159
Dekkera&Bruxellensis	59 (42)	62	1.05	64 (0)	64	1.0	1786	-0.0082609
Metschnikowia&Bicuspidata	182 (160)	188	1.03	139 (0)	139	1.0	1588	-0.0100567
Komagataella&Pastoris	9 (6)	9	1.0	79 (0)	79	1.0	1821	-0.0149415
Yhmpu5000035696&Hanseniaspora&Singularis	8 (1)	9	1.13	45 (0)	45	1.0	1856	-0.00545938
Wickerhamomyces&Ciferrii	30 (5)	37	1.23	49 (0)	51	1.04	1830	-0.00150851
Yhmpu5000035679&Candida&Rhagii	127 (125)	127	1.0	82 (0)	82	1.0	1700	-0.00373536
Yhab159&Kazachstania&Solicola	36 (35)	48	1.33	50 (42)	50	1.0	1823	0.00675239
Yhmpu5000034877&Tetrapisispora&Namnaonensis	4 (2)	4	1.0	22 (0)	22	1.0	1883	-0.00237052
Spathaspora&Passalidarum	88 (82)	92	1.05	121 (0)	121	1.0	1700	-0.0114934
Saprochaete&Clavata	16 (2)	23	1.44	38 (0)	38	1.0	1855	-0.00725523
Yhmpu5000035335&Candida&Blattae	174 (158)	180	1.03	112 (0)	112	1.0	1623	0.00172401
Candida&Succiphila	38 (28)	42	1.11	136 (0)	136	1.0	1735	-0.0358451
Yhmpu5000041818&Magnusiomyces&Tetrasperma	269 (0)	278	1.03	39 (0)	39	1.0	1601	0.0842612
Ambrosiozyma&Monospora	99 (42)	124	1.25	83 (0)	83	1.0	1727	0.0108469
Yhmpu5000035645&Yarrowia&Divulgata	21 (17)	24	1.14	7 (0)	7	1.0	1881	0.00754256
Yhmpu5000041743&Candida&Hawaiiana	257 (230)	267	1.04	311 (0)	313	1.01	1341	-0.018605
Metschnikowia&Ipomoeae	382 (377)	442	1.16	181 (177)	188	1.04	1346	0.0231305
Yhab134&Kazachstania&Turicensis	21 (3)	23	1.1	48 (0)	49	1.02	1840	-0.00308886
Metschnikowia&Hamakuensis	374 (372)	415	1.11	114 (113)	115	1.01	1421	0.0247109
Saccharomycopsis&Malanga	24 (1)	26	1.08	27 (0)	27	1.0	1858	-0.00330436
Yhmpu5000034897&Ogataea&Glucozyma	98 (34)	105	1.07	71 (0)	71	1.0	1740	0.00682422
Priceomyces&Haplophilus	92 (89)	95	1.03	135 (0)	135	1.0	1682	-0.015157
Yhmpu5000041862&Candida&Golubevii	211 (196)	221	1.05	67 (0)	67	1.0	1631	0.0112061
Sugiyamaella&Lignohabitans	28 (0)	37	1.32	46 (0)	46	1.0	1835	-0.0275124
Clavispora&Lusitaniae	157 (151)	163	1.04	86 (0)	86	1.0	1666	-0.000646505
Yhmpu5000034885&Ogataea&Zsoltii	40 (31)	46	1.15	109 (0)	109	1.0	1760	-0.0157316
Yhmpu5000041822&Dipodascus&Geniculatus	12 (1)	14	1.17	30 (1)	31	1.03	1867	-0.00545938
Starmerella&Bombicola&Jcm9596	6 (1)	11	1.83	56 (0)	56	1.0	1847	-0.0122836
Yhmpu5000034607&Saccharomycopsis&Capsularis	28 (3)	28	1.0	29 (0)	29	1.0	1852	0.00294519
Metschnikowia&Hibisci	244 (242)	257	1.05	117 (0)	117	1.0	1548	0.00790173
Hanseniaspora&Uvarum	13 (11)	14	1.08	38 (0)	38	1.0	1858	0.00100567
Yhmpu5000034933&Kuraishia&Molischiana	30 (22)	36	1.2	35 (0)	35	1.0	1844	-0.00689606
Yhab147&Kazachstania&Taianensis	12 (2)	14	1.17	143 (0)	143	1.0	1754	-0.0395087
Ogataea&Polymorpha	22 (22)	23	1.05	106 (102)	106	1.0	1781	-0.0262194
Yhab154&Kazachstania&Transvaalensis	8 (2)	10	1.25	120 (0)	121	1.01	1781	-0.0292364
Yhmpu5000035684&Kloeckera&Hatyaiensis	9 (1)	9	1.0	27 (0)	27	1.0	1873	-0.00308886
Yhmpu5000041678&Debaryomyces&Prosopidis	173 (83)	181	1.05	158 (0)	159	1.01	1578	0.00739889
Yhmpu5000034760&Lipomyces&Kononenkoae	11 (0)	14	1.27	31 (0)	31	1.0	1867	-0.00840457
Yhmpu5000035297&Priceomyces&Castillae	109 (92)	113	1.04	115 (0)	115	1.0	1685	-0.00696789
Lachancea&Fermentati	5 (2)	6	1.2	52 (0)	52	1.0	1852	-0.0126428
Yhmpu5000034613&Saturnispora&Serradocipensis	92 (90)	130	1.41	166 (166)	170	1.02	1651	0.00114934
Yhmpu5000035301&Pichia&Terricola	84 (63)	94	1.12	47 (0)	48	1.02	1778	-0.00258602
Saccharomyces&Kudriavzevii	6 (1)	6	1.0	179 (2)	181	1.01	1724	-0.0503556
Yhmpu5000041693&Debaryomyces&Nepalensis	99 (87)	102	1.03	208 (0)	208	1.0	1602	-0.0234897
Yhmpu5000035271&Wickerhamomyces&Bovis	21 (3)	24	1.14	96 (0)	96	1.0	1792	-0.0361325
Torulaspora&Delbrueckii	3 (2)	4	1.33	93 (0)	93	1.0	1813	-0.0244954
Yhmpu5000035640&Yamadazyma&Philogaea	73 (67)	73	1.0	180 (0)	180	1.0	1656	-0.0293801
Yhmpu5000026197&Brettanomyces&Custersianus	48 (39)	58	1.21	128 (0)	128	1.0	1733	-0.0247827
Yhmpu5000034637&Ogataea&Populiabae	41 (34)	45	1.1	96 (0)	96	1.0	1772	-0.0200417
Candida&Infanticola	14 (0)	15	1.07	150 (0)	151	1.01	1745	-0.0487034
Candida&Boidinii&Jcm9604	56 (29)	63	1.13	174 (0)	179	1.03	1679	-0.141513
Zygosaccharomyces&Rouxii	9 (1)	9	1.0	101 (0)	102	1.01	1799	-0.0258602
Yhmpu5000034761&Lipomyces&Lipofer	77 (0)	86	1.12	29 (0)	29	1.0	1803	0.0306731
Yhmpu5000034999&Cephaloascus&Fragrans	43 (30)	46	1.07	60 (0)	60	1.0	1806	-0.00984125
Yhmpu5000034604&Sporopachydermia&Lactativora	11 (0)	11	1.0	24 (0)	24	1.0	1874	-0.00143668
Yhmpu5000034988&Candida&Fructus	154 (135)	160	1.04	99 (0)	99	1.0	1656	-0.00258602
Yhmpu5000035667&Kurtzmaniella&Cleridarum	102 (91)	103	1.01	43 (0)	43	1.0	1764	0.000431004
Saccharomyces&Arboricola	10 (2)	10	1.0	171 (1)	172	1.01	1728	-0.0440342
Wickerhamomyces&Anomalus	33 (2)	40	1.21	51 (0)	51	1.0	1825	-0.00316069
Candida&Glabrata	10 (3)	12	1.2	42 (0)	42	1.0	1857	-0.00725523
Yhmpu5000035296&Priceomyces&Carsonii	119 (93)	127	1.07	175 (0)	175	1.0	1615	-0.0106314
Yhmpu5000034610&Saturnispora&Hagleri	112 (110)	142	1.27	73 (73)	76	1.04	1724	0.00876374
Yhmpu5000035641&Yamadazyma&Scolyti	98 (77)	105	1.07	282 (0)	284	1.01	1529	-0.0402988
Ambrosiozyma&Kashinagacola	43 (36)	46	1.07	74 (0)	75	1.01	1792	-0.0122118
Yhmpu5000034623&Pichia&Norvegensis	75 (46)	80	1.07	130 (0)	130	1.0	1704	-0.015588
Yhmpu5000034749&Lipomyces&Mesembrius	5 (1)	6	1.2	23 (1)	27	1.17	1881	-0.019467
Lachancea&Mirantina	10 (1)	12	1.2	120 (0)	120	1.0	1779	-0.0374973
Yhmpu5000034671&Blastobotrys&Peoriensis	10 (1)	21	2.1	27 (0)	27	1.0	1872	0.00538754
Metschnikowia&Shivogae	220 (220)	225	1.02	64 (63)	64	1.0	1625	0.00890741
Candida&Arabinofermentans	32 (25)	33	1.03	120 (0)	122	1.02	1757	-0.0286617
Yhmpu5000034974&Deakozyma&Indianensis	8 (1)	11	1.38	58 (0)	58	1.0	1843	-0.00933841
Kuraishia&Capsulata	29 (17)	33	1.14	43 (0)	43	1.0	1837	-0.00308886
Yhmpu5000034978&Cyberlindnera&Mrakii	9 (3)	12	1.33	61 (0)	61	1.0	1839	-0.0105596
Yhmpu5000034891&Ogataea&Pini	35 (28)	37	1.06	48 (0)	48	1.0	1826	-0.0102723
Yhmpu5000035318&Hyphopichia&Heimii	133 (129)	140	1.05	50 (0)	50	1.0	1726	0.00725523
Yhab132&Kazachstania&Martiniae	42 (8)	52	1.24	152 (0)	152	1.0	1715	-0.0255729
Yhmpu5000041840&Candida&Wancherniae	185 (168)	194	1.05	236 (0)	236	1.0	1488	-0.0236334
Yhmpu5000035695&Hanseniaspora&Pseudoguilliermondii	5 (0)	5	1.0	35 (0)	35	1.0	1869	-0.00538754
Eremothecium&Coryli	4 (2)	5	1.25	45 (0)	46	1.02	1860	-0.0132893
Yhmpu5000035011&Candida&Pyralidae	99 (87)	102	1.03	175 (0)	176	1.01	1635	-0.0234179
Yhmpu5000034673&Blastobotrys&Nivea	111 (4)	132	1.19	53 (0)	54	1.02	1745	0.0187487
Pichia&Membranifaciens	61 (51)	67	1.1	205 (1)	206	1.0	1643	-0.0401552
Yhmpu5000034998&Cephaloascus&Albidus	68 (30)	74	1.09	87 (0)	87	1.0	1754	-0.000933841
Yhab166&Kazachstania&Yakushimaensis	52 (10)	67	1.29	39 (0)	39	1.0	1818	0.00373536
Yhmpu5000035261&Candida&Ponderosae	53 (1)	59	1.11	154 (0)	155	1.01	1702	-0.0669492
Kazachstania&Africana	30 (5)	35	1.17	86 (0)	86	1.0	1793	-0.0157316
Yhmpu5000034892&Ogataea&Pilisensis	47 (32)	54	1.15	55 (0)	55	1.0	1807	-0.00553121
Yhmpu5000034660&Diddensiella&Caesifluorescens	15 (0)	20	1.33	78 (0)	78	1.0	1816	-0.020329
Alloascoidea&Hylecoeti	237 (6)	303	1.28	772 (0)	773	1.0	900	-0.439983
Metschnikowia&Similis	288 (283)	345	1.2	153 (152)	155	1.01	1468	0.0201135
Wickerhamiella&Domercqiae	10 (1)	12	1.2	198 (0)	198	1.0	1701	-0.0446089
Metschnikowia&Kipukae	260 (229)	277	1.07	303 (4)	307	1.01	1346	-0.0160908
Yhmpu5000034973&Danielozyma&Ontarioensis	123 (109)	124	1.01	210 (0)	210	1.0	1576	-0.0322534
Yhmpu5000026274&Komagataella&Populi	14 (14)	14	1.0	19 (18)	19	1.0	1876	-0.00344803
Tetrapisispora&Blattae	18 (4)	28	1.56	40 (0)	40	1.0	1851	-7.18339e-05
Lodderomyces&Elongisporus	110 (89)	112	1.02	59 (1)	61	1.03	1740	-0.00567488
Yhmpu5000026137&Ambrosiozyma&Ambrosiae	41 (34)	46	1.12	58 (3)	62	1.07	1810	-0.0158753
Lachancea&Fantastica	6 (5)	6	1.0	33 (0)	33	1.0	1870	-0.00553121
Yarrowia&Lipolytica	3 (0)	3	1.0	18 (1)	19	1.06	1888	-0.000287336
Yhmpu5000035047&Barnettozyma&Pratensis	17 (1)	18	1.06	77 (0)	77	1.0	1815	-0.0114216
Lachancea&Dasiensis	14 (0)	14	1.0	80 (0)	80	1.0	1815	-0.021622
Yhmpu5000035703&Cyberlindnera&Americana	11 (1)	13	1.18	41 (0)	41	1.0	1857	-0.0114934
Yhmpu5000034605&Spencermartinsiella&Europaea	34 (0)	47	1.38	62 (0)	62	1.0	1813	-0.0108469
Yhmpu5000034952&Citeromyces&Siamensis	552 (58)	630	1.14	60 (0)	60	1.0	1297	0.163279
Zygosaccharomyces&Bailii	8 (1)	8	1.0	66 (0)	66	1.0	1835	-0.0182458
Yhmpu5000034963&Hanseniaspora&Clermontiae	7 (6)	10	1.43	38 (0)	38	1.0	1864	-0.00351986
Kluyveromyces&Marxianus	8 (2)	18	2.25	55 (0)	55	1.0	1846	-0.00459737
Yhmpu5000034950&Citeromyces&Hawaiiensis	55 (18)	64	1.16	84 (2)	86	1.02	1770	-0.0135766
Yhmpu5000035032&Candida&Gatunensis	86 (84)	89	1.03	222 (0)	222	1.0	1601	-0.0289491
Tortispora&Caseinolytica	2 (0)	2	1.0	95 (0)	95	1.0	1812	-0.021191
Yhmpu5000035022&Candida&Emberorum	104 (102)	105	1.01	113 (0)	113	1.0	1692	-0.0119963
Candida&Homilentoma	128 (112)	130	1.02	82 (0)	83	1.01	1699	-0.00474104
Wickerhamia&Fluorescens	104 (92)	106	1.02	162 (0)	164	1.01	1643	-0.0321098
Yhmpu5000034881&Torulaspora&Pretoriensis	168 (158)	172	1.02	41 (0)	41	1.0	1700	0.0512176
Lachancea&Thermotolerans	4 (1)	4	1.0	36 (0)	36	1.0	1869	-0.00775806
Scheffersomyces&Stipitis	113 (99)	116	1.03	64 (0)	64	1.0	1732	-0.000287336
Lipomyces&Starkeyi	10 (1)	11	1.1	18 (0)	18	1.0	1881	0.00481287
Spathaspora&Hagerdaliae	115 (110)	122	1.06	77 (0)	77	1.0	1717	0.00998491
Yhmpu5000035689&Candida&Mycetangii	17 (2)	17	1.0	66 (0)	66	1.0	1826	-0.014726
Yhmpu5000035629&Yueomyces&Sinensis	16 (3)	18	1.13	84 (0)	84	1.0	1809	-0.0179585
Yhmpu5000034674&Blastobotrys&Muscicola	24 (3)	44	1.83	119 (0)	121	1.02	1766	-0.0476259
Yhmpu5000035252&Yamadazyma&Nakazawae	91 (76)	96	1.05	94 (0)	94	1.0	1724	-0.0076144
Metschnikowia&Cerradonensis	444 (439)	530	1.19	154 (152)	162	1.05	1311	0.0316788
Yhmpu5000026142&Citeromyces&Matritensis	72 (22)	95	1.32	93 (2)	96	1.03	1744	0.00553121
Yhmpu5000034883&Peterozyma&Xylosa	22 (16)	22	1.0	37 (0)	37	1.0	1850	-0.00589038
Yhmpu5000035650&Trigonopsis&Variabilis	16 (0)	18	1.13	41 (0)	41	1.0	1852	-0.00538754
Yhab153&Kazachstania&Rosinii	16 (2)	16	1.0	69 (0)	69	1.0	1824	-0.0117808
Yhmpu5000035268&Wickerhamomyces&Hampshirensis	34 (4)	42	1.24	118 (0)	118	1.0	1757	-0.0284462
Sporopachydermia&Quercuum	15 (0)	18	1.2	20 (0)	20	1.0	1874	-0.00337619
Yhmpu5000035242&Zygoascus&Ofunaensis	17 (0)	18	1.06	56 (0)	56	1.0	1836	-0.0146541
Scheffersomyces&Lignosus	119 (98)	121	1.02	48 (0)	48	1.0	1742	0.00639322
Metschnikowia&Borealis	416 (411)	466	1.12	172 (168)	176	1.02	1321	0.0244235
Yhmpu5000041833&Candida&Tammaniensis	110 (89)	118	1.07	120 (1)	121	1.01	1679	-0.0146541
Yhmpu5000035681&Candida&Gotoi	136 (122)	139	1.02	99 (0)	99	1.0	1674	0
Yhmpu5000035302&Candida&Fragi	97 (76)	101	1.04	109 (0)	109	1.0	1703	-0.00143668
Yhmpu5000034629&Pichia&Exigua	58 (53)	61	1.05	162 (2)	164	1.01	1689	-0.0283744
Candida&Orthopsilosis	70 (66)	71	1.01	89 (2)	91	1.02	1750	-0.00976941
Metschnikowia&Drakensbergensis	230 (230)	237	1.03	140 (140)	141	1.01	1539	0.00905107
Yhmpu5000034648&Candida&Restingae	97 (88)	103	1.06	68 (0)	68	1.0	1744	-0.00244235
Candida&Sojae	123 (88)	128	1.04	229 (6)	235	1.03	1557	-0.0521514
Hyphopichia&Burtonii	109 (99)	111	1.02	206 (0)	207	1.0	1594	-0.0287336
Yhmpu5000035282&Trigonopsis&Vinaria	20 (0)	23	1.15	30 (0)	30	1.0	1859	-0.00962575
Yhmpu5000035286&Candida&Azyma	7 (6)	7	1.0	29 (0)	29	1.0	1873	-0.00495654
Lachancea&Kluyveri	22 (2)	27	1.23	80 (0)	80	1.0	1807	-0.0284462
Vanderwaltozyma&Polyspora	48 (5)	54	1.13	51 (0)	51	1.0	1810	0.00186768
Yhmpu5000034876&Tetrapisispora&Iriomotensis	70 (3)	71	1.01	66 (0)	66	1.0	1773	0.00294519
Yhmpu5000034669&Blastobotrys&Raffinofermentans	33 (2)	35	1.06	15 (0)	15	1.0	1861	0.0106314
Yhmpu5000035672&Phaffomyces&Thermotolerans	8 (8)	9	1.13	55 (0)	55	1.0	1846	-0.0115653
Spathaspora&Arborariae	91 (83)	92	1.01	110 (3)	113	1.03	1708	-0.00747073
Yhab143&Kazachstania&Siamensis	15 (2)	16	1.07	116 (0)	116	1.0	1778	-0.0258602
Pachysolen&Tannophilus	41 (12)	43	1.05	122 (0)	122	1.0	1746	-0.04152
Candida&Tropicalis	119 (98)	125	1.05	68 (0)	68	1.0	1722	0.00531571
Yhmpu5000035044&Barnettozyma&Californica	22 (5)	26	1.18	42 (0)	42	1.0	1845	-0.00603405
Yhmpu5000035243&Zygoascus&Meyerae	20 (0)	24	1.2	49 (0)	49	1.0	1840	-0.00862007
Yhmpu5000034612&Saturnispora&Saitoi	99 (80)	114	1.15	138 (3)	142	1.03	1672	-0.0130738
Yhmpu5000034887&Ogataea&Trehaloabstinens	50 (36)	61	1.22	66 (0)	66	1.0	1793	-0.00366353
Lachancea&Quebecensis	5 (1)	5	1.0	64 (0)	64	1.0	1840	-0.0165936
Yhmpu5000034758&Lipomyces&Japonicus	20 (0)	20	1.0	37 (0)	37	1.0	1852	-0.0192515
Yhmpu5000035244&Candida&Incommunis	18 (0)	19	1.06	43 (0)	43	1.0	1848	-0.00675239
