	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041743_Candida_hawaiiana
10	OG0000010	YBL068W, YER099C, YHL011C, YOL061W	augustus_masked-flattened_line_0-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.63&CDS=1-957, augustus_masked-flattened_line_6-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.128&CDS=1-1167, augustus_masked-flattened_line_66-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.38&CDS=1-969
11	OG0000011	YBR015C, YJL186W	augustus_masked-flattened_line_0-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.15&CDS=1-1983, augustus_masked-flattened_line_0-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.68&CDS=1-2133, augustus_masked-flattened_line_10-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.51&CDS=1-1629, augustus_masked-flattened_line_12-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.73&CDS=1-2067, augustus_masked-flattened_line_14-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.129&CDS=1-1926
12	OG0000012	YBR028C, YPL150W, YPL203W	augustus_masked-flattened_line_0-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.9&CDS=1-1167, augustus_masked-flattened_line_2-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.14&CDS=1-1350, augustus_masked-flattened_line_6-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.41&CDS=1-1341, augustus_masked-flattened_line_8-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.67&CDS=1-2664
13	OG0000013	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	augustus_masked-flattened_line_18-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.34&CDS=1-1665, genemark-flattened_line_4-processed-gene-2.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.98&CDS=1-1671
14	OG0000014	YLR343W, YMR307W, YOL030W	augustus_masked-flattened_line_0-processed-gene-9.201-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.201&CDS=1-1620, augustus_masked-flattened_line_10-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.52&CDS=1-1644, augustus_masked-flattened_line_18-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.39&CDS=1-1503, augustus_masked-flattened_line_24-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.50&CDS=1-1383
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_14-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.68&CDS=1-1389
16	OG0000016	YBR189W, YBR191W, YPL079W, YPL081W	augustus_masked-flattened_line_56-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.107&CDS=1-480, genemark-flattened_line_4-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.42&CDS=1-1035
17	OG0000017	YBR205W, YJL139C, YKR061W, YOR099W	augustus_masked-flattened_line_2-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.56&CDS=1-1338, maker-flattened_line_16-snap-gene-4.151-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-4.151&CDS=1-2415
18	OG0000018	YBR245C, YFR038W, YOR304W	augustus_masked-flattened_line_2-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-9.165&CDS=1-3048, augustus_masked-flattened_line_26-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.72&CDS=1-3108, maker-flattened_line_18-snap-gene-2.84-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.84&CDS=1-2655
19	OG0000019	YCR010C, YNR002C	augustus_masked-flattened_line_0-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.81&CDS=1-765, augustus_masked-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.108&CDS=1-768, augustus_masked-flattened_line_50-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.55&CDS=1-792, augustus_masked-flattened_line_8-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.100&CDS=1-768
20	OG0000020	YCR105W, YMR318C, YPL215W	augustus_masked-flattened_line_18-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.8&CDS=1-1086, augustus_masked-flattened_line_58-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.59&CDS=1-1083, maker-flattened_line_16-augustus-gene-3.83-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-3.83&CDS=1-2121
21	OG0000021	YDL025C, YNL183C, YOR267C	augustus_masked-flattened_line_4-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.23&CDS=1-2415, genemark-flattened_line_0-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.61&CDS=1-2100, maker-flattened_line_6-snap-gene-2.138-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-2.138&CDS=1-1728
22	OG0000022	YDL229W, YLL024C, YNL209W	augustus_masked-flattened_line_10-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.93&CDS=1-1932, augustus_masked-flattened_line_6-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.101&CDS=1-1839, augustus_masked-flattened_line_8-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.126&CDS=1-1923
23	OG0000023	YDL230W, YER075C, YOR208W	augustus_masked-flattened_line_36-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.140&CDS=1-2829, genemark-flattened_line_14-processed-gene-2.63-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.63&CDS=1-1869, snap_masked-flattened_line_6-processed-gene-1.10-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.10&CDS=1-588
24	OG0000024	YIL107C, YJL155C, YOL136C	augustus_masked-flattened_line_6-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.123&CDS=1-1362, augustus_masked-flattened_line_6-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.107&CDS=1-882, augustus_masked-flattened_line_8-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.85&CDS=1-2886
25	OG0000025	YIL126W, YKR008W, YOR290C	augustus_masked-flattened_line_12-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.83&CDS=1-1725, augustus_masked-flattened_line_30-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.93&CDS=1-3879, genemark-flattened_line_14-processed-gene-5.101-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-5.101&CDS=1-6150
26	OG0000026	YLL005C, YMR266W, YOL084W	augustus_masked-flattened_line_58-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.38&CDS=1-2565, genemark-flattened_line_62-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.6&CDS=1-2661, snap_masked-flattened_line_18-processed-gene-3.225-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.225&CDS=1-1944
27	OG0000027	YML111W, YMR275C, YNR068C, YNR069C	augustus_masked-flattened_line_14-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.92&CDS=1-2727, augustus_masked-flattened_line_52-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.38&CDS=1-2679
28	OG0000028		augustus_masked-flattened_line_0-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.82&CDS=1-3372, augustus_masked-flattened_line_12-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.26&CDS=1-3330, augustus_masked-flattened_line_2-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.80&CDS=1-2508, augustus_masked-flattened_line_22-processed-gene-2.209-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.209&CDS=1-2316, augustus_masked-flattened_line_4-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.68&CDS=1-2727, genemark-flattened_line_12-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.74&CDS=1-3375
29	OG0000029	YAL053W, YGL139W, YPL221W	augustus_masked-flattened_line_2-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.91&CDS=1-2316, augustus_masked-flattened_line_36-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.118&CDS=1-2274
30	OG0000030	YBL016W, YHR030C	genemark-flattened_line_16-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.29&CDS=1-1491, genemark-flattened_line_22-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.89&CDS=1-1095, maker-flattened_line_38-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.2&CDS=1-1743
31	OG0000031	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_20-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.72&CDS=1-4404
32	OG0000032	YBL056W, YBR125C, YER089C	augustus_masked-flattened_line_4-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.69&CDS=1-1479, genemark-flattened_line_0-processed-gene-6.65-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.65&CDS=1-1005
33	OG0000033	YBL089W, YER119C, YIL088C	augustus_masked-flattened_line_10-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.48&CDS=1-1401, augustus_masked-flattened_line_68-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.22&CDS=1-1305
34	OG0000034	YBL104C, YCL024W, YDR507C	augustus_masked-flattened_line_14-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.75&CDS=1-9360, augustus_masked-flattened_line_24-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.51&CDS=1-3936
35	OG0000035	YBR010W, YNL031C	augustus_masked-flattened_line_10-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.70&CDS=1-408, augustus_masked-flattened_line_4-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.57&CDS=1-408, maker-flattened_line_20-augustus-gene-3.166-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-3.166&CDS=1-834
36	OG0000036	YBR038W, YNL192W	augustus_masked-flattened_line_0-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.77&CDS=1-3018, genemark-flattened_line_32-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.77&CDS=1-2922, snap_masked-flattened_line_44-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.118&CDS=1-3105
37	OG0000037	YBR062C, YDR143C	augustus_masked-flattened_line_12-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-5.117&CDS=1-1131, augustus_masked-flattened_line_18-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.60&CDS=1-1719, maker-flattened_line_2-snap-gene-8.158-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-8.158&CDS=1-618
38	OG0000038	YBR067C, YER011W, YIL011W, YOR010C	augustus_masked-flattened_line_32-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.163&CDS=1-459
39	OG0000039	YBR164C, YMR138W	augustus_masked-flattened_line_0-processed-gene-9.199-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.199&CDS=1-552, augustus_masked-flattened_line_4-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.75&CDS=1-555, augustus_masked-flattened_line_6-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.67&CDS=1-525
40	OG0000040	YBR207W, YER145C	augustus_masked-flattened_line_18-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.10&CDS=1-1230, augustus_masked-flattened_line_48-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.58&CDS=1-1173, augustus_masked-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.58&CDS=1-1218
41	OG0000041	YBR297W, YFL052W, YGR288W, YPR196W	maker-flattened_line_4-snap-gene-5.138-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-5.138&CDS=1-1746
42	OG0000042	YBR298C, YDL247W, YJR160C	augustus_masked-flattened_line_14-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.40&CDS=1-1641, augustus_masked-flattened_line_4-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.60&CDS=1-1722
43	OG0000043	YCL040W, YDR516C, YGL253W	augustus_masked-flattened_line_32-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.143&CDS=1-1449, augustus_masked-flattened_line_52-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.14&CDS=1-1398
44	OG0000044	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_2-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-9.120&CDS=1-2805, augustus_masked-flattened_line_62-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.64&CDS=1-2469
45	OG0000045	YCR065W, YIL131C, YNL068C	maker-flattened_line_44-snap-gene-0.157-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.157&CDS=1-2277, snap_masked-flattened_line_4-processed-gene-6.45-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.45&CDS=1-1482
46	OG0000046	YCR094W, YNL323W, YNR048W	augustus_masked-flattened_line_10-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.60&CDS=1-1191, augustus_masked-flattened_line_4-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.38&CDS=1-1278
47	OG0000047	YDL078C, YKL085W	augustus_masked-flattened_line_12-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.58&CDS=1-993, augustus_masked-flattened_line_14-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.46&CDS=1-1002, augustus_masked-flattened_line_8-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.71&CDS=1-1023
48	OG0000048	YDL127W, YDL179W, YNL289W	augustus_masked-flattened_line_12-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.28&CDS=1-861, augustus_masked-flattened_line_16-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.66&CDS=1-825
49	OG0000049	YDL155W, YGR108W, YPR119W	augustus_masked-flattened_line_0-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.9&CDS=1-1503, augustus_masked-flattened_line_24-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.134&CDS=1-1470
50	OG0000050	YDR011W, YOR153W	augustus_masked-flattened_line_16-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.0&CDS=1-4527, augustus_masked-flattened_line_2-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.32&CDS=1-4410, augustus_masked-flattened_line_8-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.89&CDS=1-4365
51	OG0000051	YDR021W, YJL138C, YKR059W	augustus_masked-flattened_line_32-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.126&CDS=1-1191, maker-flattened_line_16-snap-gene-4.150-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-4.150&CDS=1-2676
52	OG0000052	YDR107C, YER113C, YLR083C	genemark-flattened_line_52-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.94&CDS=1-2919, genemark-flattened_line_8-processed-gene-4.145-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.145&CDS=1-1911
53	OG0000053	YDR135C, YLL015W	augustus_masked-flattened_line_0-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.15&CDS=1-4656, augustus_masked-flattened_line_10-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.33&CDS=1-4491, genemark-flattened_line_16-processed-gene-4.99-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.99&CDS=1-7464
54	OG0000054	YDR155C, YDR304C	augustus_masked-flattened_line_0-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.32&CDS=1-336, augustus_masked-flattened_line_2-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.87&CDS=1-624, augustus_masked-flattened_line_4-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.61&CDS=1-540
