	OrthologID	Saccharomyces_cerevisiae	yHAB147_Kazachstania_taianensis
10	OG0000010	YER076C	augustus_masked-NODE_1_length_513399_cov_49.1939_ID_1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_513399_cov_49.1939_ID_1-processed-gene-0.66&CDS=1-699, augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.92&CDS=1-705, augustus_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.65&CDS=1-705, augustus_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-0.53&CDS=1-699, snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.44&CDS=1-765, snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.57&CDS=1-705
11	OG0000011	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_159_length_1931_cov_102.186_ID_317-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_159_length_1931_cov_102.186_ID_317-processed-gene-0.3&CDS=1-1101, augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-3.64&CDS=1-1530, genemark-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.155-mRNA-1_1&gene=genemark-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.155&CDS=1-1410
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
13	OG0000013	YDL066W, YLR175W	augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.86&CDS=1-1269, augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.101&CDS=1-1287, augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.3&CDS=1-1248, maker-NODE_28_length_166888_cov_52.9802_ID_55-augustus-gene-0.70-mRNA-1_1&gene=maker-NODE_28_length_166888_cov_52.9802_ID_55-augustus-gene-0.70&CDS=1-2640
14	OG0000014	YDL080C, YLR044C	augustus_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-4.93&CDS=1-1689, augustus_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-3.99&CDS=1-1728, augustus_masked-NODE_61_length_72959_cov_49.3036_ID_121-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_61_length_72959_cov_49.3036_ID_121-processed-gene-0.21&CDS=1-1692, genemark-NODE_35_length_125469_cov_53.12_ID_69-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_35_length_125469_cov_53.12_ID_69-processed-gene-0.11&CDS=1-1863
15	OG0000015	YER073W, YOR374W, YPL061W	augustus_masked-NODE_22_length_183421_cov_47.7453_ID_43-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_22_length_183421_cov_47.7453_ID_43-processed-gene-0.24&CDS=1-1554, maker-NODE_1_length_513399_cov_49.1939_ID_1-augustus-gene-1.44-mRNA-1_1&gene=maker-NODE_1_length_513399_cov_49.1939_ID_1-augustus-gene-1.44&CDS=1-2682, maker-NODE_6_length_412999_cov_51.6042_ID_11-augustus-gene-3.2-mRNA-1_1&gene=maker-NODE_6_length_412999_cov_51.6042_ID_11-augustus-gene-3.2&CDS=1-1929
16	OG0000016	YGR032W, YLR342W, YMR306W	genemark-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.19&CDS=1-2976, maker-NODE_69_length_59722_cov_54.5206_ID_137-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_69_length_59722_cov_54.5206_ID_137-augustus-gene-0.0&CDS=1-7230, maker-NODE_88_length_33916_cov_49.5596_ID_175-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_88_length_33916_cov_49.5596_ID_175-augustus-gene-0.50&CDS=1-6690
17	OG0000017	YJR077C, YPL088W	augustus_masked-NODE_117_length_10197_cov_74.6917_ID_233-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_117_length_10197_cov_74.6917_ID_233-processed-gene-0.9&CDS=1-1020, augustus_masked-NODE_1_length_513399_cov_49.1939_ID_1-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_1_length_513399_cov_49.1939_ID_1-processed-gene-3.51&CDS=1-1929, augustus_masked-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.69&CDS=1-1017, augustus_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.153&CDS=1-1017
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	maker-NODE_1_length_513399_cov_49.1939_ID_1-snap-gene-2.0-mRNA-1_1&gene=maker-NODE_1_length_513399_cov_49.1939_ID_1-snap-gene-2.0&CDS=1-7413, snap_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-2.76&CDS=1-909
19	OG0000019	YMR054W, YOR270C	augustus_masked-NODE_3_length_493441_cov_51.2922_ID_5-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-NODE_3_length_493441_cov_51.2922_ID_5-processed-gene-3.161&CDS=1-2535, augustus_masked-NODE_48_length_82966_cov_46.391_ID_95-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_48_length_82966_cov_46.391_ID_95-processed-gene-0.32&CDS=1-2643, augustus_masked-NODE_70_length_59312_cov_51.5395_ID_139-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_70_length_59312_cov_51.5395_ID_139-processed-gene-0.37&CDS=1-2571, genemark-NODE_70_length_59312_cov_51.5395_ID_139-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_70_length_59312_cov_51.5395_ID_139-processed-gene-0.0&CDS=1-2571
20	OG0000020	YNL284C	augustus_masked-NODE_39_length_112502_cov_56.693_ID_77-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_39_length_112502_cov_56.693_ID_77-processed-gene-0.6&CDS=1-2019, augustus_masked-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.69&CDS=1-1806, augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-2.53&CDS=1-1014, snap_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-1.122&CDS=1-2940, snap_masked-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_20_length_194204_cov_51.7851_ID_39-processed-gene-0.35&CDS=1-546
21	OG0000021	YAL005C, YER103W, YLL024C	augustus_masked-NODE_11_length_309691_cov_49.4167_ID_21-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_11_length_309691_cov_49.4167_ID_21-processed-gene-2.8&CDS=1-1965, augustus_masked-NODE_27_length_167687_cov_50.5639_ID_53-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_27_length_167687_cov_50.5639_ID_53-processed-gene-0.164&CDS=1-1923
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_56_length_76205_cov_56.1241_ID_111-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_56_length_76205_cov_56.1241_ID_111-processed-gene-0.77&CDS=1-5202
23	OG0000023	YBR009C, YNL030W	augustus_masked-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.15&CDS=1-309, augustus_masked-NODE_71_length_58823_cov_49.7722_ID_141-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_71_length_58823_cov_49.7722_ID_141-processed-gene-0.43&CDS=1-309, augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.6&CDS=1-309
24	OG0000024	YBR010W, YNL031C	augustus_masked-NODE_71_length_58823_cov_49.7722_ID_141-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_71_length_58823_cov_49.7722_ID_141-processed-gene-0.52&CDS=1-408, augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_78_length_41828_cov_49.5985_ID_155-processed-gene-0.12&CDS=1-408, genemark-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.57&CDS=1-408
25	OG0000025	YBR245C, YOR304W	augustus_masked-NODE_55_length_78215_cov_50.8461_ID_109-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_55_length_78215_cov_50.8461_ID_109-processed-gene-0.20&CDS=1-3072, augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-0.52&CDS=1-3273, maker-NODE_3_length_493441_cov_51.2922_ID_5-augustus-gene-3.4-mRNA-1_1&gene=maker-NODE_3_length_493441_cov_51.2922_ID_5-augustus-gene-3.4&CDS=1-4443
26	OG0000026	YCR048W, YNR019W	augustus_masked-NODE_12_length_288332_cov_50.4411_ID_23-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_12_length_288332_cov_50.4411_ID_23-processed-gene-0.107&CDS=1-1776, augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-0.106&CDS=1-2427, genemark-NODE_46_length_85149_cov_51.4354_ID_91-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_46_length_85149_cov_51.4354_ID_91-processed-gene-0.26&CDS=1-1773
27	OG0000027	YDL037C	genemark-NODE_213_length_725_cov_231.012_ID_425-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_213_length_725_cov_231.012_ID_425-processed-gene-0.2&CDS=1-678, genemark-NODE_63_length_72530_cov_54.8976_ID_125-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_63_length_72530_cov_54.8976_ID_125-processed-gene-0.10&CDS=1-2451, maker-NODE_20_length_194204_cov_51.7851_ID_39-snap-gene-0.190-mRNA-1_1&gene=maker-NODE_20_length_194204_cov_51.7851_ID_39-snap-gene-0.190&CDS=1-1569, maker-NODE_48_length_82966_cov_46.391_ID_95-snap-gene-0.95-mRNA-1_1&gene=maker-NODE_48_length_82966_cov_46.391_ID_95-snap-gene-0.95&CDS=1-2448
28	OG0000028	YDL040C, YDL042C, YOL068C	augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-1.138&CDS=1-4611, maker-NODE_76_length_42030_cov_43.6002_ID_151-augustus-gene-0.37-mRNA-1_1&gene=maker-NODE_76_length_42030_cov_43.6002_ID_151-augustus-gene-0.37&CDS=1-3075
29	OG0000029	YDR144C, YLR120C, YLR121C	genemark-NODE_52_length_79949_cov_52.3083_ID_103-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_52_length_79949_cov_52.3083_ID_103-processed-gene-0.74&CDS=1-1758, snap_masked-NODE_15_length_232496_cov_50.2277_ID_29-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_15_length_232496_cov_50.2277_ID_29-processed-gene-1.25&CDS=1-1734
30	OG0000030	YEL017W	augustus_masked-NODE_72_length_53086_cov_53.5728_ID_143-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_72_length_53086_cov_53.5728_ID_143-processed-gene-0.16&CDS=1-1047, augustus_masked-NODE_74_length_46542_cov_59.5212_ID_147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_74_length_46542_cov_59.5212_ID_147-processed-gene-0.2&CDS=1-3051, snap_masked-NODE_3_length_493441_cov_51.2922_ID_5-processed-gene-3.289-mRNA-1_1&gene=snap_masked-NODE_3_length_493441_cov_51.2922_ID_5-processed-gene-3.289&CDS=1-489, snap_masked-NODE_40_length_112464_cov_54.5919_ID_79-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_40_length_112464_cov_54.5919_ID_79-processed-gene-0.21&CDS=1-213
31	OG0000031	YER011W, YOR010C	augustus_masked-NODE_46_length_85149_cov_51.4354_ID_91-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_46_length_85149_cov_51.4354_ID_91-processed-gene-0.44&CDS=1-735, maker-NODE_5_length_452406_cov_49.1731_ID_9-snap-gene-3.9-mRNA-1_1&gene=maker-NODE_5_length_452406_cov_49.1731_ID_9-snap-gene-3.9&CDS=1-726, snap_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-3.202-mRNA-1_1&gene=snap_masked-NODE_5_length_452406_cov_49.1731_ID_9-processed-gene-3.202&CDS=1-804
