	OrthologID	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
10	OG0000010	genemark-scaffold_5-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.20&CDS=1-1389, snap_masked-scaffold_10-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.34&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
11	OG0000011	augustus_masked-scaffold_2-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.18&CDS=1-1662, augustus_masked-scaffold_4-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.38&CDS=1-1752, genemark-scaffold_2-processed-gene-24.164-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.164&CDS=1-1677, maker-scaffold_2-snap-gene-13.66-mRNA-1_1&gene=maker-scaffold_2-snap-gene-13.66&CDS=1-2988	YGR187C, YJL172W, YOL153C
12	OG0000012	maker-scaffold_1-snap-gene-0.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.3&CDS=1-222, maker-scaffold_2-snap-gene-15.104-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.104&CDS=1-207	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
13	OG0000013	augustus_masked-scaffold_1-processed-gene-22.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.66&CDS=1-2055, augustus_masked-scaffold_1-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.29&CDS=1-2730	YML111W, YMR275C, YNR068C, YNR069C
14	OG0000014	genemark-scaffold_1-processed-gene-13.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.35&CDS=1-1443, genemark-scaffold_1-processed-gene-42.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-42.75&CDS=1-1815, genemark-scaffold_2-processed-gene-10.6-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.6&CDS=1-1728, genemark-scaffold_4-processed-gene-18.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.45&CDS=1-1743	YDR338C, YHR032W
15	OG0000015	genemark-scaffold_1-processed-gene-41.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-41.73&CDS=1-1920, snap_masked-scaffold_6-processed-gene-6.81-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.81&CDS=1-1437	YER054C, YIL045W, YLR273C, YOR178C
16	OG0000016	augustus_masked-scaffold_2-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.21&CDS=1-1542, augustus_masked-scaffold_2-processed-gene-17.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.51&CDS=1-1755, augustus_masked-scaffold_2-processed-gene-17.52-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.52&CDS=1-2511, genemark-scaffold_4-processed-gene-0.52-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.52&CDS=1-3438, snap_masked-scaffold_2-processed-gene-21.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.89&CDS=1-2433	YER176W
17	OG0000017	genemark-scaffold_2-processed-gene-2.11-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.11&CDS=1-1404, genemark-scaffold_2-processed-gene-5.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.75&CDS=1-1305, genemark-scaffold_6-processed-gene-5.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.14&CDS=1-1311	YBL089W, YER119C, YIL088C
18	OG0000018	augustus_masked-scaffold_3-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.67&CDS=1-2082, genemark-scaffold_2-processed-gene-23.3-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.3&CDS=1-1374, maker-scaffold_2-snap-gene-19.96-mRNA-1_1&gene=maker-scaffold_2-snap-gene-19.96&CDS=1-2541	YBR118W, YKR084C, YPR080W
19	OG0000019	augustus_masked-scaffold_8-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.102&CDS=1-1161, genemark-scaffold_9-processed-gene-2.50-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.50&CDS=1-1839	YCL069W, YGR224W, YKR105C, YPR198W
20	OG0000020	augustus_masked-scaffold_3-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.103&CDS=1-3552, maker-scaffold_4-augustus-gene-11.73-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-11.73&CDS=1-1911, snap_masked-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.60&CDS=1-2961	YBR038W, YNL192W
21	OG0000021	augustus_masked-scaffold_4-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.41&CDS=1-1536, augustus_masked-scaffold_4-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.51&CDS=1-1671, genemark-scaffold_1-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.17&CDS=1-1545	YGR197C, YJR015W
22	OG0000022	augustus_masked-scaffold_1-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.31&CDS=1-2034, genemark-scaffold_6-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.103&CDS=1-1893	YMR006C, YMR008C, YOL011W
23	OG0000023	augustus_masked-scaffold_1-processed-gene-23.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.87&CDS=1-2184, genemark-scaffold_2-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.14&CDS=1-1659, genemark-scaffold_4-processed-gene-17.73-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.73&CDS=1-2016	YBR015C, YJL186W
24	OG0000024	augustus_masked-scaffold_3-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.82&CDS=1-5187, augustus_masked-scaffold_5-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.95&CDS=1-2196, genemark-scaffold_1-processed-gene-32.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.16&CDS=1-2067, snap_masked-scaffold_2-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.65&CDS=1-1920, snap_masked-scaffold_2-processed-gene-9.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.49&CDS=1-2139	
25	OG0000025	genemark-scaffold_1-processed-gene-35.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-35.79&CDS=1-2970, genemark-scaffold_6-processed-gene-3.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.18&CDS=1-3099	YIL002C, YNL106C, YOR109W
26	OG0000026	genemark-scaffold_3-processed-gene-12.69-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.69&CDS=1-981, snap_masked-scaffold_1-processed-gene-45.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-45.81&CDS=1-1119	YNL283C, YOL105C, YOR008C
27	OG0000027	augustus_masked-scaffold_1-processed-gene-46.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-46.46&CDS=1-3360, genemark-scaffold_2-processed-gene-19.5-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.5&CDS=1-2664, genemark-scaffold_3-processed-gene-18.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-18.17&CDS=1-2790	YKR064W, YLR256W
28	OG0000028	genemark-scaffold_1-processed-gene-47.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-47.85&CDS=1-702	YDR533C, YMR322C, YOR391C, YPL280W
29	OG0000029	genemark-scaffold_1-processed-gene-49.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-49.21&CDS=1-1173, genemark-scaffold_2-processed-gene-20.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.60&CDS=1-1155, genemark-scaffold_2-processed-gene-23.0-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.0&CDS=1-1176	YBR207W, YER145C
30	OG0000030	genemark-scaffold_1-processed-gene-50.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-50.23&CDS=1-1635, genemark-scaffold_4-processed-gene-8.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.56&CDS=1-1656	YDR342C, YDR343C, YHR092C
31	OG0000031	genemark-scaffold_1-processed-gene-50.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-50.28&CDS=1-1626, genemark-scaffold_2-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.22&CDS=1-1632, genemark-scaffold_4-processed-gene-4.76-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.76&CDS=1-1629	YLR343W, YMR307W
32	OG0000032	genemark-scaffold_1-processed-gene-51.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-51.113&CDS=1-2823, genemark-scaffold_6-processed-gene-4.90-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.90&CDS=1-2535	YCR037C, YJL198W, YNR013C
33	OG0000033	genemark-scaffold_2-processed-gene-7.6-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.6&CDS=1-1197, genemark-scaffold_4-processed-gene-9.9-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.9&CDS=1-1263	YCR094W, YNL323W, YNR048W
34	OG0000034	genemark-scaffold_2-processed-gene-14.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.8&CDS=1-3255, snap_masked-scaffold_2-processed-gene-8.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.4&CDS=1-3252	YDR038C, YDR039C, YDR040C
35	OG0000035	genemark-scaffold_4-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.61&CDS=1-4626, snap_masked-scaffold_2-processed-gene-8.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.24&CDS=1-4479, snap_masked-scaffold_7-processed-gene-1.29-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.29&CDS=1-4806	YDR135C, YLL015W
36	OG0000036	maker-scaffold_2-snap-gene-10.55-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.55&CDS=1-4968, snap_masked-scaffold_3-processed-gene-20.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.82&CDS=1-3645	YML072C, YNL087W, YOR086C
37	OG0000037	genemark-scaffold_2-processed-gene-11.10-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.10&CDS=1-1044, genemark-scaffold_2-processed-gene-22.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.81&CDS=1-1044, genemark-scaffold_3-processed-gene-8.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.9&CDS=1-1215	YMR303C, YOL086C
38	OG0000038	augustus_masked-scaffold_2-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.44&CDS=1-1884	YBR297W, YFL052W, YGR288W, YPR196W
39	OG0000039	genemark-scaffold_2-processed-gene-17.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.38&CDS=1-1515, genemark-scaffold_2-processed-gene-19.29-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.29&CDS=1-1542, snap_masked-scaffold_5-processed-gene-5.119-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.119&CDS=1-1563	YJR152W, YLR004C
40	OG0000040	genemark-scaffold_9-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.7&CDS=1-1554, maker-scaffold_2-snap-gene-24.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-24.2&CDS=1-3018	YDR144C, YLR120C, YLR121C
41	OG0000041	genemark-scaffold_2-processed-gene-24.147-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.147&CDS=1-891, genemark-scaffold_3-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.14&CDS=1-1278, snap_masked-scaffold_3-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.72&CDS=1-705	YCL036W, YDR514C
42	OG0000042	augustus_masked-scaffold_2-processed-gene-24.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-24.41&CDS=1-5166, genemark-scaffold_2-processed-gene-24.152-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.152&CDS=1-876, genemark-scaffold_7-processed-gene-5.61-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.61&CDS=1-867	YDR368W, YOR120W
43	OG0000043	augustus_masked-scaffold_3-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.45&CDS=1-306, augustus_masked-scaffold_3-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.46&CDS=1-1257, maker-scaffold_3-snap-gene-23.94-mRNA-1_1&gene=maker-scaffold_3-snap-gene-23.94&CDS=1-2283	YHR206W, YOR140W
44	OG0000044	genemark-scaffold_3-processed-gene-15.51-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-15.51&CDS=1-2967, snap_masked-scaffold_5-processed-gene-7.54-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.54&CDS=1-2526	YDR385W, YKL173W, YOR133W
45	OG0000045	snap_masked-scaffold_4-processed-gene-13.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.39&CDS=1-4971	YBL017C, YIL173W, YJL222W, YNR065C
46	OG0000046		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
47	OG0000047	genemark-scaffold_6-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.16&CDS=1-2235, snap_masked-scaffold_1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.42&CDS=1-1734	YER130C, YKL062W
48	OG0000048	genemark-scaffold_1-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.15&CDS=1-2022, genemark-scaffold_2-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.29&CDS=1-3666	YER129W, YGL179C
49	OG0000049	genemark-scaffold_1-processed-gene-25.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.76&CDS=1-2607, maker-scaffold_1-snap-gene-2.24-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.24&CDS=1-3702	YGL012W, YGL247W
50	OG0000050	augustus_masked-scaffold_1-processed-gene-51.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-51.61&CDS=1-1353, genemark-scaffold_1-processed-gene-3.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.4&CDS=1-612	YBR109C, YOR257W
51	OG0000051	genemark-scaffold_3-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.11&CDS=1-2256, snap_masked-scaffold_1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.36&CDS=1-2355	YAL023C, YGR199W
52	OG0000052	genemark-scaffold_1-processed-gene-4.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.54&CDS=1-2811, maker-scaffold_1-snap-gene-11.53-mRNA-1_1&gene=maker-scaffold_1-snap-gene-11.53&CDS=1-1680	YBR237W, YNL112W
53	OG0000053	maker-scaffold_1-snap-gene-7.22-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.22&CDS=1-1035, snap_masked-scaffold_1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.61&CDS=1-720	YGL044C, YGR156W
54	OG0000054	genemark-scaffold_2-processed-gene-11.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.9&CDS=1-2958, maker-scaffold_1-augustus-gene-7.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.1&CDS=1-2931	YEL015W, YGL216W
55	OG0000055	snap_masked-scaffold_1-processed-gene-8.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.69&CDS=1-1869	YBL068W-A, YBL069W, YER101C
56	OG0000056	genemark-scaffold_1-processed-gene-8.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.94&CDS=1-1410, genemark-scaffold_4-processed-gene-11.59-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-11.59&CDS=1-1467	YBR263W, YLR058C
