	OrthologID	Saccharomyces_cerevisiae	yHAB143_Kazachstania_siamensis
10	OG0000010	YER056C, YER060W, YER060W-A	augustus_masked-NODE_25_length_123220_cov_14.2946_ID_49-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_25_length_123220_cov_14.2946_ID_49-processed-gene-0.13&CDS=1-1602, augustus_masked-NODE_25_length_123220_cov_14.2946_ID_49-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_25_length_123220_cov_14.2946_ID_49-processed-gene-0.44&CDS=1-1578, augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-3.64&CDS=1-2976
11	OG0000011	YER073W, YOR374W, YPL061W	augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.143&CDS=1-1551, maker-NODE_14_length_164049_cov_14.7284_ID_27-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_14_length_164049_cov_14.7284_ID_27-snap-gene-0.4&CDS=1-1929, maker-NODE_50_length_75985_cov_16.1389_ID_99-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_50_length_75985_cov_16.1389_ID_99-augustus-gene-0.34&CDS=1-3036
12	OG0000012	YGR032W, YLR342W, YMR306W	augustus_masked-NODE_19_length_142802_cov_14.3013_ID_37-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_19_length_142802_cov_14.3013_ID_37-processed-gene-0.73&CDS=1-7365, augustus_masked-NODE_32_length_109869_cov_15.2831_ID_63-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_32_length_109869_cov_15.2831_ID_63-processed-gene-0.105&CDS=1-5586, snap_masked-NODE_78_length_47786_cov_17.4094_ID_155-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_78_length_47786_cov_17.4094_ID_155-processed-gene-0.38&CDS=1-3423
13	OG0000013	YGR192C, YJR009C	augustus_masked-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.32&CDS=1-993, augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-2.50&CDS=1-993, augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.150&CDS=1-993, augustus_masked-NODE_93_length_36939_cov_16.8779_ID_185-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_93_length_36939_cov_16.8779_ID_185-processed-gene-0.21&CDS=1-996
14	OG0000014	YGR197C, YJR015W	augustus_masked-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.17&CDS=1-1614, augustus_masked-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.6&CDS=1-1731, genemark-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.36&CDS=1-1578, maker-NODE_51_length_75264_cov_14.8651_ID_101-snap-gene-0.72-mRNA-1_1&gene=maker-NODE_51_length_75264_cov_14.8651_ID_101-snap-gene-0.72&CDS=1-3048
15	OG0000015	YHR179W, YPL171C	augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.159&CDS=1-1194, augustus_masked-NODE_52_length_74187_cov_16.7218_ID_103-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_52_length_74187_cov_16.7218_ID_103-processed-gene-0.73&CDS=1-1191, augustus_masked-NODE_67_length_56424_cov_15.5177_ID_133-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_67_length_56424_cov_15.5177_ID_133-processed-gene-0.32&CDS=1-1200, augustus_masked-NODE_7_length_211855_cov_14.8536_ID_13-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_7_length_211855_cov_14.8536_ID_13-processed-gene-1.125&CDS=1-1200
16	OG0000016	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_89_length_39340_cov_18.4173_ID_177-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_89_length_39340_cov_18.4173_ID_177-processed-gene-0.23&CDS=1-1722
17	OG0000017	YOL151W	augustus_masked-NODE_120_length_24646_cov_14.3756_ID_239-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_120_length_24646_cov_14.3756_ID_239-processed-gene-0.0&CDS=1-1035, augustus_masked-NODE_12_length_172573_cov_15.0411_ID_23-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-NODE_12_length_172573_cov_15.0411_ID_23-processed-gene-0.171&CDS=1-1035, augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.149&CDS=1-1029, augustus_masked-NODE_97_length_34869_cov_14.6066_ID_193-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_97_length_34869_cov_14.6066_ID_193-processed-gene-0.46&CDS=1-1035, snap_masked-NODE_138_length_14188_cov_19.7497_ID_275-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_138_length_14188_cov_19.7497_ID_275-processed-gene-0.4&CDS=1-1098
18	OG0000018	Q0105, Q0110, Q0115, Q0120	maker-NODE_77_length_47925_cov_257.228_ID_153-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_77_length_47925_cov_257.228_ID_153-snap-gene-0.41&CDS=1-816, snap_masked-NODE_77_length_47925_cov_257.228_ID_153-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_77_length_47925_cov_257.228_ID_153-processed-gene-0.53&CDS=1-285
19	OG0000019	YAR066W, YHR214W, YIL169C, YOL155C	snap_masked-NODE_55_length_71145_cov_14.8727_ID_109-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_55_length_71145_cov_14.8727_ID_109-processed-gene-0.9&CDS=1-4779
20	OG0000020	YBL005W, YGL013C	augustus_masked-NODE_56_length_70192_cov_17.8046_ID_111-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_56_length_70192_cov_17.8046_ID_111-processed-gene-0.16&CDS=1-3411, snap_masked-NODE_6_length_218814_cov_14.6454_ID_11-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_6_length_218814_cov_14.6454_ID_11-processed-gene-1.6&CDS=1-3297, snap_masked-NODE_6_length_218814_cov_14.6454_ID_11-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NODE_6_length_218814_cov_14.6454_ID_11-processed-gene-1.7&CDS=1-3429
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_21_length_129772_cov_14.491_ID_41-processed-gene-0.172-mRNA-1_1&gene=genemark-NODE_21_length_129772_cov_14.491_ID_41-processed-gene-0.172&CDS=1-4950
22	OG0000022	YBR015C, YJL186W	augustus_masked-NODE_14_length_164049_cov_14.7284_ID_27-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_14_length_164049_cov_14.7284_ID_27-processed-gene-0.98&CDS=1-1830, augustus_masked-NODE_47_length_80629_cov_16.1402_ID_93-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_47_length_80629_cov_16.1402_ID_93-processed-gene-0.34&CDS=1-1506, augustus_masked-NODE_47_length_80629_cov_16.1402_ID_93-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_47_length_80629_cov_16.1402_ID_93-processed-gene-0.35&CDS=1-1797
23	OG0000023	YBR245C, YOR304W	augustus_masked-NODE_120_length_24646_cov_14.3756_ID_239-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_120_length_24646_cov_14.3756_ID_239-processed-gene-0.3&CDS=1-3168, augustus_masked-NODE_8_length_202031_cov_14.9792_ID_15-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_8_length_202031_cov_14.9792_ID_15-processed-gene-0.9&CDS=1-3360, maker-NODE_7_length_211855_cov_14.8536_ID_13-augustus-gene-1.203-mRNA-1_1&gene=maker-NODE_7_length_211855_cov_14.8536_ID_13-augustus-gene-1.203&CDS=1-4401
24	OG0000024	YCL067C, YCR039C, YCR096C	snap_masked-NODE_136_length_16729_cov_15.5251_ID_271-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_136_length_16729_cov_15.5251_ID_271-processed-gene-0.7&CDS=1-363, snap_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.36&CDS=1-363
25	OG0000025	YCR048W, YNR019W	augustus_masked-NODE_24_length_124931_cov_14.3259_ID_47-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_24_length_124931_cov_14.3259_ID_47-processed-gene-0.9&CDS=1-1866, augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-1.95&CDS=1-1770, snap_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.112&CDS=1-1725
26	OG0000026	YCR106W, YLL054C	augustus_masked-NODE_59_length_65206_cov_15.0703_ID_117-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_59_length_65206_cov_15.0703_ID_117-processed-gene-0.41&CDS=1-3324, snap_masked-NODE_59_length_65206_cov_15.0703_ID_117-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_59_length_65206_cov_15.0703_ID_117-processed-gene-0.3&CDS=1-681, snap_masked-NODE_8_length_202031_cov_14.9792_ID_15-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_8_length_202031_cov_14.9792_ID_15-processed-gene-1.119&CDS=1-1629
27	OG0000027	YDL111C, YGL147C, YNL067W	augustus_masked-NODE_16_length_144400_cov_15.0025_ID_31-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_16_length_144400_cov_15.0025_ID_31-processed-gene-0.157&CDS=1-573, augustus_masked-NODE_26_length_122801_cov_15.2297_ID_51-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_26_length_122801_cov_15.2297_ID_51-processed-gene-0.14&CDS=1-1995
28	OG0000028	YDL154W, YDL155W, YLR210W	augustus_masked-NODE_49_length_79513_cov_15.0536_ID_97-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_49_length_79513_cov_15.0536_ID_97-processed-gene-0.30&CDS=1-1311, maker-NODE_5_length_295718_cov_15.2667_ID_9-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_5_length_295718_cov_15.2667_ID_9-augustus-gene-1.0&CDS=1-4197
29	OG0000029	YDR406W, YOR153W	augustus_masked-NODE_48_length_80378_cov_15.0046_ID_95-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_48_length_80378_cov_15.0046_ID_95-processed-gene-0.110&CDS=1-4812, augustus_masked-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_96_length_35097_cov_15.0217_ID_191-processed-gene-0.8&CDS=1-4503, maker-NODE_116_length_25333_cov_20.5297_ID_231-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_116_length_25333_cov_20.5297_ID_231-snap-gene-0.11&CDS=1-8700
30	OG0000030	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.13&CDS=1-711
31	OG0000031	YEL063C, YNL268W	augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.29&CDS=1-1845, genemark-NODE_83_length_43253_cov_17.7422_ID_165-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_83_length_43253_cov_17.7422_ID_165-processed-gene-0.37&CDS=1-2178, snap_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.37&CDS=1-1737
32	OG0000032	YIR033W, YKL020C, YKL021C	augustus_masked-NODE_68_length_55897_cov_15.1004_ID_135-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_68_length_55897_cov_15.1004_ID_135-processed-gene-0.9&CDS=1-3729, maker-NODE_9_length_200454_cov_14.9737_ID_17-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_9_length_200454_cov_14.9737_ID_17-augustus-gene-1.0&CDS=1-4185
33	OG0000033	YJR092W, YJR094W-A, YPR043W	augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-2.45&CDS=1-3612, augustus_masked-NODE_54_length_72570_cov_16.2819_ID_107-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_54_length_72570_cov_16.2819_ID_107-processed-gene-0.20&CDS=1-2466
34	OG0000034	YJR127C, YML080W, YML081W	augustus_masked-NODE_44_length_84701_cov_14.7825_ID_87-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_44_length_84701_cov_14.7825_ID_87-processed-gene-0.80&CDS=1-3516, maker-NODE_61_length_63804_cov_14.6622_ID_121-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_61_length_63804_cov_14.6622_ID_121-augustus-gene-0.34&CDS=1-7728
35	OG0000035	YKL081W, YPL048W	augustus_masked-NODE_108_length_29628_cov_14.5397_ID_215-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_108_length_29628_cov_14.5397_ID_215-processed-gene-0.8&CDS=1-1239, augustus_masked-NODE_84_length_42391_cov_15.2762_ID_167-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_84_length_42391_cov_15.2762_ID_167-processed-gene-0.58&CDS=1-1233, augustus_masked-NODE_9_length_200454_cov_14.9737_ID_17-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_9_length_200454_cov_14.9737_ID_17-processed-gene-1.100&CDS=1-1236
36	OG0000036	YLR186W, YLR187W, YNL278W	augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_13_length_172444_cov_15.0082_ID_25-processed-gene-0.24&CDS=1-5877, augustus_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_22_length_128100_cov_14.8227_ID_43-processed-gene-0.157&CDS=1-3012
37	OG0000037	YOR229W, YOR230W, YPL139C	augustus_masked-NODE_3_length_334168_cov_14.9222_ID_5-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_3_length_334168_cov_14.9222_ID_5-processed-gene-1.62&CDS=1-1356, maker-NODE_7_length_211855_cov_14.8536_ID_13-snap-gene-0.48-mRNA-1_1&gene=maker-NODE_7_length_211855_cov_14.8536_ID_13-snap-gene-0.48&CDS=1-2547
38	OG0000038	YOR373W	augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.142&CDS=1-2052, snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.3&CDS=1-246, snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.4&CDS=1-222, snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_156_length_10421_cov_32.0009_ID_311-processed-gene-0.5&CDS=1-258
39	OG0000039	YPL088W	augustus_masked-NODE_126_length_20402_cov_13.814_ID_251-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_126_length_20402_cov_13.814_ID_251-processed-gene-0.6&CDS=1-1020, augustus_masked-NODE_1_length_416281_cov_15.1035_ID_1-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_1_length_416281_cov_15.1035_ID_1-processed-gene-3.117&CDS=1-1023, augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.194&CDS=1-1032, augustus_masked-NODE_64_length_57635_cov_15.1815_ID_127-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_64_length_57635_cov_15.1815_ID_127-processed-gene-0.3&CDS=1-1023
40	OG0000040	YAL028W, YOR324C	augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.63&CDS=1-2775, snap_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.107&CDS=1-1557
41	OG0000041	YAL034C, YOR338W	augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.83&CDS=1-1074, augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.178&CDS=1-987
