	OrthologID	Saccharomyces_cerevisiae	Tortispora_caseinolytica
10	OG0000010	YBR293W, YJR149W	augustus_masked-scaffold_1-processed-gene-11.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.3&CDS=1-1782, augustus_masked-scaffold_1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.115&CDS=1-1767, augustus_masked-scaffold_2-processed-gene-28.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-28.28&CDS=1-1689, maker-scaffold_4-augustus-gene-2.193-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.193&CDS=1-2922, snap_masked-scaffold_2-processed-gene-18.144-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.144&CDS=1-993, snap_masked-scaffold_2-processed-gene-21.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.6&CDS=1-1020, snap_masked-scaffold_4-processed-gene-2.70-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.70&CDS=1-1065
11	OG0000011	YBR114W, YDR452W, YLR032W, YOR191W	augustus_masked-scaffold_2-processed-gene-27.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-27.66&CDS=1-6978, snap_masked-scaffold_1-processed-gene-22.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.81&CDS=1-3453, snap_masked-scaffold_2-processed-gene-13.132-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.132&CDS=1-2412, snap_masked-scaffold_2-processed-gene-27.132-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-27.132&CDS=1-3708
12	OG0000012	YCL024W, YDR122W, YDR477W, YDR507C, YLR096W	maker-scaffold_2-augustus-gene-25.107-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-25.107&CDS=1-2322, snap_masked-scaffold_2-processed-gene-10.134-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.134&CDS=1-2118, snap_masked-scaffold_2-processed-gene-17.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.12&CDS=1-2640
13	OG0000013	YDL047W, YDL134C, YNR032W, YOR303W	augustus_masked-scaffold_1-processed-gene-28.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.53&CDS=1-2178, snap_masked-scaffold_1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.74&CDS=1-966, snap_masked-scaffold_2-processed-gene-30.144-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.144&CDS=1-942, snap_masked-scaffold_3-processed-gene-4.128-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.128&CDS=1-921
14	OG0000014	YDR242W	maker-scaffold_1-snap-gene-7.46-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.46&CDS=1-3288, maker-scaffold_3-snap-gene-22.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-22.0&CDS=1-3240, snap_masked-scaffold_1-processed-gene-16.24-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.24&CDS=1-1650, snap_masked-scaffold_1-processed-gene-7.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.115&CDS=1-1632, snap_masked-scaffold_3-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.19&CDS=1-1659, snap_masked-scaffold_3-processed-gene-22.148-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.148&CDS=1-1632, snap_masked-scaffold_3-processed-gene-25.133-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.133&CDS=1-1617
15	OG0000015	YGR260W	augustus_masked-scaffold_1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.46&CDS=1-2241, maker-scaffold_3-snap-gene-1.106-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.106&CDS=1-3342, snap_masked-scaffold_1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.70&CDS=1-1482, snap_masked-scaffold_2-processed-gene-14.109-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.109&CDS=1-1545, snap_masked-scaffold_2-processed-gene-6.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.49&CDS=1-1557, snap_masked-scaffold_3-processed-gene-1.32-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.32&CDS=1-1587, snap_masked-scaffold_3-processed-gene-24.54-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-24.54&CDS=1-1518
16	OG0000016	YMR269W, YOR246C	augustus_masked-scaffold_2-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.56&CDS=1-1455, augustus_masked-scaffold_3-processed-gene-16.142-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.142&CDS=1-4416, maker-scaffold_3-snap-gene-13.139-mRNA-1_1&gene=maker-scaffold_3-snap-gene-13.139&CDS=1-870, snap_masked-scaffold_1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.87&CDS=1-756, snap_masked-scaffold_1-processed-gene-6.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.50&CDS=1-744, snap_masked-scaffold_2-processed-gene-21.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.21&CDS=1-801
17	OG0000017	YCL040W, YDR516C, YGL253W, YLR446W	maker-scaffold_3-snap-gene-24.148-mRNA-1_1&gene=maker-scaffold_3-snap-gene-24.148&CDS=1-1461, snap_masked-scaffold_2-processed-gene-2.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.54&CDS=1-1422, snap_masked-scaffold_2-processed-gene-5.161-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.161&CDS=1-1530
18	OG0000018	YDL048C, YDR463W, YHR006W, YLR375W	snap_masked-scaffold_1-processed-gene-4.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.41&CDS=1-1251, snap_masked-scaffold_2-processed-gene-17.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.1&CDS=1-1860, snap_masked-scaffold_2-processed-gene-6.2-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.2&CDS=1-1134
19	OG0000019	YDR536W, YFL040W	snap_masked-scaffold_1-processed-gene-29.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.2&CDS=1-1542, snap_masked-scaffold_2-processed-gene-8.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.62&CDS=1-1515, snap_masked-scaffold_2-processed-gene-9.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.63&CDS=1-1764, snap_masked-scaffold_3-processed-gene-18.22-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.22&CDS=1-1638, snap_masked-scaffold_3-processed-gene-2.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.34&CDS=1-1575
20	OG0000020	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
21	OG0000021	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-scaffold_1-processed-gene-17.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.92&CDS=1-1629
22	OG0000022	YBR062C, YDR143C	augustus_masked-scaffold_2-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.133&CDS=1-1809, snap_masked-scaffold_1-processed-gene-11.146-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.146&CDS=1-1713, snap_masked-scaffold_2-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.11&CDS=1-969, snap_masked-scaffold_3-processed-gene-0.133-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.133&CDS=1-1209
23	OG0000023	YBR237W, YDR243C, YNL112W	snap_masked-scaffold_1-processed-gene-17.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.60&CDS=1-2553, snap_masked-scaffold_2-processed-gene-17.48-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.48&CDS=1-1653, snap_masked-scaffold_3-processed-gene-7.20-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.20&CDS=1-1656
24	OG0000024	YCR095C, YNL056W, YNL099C	snap_masked-scaffold_1-processed-gene-18.163-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.163&CDS=1-522, snap_masked-scaffold_2-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.44&CDS=1-564, snap_masked-scaffold_3-processed-gene-22.134-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.134&CDS=1-573
25	OG0000025	YDL101C, YFR014C, YOL016C	maker-scaffold_1-snap-gene-28.100-mRNA-1_1&gene=maker-scaffold_1-snap-gene-28.100&CDS=1-1272, snap_masked-scaffold_2-processed-gene-17.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.32&CDS=1-1449, snap_masked-scaffold_3-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.111&CDS=1-1221
26	OG0000026	YDL126C, YKL197C, YLR397C	snap_masked-scaffold_1-processed-gene-9.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.22&CDS=1-2232, snap_masked-scaffold_2-processed-gene-15.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.55&CDS=1-3222, snap_masked-scaffold_3-processed-gene-11.161-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.161&CDS=1-2475
27	OG0000027	YDL137W, YDL192W, YMR138W	snap_masked-scaffold_1-processed-gene-18.144-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.144&CDS=1-492, snap_masked-scaffold_1-processed-gene-23.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.21&CDS=1-540, snap_masked-scaffold_2-processed-gene-14.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.111&CDS=1-618
28	OG0000028	YDR524C, YGL181W, YIL044C	augustus_masked-scaffold_2-processed-gene-17.97-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.97&CDS=1-1368, snap_masked-scaffold_1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.5&CDS=1-3048, snap_masked-scaffold_3-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.44&CDS=1-1311
29	OG0000029	YHR107C, YJR076C, YLR314C	maker-scaffold_2-snap-gene-27.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-27.0&CDS=1-1131, snap_masked-scaffold_1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.23&CDS=1-1389, snap_masked-scaffold_1-processed-gene-29.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.37&CDS=1-1155
30	OG0000030	YKR089C, YMR313C, YOR081C	snap_masked-scaffold_2-processed-gene-28.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-28.127&CDS=1-1689, snap_masked-scaffold_2-processed-gene-6.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.17&CDS=1-2064, snap_masked-scaffold_3-processed-gene-12.129-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.129&CDS=1-1938
31	OG0000031	YMR215W, YOL132W	snap_masked-scaffold_1-processed-gene-11.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.155&CDS=1-1515, snap_masked-scaffold_1-processed-gene-16.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.18&CDS=1-1431, snap_masked-scaffold_2-processed-gene-5.139-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.139&CDS=1-1392, snap_masked-scaffold_4-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.32&CDS=1-1464
32	OG0000032	YAL023C, YDL093W, YDL095W	snap_masked-scaffold_1-processed-gene-27.65-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.65&CDS=1-2535, snap_masked-scaffold_2-processed-gene-20.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.49&CDS=1-2244
33	OG0000033	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-scaffold_2-processed-gene-22.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.32&CDS=1-4428
34	OG0000034	YBL042C, YBR021W, YIR028W	snap_masked-scaffold_3-processed-gene-0.104-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.104&CDS=1-1611, snap_masked-scaffold_3-processed-gene-23.72-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.72&CDS=1-1695
35	OG0000035	YBL088C, YKL203C	augustus_masked-scaffold_1-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.105&CDS=1-9948, snap_masked-scaffold_1-processed-gene-30.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.67&CDS=1-8397, snap_masked-scaffold_1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.20&CDS=1-7386
36	OG0000036	YBR118W, YKR084C, YPR080W	augustus_masked-scaffold_3-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.87&CDS=1-4782, snap_masked-scaffold_3-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.30&CDS=1-1389
37	OG0000037	YBR126C, YML100W, YMR261C	maker-scaffold_3-snap-gene-19.173-mRNA-1_1&gene=maker-scaffold_3-snap-gene-19.173&CDS=1-2775, snap_masked-scaffold_2-processed-gene-21.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.3&CDS=1-1425
38	OG0000038	YBR145W, YMR083W, YMR303C, YOL086C	maker-scaffold_3-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.0&CDS=1-2157
39	OG0000039	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-scaffold_3-processed-gene-23.71-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.71&CDS=1-1695
40	OG0000040	YCR019W, YHL003C, YKL008C	augustus_masked-scaffold_3-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.18&CDS=1-1956, snap_masked-scaffold_3-processed-gene-11.160-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.160&CDS=1-1137
41	OG0000041	YCR065W, YIL131C, YNL068C	snap_masked-scaffold_1-processed-gene-30.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.110&CDS=1-2238, snap_masked-scaffold_2-processed-gene-12.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.63&CDS=1-1893
42	OG0000042	YCR102C, YLR460C, YNL134C	snap_masked-scaffold_1-processed-gene-28.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.4&CDS=1-1131, snap_masked-scaffold_3-processed-gene-23.123-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.123&CDS=1-1050
43	OG0000043	YDL155W, YGR108W, YPR119W	snap_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.14&CDS=1-1287, snap_masked-scaffold_4-processed-gene-2.126-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.126&CDS=1-1386
44	OG0000044	YDL210W, YGL077C	snap_masked-scaffold_1-processed-gene-17.89-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.89&CDS=1-1746, snap_masked-scaffold_2-processed-gene-16.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.0&CDS=1-1608, snap_masked-scaffold_3-processed-gene-25.75-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.75&CDS=1-1728
45	OG0000045	YDR021W, YJL138C, YKR059W	snap_masked-scaffold_1-processed-gene-12.94-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.94&CDS=1-1182, snap_masked-scaffold_1-processed-gene-26.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.86&CDS=1-1188
46	OG0000046	YDR107C, YER113C, YLR083C	augustus_masked-scaffold_2-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.128&CDS=1-2280, snap_masked-scaffold_1-processed-gene-16.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.52&CDS=1-1986
47	OG0000047	YDR247W, YHR082C, YPL026C	genemark-scaffold_3-processed-gene-6.77-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.77&CDS=1-1890, snap_masked-scaffold_1-processed-gene-16.12-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.12&CDS=1-1848
48	OG0000048	YDR523C, YHR102W	snap_masked-scaffold_1-processed-gene-20.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.81&CDS=1-2052, snap_masked-scaffold_3-processed-gene-2.38-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.38&CDS=1-1353, snap_masked-scaffold_3-processed-gene-21.105-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-21.105&CDS=1-1704
49	OG0000049	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-scaffold_4-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.38&CDS=1-1023
50	OG0000050	YER020W, YHR005C	maker-scaffold_1-augustus-gene-8.8-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.8&CDS=1-1938, snap_masked-scaffold_1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.60&CDS=1-1107, snap_masked-scaffold_3-processed-gene-18.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.13&CDS=1-1299
51	OG0000051	YFL004W, YJL012C, YPL019C	snap_masked-scaffold_2-processed-gene-6.50-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.50&CDS=1-2244, snap_masked-scaffold_3-processed-gene-11.116-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.116&CDS=1-2061
52	OG0000052	YFL037W, YLR212C	maker-scaffold_3-snap-gene-16.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-16.0&CDS=1-1374, snap_masked-scaffold_1-processed-gene-26.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.59&CDS=1-1395, snap_masked-scaffold_2-processed-gene-5.183-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.183&CDS=1-1314
