	OrthologID	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-scaffold_118-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_118-processed-gene-0.4&CDS=1-4215, genemark-scaffold_173-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_173-processed-gene-0.5&CDS=1-1038, snap_masked-scaffold_14-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-1.25&CDS=1-1854, snap_masked-scaffold_14-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-1.26&CDS=1-2493	YFL023W, YLR054C
11	OG0000011	augustus_masked-scaffold_225-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_225-processed-gene-0.4&CDS=1-2982, augustus_masked-scaffold_225-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_225-processed-gene-0.5&CDS=1-399, genemark-scaffold_12-processed-gene-2.120-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.120&CDS=1-393, genemark-scaffold_12-processed-gene-2.127-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.127&CDS=1-1722	YIL114C, YNL055C
12	OG0000012	augustus_masked-scaffold_4-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.35&CDS=1-1269, genemark-scaffold_21-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.35&CDS=1-1269, genemark-scaffold_25-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.77&CDS=1-1269, genemark-scaffold_536-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_536-processed-gene-0.3&CDS=1-1254	YHR179W, YPL171C
13	OG0000013		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
14	OG0000014	augustus_masked-scaffold_1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.21&CDS=1-975, genemark-scaffold_45-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.23&CDS=1-978, maker-scaffold_4-snap-gene-0.88-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.88&CDS=1-2067	YNL231C, YNL264C
15	OG0000015	snap_masked-scaffold_1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.52&CDS=1-1836, snap_masked-scaffold_16-processed-gene-0.171-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.171&CDS=1-1803	YLR237W, YOR071C, YOR192C
16	OG0000016	augustus_masked-scaffold_1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.84&CDS=1-1179, snap_masked-scaffold_541-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_541-processed-gene-0.2&CDS=1-1938	YKL222C, YOR162C, YOR172W
17	OG0000017	augustus_masked-scaffold_519-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_519-processed-gene-0.2&CDS=1-522, augustus_masked-scaffold_554-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_554-processed-gene-0.1&CDS=1-1140, snap_masked-scaffold_1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.66&CDS=1-687, snap_masked-scaffold_519-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_519-processed-gene-0.6&CDS=1-1266	YAL040C
18	OG0000018	augustus_masked-scaffold_252-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_252-processed-gene-0.1&CDS=1-915, genemark-scaffold_618-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_618-processed-gene-0.2&CDS=1-1038, maker-scaffold_1-snap-gene-7.39-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.39&CDS=1-5166	YBL047C, YJR092W
19	OG0000019	augustus_masked-scaffold_434-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_434-processed-gene-0.5&CDS=1-762, augustus_masked-scaffold_491-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_491-processed-gene-0.2&CDS=1-1704, augustus_masked-scaffold_8-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.100&CDS=1-744, snap_masked-scaffold_107-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_107-processed-gene-0.5&CDS=1-3444	YFR048W
20	OG0000020	genemark-scaffold_13-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.108&CDS=1-2736, maker-scaffold_13-snap-gene-0.43-mRNA-1_1&gene=maker-scaffold_13-snap-gene-0.43&CDS=1-5568	YML111W, YMR275C, YNR069C
21	OG0000021	augustus_masked-scaffold_138-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_138-processed-gene-0.4&CDS=1-4422, genemark-scaffold_489-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_489-processed-gene-0.7&CDS=1-1965, maker-scaffold_14-snap-gene-1.20-mRNA-1_1&gene=maker-scaffold_14-snap-gene-1.20&CDS=1-4596	YJR061W, YKL201C
22	OG0000022	genemark-scaffold_16-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.28&CDS=1-966, genemark-scaffold_16-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.30&CDS=1-963, maker-scaffold_176-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_176-augustus-gene-0.4&CDS=1-2049, maker-scaffold_3-snap-gene-5.3-mRNA-1_1&gene=maker-scaffold_3-snap-gene-5.3&CDS=1-1479	YGR163W
23	OG0000023	genemark-scaffold_23-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.85&CDS=1-1572, genemark-scaffold_34-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.23&CDS=1-972, maker-scaffold_23-augustus-gene-0.45-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.45&CDS=1-1941, maker-scaffold_23-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_23-snap-gene-0.1&CDS=1-921	YDL141W
24	OG0000024	augustus_masked-scaffold_4-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.94&CDS=1-4485, augustus_masked-scaffold_99-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_99-processed-gene-0.3&CDS=1-3210, genemark-scaffold_62-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_62-processed-gene-0.7&CDS=1-4461, snap_masked-scaffold_25-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scaffold_25-processed-gene-0.16&CDS=1-3999	YOR153W
25	OG0000025	augustus_masked-scaffold_3-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.17&CDS=1-549, genemark-scaffold_9-processed-gene-2.11-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.11&CDS=1-546	YDR178W, YLR164W, YOR297C
26	OG0000026	genemark-scaffold_34-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.25&CDS=1-2742, snap_masked-scaffold_5-processed-gene-3.10-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.10&CDS=1-2049	YJL042W, YOR227W, YPL137C
27	OG0000027	augustus_masked-scaffold_4-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.53&CDS=1-1059	YER001W, YGL257C, YIL014W, YNR059W
28	OG0000028	snap_masked-scaffold_7-processed-gene-1.32-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.32&CDS=1-360	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
29	OG0000029	augustus_masked-scaffold_1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.10&CDS=1-1233	YBL068W-A, YBL069W, YER101C
30	OG0000030	maker-scaffold_4-augustus-gene-3.44-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.44&CDS=1-2640, snap_masked-scaffold_1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.48&CDS=1-534	YDL037C, YIR019C
31	OG0000031	augustus_masked-scaffold_1-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.57&CDS=1-2976, genemark-scaffold_116-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_116-processed-gene-0.0&CDS=1-1347	YDL164C, YLR207W
32	OG0000032	augustus_masked-scaffold_101-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_101-processed-gene-0.9&CDS=1-951, augustus_masked-scaffold_183-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_183-processed-gene-0.1&CDS=1-789, augustus_masked-scaffold_29-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_29-processed-gene-0.24&CDS=1-957	YGL175C
33	OG0000033	augustus_masked-scaffold_102-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_102-processed-gene-0.3&CDS=1-1752, augustus_masked-scaffold_131-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_131-processed-gene-0.3&CDS=1-1527, snap_masked-scaffold_5-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.12&CDS=1-2034	YHL029C
34	OG0000034	augustus_masked-scaffold_395-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_395-processed-gene-0.2&CDS=1-2148, augustus_masked-scaffold_586-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_586-processed-gene-0.1&CDS=1-1296, maker-scaffold_108-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_108-snap-gene-0.4&CDS=1-2961, maker-scaffold_88-snap-gene-0.8-mRNA-1_1&gene=maker-scaffold_88-snap-gene-0.8&CDS=1-2487	
35	OG0000035	genemark-scaffold_11-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.96&CDS=1-1575	YER056C, YER060W, YER060W-A
36	OG0000036	augustus_masked-scaffold_2-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.60&CDS=1-1593, genemark-scaffold_11-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.111&CDS=1-1674	YHR050W, YLR034C
37	OG0000037	augustus_masked-scaffold_11-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.42&CDS=1-1653	YHL009W-B, YJL113W, YPL060C-A
38	OG0000038	genemark-scaffold_11-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.74&CDS=1-1182	YCR102C, YLR460C, YNL134C
39	OG0000039	snap_masked-scaffold_119-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_119-processed-gene-0.5&CDS=1-1587, snap_masked-scaffold_135-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_135-processed-gene-0.2&CDS=1-2922	YGL133W, YPL216W
40	OG0000040	genemark-scaffold_12-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.47&CDS=1-1929	YCL069W, YGR224W, YKR105C
41	OG0000041	augustus_masked-scaffold_129-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_129-processed-gene-0.5&CDS=1-1395, augustus_masked-scaffold_162-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_162-processed-gene-0.1&CDS=1-627, maker-scaffold_132-augustus-gene-0.3-mRNA-1_1&gene=maker-scaffold_132-augustus-gene-0.3&CDS=1-699	YOR306C
42	OG0000042	genemark-scaffold_129-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_129-processed-gene-0.10&CDS=1-348, genemark-scaffold_9-processed-gene-1.117-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.117&CDS=1-336	YGL089C, YPL187W
43	OG0000043	genemark-scaffold_13-processed-gene-2.78-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.78&CDS=1-795, snap_masked-scaffold_2-processed-gene-2.47-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.47&CDS=1-1656	YMR035W, YMR150C
44	OG0000044	genemark-scaffold_13-processed-gene-2.117-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.117&CDS=1-1515, genemark-scaffold_13-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.83&CDS=1-1527	YMR169C, YMR170C
45	OG0000045	genemark-scaffold_13-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.93&CDS=1-573, snap_masked-scaffold_31-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_31-processed-gene-0.4&CDS=1-573	YGL147C, YNL067W
46	OG0000046	augustus_masked-scaffold_4-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.108&CDS=1-4494, genemark-scaffold_144-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_144-processed-gene-0.3&CDS=1-2526, maker-scaffold_136-augustus-gene-0.6-mRNA-1_1&gene=maker-scaffold_136-augustus-gene-0.6&CDS=1-1044	YOL138C
47	OG0000047	genemark-scaffold_192-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_192-processed-gene-0.1&CDS=1-858, genemark-scaffold_218-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_218-processed-gene-0.1&CDS=1-402, snap_masked-scaffold_149-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_149-processed-gene-0.2&CDS=1-1434	YDR465C
48	OG0000048	augustus_masked-scaffold_178-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_178-processed-gene-0.0&CDS=1-189, augustus_masked-scaffold_3-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.71&CDS=1-243, genemark-scaffold_610-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_610-processed-gene-0.6&CDS=1-324	YBL026W
49	OG0000049	genemark-scaffold_18-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.0&CDS=1-1077, genemark-scaffold_78-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_78-processed-gene-0.10&CDS=1-309, maker-scaffold_2-augustus-gene-0.82-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-0.82&CDS=1-1413	YNL246W
50	OG0000050	augustus_masked-scaffold_181-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_181-processed-gene-0.1&CDS=1-1752, maker-scaffold_3-snap-gene-1.45-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.45&CDS=1-786	YDR132C, YLR108C
51	OG0000051	maker-scaffold_436-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_436-augustus-gene-0.4&CDS=1-306, snap_masked-scaffold_198-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_198-processed-gene-0.4&CDS=1-294	YER056C-A, YIL052C
52	OG0000052	genemark-scaffold_9-processed-gene-1.136-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.136&CDS=1-1887, snap_masked-scaffold_2-processed-gene-4.23-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.23&CDS=1-2352	YGL095C, YLR396C
53	OG0000053	augustus_masked-scaffold_2-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.56&CDS=1-1965, augustus_masked-scaffold_33-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_33-processed-gene-0.21&CDS=1-228, augustus_masked-scaffold_469-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_469-processed-gene-0.1&CDS=1-1749	YDL035C
54	OG0000054	augustus_masked-scaffold_599-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_599-processed-gene-0.0&CDS=1-1911, snap_masked-scaffold_2-processed-gene-5.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.29&CDS=1-753, snap_masked-scaffold_473-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_473-processed-gene-0.2&CDS=1-2421	YMR287C
55	OG0000055	snap_masked-scaffold_20-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scaffold_20-processed-gene-0.74&CDS=1-651, snap_masked-scaffold_20-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scaffold_20-processed-gene-0.75&CDS=1-651	YGL135W, YPL220W
56	OG0000056	augustus_masked-scaffold_20-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.28&CDS=1-3699, maker-scaffold_20-snap-gene-0.56-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.56&CDS=1-1917	YPL217C, YPL227C
57	OG0000057	maker-scaffold_20-augustus-gene-0.49-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.49&CDS=1-684, maker-scaffold_20-snap-gene-0.60-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.60&CDS=1-921	YMR183C, YPL232W
58	OG0000058	maker-scaffold_20-snap-gene-0.63-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.63&CDS=1-3669	YMR006C, YMR008C, YOL011W
59	OG0000059	augustus_masked-scaffold_201-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_201-processed-gene-0.3&CDS=1-414	YCR083W, YGR209C, YLR043C
60	OG0000060	genemark-scaffold_209-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_209-processed-gene-0.7&CDS=1-369, genemark-scaffold_342-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_342-processed-gene-0.4&CDS=1-1581, maker-scaffold_342-augustus-gene-0.7-mRNA-1_1&gene=maker-scaffold_342-augustus-gene-0.7&CDS=1-762	YAR014C
61	OG0000061	augustus_masked-scaffold_22-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_22-processed-gene-0.40&CDS=1-5268, genemark-scaffold_22-processed-gene-0.65-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.65&CDS=1-1293	YHR131C, YNL144C
62	OG0000062	genemark-scaffold_257-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_257-processed-gene-0.1&CDS=1-1791, genemark-scaffold_355-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_355-processed-gene-0.2&CDS=1-1851, maker-scaffold_3-snap-gene-0.55-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.55&CDS=1-1815	YKR039W
63	OG0000063	augustus_masked-scaffold_259-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_259-processed-gene-0.2&CDS=1-555, genemark-scaffold_307-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_307-processed-gene-0.1&CDS=1-2790	YAL056W, YOR371C
64	OG0000064	augustus_masked-scaffold_26-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.26&CDS=1-264, genemark-scaffold_445-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_445-processed-gene-0.1&CDS=1-2193	YCR067C, YNR026C
65	OG0000065	augustus_masked-scaffold_281-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_281-processed-gene-0.1&CDS=1-1341, augustus_masked-scaffold_302-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_302-processed-gene-0.1&CDS=1-1095, genemark-scaffold_462-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_462-processed-gene-0.0&CDS=1-1092	YBL035C
66	OG0000066	augustus_masked-scaffold_285-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_285-processed-gene-0.2&CDS=1-2457, genemark-scaffold_66-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_66-processed-gene-0.14&CDS=1-756, snap_masked-scaffold_57-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scaffold_57-processed-gene-0.25&CDS=1-2625	YLR057W
67	OG0000067	genemark-scaffold_285-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_285-processed-gene-0.1&CDS=1-252, genemark-scaffold_57-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_57-processed-gene-0.12&CDS=1-774, maker-scaffold_397-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_397-augustus-gene-0.0&CDS=1-2277	YGR031W
68	OG0000068	snap_masked-scaffold_3-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.45&CDS=1-1899	YDR144C, YLR120C, YLR121C
