	OrthologID	Saccharomyces_arboricola	Saccharomyces_cerevisiae
11	OG0000011	genemark-NC_026179.1-processed-gene-0.83-mRNA-1_1&gene=genemark-NC_026179.1-processed-gene-0.83&CDS=1-2280, snap_masked-NC_026172.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-6.53&CDS=1-1878, snap_masked-NC_026185.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-0.115&CDS=1-2904	YAR066W, YHR214W, YIL169C, YOL155C
12	OG0000012	genemark-NC_026174.1-processed-gene-0.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.69&CDS=1-1845, maker-NC_026177.1-snap-gene-9.150-mRNA-1_1&gene=maker-NC_026177.1-snap-gene-9.150&CDS=1-4839, snap_masked-NC_026174.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-0.35&CDS=1-1059	YBR298C, YDL247W, YGR289C, YJR160C
13	OG0000013	augustus_masked-NC_026182.1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-NC_026182.1-processed-gene-4.108&CDS=1-4515, genemark-NC_026174.1-processed-gene-3.81-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.81&CDS=1-1287, genemark-NC_026184.1-processed-gene-6.16-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.16&CDS=1-1260	YDL066W, YLR173W, YLR174W, YNL009W
14	OG0000014	snap_masked-NC_026176.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NC_026176.1-processed-gene-0.45&CDS=1-315, snap_masked-NC_026180.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NC_026180.1-processed-gene-0.83&CDS=1-444, snap_masked-NC_026180.1-processed-gene-6.139-mRNA-1_1&gene=snap_masked-NC_026180.1-processed-gene-6.139&CDS=1-345	YDL244W, YFL058W, YJR156C, YNL332W
15	OG0000015	genemark-NC_026180.1-processed-gene-0.20-mRNA-1_1&gene=genemark-NC_026180.1-processed-gene-0.20&CDS=1-1707, genemark-NC_026184.1-processed-gene-6.58-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.58&CDS=1-1701, genemark-NW_011644260.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NW_011644260.1-processed-gene-0.2&CDS=1-1701	YDL245C, YEL069C, YJR158W, YNR072W
16	OG0000016	augustus_masked-NC_026184.1-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NC_026184.1-processed-gene-4.22&CDS=1-5331, genemark-NC_026185.1-processed-gene-5.48-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.48&CDS=1-1812, genemark-NC_026185.1-processed-gene-5.49-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.49&CDS=1-3324	YNL104C, YNL106C, YOR108W, YOR109W
17	OG0000017	augustus_masked-NC_026178.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NC_026178.1-processed-gene-1.2&CDS=1-3624, genemark-NC_026172.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.18&CDS=1-978, genemark-NC_026175.1-processed-gene-3.78-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.78&CDS=1-954	YBL068W, YER099C, YHL010C
18	OG0000018	genemark-NC_026184.1-processed-gene-6.57-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.57&CDS=1-4260, genemark-NC_026186.1-processed-gene-4.83-mRNA-1_1&gene=genemark-NC_026186.1-processed-gene-4.83&CDS=1-4533, snap_masked-NC_026174.1-processed-gene-5.89-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-5.89&CDS=1-4488	YDR011W, YNR070W, YPL058C
19	OG0000019	genemark-NC_026174.1-processed-gene-9.58-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.58&CDS=1-2082, genemark-NC_026179.1-processed-gene-3.55-mRNA-1_1&gene=genemark-NC_026179.1-processed-gene-3.55&CDS=1-2082, genemark-NC_026185.1-processed-gene-8.71-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.71&CDS=1-2097	YIL009W, YMR246W, YOR317W
20	OG0000020	genemark-NC_026177.1-processed-gene-5.82-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-5.82&CDS=1-5697, snap_masked-NC_026174.1-processed-gene-10.25-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-10.25&CDS=1-5355, snap_masked-NC_026182.1-processed-gene-7.104-mRNA-1_1&gene=snap_masked-NC_026182.1-processed-gene-7.104&CDS=1-5631	YGR032W, YLR342W, YMR306W
21	OG0000021	augustus_masked-NC_026175.1-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NC_026175.1-processed-gene-2.77&CDS=1-1629, genemark-NC_026175.1-processed-gene-2.53-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-2.53&CDS=1-1599, genemark-NC_026177.1-processed-gene-5.78-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-5.78&CDS=1-1596	YER056C, YER060W, YER060W-A
22	OG0000022	genemark-NC_026175.1-processed-gene-4.63-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-4.63&CDS=1-936, genemark-NC_026183.1-processed-gene-10.81-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-10.81&CDS=1-2154, genemark-NC_026183.1-processed-gene-2.115-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-2.115&CDS=1-2091	YDR436W, YER133W, YML016C
23	OG0000023	genemark-NC_026177.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-6.84&CDS=1-1689, genemark-NC_026182.1-processed-gene-2.97-mRNA-1_1&gene=genemark-NC_026182.1-processed-gene-2.97&CDS=1-1689, genemark-NC_026182.1-processed-gene-4.43-mRNA-1_1&gene=genemark-NC_026182.1-processed-gene-4.43&CDS=1-1689	YGR087C, YLR044C, YLR134W
24	OG0000024	genemark-NC_026177.1-processed-gene-8.74-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-8.74&CDS=1-996, genemark-NC_026180.1-processed-gene-3.58-mRNA-1_1&gene=genemark-NC_026180.1-processed-gene-3.58&CDS=1-996, genemark-NC_026180.1-processed-gene-4.43-mRNA-1_1&gene=genemark-NC_026180.1-processed-gene-4.43&CDS=1-996	YGR192C, YJL052W, YJR009C
25	OG0000025	augustus_masked-NC_026178.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NC_026178.1-processed-gene-0.65&CDS=1-4782, genemark-NC_026181.1-processed-gene-5.179-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.179&CDS=1-4452, snap_masked-NC_026182.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NC_026182.1-processed-gene-0.17&CDS=1-4983	YHL035C, YKR103W, YLL048C
26	OG0000026	genemark-NC_026182.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NC_026182.1-processed-gene-3.103&CDS=1-408, genemark-NC_026183.1-processed-gene-5.40-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-5.40&CDS=1-411, genemark-NC_026184.1-processed-gene-6.47-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.47&CDS=1-2271	YDR134C, YLR110C, YNR044W
27	OG0000027	genemark-NC_026171.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.38&CDS=1-798, maker-NC_026181.1-snap-gene-5.134-mRNA-1_1&gene=maker-NC_026181.1-snap-gene-5.134&CDS=1-2472, snap_masked-NC_026171.1-processed-gene-0.199-mRNA-1_1&gene=snap_masked-NC_026171.1-processed-gene-0.199&CDS=1-852	YAL064C-A, YHR213W
28	OG0000028	genemark-NC_026174.1-processed-gene-4.96-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.96&CDS=1-3867, maker-NC_026171.1-augustus-gene-0.82-mRNA-1_1&gene=maker-NC_026171.1-augustus-gene-0.82&CDS=1-5565, maker-NC_026171.1-augustus-gene-0.84-mRNA-1_1&gene=maker-NC_026171.1-augustus-gene-0.84&CDS=1-1587	YAR042W, YDL019C
29	OG0000029	genemark-NC_026172.1-processed-gene-1.100-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-1.100&CDS=1-5049	YBL017C, YIL173W, YJL222W, YNR065C
30	OG0000030	genemark-NC_026174.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.71&CDS=1-891, genemark-NC_026183.1-processed-gene-4.12-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-4.12&CDS=1-891	YFL059W, YMR096W, YNL333W
31	OG0000031	augustus_masked-NC_026186.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NC_026186.1-processed-gene-1.56&CDS=1-4182, maker-NC_026177.1-snap-gene-3.3-mRNA-1_1&gene=maker-NC_026177.1-snap-gene-3.3&CDS=1-720	YGL076C, YPL195W, YPL198W
32	OG0000032	genemark-NC_026181.1-processed-gene-5.208-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.208&CDS=1-1128, genemark-NC_026184.1-processed-gene-3.91-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-3.91&CDS=1-1125	YCR102C, YLR460C, YNL134C
33	OG0000033	genemark-NC_026182.1-processed-gene-8.139-mRNA-1_1&gene=genemark-NC_026182.1-processed-gene-8.139&CDS=1-1569, genemark-NC_026183.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-1.74&CDS=1-1590	YHR216W, YLR432W, YML056C
34	OG0000034	genemark-NC_026184.1-processed-gene-6.55-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.55&CDS=1-1851, genemark-NC_026185.1-processed-gene-9.66-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.66&CDS=1-2055	YKL220C, YNR060W, YOR381W
35	OG0000035	augustus_masked-NC_026184.1-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-NC_026184.1-processed-gene-6.134&CDS=1-1524	YCR107W, YDL243C, YJR155W, YNL331C
36	OG0000036	genemark-NC_026185.1-processed-gene-2.65-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-2.65&CDS=1-1656, genemark-NC_026186.1-processed-gene-0.70-mRNA-1_1&gene=genemark-NC_026186.1-processed-gene-0.70&CDS=1-1653	YOL055C, YPL258C, YPR121W
37	OG0000037	maker-NW_011644278.1-snap-gene-0.32-mRNA-1_1&gene=maker-NW_011644278.1-snap-gene-0.32&CDS=1-1020, maker-NW_011644278.1-snap-gene-0.33-mRNA-1_1&gene=maker-NW_011644278.1-snap-gene-0.33&CDS=1-264	Q0045, Q0065, Q0070
38	OG0000038	genemark-NW_011644278.1-processed-gene-0.8-mRNA-1_1&gene=genemark-NW_011644278.1-processed-gene-0.8&CDS=1-348	Q0105, Q0110, Q0115, Q0120
39	OG0000039	genemark-NC_026171.1-processed-gene-0.0-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.0&CDS=1-1371, genemark-NC_026185.1-processed-gene-9.96-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.96&CDS=1-1362	YAL062W, YOR375C
40	OG0000040	genemark-NC_026171.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.10&CDS=1-1500, genemark-NC_026185.1-processed-gene-9.80-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.80&CDS=1-1518	YAL038W, YOR347C
41	OG0000041	genemark-NC_026171.1-processed-gene-0.54-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.54&CDS=1-4413, genemark-NC_026185.1-processed-gene-8.74-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.74&CDS=1-4716	YAL029C, YOR326W
42	OG0000042	genemark-NC_026185.1-processed-gene-8.73-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.73&CDS=1-2259, maker-NC_026171.1-augustus-gene-0.86-mRNA-1_1&gene=maker-NC_026171.1-augustus-gene-0.86&CDS=1-6513	YAL024C, YOR321W
43	OG0000043	genemark-NC_026171.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.18&CDS=1-4020, genemark-NC_026185.1-processed-gene-2.68-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-2.68&CDS=1-3309	YAL017W, YOL045W
44	OG0000044	genemark-NC_026172.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.19&CDS=1-1626, genemark-NC_026173.1-processed-gene-1.101-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.101&CDS=1-1671	YIL166C, YOL162W
45	OG0000045	genemark-NC_026172.1-processed-gene-0.20-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.20&CDS=1-3498, genemark-NC_026186.1-processed-gene-6.102-mRNA-1_1&gene=genemark-NC_026186.1-processed-gene-6.102&CDS=1-3102	YBL106C, YPR032W
46	OG0000046	genemark-NC_026172.1-processed-gene-0.28-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.28&CDS=1-345, genemark-NC_026175.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.66&CDS=1-345	YBL087C, YER117W
47	OG0000047	genemark-NC_026175.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.80&CDS=1-4191, snap_masked-NC_026172.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-0.76&CDS=1-4515	YBL079W, YER105C
48	OG0000048	genemark-NC_026172.1-processed-gene-0.37-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.37&CDS=1-600, genemark-NC_026175.1-processed-gene-3.62-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.62&CDS=1-600	YBL072C, YER102W
49	OG0000049	genemark-NC_026175.1-processed-gene-3.79-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.79&CDS=1-1290, snap_masked-NC_026172.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-0.78&CDS=1-1287	YBL069W, YER101C
50	OG0000050	genemark-NC_026172.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-0.38&CDS=1-2241, genemark-NC_026175.1-processed-gene-3.60-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.60&CDS=1-2307	YBL067C, YER098W
51	OG0000051	genemark-NC_026172.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-1.61&CDS=1-1401, genemark-NC_026175.1-processed-gene-3.74-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.74&CDS=1-1407	YBL056W, YER089C
52	OG0000052	genemark-NC_026172.1-processed-gene-1.90-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-1.90&CDS=1-1737, genemark-NC_026180.1-processed-gene-6.49-mRNA-1_1&gene=genemark-NC_026180.1-processed-gene-6.49&CDS=1-1734	YBL039C, YJR103W
53	OG0000053	snap_masked-NC_026172.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-1.22&CDS=1-579, snap_masked-NC_026172.1-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-4.2&CDS=1-579	YBL027W, YBR084C-A
54	OG0000054	genemark-NC_026172.1-processed-gene-2.100-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.100&CDS=1-396, genemark-NC_026183.1-processed-gene-6.62-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-6.62&CDS=1-396	YBL003C, YDR225W
55	OG0000055	genemark-NC_026172.1-processed-gene-2.102-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.102&CDS=1-2361, genemark-NC_026174.1-processed-gene-4.101-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.101&CDS=1-2253	YBR001C, YDR001C
56	OG0000056	genemark-NC_026172.1-processed-gene-2.107-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.107&CDS=1-309, genemark-NC_026184.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-5.73&CDS=1-309	YBR009C, YNL030W
57	OG0000057	genemark-NC_026172.1-processed-gene-2.91-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.91&CDS=1-408, genemark-NC_026184.1-processed-gene-5.90-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-5.90&CDS=1-408	YBR010W, YNL031C
58	OG0000058	genemark-NC_026172.1-processed-gene-2.93-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.93&CDS=1-1584, genemark-NC_026174.1-processed-gene-5.10-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.10&CDS=1-1560	YBR020W, YDR009W
59	OG0000059	genemark-NC_026172.1-processed-gene-2.94-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-2.94&CDS=1-1899, genemark-NC_026179.1-processed-gene-3.74-mRNA-1_1&gene=genemark-NC_026179.1-processed-gene-3.74&CDS=1-1908	YBR021W, YIR028W
60	OG0000060	genemark-NC_026172.1-processed-gene-3.38-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-3.38&CDS=1-468, snap_masked-NC_026174.1-processed-gene-5.95-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-5.95&CDS=1-468	YBR048W, YDR025W
61	OG0000061	genemark-NC_026172.1-processed-gene-3.39-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-3.39&CDS=1-1026, genemark-NC_026174.1-processed-gene-5.19-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.19&CDS=1-972	YBR054W, YDR033W
62	OG0000062	augustus_masked-NC_026177.1-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-NC_026177.1-processed-gene-8.11&CDS=1-3084, genemark-NC_026172.1-processed-gene-4.55-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-4.55&CDS=1-2925	YBR084W, YGR204W
63	OG0000063	genemark-NC_026172.1-processed-gene-4.83-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-4.83&CDS=1-2043, genemark-NC_026186.1-processed-gene-6.141-mRNA-1_1&gene=genemark-NC_026186.1-processed-gene-6.141&CDS=1-2040	YBR117C, YPR074C
64	OG0000064	genemark-NC_026172.1-processed-gene-4.85-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-4.85&CDS=1-1995, maker-NC_026186.1-snap-gene-6.150-mRNA-1_1&gene=maker-NC_026186.1-snap-gene-6.150&CDS=1-2310	YBR121C, YPR081C
65	OG0000065	augustus_masked-NC_026172.1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NC_026172.1-processed-gene-5.53&CDS=1-9249, genemark-NC_026185.1-processed-gene-1.13-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-1.13&CDS=1-9234	YBR140C, YOL081W
66	OG0000066	genemark-NC_026172.1-processed-gene-5.147-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-5.147&CDS=1-2079, genemark-NC_026186.1-processed-gene-3.86-mRNA-1_1&gene=genemark-NC_026186.1-processed-gene-3.86&CDS=1-2079	YBR169C, YPL106C
67	OG0000067	maker-NC_026172.1-snap-gene-5.97-mRNA-1_1&gene=maker-NC_026172.1-snap-gene-5.97&CDS=1-999, maker-NC_026186.1-snap-gene-3.41-mRNA-1_1&gene=maker-NC_026186.1-snap-gene-3.41&CDS=1-1008	YBR189W, YPL081W
68	OG0000068	augustus_masked-NC_026172.1-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NC_026172.1-processed-gene-6.107&CDS=1-4101, genemark-NC_026177.1-processed-gene-4.100-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-4.100&CDS=1-2397	YBR214W, YGL056C
69	OG0000069	snap_masked-NC_026172.1-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NC_026172.1-processed-gene-6.59&CDS=1-3540, snap_masked-NC_026177.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-NC_026177.1-processed-gene-3.126&CDS=1-3534	YBR218C, YGL062W
70	OG0000070	genemark-NC_026172.1-processed-gene-6.260-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-6.260&CDS=1-3204, genemark-NC_026185.1-processed-gene-8.68-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.68&CDS=1-3345	YBR245C, YOR304W
71	OG0000071	augustus_masked-NC_026182.1-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-NC_026182.1-processed-gene-3.39&CDS=1-4746, genemark-NC_026172.1-processed-gene-6.238-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-6.238&CDS=1-2592	YBR294W, YLR092W
72	OG0000072	augustus_masked-NC_026173.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-0.8&CDS=1-3702, genemark-NC_026183.1-processed-gene-11.77-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-11.77&CDS=1-1500	YCL039W, YDR516C
73	OG0000073	genemark-NC_026173.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.76&CDS=1-1899, snap_masked-NC_026183.1-processed-gene-11.218-mRNA-1_1&gene=snap_masked-NC_026183.1-processed-gene-11.218&CDS=1-2010	YCL025C, YDR508C
