	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034877_Tetrapisispora_namnaonensis
10	OG0000010	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.18&CDS=1-1098, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-0.44&CDS=1-1236, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-10.26&CDS=1-1125
11	OG0000011	YDL080C, YLR044C, YLR134W	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-0.96&CDS=1-1689, augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-1.113&CDS=1-1689, augustus_masked-NODE_28_length_61917_cov_76.3263_ID_55-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_28_length_61917_cov_76.3263_ID_55-processed-gene-0.10&CDS=1-2067
12	OG0000012	YDR541C, YOL151W	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.67&CDS=1-1011, augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-0.61&CDS=1-1029, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-0.92&CDS=1-1020, augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.123&CDS=1-1011
13	OG0000013	YER056C, YER060W, YER060W-A	augustus_masked-NODE_6_length_572742_cov_75.3705_ID_11-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-NODE_6_length_572742_cov_75.3705_ID_11-processed-gene-4.190&CDS=1-1617, augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-3.11&CDS=1-1587, snap_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-2.45&CDS=1-1653
14	OG0000014	YGR032W, YLR342W, YMR306W	augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-5.53&CDS=1-5325, maker-NODE_3_length_828372_cov_76.4092_ID_5-augustus-gene-2.129-mRNA-1_1&gene=maker-NODE_3_length_828372_cov_76.4092_ID_5-augustus-gene-2.129&CDS=1-7395, snap_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-2.111-mRNA-1_1&gene=snap_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-2.111&CDS=1-5724
15	OG0000015	YJL116C, YKR042W, YNL066W	augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.3&CDS=1-1233, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-7.22&CDS=1-1173, augustus_masked-NODE_3_length_828372_cov_76.4092_ID_5-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-NODE_3_length_828372_cov_76.4092_ID_5-processed-gene-3.88&CDS=1-1281
16	OG0000016	Q0105, Q0110, Q0115, Q0120	maker-NODE_37_length_12494_cov_735.672_ID_73-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_37_length_12494_cov_735.672_ID_73-snap-gene-0.4&CDS=1-672, maker-NODE_37_length_12494_cov_735.672_ID_73-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_37_length_12494_cov_735.672_ID_73-snap-gene-0.6&CDS=1-1647
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.31&CDS=1-4899
18	OG0000018	YBL030C, YBR085W, YMR056C	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.58&CDS=1-912, snap_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.77&CDS=1-969
19	OG0000019	YBR009C, YNL030W	augustus_masked-NODE_15_length_376097_cov_74.5351_ID_29-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_15_length_376097_cov_74.5351_ID_29-processed-gene-2.143&CDS=1-309, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.18&CDS=1-309, augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.52&CDS=1-309
20	OG0000020	YBR010W, YNL031C	augustus_masked-NODE_15_length_376097_cov_74.5351_ID_29-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NODE_15_length_376097_cov_74.5351_ID_29-processed-gene-2.101&CDS=1-408, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-7.41&CDS=1-408, augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.63&CDS=1-408
21	OG0000021	YBR015C, YJL186W	augustus_masked-NODE_24_length_176467_cov_74.7781_ID_47-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_24_length_176467_cov_74.7781_ID_47-processed-gene-0.93&CDS=1-1719, augustus_masked-NODE_29_length_61745_cov_76.4265_ID_57-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_29_length_61745_cov_76.4265_ID_57-processed-gene-0.38&CDS=1-2271, augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-2.50&CDS=1-1917
22	OG0000022	YBR263W, YLR058C	augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-1.42&CDS=1-1407, augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-1.87&CDS=1-1458, augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.166&CDS=1-1407
23	OG0000023	YCR083W, YGR209C, YLR043C	augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-1.114&CDS=1-318, augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-2.4&CDS=1-393
24	OG0000024	YDL066W, YLR174W, YNL009W	augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-4.24&CDS=1-1299, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-8.6&CDS=1-1269
25	OG0000025	YER130C, YKL062W	augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-2.74&CDS=1-1314, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-6.0&CDS=1-1137, snap_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.85&CDS=1-1395
26	OG0000026	YGR201C, YKL081W, YPL048W	augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-0.95&CDS=1-855, maker-NODE_18_length_357073_cov_76.1135_ID_35-augustus-gene-1.88-mRNA-1_1&gene=maker-NODE_18_length_357073_cov_76.1135_ID_35-augustus-gene-1.88&CDS=1-1242
27	OG0000027	YHR179W, YPL171C	augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-1.57&CDS=1-1191, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-9.10&CDS=1-1167, augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-0.27&CDS=1-1200
28	OG0000028	YHR180W	augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.138&CDS=1-351, augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.173&CDS=1-549, augustus_masked-NODE_32_length_30028_cov_85.8901_ID_63-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_32_length_30028_cov_85.8901_ID_63-processed-gene-0.21&CDS=1-408, snap_masked-NODE_32_length_30028_cov_85.8901_ID_63-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_32_length_30028_cov_85.8901_ID_63-processed-gene-0.27&CDS=1-660
29	OG0000029	YJL172W, YOL153C	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-0.95&CDS=1-1641, augustus_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-0.89&CDS=1-1752, augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-4.81&CDS=1-1665
30	OG0000030	YKL220C, YLL051C, YNR060W, YOR381W	augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-0.47&CDS=1-2148
31	OG0000031	YMR083W, YMR303C, YOL086C	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-1.31&CDS=1-1050, augustus_masked-NODE_23_length_184114_cov_78.966_ID_45-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_23_length_184114_cov_78.966_ID_45-processed-gene-0.119&CDS=1-1131
32	OG0000032	YOR231W, YPL140C, YPL141C	augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-2.57&CDS=1-1839, maker-NODE_15_length_376097_cov_74.5351_ID_29-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_15_length_376097_cov_74.5351_ID_29-snap-gene-0.0&CDS=1-3393
33	OG0000033	YAL034C, YOR338W	augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-1.41&CDS=1-1227, augustus_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.51&CDS=1-1083
34	OG0000034	YAL054C, YLR153C	augustus_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.43&CDS=1-2148, augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-2.79&CDS=1-2016
35	OG0000035	YAL056W, YOR371C	snap_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-0.68&CDS=1-2466, snap_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_22_length_190587_cov_77.916_ID_43-processed-gene-0.74&CDS=1-2766
36	OG0000036	YAR042W, YDL019C	augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.46&CDS=1-3732, maker-NODE_13_length_391438_cov_78.2827_ID_25-snap-gene-2.183-mRNA-1_1&gene=maker-NODE_13_length_391438_cov_78.2827_ID_25-snap-gene-2.183&CDS=1-3708
37	OG0000037	YBL003C, YDR225W	augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.45&CDS=1-396, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-4.139&CDS=1-396
38	OG0000038	YBL027W, YBR084C-A	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.77&CDS=1-591, augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-0.54&CDS=1-696
39	OG0000039	YBL042C, YBR021W	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-1.26&CDS=1-1914, augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154729_cov_74.5298_ID_1-processed-gene-10.15&CDS=1-1833
40	OG0000040	YBL056W, YER089C	augustus_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.88&CDS=1-1521, augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.147&CDS=1-1416
41	OG0000041	YBL067C, YER098W	snap_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.59&CDS=1-2118, snap_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.51&CDS=1-2139
