	OrthologID	Saccharomyces_cerevisiae	Wickerhamomyces_anomalus
10	OG0000010	YGR086C, YPL001W, YPL004C	maker-scaffold_2-snap-gene-9.51-mRNA-1_1&gene=maker-scaffold_2-snap-gene-9.51&CDS=1-2115, snap_masked-scaffold_2-processed-gene-11.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.35&CDS=1-936, snap_masked-scaffold_2-processed-gene-11.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.36&CDS=1-1167, snap_masked-scaffold_3-processed-gene-2.98-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.98&CDS=1-939
11	OG0000011	YHL034C, YLL046C	augustus_masked-scaffold_38-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_38-processed-gene-0.3&CDS=1-303, snap_masked-scaffold_2-processed-gene-10.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.0&CDS=1-363, snap_masked-scaffold_2-processed-gene-10.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.1&CDS=1-177, snap_masked-scaffold_2-processed-gene-12.80-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.80&CDS=1-1152, snap_masked-scaffold_36-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_36-processed-gene-0.7&CDS=1-357
12	OG0000012	YJR152W	augustus_masked-scaffold_5-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.45&CDS=1-1569, maker-scaffold_1-augustus-gene-0.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.5&CDS=1-2559, snap_masked-scaffold_1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.64&CDS=1-1572, snap_masked-scaffold_3-processed-gene-20.296-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.296&CDS=1-1578, snap_masked-scaffold_5-processed-gene-2.3-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.3&CDS=1-1566, snap_masked-scaffold_5-processed-gene-5.8-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.8&CDS=1-1554
13	OG0000013	YOL119C, YOR306C	augustus_masked-scaffold_2-processed-gene-19.10-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.10&CDS=1-1644, augustus_masked-scaffold_4-processed-gene-14.86-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.86&CDS=1-3459, maker-scaffold_2-snap-gene-19.53-mRNA-1_1&gene=maker-scaffold_2-snap-gene-19.53&CDS=1-2898, snap_masked-scaffold_2-processed-gene-19.68-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.68&CDS=1-1572, snap_masked-scaffold_4-processed-gene-7.2-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.2&CDS=1-1422
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	maker-scaffold_2-snap-gene-5.57-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.57&CDS=1-4866, snap_masked-scaffold_4-processed-gene-18.2-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.2&CDS=1-4554
15	OG0000015	YBR015C	augustus_masked-scaffold_4-processed-gene-17.17-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.17&CDS=1-1665, maker-scaffold_4-snap-gene-13.2-mRNA-1_1&gene=maker-scaffold_4-snap-gene-13.2&CDS=1-3228, snap_masked-scaffold_3-processed-gene-1.85-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.85&CDS=1-1806, snap_masked-scaffold_3-processed-gene-17.19-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.19&CDS=1-1626, snap_masked-scaffold_7-processed-gene-4.66-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.66&CDS=1-1749
16	OG0000016	YBR150C, YOL089C	snap_masked-scaffold_3-processed-gene-18.8-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.8&CDS=1-2529, snap_masked-scaffold_6-processed-gene-9.14-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.14&CDS=1-1860, snap_masked-scaffold_7-processed-gene-8.24-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.24&CDS=1-2760, snap_masked-scaffold_7-processed-gene-8.4-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.4&CDS=1-939
17	OG0000017	YDL174C	snap_masked-scaffold_2-processed-gene-11.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.17&CDS=1-1710, snap_masked-scaffold_2-processed-gene-13.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.40&CDS=1-1671, snap_masked-scaffold_2-processed-gene-9.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.66&CDS=1-1710, snap_masked-scaffold_3-processed-gene-10.84-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.84&CDS=1-1683, snap_masked-scaffold_3-processed-gene-19.68-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.68&CDS=1-1695
18	OG0000018	YDR242W	maker-scaffold_3-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.0&CDS=1-2604, maker-scaffold_5-snap-gene-8.70-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.70&CDS=1-1575, maker-scaffold_9-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.0&CDS=1-3264, snap_masked-scaffold_1-processed-gene-13.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.74&CDS=1-1647, snap_masked-scaffold_4-processed-gene-15.40-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.40&CDS=1-1632
19	OG0000019	YGL257C, YNR059W	snap_masked-scaffold_4-processed-gene-14.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-14.14&CDS=1-1671, snap_masked-scaffold_4-processed-gene-19.218-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-19.218&CDS=1-2166, snap_masked-scaffold_5-processed-gene-11.14-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.14&CDS=1-2256, snap_masked-scaffold_5-processed-gene-12.60-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.60&CDS=1-2394
20	OG0000020	YGR281W	augustus_masked-scaffold_1-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.34&CDS=1-4002, snap_masked-scaffold_1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.107&CDS=1-3699, snap_masked-scaffold_1-processed-gene-23.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.18&CDS=1-4212, snap_masked-scaffold_3-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.107&CDS=1-3939, snap_masked-scaffold_5-processed-gene-12.52-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.52&CDS=1-4140
21	OG0000021	YHL027W, YJL056C	snap_masked-scaffold_1-processed-gene-24.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.113&CDS=1-2232, snap_masked-scaffold_2-processed-gene-9.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.57&CDS=1-1698, snap_masked-scaffold_28-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_28-processed-gene-0.0&CDS=1-1698, snap_masked-scaffold_7-processed-gene-5.18-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.18&CDS=1-1239
22	OG0000022	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-scaffold_3-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.71&CDS=1-2055, maker-scaffold_2-snap-gene-17.126-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.126&CDS=1-2454
23	OG0000023	YJL172W, YOL153C	augustus_masked-scaffold_3-processed-gene-20.193-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-20.193&CDS=1-1701, snap_masked-scaffold_1-processed-gene-21.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.57&CDS=1-1689, snap_masked-scaffold_3-processed-gene-8.103-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.103&CDS=1-1722, snap_masked-scaffold_5-processed-gene-2.8-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.8&CDS=1-1752
24	OG0000024	YJL218W	maker-scaffold_6-augustus-gene-0.9-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-0.9&CDS=1-669, maker-scaffold_7-augustus-gene-8.49-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-8.49&CDS=1-657, snap_masked-scaffold_2-processed-gene-3.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.17&CDS=1-561, snap_masked-scaffold_3-processed-gene-2.83-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.83&CDS=1-666, snap_masked-scaffold_5-processed-gene-1.2-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.2&CDS=1-663
25	OG0000025	YMR083W	snap_masked-scaffold_3-processed-gene-11.17-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.17&CDS=1-1116, snap_masked-scaffold_3-processed-gene-2.55-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.55&CDS=1-1122, snap_masked-scaffold_3-processed-gene-2.81-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.81&CDS=1-1044, snap_masked-scaffold_3-processed-gene-2.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.82&CDS=1-1050, snap_masked-scaffold_7-processed-gene-8.0-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.0&CDS=1-1125
26	OG0000026	YOR353C	augustus_masked-scaffold_2-processed-gene-19.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.35&CDS=1-3471, snap_masked-scaffold_1-processed-gene-6.134-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.134&CDS=1-1212, snap_masked-scaffold_5-processed-gene-10.10-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.10&CDS=1-1233, snap_masked-scaffold_5-processed-gene-10.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.19&CDS=1-1167, snap_masked-scaffold_6-processed-gene-3.42-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.42&CDS=1-1131
27	OG0000027	YAR019C, YDR523C	maker-scaffold_4-snap-gene-19.21-mRNA-1_1&gene=maker-scaffold_4-snap-gene-19.21&CDS=1-1527, snap_masked-scaffold_1-processed-gene-14.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.67&CDS=1-1440, snap_masked-scaffold_7-processed-gene-5.2-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.2&CDS=1-3087
28	OG0000028	YBR057C	augustus_masked-scaffold_13-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.6&CDS=1-759, genemark-scaffold_15-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.13&CDS=1-261, maker-scaffold_36-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_36-augustus-gene-0.4&CDS=1-822, maker-scaffold_38-snap-gene-0.8-mRNA-1_1&gene=maker-scaffold_38-snap-gene-0.8&CDS=1-846
29	OG0000029	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-scaffold_4-processed-gene-9.63-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.63&CDS=1-1914
30	OG0000030	YBR298C, YDL247W, YGR289C, YJR160C	maker-scaffold_4-snap-gene-10.1-mRNA-1_1&gene=maker-scaffold_4-snap-gene-10.1&CDS=1-6933
31	OG0000031	YCL025C, YDR508C	snap_masked-scaffold_1-processed-gene-24.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.117&CDS=1-1779, snap_masked-scaffold_2-processed-gene-21.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.118&CDS=1-1782, snap_masked-scaffold_7-processed-gene-8.17-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.17&CDS=1-1764
32	OG0000032	YCL069W, YGR224W, YKR105C, YPR198W	maker-scaffold_5-snap-gene-6.46-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.46&CDS=1-3552
33	OG0000033	YDL210W	augustus_masked-scaffold_1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.36&CDS=1-1443, snap_masked-scaffold_4-processed-gene-19.213-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-19.213&CDS=1-1668, snap_masked-scaffold_5-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.22&CDS=1-1665, snap_masked-scaffold_6-processed-gene-10.135-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.135&CDS=1-1656
34	OG0000034	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-scaffold_3-processed-gene-11.42-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.42&CDS=1-1026
35	OG0000035	YDR038C, YDR039C, YDR040C	snap_masked-scaffold_1-processed-gene-25.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.139&CDS=1-3153, snap_masked-scaffold_3-processed-gene-16.97-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.97&CDS=1-3138
36	OG0000036	YDR342C, YDR343C, YHR092C	snap_masked-scaffold_4-processed-gene-3.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.61&CDS=1-1701, snap_masked-scaffold_4-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.62&CDS=1-1665
37	OG0000037	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-scaffold_2-processed-gene-8.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.66&CDS=1-732
38	OG0000038	YER045C, YIL036W, YNL167C	snap_masked-scaffold_2-processed-gene-16.90-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.90&CDS=1-1692, snap_masked-scaffold_4-processed-gene-15.48-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.48&CDS=1-1137
39	OG0000039	YFR040W, YGL229C, YKR028W	snap_masked-scaffold_3-processed-gene-8.120-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.120&CDS=1-2829, snap_masked-scaffold_3-processed-gene-9.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.67&CDS=1-2535
40	OG0000040	YGL089C, YPL187W	snap_masked-scaffold_3-processed-gene-12.2-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.2&CDS=1-624, snap_masked-scaffold_3-processed-gene-15.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.63&CDS=1-375, snap_masked-scaffold_3-processed-gene-6.130-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.130&CDS=1-525
41	OG0000041	YGL160W, YLR047C	snap_masked-scaffold_3-processed-gene-16.100-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.100&CDS=1-1488, snap_masked-scaffold_4-processed-gene-10.66-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.66&CDS=1-1959, snap_masked-scaffold_5-processed-gene-13.98-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.98&CDS=1-1650
42	OG0000042	YGR191W, YKR039W	maker-scaffold_1-snap-gene-4.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.3&CDS=1-1746, maker-scaffold_1-snap-gene-9.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.6&CDS=1-1740, snap_masked-scaffold_4-processed-gene-10.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.61&CDS=1-1785
43	OG0000043	YGR197C, YJR015W	snap_masked-scaffold_2-processed-gene-4.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.31&CDS=1-1539, snap_masked-scaffold_2-processed-gene-5.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.67&CDS=1-1722, snap_masked-scaffold_2-processed-gene-5.94-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.94&CDS=1-1599
44	OG0000044	YGR260W	snap_masked-scaffold_2-processed-gene-5.86-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.86&CDS=1-1479, snap_masked-scaffold_3-processed-gene-18.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.13&CDS=1-1473, snap_masked-scaffold_4-processed-gene-10.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.75&CDS=1-1509, snap_masked-scaffold_5-processed-gene-7.62-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.62&CDS=1-1497
45	OG0000045	YKL098W	augustus_masked-scaffold_5-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.77&CDS=1-1737, augustus_masked-scaffold_6-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.99&CDS=1-3042, augustus_masked-scaffold_6-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.37&CDS=1-2277, snap_masked-scaffold_5-processed-gene-9.2-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.2&CDS=1-975
46	OG0000046	YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-scaffold_1-processed-gene-29.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.64&CDS=1-1104
47	OG0000047	YML111W, YMR275C	augustus_masked-scaffold_1-processed-gene-23.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.56&CDS=1-2520, augustus_masked-scaffold_1-processed-gene-32.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-32.87&CDS=1-3606, snap_masked-scaffold_1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.80&CDS=1-2313
48	OG0000048	YNL283C, YOL105C, YOR008C	augustus_masked-scaffold_6-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.93&CDS=1-1149, snap_masked-scaffold_7-processed-gene-6.88-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.88&CDS=1-933
49	OG0000049	YOR389W, YPL277C, YPL278C	augustus_masked-scaffold_3-processed-gene-20.233-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-20.233&CDS=1-2121, snap_masked-scaffold_7-processed-gene-3.59-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.59&CDS=1-1887
50	OG0000050	YPR194C	augustus_masked-scaffold_3-processed-gene-17.61-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.61&CDS=1-5106, genemark-scaffold_1-processed-gene-5.116-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.116&CDS=1-2610, snap_masked-scaffold_5-processed-gene-14.146-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.146&CDS=1-2700, snap_masked-scaffold_6-processed-gene-2.4-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.4&CDS=1-2730
