	OrthologID	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-0.36&CDS=1-1914, -processed-gene-15.12-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-15.12&CDS=1-1914, -processed-gene-20.2-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-20.2&CDS=1-1743, -processed-gene-8.59-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-8.59&CDS=1-2160, -processed-gene-8.91-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-8.91&CDS=1-2205, -snap-gene-3.107-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-snap-gene-3.107&CDS=1-2826	YKL220C, YNR060W, YOR381W
11	OG0000011	-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-7.88&CDS=1-1752, -snap-gene-3.92-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-snap-gene-3.92&CDS=1-3513	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
12	OG0000012	-processed-gene-13.110-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-13.110&CDS=1-1056, -processed-gene-13.111-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-13.111&CDS=1-1071, -processed-gene-13.95-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-13.95&CDS=1-1056, -processed-gene-18.15-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-18.15&CDS=1-399, -processed-gene-7.31-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-7.31&CDS=1-837, -processed-gene-8.69-mRNA-1_1&gene=genemark-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-8.69&CDS=1-903, -snap-gene-13.43-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-snap-gene-13.43&CDS=1-1059	YER185W, YGR213C
13	OG0000013	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318257|dbj|BCKZ01000126.1|-processed-gene-0.1&CDS=1-792, -processed-gene-0.100-mRNA-1_1&gene=snap_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.100&CDS=1-213, -processed-gene-0.7-mRNA-1_1&gene=augustus_masked-gi|1002318331|dbj|BCKZ01000052.1|-processed-gene-0.7&CDS=1-2403, -processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.23&CDS=1-765, -processed-gene-13.28-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-13.28&CDS=1-1638, -processed-gene-13.29-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-13.29&CDS=1-1776, -processed-gene-15.65-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-15.65&CDS=1-393, -processed-gene-15.90-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-15.90&CDS=1-936	
14	OG0000014	-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-0.76&CDS=1-1698, -processed-gene-8.34-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.34&CDS=1-1740, -processed-gene-9.122-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-9.122&CDS=1-1764, -snap-gene-0.80-mRNA-1_1&gene=maker-gi|1002318365|dbj|BCKZ01000018.1|-snap-gene-0.80&CDS=1-3486	YCL069W, YGR224W, YKR105C, YPR198W
15	OG0000015	-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002318368|dbj|BCKZ01000015.1|-processed-gene-0.51&CDS=1-1590, -processed-gene-10.8-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-10.8&CDS=1-1692, -processed-gene-3.25-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-3.25&CDS=1-1503, -processed-gene-5.72-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-5.72&CDS=1-1575, -processed-gene-6.97-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-6.97&CDS=1-1515, -processed-gene-7.99-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-7.99&CDS=1-1584, -processed-gene-8.41-mRNA-1_1&gene=genemark-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-8.41&CDS=1-1584	YKL217W
16	OG0000016	-augustus-gene-2.87-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-augustus-gene-2.87&CDS=1-648, -processed-gene-2.22-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-2.22&CDS=1-648, -processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-2.60&CDS=1-648, -processed-gene-2.7-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-2.7&CDS=1-741, -processed-gene-8.24-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-8.24&CDS=1-645	YDR391C, YOR012W, YOR013W
17	OG0000017	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002318253|dbj|BCKZ01000130.1|-processed-gene-0.0&CDS=1-1098, -processed-gene-1.32-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-1.32&CDS=1-1101, -processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.47&CDS=1-1098, -processed-gene-12.30-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-12.30&CDS=1-1098, -processed-gene-2.116-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-2.116&CDS=1-1098, -processed-gene-21.18-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-21.18&CDS=1-1101	YJR153W
18	OG0000018	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002318320|dbj|BCKZ01000063.1|-processed-gene-0.9&CDS=1-330, -snap-gene-0.5-mRNA-1_1&gene=maker-gi|1002318316|dbj|BCKZ01000067.1|-snap-gene-0.5&CDS=1-564, -snap-gene-0.6-mRNA-1_1&gene=maker-gi|1002318316|dbj|BCKZ01000067.1|-snap-gene-0.6&CDS=1-198	Q0105, Q0110, Q0115, Q0120
19	OG0000019	-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-gi|1002318340|dbj|BCKZ01000043.1|-processed-gene-0.20&CDS=1-801, -processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-0.37&CDS=1-789, -processed-gene-0.72-mRNA-1_1&gene=augustus_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-0.72&CDS=1-807, -processed-gene-5.48-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-5.48&CDS=1-858, -processed-gene-7.45-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-7.45&CDS=1-807	YCR010C, YNR002C
