	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034883_Peterozyma_xylosa
10	OG0000010	YJR152W, YLR004C	maker-flattened_line_2-snap-gene-7.0-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-7.0&CDS=1-1596, maker-flattened_line_26-augustus-gene-2.116-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-2.116&CDS=1-1593, snap_masked-flattened_line_14-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.58&CDS=1-1593, snap_masked-flattened_line_38-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.104&CDS=1-1533, snap_masked-flattened_line_42-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.49&CDS=1-1638, snap_masked-flattened_line_6-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.71&CDS=1-1608
11	OG0000011	YBR015C	maker-flattened_line_34-augustus-gene-1.80-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-1.80&CDS=1-2673, snap_masked-flattened_line_0-processed-gene-11.120-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.120&CDS=1-1668, snap_masked-flattened_line_18-processed-gene-3.57-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.57&CDS=1-1563, snap_masked-flattened_line_24-processed-gene-3.159-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.159&CDS=1-1899, snap_masked-flattened_line_26-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.38&CDS=1-1791, snap_masked-flattened_line_34-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.113&CDS=1-1878
12	OG0000012	YDL170W	genemark-flattened_line_20-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.80&CDS=1-2022, maker-flattened_line_22-snap-gene-4.159-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-4.159&CDS=1-1953, snap_masked-flattened_line_16-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.92&CDS=1-2193, snap_masked-flattened_line_20-processed-gene-1.123-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.123&CDS=1-2256, snap_masked-flattened_line_38-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.60&CDS=1-2301, snap_masked-flattened_line_8-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.102&CDS=1-2484
13	OG0000013	YDR011W, YNR070W, YPL058C	snap_masked-flattened_line_0-processed-gene-6.4-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.4&CDS=1-4530, snap_masked-flattened_line_0-processed-gene-8.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.52&CDS=1-4398, snap_masked-flattened_line_2-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.66&CDS=1-4497, snap_masked-flattened_line_4-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.72&CDS=1-4536
14	OG0000014	YDR135C, YLL015W	augustus_masked-flattened_line_40-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.52&CDS=1-6105, genemark-flattened_line_26-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.82&CDS=1-4746, snap_masked-flattened_line_0-processed-gene-7.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.49&CDS=1-4518, snap_masked-flattened_line_14-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.65&CDS=1-4497, snap_masked-flattened_line_40-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.84&CDS=1-4692
15	OG0000015	YDR242W	snap_masked-flattened_line_0-processed-gene-11.99-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.99&CDS=1-1698, snap_masked-flattened_line_14-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.42&CDS=1-1632, snap_masked-flattened_line_2-processed-gene-9.32-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-9.32&CDS=1-1668, snap_masked-flattened_line_30-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.95&CDS=1-1701, snap_masked-flattened_line_8-processed-gene-3.19-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.19&CDS=1-1668, snap_masked-flattened_line_8-processed-gene-3.9-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.9&CDS=1-1686
16	OG0000016	YLR237W, YOR071C, YOR192C	maker-flattened_line_32-augustus-gene-2.122-mRNA-1_1&gene=maker-flattened_line_32-augustus-gene-2.122&CDS=1-1764, maker-flattened_line_8-snap-gene-5.48-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-5.48&CDS=1-3402, snap_masked-flattened_line_16-processed-gene-3.96-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.96&CDS=1-1686, snap_masked-flattened_line_22-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.16&CDS=1-1686
17	OG0000017	YOL119C, YOR306C	augustus_masked-flattened_line_16-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.23&CDS=1-1476, snap_masked-flattened_line_18-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.68&CDS=1-1401, snap_masked-flattened_line_20-processed-gene-2.54-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.54&CDS=1-1497, snap_masked-flattened_line_6-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.102&CDS=1-1608, snap_masked-flattened_line_6-processed-gene-6.12-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.12&CDS=1-1500
18	OG0000018	YAL040C, YGR108W, YPR119W	snap_masked-flattened_line_0-processed-gene-2.34-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.34&CDS=1-1323, snap_masked-flattened_line_12-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.105&CDS=1-1668, snap_masked-flattened_line_6-processed-gene-7.159-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.159&CDS=1-1386
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_14-processed-gene-4.48-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.48&CDS=1-2673, snap_masked-flattened_line_18-processed-gene-4.149-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.149&CDS=1-4716
20	OG0000020	YBR019C, YDL174C	maker-flattened_line_4-augustus-gene-8.69-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-8.69&CDS=1-3063, maker-flattened_line_4-snap-gene-0.43-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.43&CDS=1-2100, snap_masked-flattened_line_12-processed-gene-2.135-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.135&CDS=1-1668, snap_masked-flattened_line_14-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.88&CDS=1-1689
21	OG0000021	YBR132C	augustus_masked-flattened_line_16-processed-gene-4.213-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.213&CDS=1-1776, snap_masked-flattened_line_0-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.105&CDS=1-1695, snap_masked-flattened_line_16-processed-gene-4.29-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.29&CDS=1-1761, snap_masked-flattened_line_32-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.33&CDS=1-1719, snap_masked-flattened_line_52-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.35&CDS=1-1659
22	OG0000022	YBR150C, YOL089C	augustus_masked-flattened_line_12-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.1&CDS=1-2907, genemark-flattened_line_18-processed-gene-2.44-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.44&CDS=1-2595, genemark-flattened_line_24-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.9&CDS=1-2547, snap_masked-flattened_line_24-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.54&CDS=1-2631
23	OG0000023	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_24-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.48&CDS=1-2298, snap_masked-flattened_line_24-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.111&CDS=1-1752
24	OG0000024	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_2-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.64&CDS=1-1764, snap_masked-flattened_line_28-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.130&CDS=1-1647
25	OG0000025	YCR053W, YNL125C	augustus_masked-flattened_line_2-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.45&CDS=1-1803, maker-flattened_line_28-snap-gene-2.9-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-2.9&CDS=1-4347, maker-flattened_line_40-snap-gene-0.130-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.130&CDS=1-1845, snap_masked-flattened_line_4-processed-gene-7.30-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.30&CDS=1-1713
26	OG0000026	YDL216C, YFR004W, YLR073C	genemark-flattened_line_34-processed-gene-1.179-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.179&CDS=1-930, snap_masked-flattened_line_0-processed-gene-9.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.79&CDS=1-1446, snap_masked-flattened_line_14-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.94&CDS=1-1749
27	OG0000027	YDL230W, YER075C, YOR208W	augustus_masked-flattened_line_6-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.8&CDS=1-930, snap_masked-flattened_line_12-processed-gene-5.77-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.77&CDS=1-2148, snap_masked-flattened_line_16-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.142&CDS=1-2004
28	OG0000028	YDR326C, YFL042C, YHR080C, YLR072W	snap_masked-flattened_line_0-processed-gene-11.72-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.72&CDS=1-2799, snap_masked-flattened_line_4-processed-gene-5.104-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.104&CDS=1-3321
29	OG0000029	YDR402C	snap_masked-flattened_line_16-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.114&CDS=1-1578, snap_masked-flattened_line_20-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.71&CDS=1-1638, snap_masked-flattened_line_20-processed-gene-4.129-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.129&CDS=1-1248, snap_masked-flattened_line_22-processed-gene-2.133-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.133&CDS=1-1488, snap_masked-flattened_line_6-processed-gene-2.83-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.83&CDS=1-1476
30	OG0000030	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_2-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.135&CDS=1-2139, snap_masked-flattened_line_40-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.22&CDS=1-1653
31	OG0000031	YER056C, YER060W, YER060W-A	maker-flattened_line_46-augustus-gene-0.175-mRNA-1_1&gene=maker-flattened_line_46-augustus-gene-0.175&CDS=1-3525, snap_masked-flattened_line_2-processed-gene-7.28-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.28&CDS=1-1536, snap_masked-flattened_line_20-processed-gene-3.69-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-3.69&CDS=1-1515
32	OG0000032	YGL185C, YPL113C	snap_masked-flattened_line_0-processed-gene-9.101-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.101&CDS=1-1095, snap_masked-flattened_line_0-processed-gene-9.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.76&CDS=1-1095, snap_masked-flattened_line_12-processed-gene-5.76-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.76&CDS=1-1107, snap_masked-flattened_line_24-processed-gene-3.121-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.121&CDS=1-1113
33	OG0000033	YGR281W	genemark-flattened_line_12-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.105&CDS=1-4248, snap_masked-flattened_line_18-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.90&CDS=1-4269, snap_masked-flattened_line_36-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.97&CDS=1-4221, snap_masked-flattened_line_40-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.3&CDS=1-4224, snap_masked-flattened_line_44-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.115&CDS=1-4146
34	OG0000034	YHR137W	snap_masked-flattened_line_26-processed-gene-2.11-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.11&CDS=1-1434, snap_masked-flattened_line_30-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.57&CDS=1-1428, snap_masked-flattened_line_4-processed-gene-2.132-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.132&CDS=1-1437, snap_masked-flattened_line_48-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.104&CDS=1-1443, snap_masked-flattened_line_8-processed-gene-3.32-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.32&CDS=1-1434
35	OG0000035	YHR178W, YLR014C, YLR278C	snap_masked-flattened_line_10-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.75&CDS=1-1830, snap_masked-flattened_line_10-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.80&CDS=1-2475, snap_masked-flattened_line_6-processed-gene-5.7-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.7&CDS=1-3039
36	OG0000036	YIL123W, YJL116C, YKR042W, YNL066W	snap_masked-flattened_line_0-processed-gene-11.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.84&CDS=1-1299, snap_masked-flattened_line_54-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.31&CDS=1-1170
37	OG0000037	YJR061W, YKL201C	snap_masked-flattened_line_18-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.99&CDS=1-2295, snap_masked-flattened_line_24-processed-gene-3.101-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.101&CDS=1-2418, snap_masked-flattened_line_38-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.108&CDS=1-1974, snap_masked-flattened_line_40-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.86&CDS=1-2553
38	OG0000038	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-flattened_line_4-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.34&CDS=1-2004, maker-flattened_line_34-snap-gene-1.249-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.249&CDS=1-2418
39	OG0000039	YMR083W	snap_masked-flattened_line_12-processed-gene-5.81-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.81&CDS=1-1053, snap_masked-flattened_line_14-processed-gene-3.64-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.64&CDS=1-1083, snap_masked-flattened_line_14-processed-gene-4.47-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.47&CDS=1-1116, snap_masked-flattened_line_32-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.58&CDS=1-1050, snap_masked-flattened_line_6-processed-gene-2.82-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.82&CDS=1-1050
40	OG0000040	YAR019C, YDR523C	maker-flattened_line_6-snap-gene-6.0-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-6.0&CDS=1-1413, snap_masked-flattened_line_2-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.67&CDS=1-1623, snap_masked-flattened_line_6-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.23&CDS=1-3339
41	OG0000041	YBL068W, YER099C, YHL011C	snap_masked-flattened_line_34-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.126&CDS=1-963, snap_masked-flattened_line_44-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.107&CDS=1-990
42	OG0000042	YBR062C, YDR143C	augustus_masked-flattened_line_42-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.212&CDS=1-1458, maker-flattened_line_28-snap-gene-2.6-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-2.6&CDS=1-2016, snap_masked-flattened_line_18-processed-gene-4.154-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.154&CDS=1-624
43	OG0000043	YBR177C, YMR210W, YPL095C	snap_masked-flattened_line_12-processed-gene-3.95-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.95&CDS=1-1353, snap_masked-flattened_line_18-processed-gene-4.157-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.157&CDS=1-1338
