	OrthologID	Nakazawaea_peltata	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.65&CDS=1-3198, -processed-gene-15.68-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-15.68&CDS=1-2271, -processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.91&CDS=1-3297, -processed-gene-9.135-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.135&CDS=1-2724	YER013W, YGL120C, YKR086W, YNR011C
11	OG0000011	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-1.112&CDS=1-1749	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
12	OG0000012	-processed-gene-10.119-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.119&CDS=1-1806, -processed-gene-11.6-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.6&CDS=1-1701, -processed-gene-2.42-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-2.42&CDS=1-1764	YDR380W, YGR087C, YLR044C, YLR134W
13	OG0000013	-processed-gene-0.60-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-0.60&CDS=1-2205, -processed-gene-12.115-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.115&CDS=1-3012, -processed-gene-12.41-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.41&CDS=1-2448	YKL222C, YLR266C, YOR162C, YOR172W
14	OG0000014	-processed-gene-2.52-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-2.52&CDS=1-1698, -processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-2.53&CDS=1-1605, -processed-gene-3.128-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.128&CDS=1-1731, -processed-gene-9.65-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.65&CDS=1-1707	YLR237W, YOR071C, YOR192C
15	OG0000015	-processed-gene-0.71-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-0.71&CDS=1-1614, -processed-gene-1.46-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-1.46&CDS=1-2004, -processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-1.52&CDS=1-1863, -processed-gene-17.50-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-17.50&CDS=1-1674, -processed-gene-4.131-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-4.131&CDS=1-1848, -snap-gene-5.1-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-snap-gene-5.1&CDS=1-2943	YBR015C
16	OG0000016	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-0.36&CDS=1-1560, -processed-gene-0.81-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.81&CDS=1-1710, -processed-gene-27.117-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-27.117&CDS=1-1914	YMR006C, YMR008C, YNL012W, YOL011W
17	OG0000017	-processed-gene-27.116-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-27.116&CDS=1-1743, -processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.62&CDS=1-1725, -processed-gene-6.52-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-6.52&CDS=1-1806, -processed-gene-8.75-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.75&CDS=1-1797, -snap-gene-7.1-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-7.1&CDS=1-3537	YJL172W, YOL153C
18	OG0000018	-processed-gene-0.134-mRNA-1_1&gene=genemark-gi|1002316190|dbj|BCGQ01000011.1|-processed-gene-0.134&CDS=1-1713, -processed-gene-2.70-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.70&CDS=1-1944	YDR144C, YDR349C, YLR120C, YLR121C
19	OG0000019	-processed-gene-1.99-mRNA-1_1&gene=genemark-gi|1002316191|dbj|BCGQ01000010.1|-processed-gene-1.99&CDS=1-2652, -processed-gene-4.142-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.142&CDS=1-4659	YBL017C, YIL173W, YJL222W, YNR065C
20	OG0000020	-processed-gene-1.109-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-1.109&CDS=1-1866, -processed-gene-5.112-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.112&CDS=1-2523, -processed-gene-7.3-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-7.3&CDS=1-3390	YDL025C, YNL183C, YOR267C
21	OG0000021	-processed-gene-4.214-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-4.214&CDS=1-1482	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
22	OG0000022	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-1.27&CDS=1-2673, -processed-gene-2.170-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-2.170&CDS=1-2700	YDR326C, YFL042C, YHR080C, YLR072W
23	OG0000023	-processed-gene-6.59-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.59&CDS=1-1134, -processed-gene-8.133-mRNA-1_1&gene=snap_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-8.133&CDS=1-1128, -snap-gene-6.0-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-snap-gene-6.0&CDS=1-2154	YCR102C, YLR460C, YNL134C
24	OG0000024	-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.103&CDS=1-4674, -processed-gene-10.69-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-10.69&CDS=1-1917, -processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.3&CDS=1-1440, -processed-gene-8.65-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.65&CDS=1-1473	YMR237W, YOR299W
25	OG0000025	-processed-gene-21.67-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-21.67&CDS=1-1668, -processed-gene-8.64-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-8.64&CDS=1-1689	YER054C, YIL045W, YLR273C, YOR178C
26	OG0000026	-processed-gene-12.166-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.166&CDS=1-1356, -processed-gene-3.50-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.50&CDS=1-1227, -processed-gene-6.1-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-6.1&CDS=1-803	YGL128C, YLR090W, YNL064C
27	OG0000027		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
28	OG0000028	-processed-gene-0.127-mRNA-1_1&gene=genemark-gi|1002316190|dbj|BCGQ01000011.1|-processed-gene-0.127&CDS=1-2658, -processed-gene-9.114-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.114&CDS=1-2532	YCR037C, YJL198W, YNR013C
29	OG0000029	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316190|dbj|BCGQ01000011.1|-processed-gene-0.56&CDS=1-4113, -processed-gene-5.20-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-5.20&CDS=1-4182, -processed-gene-7.159-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.159&CDS=1-4353, -snap-gene-7.142-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-snap-gene-7.142&CDS=1-12687	YGR281W
30	OG0000030	-augustus-gene-1.50-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-augustus-gene-1.50&CDS=1-2193, -processed-gene-0.103-mRNA-1_1&gene=genemark-gi|1002316190|dbj|BCGQ01000011.1|-processed-gene-0.103&CDS=1-1128, -processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.26&CDS=1-1260, -processed-gene-4.150-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-4.150&CDS=1-978	YBR004C
31	OG0000031	-processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-5.98&CDS=1-1227, -snap-gene-2.142-mRNA-1_1&gene=maker-gi|1002316191|dbj|BCGQ01000010.1|-snap-gene-2.142&CDS=1-2382	YKL081W, YPL048W, YPL050C
32	OG0000032	-processed-gene-12.180-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.180&CDS=1-1488, -processed-gene-2.87-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-2.87&CDS=1-1503, -processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-4.92&CDS=1-1491	YMR169C, YMR170C
33	OG0000033	-processed-gene-4.119-mRNA-1_1&gene=genemark-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-4.119&CDS=1-1917, -processed-gene-5.123-mRNA-1_1&gene=augustus_masked-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-5.123&CDS=1-3570, -processed-gene-5.136-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-5.136&CDS=1-1614	YDR362C, YJL163C
34	OG0000034	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-1.16&CDS=1-1374, -processed-gene-10.110-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.110&CDS=1-1434, -processed-gene-2.80-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-2.80&CDS=1-1440, -processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-3.58&CDS=1-1461	YOL119C
35	OG0000035	-processed-gene-2.77-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-2.77&CDS=1-1404, -processed-gene-22.113-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-22.113&CDS=1-1443, -processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-4.44&CDS=1-1434, -processed-gene-7.40-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-7.40&CDS=1-1650	YKL103C
36	OG0000036	-processed-gene-22.72-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-22.72&CDS=1-1611, -processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-3.59&CDS=1-1413, -processed-gene-7.49-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.49&CDS=1-1476	YCR045C, YEL060C
37	OG0000037	-processed-gene-5.11-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-5.11&CDS=1-2112, -processed-gene-5.115-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-5.115&CDS=1-2925, -processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-5.66&CDS=1-2373	YLR144C, YNR067C
38	OG0000038	-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.38&CDS=1-4926, -processed-gene-5.57-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-5.57&CDS=1-3522	YML072C, YNL087W, YOR086C
39	OG0000039	-processed-gene-6.57-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-6.57&CDS=1-1551, -snap-gene-12.6-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-12.6&CDS=1-1185, -snap-gene-2.148-mRNA-1_1&gene=maker-gi|1002316194|dbj|BCGQ01000007.1|-snap-gene-2.148&CDS=1-1896	YER133W, YML016C
