	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034897_Ogataea_glucozyma
13	OG0000013	YAL030W, YLR093C, YOR327C	genemark-flattened_line_1-processed-gene-2.127-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-2.127&CDS=1-852, genemark-flattened_line_58-processed-gene-0.190-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.190&CDS=1-360
14	OG0000014	YBR240C	augustus_masked-flattened_line_3-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.87&CDS=1-591, genemark-flattened_line_13-processed-gene-2.63-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.63&CDS=1-891, genemark-flattened_line_21-processed-gene-1.16-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.16&CDS=1-1752, genemark-flattened_line_24-processed-gene-2.12-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.12&CDS=1-1386
15	OG0000015	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_114-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.19&CDS=1-1656
16	OG0000016	YDL037C, YIR019C	augustus_masked-flattened_line_351-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_351-processed-gene-0.2&CDS=1-1074, genemark-flattened_line_72-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.27&CDS=1-1158, snap_masked-flattened_line_283-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_283-processed-gene-0.1&CDS=1-2025
17	OG0000017	YDR242W	genemark-flattened_line_21-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.32&CDS=1-1722, genemark-flattened_line_24-processed-gene-2.11-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.11&CDS=1-1635, genemark-flattened_line_66-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.153&CDS=1-1677, genemark-flattened_line_7-processed-gene-4.29-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-4.29&CDS=1-1659
18	OG0000018	YDR303C, YHR054C, YHR056C	genemark-flattened_line_114-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.29&CDS=1-3105, snap_masked-flattened_line_70-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.77&CDS=1-1809
19	OG0000019	YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_62-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.35&CDS=1-2862, genemark-flattened_line_44-processed-gene-0.164-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.164&CDS=1-2535
20	OG0000020	YGR263C	genemark-flattened_line_124-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.21&CDS=1-966, genemark-flattened_line_82-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.70&CDS=1-1047, snap_masked-flattened_line_36-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.52&CDS=1-1005, snap_masked-flattened_line_64-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.55&CDS=1-1020
21	OG0000021	YIL151C, YKR096W	genemark-flattened_line_36-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.64&CDS=1-975, genemark-flattened_line_94-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.103&CDS=1-1167, maker-flattened_line_36-snap-gene-1.169-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.169&CDS=1-5601
22	OG0000022	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_114-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.45&CDS=1-2592
23	OG0000023	YLR127C	augustus_masked-flattened_line_68-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.153&CDS=1-561, augustus_masked-flattened_line_70-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.45&CDS=1-666, genemark-flattened_line_34-processed-gene-1.185-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.185&CDS=1-1872, snap_masked-flattened_line_36-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.54&CDS=1-639
24	OG0000024	YAL018C, YOL048C	genemark-flattened_line_7-processed-gene-4.47-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-4.47&CDS=1-807, snap_masked-flattened_line_1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.85&CDS=1-693
25	OG0000025	YAR002C-A, YGL002W, YHR110W	genemark-flattened_line_17-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.10&CDS=1-651
26	OG0000026	YBL002W, YDR224C	genemark-flattened_line_0-processed-gene-5.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.68&CDS=1-393, snap_masked-flattened_line_0-processed-gene-2.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.97&CDS=1-393
27	OG0000027	YBL068W, YER099C	genemark-flattened_line_23-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.105&CDS=1-978, genemark-flattened_line_23-processed-gene-2.10-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.10&CDS=1-978
28	OG0000028	YBL072C, YER102W	genemark-flattened_line_23-processed-gene-1.91-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.91&CDS=1-594, genemark-flattened_line_23-processed-gene-2.40-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.40&CDS=1-594
29	OG0000029	YBL101C, YPR030W	genemark-flattened_line_0-processed-gene-3.134-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.134&CDS=1-3708, genemark-flattened_line_0-processed-gene-5.51-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.51&CDS=1-3708
30	OG0000030	YBR001C, YDR001C	genemark-flattened_line_23-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.48&CDS=1-2442, genemark-flattened_line_23-processed-gene-2.62-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.62&CDS=1-2442
31	OG0000031	YBR009C, YNL030W	genemark-flattened_line_30-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.11&CDS=1-309, genemark-flattened_line_90-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.49&CDS=1-309
32	OG0000032	YBR010W, YNL031C	genemark-flattened_line_30-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.34&CDS=1-408, genemark-flattened_line_90-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.69&CDS=1-408
33	OG0000033	YBR021W, YIR028W	genemark-flattened_line_3-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.70&CDS=1-1779, genemark-flattened_line_66-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.152&CDS=1-1731
34	OG0000034	YBR072W	genemark-flattened_line_23-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.87&CDS=1-648, genemark-flattened_line_23-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.18&CDS=1-648, maker-flattened_line_52-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.70&CDS=1-951
35	OG0000035	YBR118W, YPR080W	augustus_masked-flattened_line_140-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.11&CDS=1-582, genemark-flattened_line_108-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.37&CDS=1-564
36	OG0000036	YBR181C, YPL090C	genemark-flattened_line_0-processed-gene-3.107-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.107&CDS=1-708, genemark-flattened_line_0-processed-gene-5.78-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.78&CDS=1-708
37	OG0000037	YBR238C, YGL107C	genemark-flattened_line_76-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.40&CDS=1-1488, maker-flattened_line_44-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.14&CDS=1-3768
38	OG0000038	YBR293W	genemark-flattened_line_36-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.105&CDS=1-1728, genemark-flattened_line_66-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.121&CDS=1-3363, genemark-flattened_line_9-processed-gene-4.25-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.25&CDS=1-1707
39	OG0000039	YBR294W, YLR092W	genemark-flattened_line_0-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.48&CDS=1-2358, genemark-flattened_line_0-processed-gene-7.169-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.169&CDS=1-2358
40	OG0000040	YCL036W, YDR514C	snap_masked-flattened_line_23-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.117&CDS=1-1032, snap_masked-flattened_line_23-processed-gene-2.101-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.101&CDS=1-1032
41	OG0000041	YCR026C, YEL016C	genemark-flattened_line_0-processed-gene-3.104-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.104&CDS=1-2316, genemark-flattened_line_0-processed-gene-5.81-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.81&CDS=1-2316
42	OG0000042	YCR048W, YNR019W	genemark-flattened_line_0-processed-gene-1.15-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.15&CDS=1-1677, genemark-flattened_line_0-processed-gene-7.150-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.150&CDS=1-1677
43	OG0000043	YCR102C, YLR460C, YNL134C	genemark-flattened_line_1-processed-gene-3.66-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.66&CDS=1-1107
44	OG0000044	YDL042C, YOL068C	genemark-flattened_line_0-processed-gene-2.125-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.125&CDS=1-1785, genemark-flattened_line_0-processed-gene-6.109-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.109&CDS=1-1785
45	OG0000045	YDL049C, YJL174W	genemark-flattened_line_23-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.56&CDS=1-804, genemark-flattened_line_23-processed-gene-2.54-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.54&CDS=1-804
46	OG0000046	YDR144C, YLR120C, YLR121C	genemark-flattened_line_30-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.25&CDS=1-1962
47	OG0000047	YDR178W, YLR164W	genemark-flattened_line_1-processed-gene-5.101-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.101&CDS=1-522, genemark-flattened_line_70-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.110&CDS=1-489
48	OG0000048	YDR277C, YOR047C	genemark-flattened_line_23-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.69&CDS=1-1380, genemark-flattened_line_23-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.36&CDS=1-1380
49	OG0000049	YDR326C, YHR080C	genemark-flattened_line_0-processed-gene-4.47-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.47&CDS=1-2901, genemark-flattened_line_0-processed-gene-4.62-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.62&CDS=1-2901
50	OG0000050	YDR453C, YML028W	genemark-flattened_line_0-processed-gene-2.129-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.129&CDS=1-585, genemark-flattened_line_0-processed-gene-6.104-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.104&CDS=1-585
51	OG0000051	YER056C, YER060W, YER060W-A	genemark-flattened_line_30-processed-gene-1.12-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.12&CDS=1-1545
52	OG0000052	YER067W, YIL057C	genemark-flattened_line_40-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.65&CDS=1-540, genemark-flattened_line_70-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.107&CDS=1-591
53	OG0000053	YFL059W, YMR096W, YNL333W	genemark-flattened_line_1-processed-gene-4.121-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.121&CDS=1-870
54	OG0000054	YFL060C, YMR095C, YNL334C	genemark-flattened_line_1-processed-gene-4.100-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.100&CDS=1-708
55	OG0000055	YFR015C, YLR258W	genemark-flattened_line_0-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.24&CDS=1-2082, genemark-flattened_line_0-processed-gene-7.141-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.141&CDS=1-2082
56	OG0000056	YGR087C, YLR044C, YLR134W	genemark-flattened_line_46-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.34&CDS=1-1707
57	OG0000057	YGR136W, YPR154W	genemark-flattened_line_23-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.78&CDS=1-696, genemark-flattened_line_23-processed-gene-2.27-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.27&CDS=1-696
58	OG0000058	YHR179W, YPL171C	genemark-flattened_line_5-processed-gene-5.114-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-5.114&CDS=1-1206, genemark-flattened_line_50-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.114&CDS=1-1206
59	OG0000059	YJL158C, YJL160C	augustus_masked-flattened_line_56-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.132&CDS=1-603, genemark-flattened_line_11-processed-gene-2.132-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.132&CDS=1-591
60	OG0000060	YJR091C, YPR042C	augustus_masked-flattened_line_0-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.92&CDS=1-3351, augustus_masked-flattened_line_0-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.75&CDS=1-3351
61	OG0000061	YJR094W-A, YPR043W	augustus_masked-flattened_line_0-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.96&CDS=1-294, augustus_masked-flattened_line_0-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.71&CDS=1-294
62	OG0000062	YJR154W	genemark-flattened_line_11-processed-gene-1.56-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.56&CDS=1-1095, genemark-flattened_line_70-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.118&CDS=1-1035, genemark-flattened_line_70-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.148&CDS=1-1050
63	OG0000063	YKL071W	genemark-flattened_line_138-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_138-processed-gene-0.27&CDS=1-753, genemark-flattened_line_144-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.5&CDS=1-753, genemark-flattened_line_230-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_230-processed-gene-0.0&CDS=1-753
64	OG0000064	YKL216W, YMR289W	genemark-flattened_line_5-processed-gene-4.126-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.126&CDS=1-1347, maker-flattened_line_5-snap-gene-0.135-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-0.135&CDS=1-1941
65	OG0000065	YLL062C, YMR321C, YPL273W	genemark-flattened_line_104-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.62&CDS=1-984
66	OG0000066	YLR237W, YOR071C, YOR192C	genemark-flattened_line_30-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.80&CDS=1-1695
67	OG0000067	YLR256W	augustus_masked-flattened_line_108-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.7&CDS=1-2847, genemark-flattened_line_9-processed-gene-3.17-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.17&CDS=1-2589, maker-flattened_line_48-augustus-gene-0.221-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.221&CDS=1-7725
68	OG0000068	YLR284C, YOR180C	genemark-flattened_line_0-processed-gene-1.20-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.20&CDS=1-576, genemark-flattened_line_0-processed-gene-7.145-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.145&CDS=1-576
69	OG0000069	YML017W, YPR163C	genemark-flattened_line_104-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.70&CDS=1-1341, snap_masked-flattened_line_48-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.107&CDS=1-2145
70	OG0000070	YMR006C, YMR008C, YOL011W	genemark-flattened_line_5-processed-gene-4.102-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.102&CDS=1-1965
71	OG0000071	YMR244W	genemark-flattened_line_1-processed-gene-6.44-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.44&CDS=1-912, genemark-flattened_line_64-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.105&CDS=1-915, genemark-flattened_line_68-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.10&CDS=1-915
72	OG0000072	YNL054W	augustus_masked-flattened_line_76-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.11&CDS=1-1764, genemark-flattened_line_23-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.65&CDS=1-2586, genemark-flattened_line_23-processed-gene-2.45-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.45&CDS=1-2586
73	OG0000073	YNL095C, YOR092W	augustus_masked-flattened_line_9-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.22&CDS=1-3468, genemark-flattened_line_15-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.10&CDS=1-1716
74	OG0000074	YOL055C, YPL258C, YPR121W	genemark-flattened_line_36-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.0&CDS=1-1704
75	OG0000075	YOR389W, YPL277C, YPL278C	maker-flattened_line_72-augustus-gene-0.162-mRNA-1_1&gene=maker-flattened_line_72-augustus-gene-0.162&CDS=1-2616
