	OrthologID	Candida_apicola	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-LBNK01000003.1-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.9&CDS=1-1686, augustus_masked-LBNK01000013.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.108&CDS=1-1563, augustus_masked-LBNK01000018.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-LBNK01000018.1-processed-gene-0.69&CDS=1-3066, augustus_masked-LBNK01000021.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LBNK01000021.1-processed-gene-0.5&CDS=1-1581, maker-LBNK01000014.1-augustus-gene-0.101-mRNA-1_1&gene=maker-LBNK01000014.1-augustus-gene-0.101&CDS=1-3087	YBR008C
11	OG0000011	augustus_masked-LBNK01000003.1-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.96&CDS=1-306, augustus_masked-LBNK01000007.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.58&CDS=1-747	YBR014C, YCL035C, YDL010W, YDR513W
12	OG0000012	augustus_masked-LBNK01000003.1-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-7.0&CDS=1-543, genemark-LBNK01000005.1-processed-gene-4.83-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-4.83&CDS=1-495, genemark-LBNK01000006.1-processed-gene-0.124-mRNA-1_1&gene=genemark-LBNK01000006.1-processed-gene-0.124&CDS=1-513	YDR067C, YNL032W, YNL056W
13	OG0000013	augustus_masked-LBNK01000003.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-8.131&CDS=1-759	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
14	OG0000014		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
15	OG0000015	augustus_masked-LBNK01000001.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-0.65&CDS=1-2577, augustus_masked-LBNK01000004.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-0.91&CDS=1-2703, augustus_masked-LBNK01000007.1-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.136&CDS=1-2583	YHR047C, YKL157W
16	OG0000016	augustus_masked-LBNK01000001.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-0.101&CDS=1-594, augustus_masked-LBNK01000012.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.72&CDS=1-438	YBR082C, YDR059C, YDR177W
17	OG0000017	augustus_masked-LBNK01000002.1-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-1.51&CDS=1-930, genemark-LBNK01000001.1-processed-gene-13.57-mRNA-1_1&gene=genemark-LBNK01000001.1-processed-gene-13.57&CDS=1-828	YEL006W, YIL006W, YIL134W
18	OG0000018	augustus_masked-LBNK01000001.1-processed-gene-13.48-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-13.48&CDS=1-1086, augustus_masked-LBNK01000003.1-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-3.22&CDS=1-1077, augustus_masked-LBNK01000003.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.40&CDS=1-1071	YHR179W, YPL171C
19	OG0000019	augustus_masked-LBNK01000002.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-1.73&CDS=1-1683, augustus_masked-LBNK01000005.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.87&CDS=1-1671, augustus_masked-LBNK01000013.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.119&CDS=1-732, snap_masked-LBNK01000013.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LBNK01000013.1-processed-gene-1.57&CDS=1-879	YDL210W
20	OG0000020	augustus_masked-LBNK01000002.1-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-2.71&CDS=1-465, augustus_masked-LBNK01000006.1-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.123&CDS=1-513, augustus_masked-LBNK01000006.1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.124&CDS=1-453, augustus_masked-LBNK01000013.1-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.125&CDS=1-468	YJL143W
21	OG0000021	augustus_masked-LBNK01000002.1-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-3.118&CDS=1-849, augustus_masked-LBNK01000003.1-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-4.93&CDS=1-729, augustus_masked-LBNK01000009.1-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.149&CDS=1-855, augustus_masked-LBNK01000015.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LBNK01000015.1-processed-gene-0.21&CDS=1-846	YHR209W
22	OG0000022	augustus_masked-LBNK01000002.1-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-4.58&CDS=1-1542, augustus_masked-LBNK01000003.1-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-4.59&CDS=1-1329, augustus_masked-LBNK01000003.1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.57&CDS=1-1551, maker-LBNK01000003.1-augustus-gene-4.98-mRNA-1_1&gene=maker-LBNK01000003.1-augustus-gene-4.98&CDS=1-1473	YJR152W
23	OG0000023	augustus_masked-LBNK01000005.1-processed-gene-6.242-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.242&CDS=1-294, snap_masked-LBNK01000002.1-processed-gene-6.33-mRNA-1_1&gene=snap_masked-LBNK01000002.1-processed-gene-6.33&CDS=1-492	YBR089C-A, YDL002C, YPR052C
24	OG0000024	augustus_masked-LBNK01000002.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-7.29&CDS=1-1755	YDL080C, YGR087C, YLR044C, YLR134W
25	OG0000025	augustus_masked-LBNK01000002.1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-8.89&CDS=1-1044, augustus_masked-LBNK01000007.1-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.95&CDS=1-1011, snap_masked-LBNK01000005.1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-6.94&CDS=1-1050, snap_masked-LBNK01000016.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-LBNK01000016.1-processed-gene-0.124&CDS=1-1053	YMR152W
26	OG0000026	augustus_masked-LBNK01000002.1-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-9.48&CDS=1-1935, snap_masked-LBNK01000007.1-processed-gene-4.145-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-4.145&CDS=1-3030, snap_masked-LBNK01000012.1-processed-gene-1.201-mRNA-1_1&gene=snap_masked-LBNK01000012.1-processed-gene-1.201&CDS=1-2265, snap_masked-LBNK01000012.1-processed-gene-1.229-mRNA-1_1&gene=snap_masked-LBNK01000012.1-processed-gene-1.229&CDS=1-2316, snap_masked-LBNK01000018.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-LBNK01000018.1-processed-gene-0.127&CDS=1-2538	
27	OG0000027	augustus_masked-LBNK01000006.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-0.46&CDS=1-840, augustus_masked-LBNK01000029.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LBNK01000029.1-processed-gene-0.1&CDS=1-843, maker-LBNK01000003.1-augustus-gene-0.47-mRNA-1_1&gene=maker-LBNK01000003.1-augustus-gene-0.47&CDS=1-1671	YCR010C, YNR002C
28	OG0000028	augustus_masked-LBNK01000003.1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-3.50&CDS=1-3111, genemark-LBNK01000005.1-processed-gene-2.126-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-2.126&CDS=1-1566	YIL120W, YIL121W, YNL065W
29	OG0000029	augustus_masked-LBNK01000004.1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-2.60&CDS=1-1560, augustus_masked-LBNK01000005.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.70&CDS=1-1632, augustus_masked-LBNK01000005.1-processed-gene-6.262-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.262&CDS=1-1485, augustus_masked-LBNK01000014.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-LBNK01000014.1-processed-gene-0.129&CDS=1-1602	YDR402C
30	OG0000030	augustus_masked-LBNK01000004.1-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-3.24&CDS=1-666, augustus_masked-LBNK01000009.1-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.117&CDS=1-669, augustus_masked-LBNK01000015.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LBNK01000015.1-processed-gene-0.1&CDS=1-660, genemark-LBNK01000008.1-processed-gene-1.60-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-1.60&CDS=1-666	YIR042C
31	OG0000031	augustus_masked-LBNK01000006.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-0.80&CDS=1-1635, augustus_masked-LBNK01000006.1-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-5.27&CDS=1-1644, augustus_masked-LBNK01000008.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.2&CDS=1-1650, augustus_masked-LBNK01000014.1-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-LBNK01000014.1-processed-gene-0.138&CDS=1-1650	YDR242W
32	OG0000032	augustus_masked-LBNK01000006.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-2.6&CDS=1-1029	YBR145W, YMR083W, YMR303C, YOL086C
33	OG0000033	augustus_masked-LBNK01000006.1-processed-gene-6.244-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.244&CDS=1-717	YDR533C, YMR322C, YOR391C, YPL280W
34	OG0000034		YBL017C, YCR099C, YIL173W, YJL222W, YNR065C
35	OG0000035	augustus_masked-LBNK01000001.1-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-3.114&CDS=1-1641, augustus_masked-LBNK01000008.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-3.17&CDS=1-1206	YGL257C, YNR059W
36	OG0000036	augustus_masked-LBNK01000001.1-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-3.147&CDS=1-882, augustus_masked-LBNK01000002.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-0.60&CDS=1-1293	YPL031C, YPR161C
37	OG0000037	augustus_masked-LBNK01000001.1-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-4.23&CDS=1-471, genemark-LBNK01000006.1-processed-gene-0.131-mRNA-1_1&gene=genemark-LBNK01000006.1-processed-gene-0.131&CDS=1-453, genemark-LBNK01000023.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LBNK01000023.1-processed-gene-0.28&CDS=1-465	YDL064W
38	OG0000038	augustus_masked-LBNK01000001.1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-5.130&CDS=1-1518, augustus_masked-LBNK01000004.1-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.73&CDS=1-2073	YCR098C, YML123C
39	OG0000039	augustus_masked-LBNK01000001.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-6.81&CDS=1-747, augustus_masked-LBNK01000006.1-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.107&CDS=1-861	YDR347W, YJR101W
40	OG0000040	augustus_masked-LBNK01000001.1-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-8.139&CDS=1-2649, augustus_masked-LBNK01000003.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.84&CDS=1-840, augustus_masked-LBNK01000003.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.85&CDS=1-852	YJL127C
41	OG0000041	augustus_masked-LBNK01000001.1-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-9.61&CDS=1-1674, augustus_masked-LBNK01000007.1-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.86&CDS=1-1695	YJL172W, YOL153C
42	OG0000042	augustus_masked-LBNK01000001.1-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-10.84&CDS=1-1074	YDL246C, YJR159W, YLR070C
43	OG0000043	augustus_masked-LBNK01000001.1-processed-gene-12.127-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-12.127&CDS=1-459, augustus_masked-LBNK01000003.1-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-3.1&CDS=1-435	YBR109C, YGL106W
44	OG0000044	augustus_masked-LBNK01000003.1-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.36&CDS=1-1650, augustus_masked-LBNK01000025.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LBNK01000025.1-processed-gene-0.0&CDS=1-1548, maker-LBNK01000001.1-augustus-gene-12.108-mRNA-1_1&gene=maker-LBNK01000001.1-augustus-gene-12.108&CDS=1-3573	YLR286C
45	OG0000045	augustus_masked-LBNK01000001.1-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-14.105&CDS=1-579, augustus_masked-LBNK01000013.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.74&CDS=1-552	YDR453C, YML028W
46	OG0000046	augustus_masked-LBNK01000011.1-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-1.51&CDS=1-393, genemark-LBNK01000001.1-processed-gene-14.254-mRNA-1_1&gene=genemark-LBNK01000001.1-processed-gene-14.254&CDS=1-381	YMR073C, YNL111C
47	OG0000047	augustus_masked-LBNK01000002.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-0.81&CDS=1-438, augustus_masked-LBNK01000008.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.101&CDS=1-471	YJR058C, YLR170C
48	OG0000048	augustus_masked-LBNK01000002.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-1.52&CDS=1-513, augustus_masked-LBNK01000006.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-3.19&CDS=1-1272	YIR001C, YPR163C
49	OG0000049	augustus_masked-LBNK01000002.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-1.83&CDS=1-1605, augustus_masked-LBNK01000006.1-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-5.38&CDS=1-1602, augustus_masked-LBNK01000020.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LBNK01000020.1-processed-gene-0.40&CDS=1-1593	YGL077C
50	OG0000050	augustus_masked-LBNK01000011.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-1.72&CDS=1-627, genemark-LBNK01000002.1-processed-gene-3.54-mRNA-1_1&gene=genemark-LBNK01000002.1-processed-gene-3.54&CDS=1-651	YLR025W, YMR077C
51	OG0000051	augustus_masked-LBNK01000002.1-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-3.143&CDS=1-2022	YMR006C, YMR008C, YOL011W
52	OG0000052	augustus_masked-LBNK01000002.1-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-8.97&CDS=1-1776, augustus_masked-LBNK01000003.1-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.39&CDS=1-1635, augustus_masked-LBNK01000008.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.75&CDS=1-1755	YIL166C
53	OG0000053	augustus_masked-LBNK01000003.1-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.3&CDS=1-600, augustus_masked-LBNK01000007.1-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-2.149&CDS=1-603	YFL005W, YFL038C
