	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034624_Pichia_nakasei
10	OG0000010	YDR135C, YLL048C, YNL192W	augustus_masked-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-3.175&CDS=1-6687, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-3.5-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-3.5&CDS=1-4428, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-8.92-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-8.92&CDS=1-3141, genemark-NODE_30_length_73964_cov_134.182_ID_59-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_30_length_73964_cov_134.182_ID_59-processed-gene-0.73&CDS=1-3078, genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-0.69&CDS=1-7950
11	OG0000011	YER013W, YGL120C, YKL078W, YKR086W	genemark-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-2.92-mRNA-1_1&gene=genemark-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-2.92&CDS=1-2328, genemark-NODE_25_length_137447_cov_83.8777_ID_49-processed-gene-0.161-mRNA-1_1&gene=genemark-NODE_25_length_137447_cov_83.8777_ID_49-processed-gene-0.161&CDS=1-2244, genemark-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.80-mRNA-1_1&gene=genemark-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.80&CDS=1-3954, snap_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.66&CDS=1-2703
12	OG0000012	YNR055C, YOR374W	augustus_masked-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-2.52&CDS=1-3438, augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-0.79&CDS=1-6954, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.15&CDS=1-1581, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.72-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.72&CDS=1-1491, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-5.73-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-5.73&CDS=1-1503, maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-4.70-mRNA-1_1&gene=maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-4.70&CDS=1-2754
13	OG0000013	YDR144C, YLR120C, YLR121C, YPL030W	augustus_masked-NODE_23_length_140466_cov_85.2079_ID_45-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_23_length_140466_cov_85.2079_ID_45-processed-gene-0.34&CDS=1-7116, genemark-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.87-mRNA-1_1&gene=genemark-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.87&CDS=1-1437, maker-NODE_23_length_140466_cov_85.2079_ID_45-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_23_length_140466_cov_85.2079_ID_45-snap-gene-0.0&CDS=1-3090
14	OG0000014	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-0.91&CDS=1-1866, genemark-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-0.79&CDS=1-1629
15	OG0000015	YDR385W, YKL173W, YNL163C, YOR133W	augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-0.95&CDS=1-2895, maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-6.114-mRNA-1_1&gene=maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-6.114&CDS=1-3438, snap_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-2.28&CDS=1-2937
16	OG0000016	YLR377C	augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-10.118&CDS=1-6513, augustus_masked-NODE_21_length_166389_cov_84.0848_ID_41-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_21_length_166389_cov_84.0848_ID_41-processed-gene-0.219&CDS=1-2340, genemark-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-0.49&CDS=1-1995, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-4.109-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-4.109&CDS=1-1086, genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.198-mRNA-1_1&gene=genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.198&CDS=1-2169, snap_masked-NODE_35_length_53711_cov_76.185_ID_69-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_35_length_53711_cov_76.185_ID_69-processed-gene-0.26&CDS=1-3333
17	OG0000017	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
18	OG0000018	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.71-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.71&CDS=1-1347
19	OG0000019	YBL054W, YER088C	augustus_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-1.57&CDS=1-1203, augustus_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-4.37&CDS=1-1038, snap_masked-NODE_22_length_148976_cov_93.6588_ID_43-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_22_length_148976_cov_93.6588_ID_43-processed-gene-0.62&CDS=1-1038, snap_masked-NODE_29_length_75727_cov_86.8325_ID_57-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_29_length_75727_cov_86.8325_ID_57-processed-gene-0.17&CDS=1-1464
20	OG0000020	YBR207W, YER145C, YPL231W	genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-7.32-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-7.32&CDS=1-6750, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.117&CDS=1-1155, snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-0.40&CDS=1-1122
21	OG0000021	YDL126C, YKL197C, YLR397C	genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.48-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-6.48&CDS=1-2478, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.58&CDS=1-3489, genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.209-mRNA-1_1&gene=genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.209&CDS=1-2286
22	OG0000022	YGR032W, YMR307W	augustus_masked-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.173&CDS=1-7047, genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.32&CDS=1-1668, snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-3.49&CDS=1-5274, snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-5.104-mRNA-1_1&gene=snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-5.104&CDS=1-5643
23	OG0000023	YGR260W, YPR022C	genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.118&CDS=1-1527, genemark-NODE_22_length_148976_cov_93.6588_ID_43-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_22_length_148976_cov_93.6588_ID_43-processed-gene-0.28&CDS=1-1554, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-2.1&CDS=1-3867, maker-NODE_4_length_718983_cov_91.3443_ID_7-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_4_length_718983_cov_91.3443_ID_7-snap-gene-0.1&CDS=1-2646
24	OG0000024	YLR256W	genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.22&CDS=1-2694, genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-1.64&CDS=1-3297, maker-NODE_1_length_1112387_cov_82.0011_ID_1-augustus-gene-5.124-mRNA-1_1&gene=maker-NODE_1_length_1112387_cov_82.0011_ID_1-augustus-gene-5.124&CDS=1-3330, maker-NODE_5_length_465336_cov_77.3081_ID_9-snap-gene-3.192-mRNA-1_1&gene=maker-NODE_5_length_465336_cov_77.3081_ID_9-snap-gene-3.192&CDS=1-2844, snap_masked-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-2.137-mRNA-1_1&gene=snap_masked-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-2.137&CDS=1-3519
25	OG0000025	YOR348C, YPL265W	genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-2.58&CDS=1-1737, genemark-NODE_27_length_84395_cov_65.0191_ID_53-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_27_length_84395_cov_65.0191_ID_53-processed-gene-0.14&CDS=1-1584, snap_masked-NODE_18_length_230671_cov_83.492_ID_35-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_18_length_230671_cov_83.492_ID_35-processed-gene-0.102&CDS=1-1737, snap_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-6.50&CDS=1-1626
26	OG0000026	Q0045, Q0060, Q0065, Q0070	augustus_masked-NODE_50_length_12655_cov_4365.4_ID_99-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_50_length_12655_cov_4365.4_ID_99-processed-gene-0.1&CDS=1-546, genemark-NODE_55_length_5515_cov_4467.73_ID_109-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_55_length_5515_cov_4467.73_ID_109-processed-gene-0.16&CDS=1-558
27	OG0000027		genemark-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-0.48&CDS=1-3399, genemark-NODE_24_length_138418_cov_86.6795_ID_47-processed-gene-0.159-mRNA-1_1&gene=genemark-NODE_24_length_138418_cov_86.6795_ID_47-processed-gene-0.159&CDS=1-1860, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-1.87&CDS=1-1632, maker-NODE_1_length_1112387_cov_82.0011_ID_1-snap-gene-2.116-mRNA-1_1&gene=maker-NODE_1_length_1112387_cov_82.0011_ID_1-snap-gene-2.116&CDS=1-3012, maker-NODE_5_length_465336_cov_77.3081_ID_9-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_5_length_465336_cov_77.3081_ID_9-snap-gene-0.6&CDS=1-4416, snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-6.35-mRNA-1_1&gene=snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-6.35&CDS=1-3099
28	OG0000028	YAL019W, YIL126W	genemark-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-1.56&CDS=1-4674, maker-NODE_22_length_148976_cov_93.6588_ID_43-snap-gene-0.159-mRNA-1_1&gene=maker-NODE_22_length_148976_cov_93.6588_ID_43-snap-gene-0.159&CDS=1-10149, maker-NODE_9_length_350369_cov_102.719_ID_17-augustus-gene-2.76-mRNA-1_1&gene=maker-NODE_9_length_350369_cov_102.719_ID_17-augustus-gene-2.76&CDS=1-4467
29	OG0000029	YAL030W, YLR093C, YOR327C	augustus_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-0.29&CDS=1-798, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-1.36&CDS=1-402
30	OG0000030	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.185&CDS=1-2193, genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.89&CDS=1-2631
