	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_mikatae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-Smik_2-snap-gene-4.2-mRNA-1_1&gene=maker-Smik_2-snap-gene-4.2&CDS=1-4122
11	OG0000011	YBR298C, YDL247W, YJR160C	augustus_masked-Smik_16-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-0.5&CDS=1-1854, snap_masked-Smik_3-processed-gene-0.87-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.87&CDS=1-1839, snap_masked-Smik_5-processed-gene-0.76-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-0.76&CDS=1-1842
12	OG0000012	YDL066W, YLR174W, YNL009W	augustus_masked-Smik_14-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-Smik_14-processed-gene-5.20&CDS=1-1254, snap_masked-Smik_12-processed-gene-4.105-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-4.105&CDS=1-1236, snap_masked-Smik_4-processed-gene-3.97-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.97&CDS=1-1284
13	OG0000013	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-Smik_10-processed-gene-0.87-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-0.87&CDS=1-1020, snap_masked-Smik_10-processed-gene-0.92-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-0.92&CDS=1-1020
14	OG0000014	YDL245C, YEL069C, YJR158W, YNR072W	snap_masked-Smik_14-processed-gene-6.170-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-6.170&CDS=1-1701, snap_masked-Smik_5-processed-gene-0.97-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-0.97&CDS=1-1701
15	OG0000015	YDR011W, YNR070W, YPL058C	augustus_masked-Smik_14-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-Smik_14-processed-gene-6.28&CDS=1-4410, augustus_masked-Smik_16-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-3.84&CDS=1-4533, snap_masked-Smik_4-processed-gene-4.18-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.18&CDS=1-4503
16	OG0000016	YDR406W, YOR153W, YOR328W	maker-Smik_15-augustus-gene-5.125-mRNA-1_1&gene=maker-Smik_15-augustus-gene-5.125&CDS=1-6321, snap_masked-Smik_15-processed-gene-8.114-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-8.114&CDS=1-4698, snap_masked-Smik_4-processed-gene-12.12-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-12.12&CDS=1-4599
17	OG0000017	YEL063C, YNL268W, YNL270C	augustus_masked-Smik_14-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-Smik_14-processed-gene-1.15&CDS=1-1719, snap_masked-Smik_14-processed-gene-1.73-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-1.73&CDS=1-1833, snap_masked-Smik_5-processed-gene-0.100-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-0.100&CDS=1-1770
18	OG0000018	YGR032W, YLR342W, YMR306W	snap_masked-Smik_12-processed-gene-7.110-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-7.110&CDS=1-5634, snap_masked-Smik_13-processed-gene-7.40-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-7.40&CDS=1-5124, snap_masked-Smik_6-processed-gene-2.97-mRNA-1_1&gene=snap_masked-Smik_6-processed-gene-2.97&CDS=1-5685
19	OG0000019	YGR192C, YJL052W, YJR009C	snap_masked-Smik_10-processed-gene-3.99-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-3.99&CDS=1-996, snap_masked-Smik_10-processed-gene-4.136-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-4.136&CDS=1-996, snap_masked-Smik_16-processed-gene-2.91-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-2.91&CDS=1-996
20	OG0000020	YHL035C, YKR103W, YLL048C	augustus_masked-Smik_12-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-Smik_12-processed-gene-0.88&CDS=1-4983, augustus_masked-Smik_8-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-Smik_8-processed-gene-0.99&CDS=1-4755, snap_masked-Smik_11-processed-gene-5.43-mRNA-1_1&gene=snap_masked-Smik_11-processed-gene-5.43&CDS=1-4569
21	OG0000021	YIL009W, YMR246W, YOR317W	snap_masked-Smik_13-processed-gene-7.16-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-7.16&CDS=1-2082, snap_masked-Smik_15-processed-gene-8.110-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-8.110&CDS=1-2100, snap_masked-Smik_9-processed-gene-3.14-mRNA-1_1&gene=snap_masked-Smik_9-processed-gene-3.14&CDS=1-2082
22	OG0000022	YKL220C, YNR060W, YOR381W	augustus_masked-Smik_14-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-Smik_14-processed-gene-6.27&CDS=1-2157, augustus_masked-Smik_5-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-Smik_5-processed-gene-0.59&CDS=1-2136, snap_masked-Smik_15-processed-gene-9.115-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-9.115&CDS=1-2145
23	OG0000023	YLR237W, YOR071C, YOR192C	snap_masked-Smik_12-processed-gene-5.19-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-5.19&CDS=1-1791, snap_masked-Smik_15-processed-gene-6.125-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-6.125&CDS=1-1794, snap_masked-Smik_5-processed-gene-1.91-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-1.91&CDS=1-1794
24	OG0000024	YOL055C, YPL258C, YPR121W	genemark-Smik_16-processed-gene-6.90-mRNA-1_1&gene=genemark-Smik_16-processed-gene-6.90&CDS=1-1653, snap_masked-Smik_15-processed-gene-2.2-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-2.2&CDS=1-1653, snap_masked-Smik_6-processed-gene-7.42-mRNA-1_1&gene=snap_masked-Smik_6-processed-gene-7.42&CDS=1-1653
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	genemark-Smik_2-processed-gene-1.140-mRNA-1_1&gene=genemark-Smik_2-processed-gene-1.140&CDS=1-5121
26	OG0000026	YCR102C, YLR460C, YNL134C	snap_masked-Smik_12-processed-gene-8.266-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-8.266&CDS=1-1128, snap_masked-Smik_14-processed-gene-3.146-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-3.146&CDS=1-1128
27	OG0000027	YER061C, YER062C, YIL053W	augustus_masked-Smik_5-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-Smik_5-processed-gene-2.104&CDS=1-2010, snap_masked-Smik_9-processed-gene-2.103-mRNA-1_1&gene=snap_masked-Smik_9-processed-gene-2.103&CDS=1-750
28	OG0000028	YGR084C, YGR085C, YPR102C	maker-Smik_6-augustus-gene-2.96-mRNA-1_1&gene=maker-Smik_6-augustus-gene-2.96&CDS=1-1410, snap_masked-Smik_16-processed-gene-6.31-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-6.31&CDS=1-522
29	OG0000029	YGR087C, YLR044C, YLR134W	snap_masked-Smik_12-processed-gene-2.27-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-2.27&CDS=1-1689, snap_masked-Smik_12-processed-gene-4.92-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-4.92&CDS=1-1689
30	OG0000030	YHR210C, YNR071C	snap_masked-Smik_14-processed-gene-6.203-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-6.203&CDS=1-1026, snap_masked-Smik_15-processed-gene-9.140-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-9.140&CDS=1-1050, snap_masked-Smik_8-processed-gene-4.158-mRNA-1_1&gene=snap_masked-Smik_8-processed-gene-4.158&CDS=1-1023
31	OG0000031	YHR216W, YLR432W, YML056C	augustus_masked-Smik_12-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-Smik_12-processed-gene-8.28&CDS=1-1569, maker-Smik_13-snap-gene-1.46-mRNA-1_1&gene=maker-Smik_13-snap-gene-1.46&CDS=1-1572
32	OG0000032	YJL138C, YKR056W, YKR059W	maker-Smik_10-snap-gene-1.142-mRNA-1_1&gene=maker-Smik_10-snap-gene-1.142&CDS=1-2532, maker-Smik_11-snap-gene-5.143-mRNA-1_1&gene=maker-Smik_11-snap-gene-5.143&CDS=1-4971
33	OG0000033	YML085C, YML123C, YML124C	augustus_masked-Smik_13-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-Smik_13-processed-gene-0.21&CDS=1-5460, augustus_masked-Smik_13-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-Smik_13-processed-gene-1.51&CDS=1-2565
34	OG0000034	YMR006C, YMR008C, YOL011W	maker-Smik_13-snap-gene-2.104-mRNA-1_1&gene=maker-Smik_13-snap-gene-2.104&CDS=1-4053, snap_masked-Smik_15-processed-gene-2.26-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-2.26&CDS=1-2046
35	OG0000035	YMR168C, YMR169C, YMR170C	maker-Smik_13-augustus-gene-5.97-mRNA-1_1&gene=maker-Smik_13-augustus-gene-5.97&CDS=1-3339, snap_masked-Smik_13-processed-gene-5.148-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-5.148&CDS=1-1518
36	OG0000036	YMR186W, YPL240C, YPL242C	augustus_masked-Smik_6-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-Smik_6-processed-gene-7.126&CDS=1-7200, snap_masked-Smik_13-processed-gene-6.10-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-6.10&CDS=1-2130
37	OG0000037	YAL017W, YOL045W	snap_masked-Smik_1-processed-gene-0.186-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.186&CDS=1-4071, snap_masked-Smik_15-processed-gene-2.9-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-2.9&CDS=1-3303
38	OG0000038	YAL023C, YOR321W	snap_masked-Smik_1-processed-gene-0.227-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.227&CDS=1-2277, snap_masked-Smik_15-processed-gene-8.112-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-8.112&CDS=1-2262
39	OG0000039	YAL029C, YOR326W	snap_masked-Smik_1-processed-gene-0.223-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.223&CDS=1-4407, snap_masked-Smik_15-processed-gene-8.113-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-8.113&CDS=1-4728
40	OG0000040	YAL038W, YOR347C	snap_masked-Smik_1-processed-gene-0.178-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.178&CDS=1-1500, snap_masked-Smik_15-processed-gene-9.122-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-9.122&CDS=1-1518
41	OG0000041	YAL062W, YOR375C	augustus_masked-Smik_15-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-Smik_15-processed-gene-9.91&CDS=1-1362, snap_masked-Smik_1-processed-gene-0.165-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.165&CDS=1-1371
42	OG0000042	YAR042W, YDL019C	genemark-Smik_1-processed-gene-0.115-mRNA-1_1&gene=genemark-Smik_1-processed-gene-0.115&CDS=1-5832, snap_masked-Smik_4-processed-gene-4.3-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.3&CDS=1-3828
43	OG0000043	YBL002W, YDR224C	snap_masked-Smik_2-processed-gene-2.88-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.88&CDS=1-393, snap_masked-Smik_4-processed-gene-8.43-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-8.43&CDS=1-393
44	OG0000044	YBL003C, YDR225W	snap_masked-Smik_2-processed-gene-2.102-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.102&CDS=1-396, snap_masked-Smik_4-processed-gene-8.26-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-8.26&CDS=1-396
45	OG0000045	YBL030C, YBR085W	augustus_masked-Smik_2-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-1.37&CDS=1-954, snap_masked-Smik_2-processed-gene-4.58-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-4.58&CDS=1-921
46	OG0000046	YBL039C, YJR103W	snap_masked-Smik_10-processed-gene-6.8-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-6.8&CDS=1-1740, snap_masked-Smik_2-processed-gene-1.78-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-1.78&CDS=1-1737
47	OG0000047	YBL068W, YER099C	snap_masked-Smik_2-processed-gene-0.15-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-0.15&CDS=1-978, snap_masked-Smik_5-processed-gene-3.43-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-3.43&CDS=1-954
48	OG0000048	YBL069W, YER101C	snap_masked-Smik_2-processed-gene-0.14-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-0.14&CDS=1-1287, snap_masked-Smik_5-processed-gene-3.44-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-3.44&CDS=1-1290
49	OG0000049	YBL072C, YER102W	snap_masked-Smik_2-processed-gene-0.35-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-0.35&CDS=1-600, snap_masked-Smik_5-processed-gene-3.26-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-3.26&CDS=1-600
50	OG0000050	YBL079W, YER105C	augustus_masked-Smik_2-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-0.92&CDS=1-4503, snap_masked-Smik_5-processed-gene-3.45-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-3.45&CDS=1-4164
51	OG0000051	YBL113C, YHL050C, YHR219W	snap_masked-Smik_9-processed-gene-3.41-mRNA-1_1&gene=snap_masked-Smik_9-processed-gene-3.41&CDS=1-1278
52	OG0000052	YBR001C, YDR001C	snap_masked-Smik_2-processed-gene-2.104-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.104&CDS=1-2340, snap_masked-Smik_4-processed-gene-4.29-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.29&CDS=1-2253
53	OG0000053	YBR009C, YNL030W	snap_masked-Smik_14-processed-gene-5.118-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-5.118&CDS=1-309, snap_masked-Smik_2-processed-gene-2.108-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.108&CDS=1-309
54	OG0000054	YBR010W, YNL031C	augustus_masked-Smik_2-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-2.54&CDS=1-408, snap_masked-Smik_14-processed-gene-5.139-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-5.139&CDS=1-408
55	OG0000055	YBR020W, YDR009W	snap_masked-Smik_2-processed-gene-2.94-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.94&CDS=1-1584, snap_masked-Smik_4-processed-gene-4.17-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.17&CDS=1-1560
56	OG0000056	YBR021W, YIR028W	augustus_masked-Smik_2-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-2.57&CDS=1-2364, maker-Smik_9-augustus-gene-3.3-mRNA-1_1&gene=maker-Smik_9-augustus-gene-3.3&CDS=1-2916
57	OG0000057	YBR031W, YDR012W	snap_masked-Smik_2-processed-gene-2.99-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-2.99&CDS=1-1086, snap_masked-Smik_4-processed-gene-4.19-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.19&CDS=1-1086
58	OG0000058	YBR048W, YDR025W	augustus_masked-Smik_4-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-4.69&CDS=1-468, snap_masked-Smik_2-processed-gene-3.11-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-3.11&CDS=1-468
59	OG0000059	YBR068C, YDR046C	snap_masked-Smik_2-processed-gene-3.42-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-3.42&CDS=1-1827, snap_masked-Smik_4-processed-gene-5.131-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-5.131&CDS=1-1812
60	OG0000060	YBR084W, YGR204W	maker-Smik_16-snap-gene-2.43-mRNA-1_1&gene=maker-Smik_16-snap-gene-2.43&CDS=1-3366, snap_masked-Smik_2-processed-gene-4.57-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-4.57&CDS=1-2925
61	OG0000061	YBR117C, YPR074C	snap_masked-Smik_16-processed-gene-5.147-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-5.147&CDS=1-2040, snap_masked-Smik_2-processed-gene-4.94-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-4.94&CDS=1-2043
62	OG0000062	YBR118W, YPR080W	snap_masked-Smik_16-processed-gene-5.131-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-5.131&CDS=1-1374, snap_masked-Smik_2-processed-gene-4.72-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-4.72&CDS=1-1374
63	OG0000063	YBR121C, YPR081C	snap_masked-Smik_16-processed-gene-5.150-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-5.150&CDS=1-2250, snap_masked-Smik_2-processed-gene-4.96-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-4.96&CDS=1-1995
64	OG0000064	YBR140C, YOL081W	augustus_masked-Smik_15-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-Smik_15-processed-gene-1.14&CDS=1-9228, snap_masked-Smik_2-processed-gene-5.26-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-5.26&CDS=1-9381
65	OG0000065	YBR169C, YPL106C	snap_masked-Smik_16-processed-gene-2.112-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-2.112&CDS=1-2079, snap_masked-Smik_2-processed-gene-5.37-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-5.37&CDS=1-2079
66	OG0000066	YBR189W, YPL081W	maker-Smik_16-snap-gene-3.150-mRNA-1_1&gene=maker-Smik_16-snap-gene-3.150&CDS=1-1038, maker-Smik_2-snap-gene-6.83-mRNA-1_1&gene=maker-Smik_2-snap-gene-6.83&CDS=1-999
67	OG0000067	YBR214W, YGL056C	maker-Smik_7-augustus-gene-4.142-mRNA-1_1&gene=maker-Smik_7-augustus-gene-4.142&CDS=1-2403, snap_masked-Smik_2-processed-gene-6.223-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.223&CDS=1-1587
68	OG0000068	YBR218C, YGL062W	snap_masked-Smik_2-processed-gene-6.266-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.266&CDS=1-3540, snap_masked-Smik_7-processed-gene-3.129-mRNA-1_1&gene=snap_masked-Smik_7-processed-gene-3.129&CDS=1-3534
69	OG0000069	YBR245C, YOR304W	maker-Smik_15-snap-gene-8.1-mRNA-1_1&gene=maker-Smik_15-snap-gene-8.1&CDS=1-4614, snap_masked-Smik_2-processed-gene-6.281-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.281&CDS=1-3207
70	OG0000070	YBR294W, YLR092W	augustus_masked-Smik_12-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-Smik_12-processed-gene-3.85&CDS=1-4779, snap_masked-Smik_2-processed-gene-6.258-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.258&CDS=1-2589
71	OG0000071	YCL024W, YDR507C	genemark-Smik_3-processed-gene-0.58-mRNA-1_1&gene=genemark-Smik_3-processed-gene-0.58&CDS=1-3096, snap_masked-Smik_4-processed-gene-13.203-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-13.203&CDS=1-3408
72	OG0000072	YCL025C, YDR508C	augustus_masked-Smik_4-processed-gene-13.48-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-13.48&CDS=1-1989, snap_masked-Smik_3-processed-gene-0.125-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.125&CDS=1-1899
73	OG0000073	YCL039W, YDR516C	maker-Smik_3-augustus-gene-0.83-mRNA-1_1&gene=maker-Smik_3-augustus-gene-0.83&CDS=1-3780, snap_masked-Smik_4-processed-gene-13.206-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-13.206&CDS=1-1500
74	OG0000074	YCR005C, YNR001C	snap_masked-Smik_14-processed-gene-5.152-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-5.152&CDS=1-1437, snap_masked-Smik_3-processed-gene-1.22-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.22&CDS=1-1380
75	OG0000075	YCR037C, YJL198W	snap_masked-Smik_10-processed-gene-0.99-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-0.99&CDS=1-2640, snap_masked-Smik_3-processed-gene-2.111-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.111&CDS=1-2769
76	OG0000076	YCR073C, YNR031C	snap_masked-Smik_14-processed-gene-6.182-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-6.182&CDS=1-4749, snap_masked-Smik_3-processed-gene-2.155-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.155&CDS=1-4020
77	OG0000077	YCR073W-A, YNR034W	augustus_masked-Smik_3-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.11&CDS=1-936, snap_masked-Smik_14-processed-gene-6.155-mRNA-1_1&gene=snap_masked-Smik_14-processed-gene-6.155&CDS=1-963
78	OG0000078	YCR106W, YPL088W	maker-Smik_3-snap-gene-2.45-mRNA-1_1&gene=maker-Smik_3-snap-gene-2.45&CDS=1-4401, snap_masked-Smik_16-processed-gene-2.104-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-2.104&CDS=1-1026
79	OG0000079	YDL022W, YOL059W	snap_masked-Smik_15-processed-gene-1.107-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-1.107&CDS=1-1176, snap_masked-Smik_4-processed-gene-4.0-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.0&CDS=1-1173
