	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034643_Candida_schatavii
10	OG0000010	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_44-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.82&CDS=1-1032
11	OG0000011	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-flattened_line_114-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.27&CDS=1-756, augustus_masked-flattened_line_54-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.54&CDS=1-588
12	OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_0-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.129&CDS=1-1710, augustus_masked-flattened_line_23-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.149&CDS=1-1809, maker-flattened_line_0-augustus-gene-2.48-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-2.48&CDS=1-3627
13	OG0000013	YDR541C, YOL151W	augustus_masked-flattened_line_112-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.23&CDS=1-693, augustus_masked-flattened_line_160-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.19&CDS=1-1020, augustus_masked-flattened_line_182-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.0&CDS=1-693, augustus_masked-flattened_line_182-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.1&CDS=1-1023, maker-flattened_line_108-augustus-gene-0.64-mRNA-1_1&gene=maker-flattened_line_108-augustus-gene-0.64&CDS=1-1434
14	OG0000014	YJR004C	augustus_masked-flattened_line_102-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.16&CDS=1-1548, augustus_masked-flattened_line_104-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.16&CDS=1-3546, genemark-flattened_line_148-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_148-processed-gene-0.21&CDS=1-2268, snap_masked-flattened_line_124-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.7&CDS=1-5445, snap_masked-flattened_line_62-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.45&CDS=1-5616, snap_masked-flattened_line_64-processed-gene-0.176-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.176&CDS=1-414
15	OG0000015	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_25-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.178&CDS=1-1743, snap_masked-flattened_line_34-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.115&CDS=1-2400
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_144-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_144-processed-gene-0.20&CDS=1-4749
17	OG0000017	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_64-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.119&CDS=1-1110, augustus_masked-flattened_line_98-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.64&CDS=1-2181
18	OG0000018	YDL109C, YDR444W, YGL144C	augustus_masked-flattened_line_21-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.95&CDS=1-2640, augustus_masked-flattened_line_48-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.150&CDS=1-2508
19	OG0000019	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_2-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.61&CDS=1-1032
20	OG0000020	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_112-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.45&CDS=1-3255, augustus_masked-flattened_line_4-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.24&CDS=1-3252
21	OG0000021	YDR134C, YLR110C	augustus_masked-flattened_line_130-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.58&CDS=1-1269, augustus_masked-flattened_line_158-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.11&CDS=1-1740, augustus_masked-flattened_line_4-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.141&CDS=1-630
22	OG0000022	YDR533C, YMR322C, YOR391C, YPL280W	maker-flattened_line_36-augustus-gene-0.81-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.81&CDS=1-2091
23	OG0000023	YGR197C, YJR015W	augustus_masked-flattened_line_15-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.11&CDS=1-1845, augustus_masked-flattened_line_6-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.140&CDS=1-1509, maker-flattened_line_6-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.0&CDS=1-2940
24	OG0000024	YGR209C, YLR043C, YOL088C	augustus_masked-flattened_line_48-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.146&CDS=1-1242, snap_masked-flattened_line_32-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.56&CDS=1-309
25	OG0000025	YGR263C	augustus_masked-flattened_line_27-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.50&CDS=1-1275, augustus_masked-flattened_line_27-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.51&CDS=1-1260, augustus_masked-flattened_line_50-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.130&CDS=1-1245, snap_masked-flattened_line_62-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.10&CDS=1-1245
26	OG0000026	YHR216W, YLR432W, YML056C	augustus_masked-flattened_line_12-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.61&CDS=1-2085, augustus_masked-flattened_line_12-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.30&CDS=1-2085
27	OG0000027	YJL172W, YOL153C	augustus_masked-flattened_line_102-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.18&CDS=1-1752, augustus_masked-flattened_line_130-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.66&CDS=1-1767, augustus_masked-flattened_line_21-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.50&CDS=1-1755
28	OG0000028	YJR019C	augustus_masked-flattened_line_88-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.83&CDS=1-1047, augustus_masked-flattened_line_88-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.84&CDS=1-990, augustus_masked-flattened_line_88-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.85&CDS=1-1083, augustus_masked-flattened_line_88-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.86&CDS=1-1149
29	OG0000029	YKL128C	augustus_masked-flattened_line_25-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.160&CDS=1-999, augustus_masked-flattened_line_25-processed-gene-2.180-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.180&CDS=1-948, augustus_masked-flattened_line_32-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.9&CDS=1-1068, augustus_masked-flattened_line_42-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-1.129&CDS=1-930
30	OG0000030	YML111W, YMR275C, YNR068C, YNR069C	augustus_masked-flattened_line_52-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.169&CDS=1-3012
31	OG0000031	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_120-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_120-snap-gene-0.5&CDS=1-363
32	OG0000032		augustus_masked-flattened_line_13-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-2.5&CDS=1-1476, augustus_masked-flattened_line_27-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.43&CDS=1-1404, augustus_masked-flattened_line_60-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.64&CDS=1-1455, augustus_masked-flattened_line_70-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.14&CDS=1-1458, snap_masked-flattened_line_148-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.13&CDS=1-1524
33	OG0000033	YAR066W, YHR214W, YIL169C, YOL155C	
34	OG0000034	YBL002W, YDR224C	augustus_masked-flattened_line_2-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.164&CDS=1-387, augustus_masked-flattened_line_48-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.141&CDS=1-387
35	OG0000035	YBL042C, YBR021W, YIR028W	augustus_masked-flattened_line_8-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.30&CDS=1-3732
36	OG0000036	YBL043W, YJR115W	augustus_masked-flattened_line_4-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.136&CDS=1-687, augustus_masked-flattened_line_4-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.137&CDS=1-873
37	OG0000037	YBR009C, YNL030W	augustus_masked-flattened_line_10-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.85&CDS=1-309, augustus_masked-flattened_line_50-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.135&CDS=1-309
38	OG0000038	YBR010W, YNL031C	augustus_masked-flattened_line_10-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.97&CDS=1-408, augustus_masked-flattened_line_50-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.105&CDS=1-408
39	OG0000039	YBR205W, YDR483W, YOR099W	augustus_masked-flattened_line_27-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.129&CDS=1-1302
40	OG0000040	YBR239C, YJL103C	augustus_masked-flattened_line_162-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_162-processed-gene-0.8&CDS=1-1452, augustus_masked-flattened_line_84-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.30&CDS=1-1821
41	OG0000041	YBR240C, YDR207C	augustus_masked-flattened_line_2-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.72&CDS=1-1461, snap_masked-flattened_line_52-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.118&CDS=1-591
42	OG0000042	YBR293W, YMR088C	augustus_masked-flattened_line_110-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.48&CDS=1-1680, augustus_masked-flattened_line_21-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.4&CDS=1-1728
43	OG0000043	YCL048W, YDR522C	augustus_masked-flattened_line_38-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.18&CDS=1-3285, augustus_masked-flattened_line_4-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.5&CDS=1-2124
44	OG0000044	YDL246C, YJR159W	augustus_masked-flattened_line_118-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.39&CDS=1-1098, augustus_masked-flattened_line_150-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_150-processed-gene-0.5&CDS=1-1089
45	OG0000045	YDR098C, YER174C	augustus_masked-flattened_line_12-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.29&CDS=1-741, augustus_masked-flattened_line_12-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.12&CDS=1-741
46	OG0000046	YDR145W	augustus_masked-flattened_line_25-processed-gene-2.176-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.176&CDS=1-4125, augustus_masked-flattened_line_42-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-1.164&CDS=1-2364, snap_masked-flattened_line_6-processed-gene-3.18-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.18&CDS=1-2397
47	OG0000047	YDR402C	augustus_masked-flattened_line_13-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.81&CDS=1-1761, augustus_masked-flattened_line_19-processed-gene-2.195-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.195&CDS=1-1584, genemark-flattened_line_6-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.80&CDS=1-1554
48	OG0000048	YER056C, YER060W, YER060W-A	genemark-flattened_line_50-processed-gene-0.200-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.200&CDS=1-1557
49	OG0000049	YER132C, YGL197W	augustus_masked-flattened_line_12-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.104&CDS=1-5301, augustus_masked-flattened_line_12-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.98&CDS=1-5301
50	OG0000050	YFL004W, YPL019C	augustus_masked-flattened_line_12-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.54&CDS=1-2451, augustus_masked-flattened_line_12-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.46&CDS=1-2451
51	OG0000051	YFR031C-A, YIL018W	snap_masked-flattened_line_13-processed-gene-2.72-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.72&CDS=1-762, snap_masked-flattened_line_17-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.30&CDS=1-762
52	OG0000052	YGR085C, YPR102C	snap_masked-flattened_line_12-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.32&CDS=1-501, snap_masked-flattened_line_12-processed-gene-3.144-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.144&CDS=1-501
53	OG0000053	YGR184C, YLR024C	augustus_masked-flattened_line_102-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.9&CDS=1-6006, genemark-flattened_line_102-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.89&CDS=1-5580
54	OG0000054	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_25-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.149&CDS=1-1002
55	OG0000055	YHR071W, YNL289W	snap_masked-flattened_line_10-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.69&CDS=1-954, snap_masked-flattened_line_34-processed-gene-2.39-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-2.39&CDS=1-966
56	OG0000056	YHR198C, YHR199C	augustus_masked-flattened_line_12-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.42&CDS=1-861, augustus_masked-flattened_line_12-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.109&CDS=1-861
57	OG0000057	YIL120W, YIL121W, YNL065W	maker-flattened_line_15-snap-gene-2.84-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-2.84&CDS=1-3183
58	OG0000058	YIL166C	augustus_masked-flattened_line_0-processed-gene-4.214-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.214&CDS=1-1707, augustus_masked-flattened_line_136-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.9&CDS=1-1704, augustus_masked-flattened_line_17-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.81&CDS=1-1701
59	OG0000059	YJL079C, YKR013W	augustus_masked-flattened_line_19-processed-gene-2.189-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.189&CDS=1-714, augustus_masked-flattened_line_23-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.103&CDS=1-939
60	OG0000060	YJR127C, YML081W	snap_masked-flattened_line_31-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.8&CDS=1-3933, snap_masked-flattened_line_31-processed-gene-2.154-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-2.154&CDS=1-3933
61	OG0000061	YKR039W	augustus_masked-flattened_line_134-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.17&CDS=1-1758, augustus_masked-flattened_line_15-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.59&CDS=1-1761, augustus_masked-flattened_line_21-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.42&CDS=1-1752
62	OG0000062	YLL062C, YMR321C, YPL273W	snap_masked-flattened_line_110-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.30&CDS=1-1005
63	OG0000063	YLR109W	augustus_masked-flattened_line_4-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.168&CDS=1-534, genemark-flattened_line_12-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.105&CDS=1-579, genemark-flattened_line_12-processed-gene-3.61-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.61&CDS=1-579
