	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034885_Ogataea_zsoltii
10	OG0000010	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.5&CDS=1-1638
11	OG0000011	YIL002C, YNL106C, YNL272C, YOR109W	augustus_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.129&CDS=1-3405, snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.29&CDS=1-3057, snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.221-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.221&CDS=1-3312
12	OG0000012	YJR152W, YLR004C	maker-NODE_18_length_238426_cov_40.4936_ID_35-snap-gene-1.259-mRNA-1_1&gene=maker-NODE_18_length_238426_cov_40.4936_ID_35-snap-gene-1.259&CDS=1-2886, snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.143-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.143&CDS=1-1557, snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.29&CDS=1-1581, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.53&CDS=1-1524, snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.56&CDS=1-1560
13	OG0000013	YJR154W	augustus_masked-NODE_57_length_35794_cov_27.8024_ID_113-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_57_length_35794_cov_27.8024_ID_113-processed-gene-0.5&CDS=1-2580, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.11&CDS=1-1065, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.39&CDS=1-1032, snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.39&CDS=1-963, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.62&CDS=1-987, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.165-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.165&CDS=1-975
14	OG0000014	YFL039C, YHR128W, YPR034W	maker-NODE_4_length_504154_cov_32.1482_ID_7-snap-gene-4.183-mRNA-1_1&gene=maker-NODE_4_length_504154_cov_32.1482_ID_7-snap-gene-4.183&CDS=1-1707, snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.17&CDS=1-1128, snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.23&CDS=1-1242
15	OG0000015	YFL040W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.61-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.61&CDS=1-1650, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.113&CDS=1-1812, snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.9&CDS=1-1545, snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.122&CDS=1-1563, snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.212-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.212&CDS=1-1608
16	OG0000016	YGR263C	augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.125&CDS=1-2667, maker-NODE_10_length_305151_cov_36.765_ID_19-augustus-gene-2.67-mRNA-1_1&gene=maker-NODE_10_length_305151_cov_36.765_ID_19-augustus-gene-2.67&CDS=1-2478, maker-NODE_48_length_51618_cov_56.1852_ID_95-augustus-gene-0.75-mRNA-1_1&gene=maker-NODE_48_length_51618_cov_56.1852_ID_95-augustus-gene-0.75&CDS=1-1836, snap_masked-NODE_188_length_850_cov_299.664_ID_375-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_188_length_850_cov_299.664_ID_375-processed-gene-0.0&CDS=1-813, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.202-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.202&CDS=1-981
17	OG0000017	YHR179W, YPL171C	maker-NODE_12_length_297239_cov_36.2077_ID_23-augustus-gene-1.357-mRNA-1_1&gene=maker-NODE_12_length_297239_cov_36.2077_ID_23-augustus-gene-1.357&CDS=1-2043, snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.236-mRNA-1_1&gene=snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.236&CDS=1-1206, snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.202-mRNA-1_1&gene=snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.202&CDS=1-1206, snap_masked-NODE_42_length_88966_cov_30.3916_ID_83-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_42_length_88966_cov_30.3916_ID_83-processed-gene-0.133&CDS=1-1188
18	OG0000018	YLR237W, YOR071C, YOR192C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.32&CDS=1-1647, snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.14&CDS=1-1689, snap_masked-NODE_55_length_39841_cov_33.6476_ID_109-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_55_length_39841_cov_33.6476_ID_109-processed-gene-0.39&CDS=1-1689
19	OG0000019	YLR253W, YLR256W	maker-NODE_41_length_95792_cov_31.6591_ID_81-snap-gene-0.108-mRNA-1_1&gene=maker-NODE_41_length_95792_cov_31.6591_ID_81-snap-gene-0.108&CDS=1-2583, maker-NODE_7_length_357092_cov_29.7097_ID_13-augustus-gene-2.235-mRNA-1_1&gene=maker-NODE_7_length_357092_cov_29.7097_ID_13-augustus-gene-2.235&CDS=1-4812, snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.19&CDS=1-2829, snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.67&CDS=1-3579
20	OG0000020	YML111W, YMR275C, YNR069C	snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.159&CDS=1-2133, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.58&CDS=1-2061, snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.17&CDS=1-2454
21	OG0000021	YAL030W, YLR093C, YOR327C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.42&CDS=1-357, snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.11&CDS=1-858
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_4_length_504154_cov_32.1482_ID_7-augustus-gene-3.13-mRNA-1_1&gene=maker-NODE_4_length_504154_cov_32.1482_ID_7-augustus-gene-3.13&CDS=1-5580
23	OG0000023	YBL089W, YER119C, YIL088C	augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.31&CDS=1-1329, snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.14-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.14&CDS=1-1455
24	OG0000024	YBR199W	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.228-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.228&CDS=1-1290, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.29&CDS=1-1437, snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.87&CDS=1-1341, snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.4&CDS=1-1368
25	OG0000025	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.194-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.194&CDS=1-2370
26	OG0000026	YCL024W, YDR507C, YKL101W	snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.75&CDS=1-3549, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.87&CDS=1-3678
27	OG0000027	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.103&CDS=1-1428
28	OG0000028	YCR037C, YJL198W, YNR013C	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.276-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.276&CDS=1-2427, snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.205-mRNA-1_1&gene=snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.205&CDS=1-2574
29	OG0000029	YDL174C, YMR027W	augustus_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.193&CDS=1-4749, augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.13&CDS=1-2499, genemark-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.88&CDS=1-1689
30	OG0000030	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.33&CDS=1-1020
31	OG0000031	YDR242W	maker-NODE_10_length_305151_cov_36.765_ID_19-augustus-gene-2.63-mRNA-1_1&gene=maker-NODE_10_length_305151_cov_36.765_ID_19-augustus-gene-2.63&CDS=1-3378, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.24&CDS=1-1719, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.6&CDS=1-1677, snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.215-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.215&CDS=1-1641
32	OG0000032	YEL066W, YPR193C	snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.125&CDS=1-483, snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.16&CDS=1-468, snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.28&CDS=1-483
33	OG0000033	YER028C, YGL035C, YGL209W	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-0.121&CDS=1-1686, snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-0.97&CDS=1-1443
34	OG0000034	YFL021W, YKR034W	genemark-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.35&CDS=1-1146, genemark-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.31&CDS=1-1878, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.135&CDS=1-1998
35	OG0000035	YFR022W, YGR068C, YOR018W	augustus_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.95&CDS=1-3579, augustus_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-0.68&CDS=1-2811
