	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026274_Komagataella_populi
10	OG0000010	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_24_length_7324_cov_21.59_ID_47-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_24_length_7324_cov_21.59_ID_47-processed-gene-0.1&CDS=1-1068, maker-NODE_4_length_855327_cov_14.0443_ID_7-snap-gene-4.183-mRNA-1_1&gene=maker-NODE_4_length_855327_cov_14.0443_ID_7-snap-gene-4.183&CDS=1-2094, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-0.112&CDS=1-1065
11	OG0000011	YHL028W, YNL283C, YOL105C, YOR008C	augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-10.206-mRNA-1_1&gene=augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-10.206&CDS=1-942, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.53-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.53&CDS=1-1092, snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-9.4-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-9.4&CDS=1-963
12	OG0000012	YIL130W, YKL015W	augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.70&CDS=1-2280, snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-10.36-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-10.36&CDS=1-2637, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-0.111&CDS=1-2796, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-3.26&CDS=1-2961, snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.56&CDS=1-2835
13	OG0000013	YNL268W, YOR348C	snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.261-mRNA-1_1&gene=snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.261&CDS=1-1728, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.6&CDS=1-1695, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.130-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.130&CDS=1-1611, snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.127&CDS=1-1686, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-4.139-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-4.139&CDS=1-1722
14	OG0000014	Q0105, Q0110, Q0115, Q0120	maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.3&CDS=1-780, maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.6&CDS=1-1161, maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_15_length_36723_cov_805.127_ID_29-snap-gene-0.7&CDS=1-207
15	OG0000015	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
16	OG0000016	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.273-mRNA-1_1&gene=snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.273&CDS=1-1404
17	OG0000017	YBR264C, YKR014C, YOR089C	augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.39&CDS=1-648, maker-NODE_1_length_2210088_cov_13.6287_ID_1-snap-gene-19.10-mRNA-1_1&gene=maker-NODE_1_length_2210088_cov_13.6287_ID_1-snap-gene-19.10&CDS=1-618, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-3.15&CDS=1-651
18	OG0000018	YCR102C, YLR460C, YNL134C	maker-NODE_7_length_738499_cov_13.121_ID_13-snap-gene-5.140-mRNA-1_1&gene=maker-NODE_7_length_738499_cov_13.121_ID_13-snap-gene-5.140&CDS=1-2013, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.5&CDS=1-1047, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.9-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.9&CDS=1-1239
19	OG0000019	YDR368W, YIL039W, YOR120W	augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.88&CDS=1-2649, augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.9&CDS=1-3045, maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-4.190-mRNA-1_1&gene=maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-4.190&CDS=1-3678
20	OG0000020	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.34&CDS=1-1860, augustus_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-0.78&CDS=1-1512
21	OG0000021	YGR249W, YHR206W, YOR140W	snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-4.38&CDS=1-1527, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-5.21&CDS=1-1641, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-4.113&CDS=1-2166
22	OG0000022	YHL019C, YOL062C, YPL259C	snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.40&CDS=1-1362, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.45-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.45&CDS=1-1695, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.42-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.42&CDS=1-1272
23	OG0000023	YIL166C, YOL163W	maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-9.143-mRNA-1_1&gene=maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-9.143&CDS=1-636, maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-9.144-mRNA-1_1&gene=maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-9.144&CDS=1-846, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.25&CDS=1-1104, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-1.28&CDS=1-1644
24	OG0000024	YJL082W, YKR018C, YLR109W	maker-NODE_1_length_2210088_cov_13.6287_ID_1-augustus-gene-19.1-mRNA-1_1&gene=maker-NODE_1_length_2210088_cov_13.6287_ID_1-augustus-gene-19.1&CDS=1-2742, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.22-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.22&CDS=1-510, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.78&CDS=1-492
25	OG0000025	YJL099W, YKR027W, YMR237W, YOR299W	maker-NODE_10_length_178938_cov_14.5517_ID_19-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_10_length_178938_cov_14.5517_ID_19-snap-gene-0.3&CDS=1-2445, snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.44&CDS=1-2163
26	OG0000026	YJR061W, YKL201C	augustus_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.133-mRNA-1_1&gene=augustus_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.133&CDS=1-2322, augustus_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.134&CDS=1-2550, augustus_masked-NODE_9_length_223355_cov_13.538_ID_17-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_9_length_223355_cov_13.538_ID_17-processed-gene-0.84&CDS=1-1956, snap_masked-NODE_9_length_223355_cov_13.538_ID_17-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_9_length_223355_cov_13.538_ID_17-processed-gene-0.118&CDS=1-2307
27	OG0000027	YKL139W, YPL031C, YPR161C	snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.15-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.15&CDS=1-1932, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-2.46-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-2.46&CDS=1-870, snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-0.28&CDS=1-1536
28	OG0000028	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-4.81&CDS=1-2244, augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.66&CDS=1-2631
29	OG0000029	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.103&CDS=1-2691, maker-NODE_2_length_1250338_cov_14.0143_ID_3-augustus-gene-1.146-mRNA-1_1&gene=maker-NODE_2_length_1250338_cov_14.0143_ID_3-augustus-gene-1.146&CDS=1-3237, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-0.10&CDS=1-2700
30	OG0000030	YML111W, YMR275C, YNR069C	snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.33&CDS=1-2286, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.34&CDS=1-2211, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-0.35&CDS=1-2400
31	OG0000031	YMR169C, YMR170C, YOR374W	genemark-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.146-mRNA-1_1&gene=genemark-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.146&CDS=1-1436, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-7.59-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-7.59&CDS=1-1503, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.38&CDS=1-1575
32	OG0000032	YBL068W, YER099C, YOL061W	snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.41-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.41&CDS=1-1263, snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.77&CDS=1-981
33	OG0000033	YBL089W, YER119C, YIL088C	maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-7.179-mRNA-1_1&gene=maker-NODE_2_length_1250338_cov_14.0143_ID_3-snap-gene-7.179&CDS=1-1419, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-7.23&CDS=1-1320
34	OG0000034	YBR114W, YOR191W	genemark-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-4.68-mRNA-1_1&gene=genemark-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-4.68&CDS=1-2211, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-19.30-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-19.30&CDS=1-2463, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.52-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.52&CDS=1-3420
35	OG0000035	YBR177C, YMR210W, YPL095C	snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.31-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.31&CDS=1-1338, snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-1.70&CDS=1-1353
36	OG0000036	YBR207W, YER145C	augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-4.122&CDS=1-1200, augustus_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-5.91&CDS=1-1131, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-21.132-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-21.132&CDS=1-1095
37	OG0000037	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-6.162-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-6.162&CDS=1-1191
38	OG0000038	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.34-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-16.34&CDS=1-1614
39	OG0000039	YCR045C, YEL060C	snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-0.33&CDS=1-1647, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.51-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-13.51&CDS=1-1434, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-17.149-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-17.149&CDS=1-1332
40	OG0000040	YCR065W, YIL131C, YNL068C	maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-3.4-mRNA-1_1&gene=maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-3.4&CDS=1-2775, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-17.101-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-17.101&CDS=1-1374
