	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
10	OG0000010	YDR475C, YGR237C, YOR019W	augustus_masked-scf7180000058804-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058804-processed-gene-0.3&CDS=1-705, augustus_masked-scf7180000061749-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000061749-processed-gene-0.2&CDS=1-2067, snap_masked-scf7180000058035-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000058035-processed-gene-0.3&CDS=1-1851, snap_masked-scf7180000059717-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000059717-processed-gene-0.12&CDS=1-1851
11	OG0000011	YER132C, YGL197W	augustus_masked-scf7180000054746-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054746-processed-gene-0.1&CDS=1-1011, augustus_masked-scf7180000058001-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058001-processed-gene-0.0&CDS=1-600, augustus_masked-scf7180000060101-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000060101-processed-gene-0.10&CDS=1-2916, snap_masked-scf7180000053574-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053574-processed-gene-0.1&CDS=1-219, snap_masked-scf7180000058001-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058001-processed-gene-0.1&CDS=1-255
12	OG0000012	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-scf7180000059081-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000059081-processed-gene-0.16&CDS=1-1941, augustus_masked-scf7180000060023-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060023-processed-gene-0.1&CDS=1-1698
13	OG0000013	YLR392C	augustus_masked-scf7180000053632-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000053632-processed-gene-0.12&CDS=1-1467, augustus_masked-scf7180000059773-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000059773-processed-gene-0.47&CDS=1-1560, snap_masked-scf7180000053627-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000053627-processed-gene-0.15&CDS=1-1350, snap_masked-scf7180000054495-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000054495-processed-gene-0.3&CDS=1-1401, snap_masked-scf7180000056059-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056059-processed-gene-0.2&CDS=1-456, snap_masked-scf7180000061762-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000061762-processed-gene-0.6&CDS=1-1377
14	OG0000014	YNL094W	augustus_masked-scf7180000053566-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000053566-processed-gene-0.15&CDS=1-1839, snap_masked-scf7180000053846-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000053846-processed-gene-0.2&CDS=1-303, snap_masked-scf7180000054495-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000054495-processed-gene-0.11&CDS=1-636, snap_masked-scf7180000055773-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000055773-processed-gene-0.3&CDS=1-684, snap_masked-scf7180000060507-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060507-processed-gene-0.1&CDS=1-486, snap_masked-scf7180000061721-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000061721-processed-gene-0.33&CDS=1-495
15	OG0000015		augustus_masked-scf7180000054362-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054362-processed-gene-0.1&CDS=1-429, augustus_masked-scf7180000056403-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056403-processed-gene-0.0&CDS=1-987, augustus_masked-scf7180000060750-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060750-processed-gene-0.0&CDS=1-732, snap_masked-scf7180000055730-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055730-processed-gene-0.1&CDS=1-669, snap_masked-scf7180000057696-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057696-processed-gene-0.1&CDS=1-615, snap_masked-scf7180000060999-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060999-processed-gene-0.1&CDS=1-666, snap_masked-scf7180000061637-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061637-processed-gene-0.0&CDS=1-417
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-scf7180000059743-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059743-processed-gene-0.1&CDS=1-2085, augustus_masked-scf7180000061317-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061317-processed-gene-0.1&CDS=1-765
17	OG0000017	YBL079W, YER105C	augustus_masked-scf7180000053870-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053870-processed-gene-0.0&CDS=1-2004, augustus_masked-scf7180000060382-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000060382-processed-gene-0.4&CDS=1-1734, augustus_masked-scf7180000061440-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061440-processed-gene-0.1&CDS=1-1215, genemark-scf7180000053546-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000053546-processed-gene-0.4&CDS=1-6663
18	OG0000018	YBL101C, YPR030W	augustus_masked-scf7180000055184-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055184-processed-gene-0.1&CDS=1-969, augustus_masked-scf7180000060917-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060917-processed-gene-0.2&CDS=1-762, snap_masked-scf7180000054415-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000054415-processed-gene-0.19&CDS=1-3294, snap_masked-scf7180000056455-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056455-processed-gene-0.1&CDS=1-681
19	OG0000019	YBR009C, YNL030W	augustus_masked-scf7180000053802-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053802-processed-gene-0.4&CDS=1-309, augustus_masked-scf7180000054611-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054611-processed-gene-0.2&CDS=1-309, augustus_masked-scf7180000057818-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000057818-processed-gene-0.38&CDS=1-309, augustus_masked-scf7180000059643-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000059643-processed-gene-0.19&CDS=1-309
20	OG0000020	YBR150C, YOL089C	augustus_masked-scf7180000053680-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053680-processed-gene-0.1&CDS=1-1914, augustus_masked-scf7180000054019-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000054019-processed-gene-0.31&CDS=1-2100, snap_masked-scf7180000053834-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000053834-processed-gene-0.3&CDS=1-1992, snap_masked-scf7180000055756-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055756-processed-gene-0.1&CDS=1-942
21	OG0000021	YBR183W, YPL087W	augustus_masked-scf7180000055149-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055149-processed-gene-0.0&CDS=1-630, genemark-scf7180000053744-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000053744-processed-gene-0.0&CDS=1-870, genemark-scf7180000057211-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000057211-processed-gene-0.1&CDS=1-387, snap_masked-scf7180000060404-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060404-processed-gene-0.1&CDS=1-909
22	OG0000022	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-scf7180000053817-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000053817-processed-gene-0.12&CDS=1-1257, snap_masked-scf7180000060444-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000060444-processed-gene-0.3&CDS=1-645
23	OG0000023	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000057061-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000057061-processed-gene-0.0&CDS=1-867, augustus_masked-scf7180000059897-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000059897-processed-gene-0.7&CDS=1-1122, genemark-scf7180000054629-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000054629-processed-gene-0.2&CDS=1-870
24	OG0000024	YDL146W, YIL042C	genemark-scf7180000058494-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000058494-processed-gene-0.0&CDS=1-348, genemark-scf7180000060144-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000060144-processed-gene-0.6&CDS=1-1197, genemark-scf7180000061081-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000061081-processed-gene-0.23&CDS=1-2415, snap_masked-scf7180000055113-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055113-processed-gene-0.1&CDS=1-918
25	OG0000025	YDR028C, YLR018C	augustus_masked-scf7180000055439-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000055439-processed-gene-0.7&CDS=1-3087, genemark-scf7180000058827-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000058827-processed-gene-0.2&CDS=1-417, snap_masked-scf7180000058827-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000058827-processed-gene-0.4&CDS=1-1089, snap_masked-scf7180000060929-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060929-processed-gene-0.1&CDS=1-1011
26	OG0000026	YDR379W, YOR127W	maker-scf7180000061666-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000061666-augustus-gene-0.0&CDS=1-2571, snap_masked-scf7180000056414-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056414-processed-gene-0.1&CDS=1-654, snap_masked-scf7180000057258-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057258-processed-gene-0.1&CDS=1-522, snap_masked-scf7180000061492-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061492-processed-gene-0.0&CDS=1-183
27	OG0000027	YFL060C, YMR095C, YNL334C	augustus_masked-scf7180000054219-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054219-processed-gene-0.2&CDS=1-330, maker-scf7180000057818-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000057818-snap-gene-0.0&CDS=1-594, snap_masked-scf7180000059274-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000059274-processed-gene-0.3&CDS=1-369
28	OG0000028	YHR155W, YNL257C	augustus_masked-scf7180000056553-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056553-processed-gene-0.2&CDS=1-2049, augustus_masked-scf7180000060452-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060452-processed-gene-0.0&CDS=1-531, maker-scf7180000053628-augustus-gene-0.15-mRNA-1_1&gene=maker-scf7180000053628-augustus-gene-0.15&CDS=1-3291, snap_masked-scf7180000057145-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057145-processed-gene-0.1&CDS=1-471
29	OG0000029	YJL002C, YLL004W	augustus_masked-scf7180000056606-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056606-processed-gene-0.0&CDS=1-531, augustus_masked-scf7180000056689-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056689-processed-gene-0.1&CDS=1-588, snap_masked-scf7180000056340-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056340-processed-gene-0.1&CDS=1-981, snap_masked-scf7180000060367-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000060367-processed-gene-0.20&CDS=1-3546
30	OG0000030	YJL105W, YKR029C	genemark-scf7180000061706-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000061706-processed-gene-0.17&CDS=1-1890, snap_masked-scf7180000055445-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055445-processed-gene-0.1&CDS=1-1008, snap_masked-scf7180000058163-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058163-processed-gene-0.1&CDS=1-255, snap_masked-scf7180000059089-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000059089-processed-gene-0.0&CDS=1-360
31	OG0000031	YJL207C	augustus_masked-scf7180000053970-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053970-processed-gene-0.0&CDS=1-867, augustus_masked-scf7180000061347-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000061347-processed-gene-0.2&CDS=1-720, augustus_masked-scf7180000061681-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000061681-processed-gene-0.12&CDS=1-4980, snap_masked-scf7180000055526-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000055526-processed-gene-0.4&CDS=1-1074, snap_masked-scf7180000056659-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056659-processed-gene-0.0&CDS=1-525
32	OG0000032	YKL171W, YKL179C, YPL040C	augustus_masked-scf7180000053547-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000053547-processed-gene-0.9&CDS=1-8847, augustus_masked-scf7180000054190-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054190-processed-gene-0.2&CDS=1-819, maker-scf7180000059086-snap-gene-0.2-mRNA-1_1&gene=maker-scf7180000059086-snap-gene-0.2&CDS=1-1614
33	OG0000033	YKL222C, YLR266C, YOR162C, YOR172W	genemark-scf7180000059731-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000059731-processed-gene-0.5&CDS=1-1941, maker-scf7180000054273-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000054273-snap-gene-0.1&CDS=1-1737
34	OG0000034	YLL016W, YLL017W, YLR310C	augustus_masked-scf7180000056468-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056468-processed-gene-0.2&CDS=1-624, augustus_masked-scf7180000061209-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061209-processed-gene-0.1&CDS=1-1095, snap_masked-scf7180000059059-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000059059-processed-gene-0.4&CDS=1-3918
35	OG0000035	YLR115W	augustus_masked-scf7180000053630-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053630-processed-gene-0.5&CDS=1-2448, augustus_masked-scf7180000055523-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055523-processed-gene-0.2&CDS=1-696, augustus_masked-scf7180000056846-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056846-processed-gene-0.1&CDS=1-942, augustus_masked-scf7180000060197-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000060197-processed-gene-0.4&CDS=1-828, augustus_masked-scf7180000061543-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000061543-processed-gene-0.9&CDS=1-702
36	OG0000036	YLR352W, YMR119W, YNL008C	augustus_masked-scf7180000061086-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000061086-processed-gene-0.7&CDS=1-1626, augustus_masked-scf7180000061086-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000061086-processed-gene-0.8&CDS=1-1557, genemark-scf7180000061740-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000061740-processed-gene-0.4&CDS=1-3003
37	OG0000037	YLR425W	augustus_masked-scf7180000056643-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056643-processed-gene-0.1&CDS=1-675, snap_masked-scf7180000055401-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055401-processed-gene-0.1&CDS=1-852, snap_masked-scf7180000059382-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059382-processed-gene-0.1&CDS=1-258, snap_masked-scf7180000060026-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000060026-processed-gene-0.3&CDS=1-426, snap_masked-scf7180000060365-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000060365-processed-gene-0.12&CDS=1-3654
38	OG0000038	YMR201C, YNR007C	augustus_masked-scf7180000061391-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061391-processed-gene-0.1&CDS=1-546, genemark-scf7180000053651-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000053651-processed-gene-0.12&CDS=1-1695, maker-scf7180000054481-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000054481-augustus-gene-0.0&CDS=1-945, snap_masked-scf7180000061764-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000061764-processed-gene-0.1&CDS=1-372
