	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035688_Cyberlindnera_xylosilytica
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_22-snap-gene-1.90-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.90&CDS=1-4617, maker-flattened_line_7-augustus-gene-0.84-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-0.84&CDS=1-4944, maker-flattened_line_7-augustus-gene-2.99-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-2.99&CDS=1-4944
11	OG0000011	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_8-processed-gene-2.130-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.130&CDS=1-1722, snap_masked-flattened_line_8-processed-gene-2.135-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.135&CDS=1-1731, snap_masked-flattened_line_84-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.117&CDS=1-1737
12	OG0000012	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_20-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.52&CDS=1-792, snap_masked-flattened_line_66-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.97&CDS=1-804
13	OG0000013	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	snap_masked-flattened_line_8-processed-gene-2.154-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.154&CDS=1-1689
14	OG0000014	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_0-processed-gene-1.163-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.163&CDS=1-1053, snap_masked-flattened_line_5-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.46&CDS=1-1059
15	OG0000015	YGL185C, YPL113C	maker-flattened_line_16-snap-gene-1.156-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.156&CDS=1-1080, snap_masked-flattened_line_0-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.58&CDS=1-1131, snap_masked-flattened_line_40-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.92&CDS=1-1101, snap_masked-flattened_line_68-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.162&CDS=1-1116
16	OG0000016	YGL257C, YNR059W	maker-flattened_line_58-augustus-gene-0.86-mRNA-1_1&gene=maker-flattened_line_58-augustus-gene-0.86&CDS=1-3897, snap_masked-flattened_line_106-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.65&CDS=1-2442, snap_masked-flattened_line_20-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.75&CDS=1-2280, snap_masked-flattened_line_60-processed-gene-0.198-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.198&CDS=1-2169
17	OG0000017	YJR152W	snap_masked-flattened_line_24-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.26&CDS=1-1584, snap_masked-flattened_line_34-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.27&CDS=1-1590, snap_masked-flattened_line_38-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.49&CDS=1-1566, snap_masked-flattened_line_54-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.163&CDS=1-1599, snap_masked-flattened_line_8-processed-gene-2.144-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.144&CDS=1-1566
18	OG0000018	YLR278C	maker-flattened_line_118-snap-gene-0.71-mRNA-1_1&gene=maker-flattened_line_118-snap-gene-0.71&CDS=1-5055, snap_masked-flattened_line_118-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.15&CDS=1-870, snap_masked-flattened_line_209-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_209-processed-gene-0.10&CDS=1-870, snap_masked-flattened_line_52-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.40&CDS=1-867, snap_masked-flattened_line_52-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.6&CDS=1-867
19	OG0000019	YBR042C, YDL206W, YDR018C	genemark-flattened_line_3-processed-gene-4.140-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-4.140&CDS=1-3495, snap_masked-flattened_line_88-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.76&CDS=1-1629
20	OG0000020	YCL036W, YDR514C	snap_masked-flattened_line_0-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.100&CDS=1-1005, snap_masked-flattened_line_0-processed-gene-2.81-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.81&CDS=1-1134, snap_masked-flattened_line_0-processed-gene-2.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.82&CDS=1-1266
21	OG0000021	YCR102C, YLR460C, YNL134C	snap_masked-flattened_line_64-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.124&CDS=1-1092, snap_masked-flattened_line_64-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.85&CDS=1-1095
22	OG0000022	YDR132C, YLR108C, YLR109W	augustus_masked-flattened_line_46-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.9&CDS=1-1644, snap_masked-flattened_line_48-processed-gene-0.190-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.190&CDS=1-510
23	OG0000023	YDR144C, YLR120C, YLR121C	snap_masked-flattened_line_7-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.106&CDS=1-1623, snap_masked-flattened_line_7-processed-gene-2.115-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.115&CDS=1-1623
24	OG0000024	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_14-processed-gene-2.63-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.63&CDS=1-696
25	OG0000025	YER011W, YOR009W, YOR010C	augustus_masked-flattened_line_92-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.10&CDS=1-543, snap_masked-flattened_line_20-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.73&CDS=1-522
26	OG0000026	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_108-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.39&CDS=1-4668
27	OG0000027	YGR249W, YOR140W	snap_masked-flattened_line_2-processed-gene-2.55-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.55&CDS=1-1854, snap_masked-flattened_line_2-processed-gene-3.61-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.61&CDS=1-1854, snap_masked-flattened_line_48-processed-gene-0.164-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.164&CDS=1-2193
28	OG0000028	YKL221W	snap_masked-flattened_line_134-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.79&CDS=1-1419, snap_masked-flattened_line_138-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.51&CDS=1-1443, snap_masked-flattened_line_16-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.63&CDS=1-1437, snap_masked-flattened_line_16-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.67&CDS=1-1434
29	OG0000029	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_188-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_188-processed-gene-0.11&CDS=1-2049
30	OG0000030	YLR155C, YLR157C, YLR158C, YLR160C	augustus_masked-flattened_line_96-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.14&CDS=1-1101
31	OG0000031	YLR392C	augustus_masked-flattened_line_14-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.109&CDS=1-1311, augustus_masked-flattened_line_18-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.8&CDS=1-1365, snap_masked-flattened_line_48-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.136&CDS=1-1431, snap_masked-flattened_line_52-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.22&CDS=1-1311
32	OG0000032	YMR168C	snap_masked-flattened_line_14-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.78&CDS=1-1956, snap_masked-flattened_line_162-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_162-processed-gene-0.13&CDS=1-2247, snap_masked-flattened_line_22-processed-gene-1.250-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.250&CDS=1-2880, snap_masked-flattened_line_54-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.129&CDS=1-1785
33	OG0000033	YPL146C	augustus_masked-flattened_line_54-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.197&CDS=1-1410, maker-flattened_line_54-augustus-gene-0.177-mRNA-1_1&gene=maker-flattened_line_54-augustus-gene-0.177&CDS=1-2709, snap_masked-flattened_line_38-processed-gene-1.166-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.166&CDS=1-1380, snap_masked-flattened_line_54-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.151&CDS=1-1404
34	OG0000034	YPR194C	maker-flattened_line_32-snap-gene-1.168-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.168&CDS=1-8043, maker-flattened_line_32-snap-gene-1.172-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.172&CDS=1-2625, snap_masked-flattened_line_16-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.70&CDS=1-2619, snap_masked-flattened_line_32-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.116&CDS=1-2709
35	OG0000035	YBL002W, YDR224C	snap_masked-flattened_line_112-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.59&CDS=1-393, snap_masked-flattened_line_56-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.46&CDS=1-393
36	OG0000036	YBL003C, YDR225W	snap_masked-flattened_line_112-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.82&CDS=1-393, snap_masked-flattened_line_56-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.4&CDS=1-393
37	OG0000037	YBL042C, YBR021W, YIR028W	maker-flattened_line_34-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.0&CDS=1-3570
38	OG0000038	YBL068W-A, YBL069W, YER101C	snap_masked-flattened_line_18-processed-gene-2.163-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.163&CDS=1-1233
39	OG0000039	YBR009C, YNL030W	snap_masked-flattened_line_68-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.105&CDS=1-309, snap_masked-flattened_line_82-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.128&CDS=1-309
40	OG0000040	YBR019C, YHR210C, YNR071C	snap_masked-flattened_line_12-processed-gene-1.34-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.34&CDS=1-993
41	OG0000041	YBR067C	snap_masked-flattened_line_10-processed-gene-1.79-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.79&CDS=1-756, snap_masked-flattened_line_36-processed-gene-1.212-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.212&CDS=1-657, snap_masked-flattened_line_56-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.60&CDS=1-480
42	OG0000042	YBR104W, YPR058W	snap_masked-flattened_line_10-processed-gene-2.215-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.215&CDS=1-927, snap_masked-flattened_line_10-processed-gene-2.257-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.257&CDS=1-888
43	OG0000043	YBR119W, YIR009W	snap_masked-flattened_line_74-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.23&CDS=1-270, snap_masked-flattened_line_8-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.46&CDS=1-642
44	OG0000044	YBR175W, YMR146C	augustus_masked-flattened_line_22-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.9&CDS=1-1053, snap_masked-flattened_line_18-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.72&CDS=1-1026
45	OG0000045	YBR244W, YIR037W	snap_masked-flattened_line_20-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.70&CDS=1-489, snap_masked-flattened_line_5-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.71&CDS=1-492
46	OG0000046	YBR245C, YOR304W	snap_masked-flattened_line_34-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.23&CDS=1-3075, snap_masked-flattened_line_72-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.104&CDS=1-3105
47	OG0000047	YBR293W	snap_masked-flattened_line_118-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.8&CDS=1-1734, snap_masked-flattened_line_20-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.157&CDS=1-1740, snap_masked-flattened_line_3-processed-gene-2.10-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.10&CDS=1-1581
48	OG0000048	YCL037C, YDR515W	snap_masked-flattened_line_130-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.37&CDS=1-1527, snap_masked-flattened_line_170-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_170-processed-gene-0.23&CDS=1-1506
49	OG0000049	YDL113C, YDR425W	snap_masked-flattened_line_24-processed-gene-1.171-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.171&CDS=1-1623, snap_masked-flattened_line_40-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.52&CDS=1-1704
50	OG0000050	YDL237W	augustus_masked-flattened_line_46-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.13&CDS=1-756, snap_masked-flattened_line_24-processed-gene-1.165-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.165&CDS=1-924, snap_masked-flattened_line_3-processed-gene-3.123-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.123&CDS=1-1188
51	OG0000051	YDR038C, YDR039C, YDR040C	snap_masked-flattened_line_10-processed-gene-2.188-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.188&CDS=1-3141
52	OG0000052	YDR107C, YLR083C	snap_masked-flattened_line_7-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.6&CDS=1-1854, snap_masked-flattened_line_7-processed-gene-2.200-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.200&CDS=1-1854
53	OG0000053	YDR134C, YLR110C	snap_masked-flattened_line_7-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.1&CDS=1-621, snap_masked-flattened_line_7-processed-gene-2.205-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.205&CDS=1-621
54	OG0000054	YDR146C, YLR131C	snap_masked-flattened_line_7-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.137&CDS=1-2118, snap_masked-flattened_line_7-processed-gene-2.153-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.153&CDS=1-2118
55	OG0000055	YDR368W, YOR120W	snap_masked-flattened_line_70-processed-gene-0.141-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.141&CDS=1-912, snap_masked-flattened_line_70-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.94&CDS=1-918
56	OG0000056	YDR507C, YKL101W	augustus_masked-flattened_line_108-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.49&CDS=1-3291, snap_masked-flattened_line_16-processed-gene-1.83-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.83&CDS=1-3381
57	OG0000057	YEL063C, YNL268W	snap_masked-flattened_line_108-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.80&CDS=1-1647, snap_masked-flattened_line_108-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.92&CDS=1-1665
58	OG0000058	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_18-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.38&CDS=1-1533
59	OG0000059	YER075C, YOR208W	snap_masked-flattened_line_10-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.73&CDS=1-2109, snap_masked-flattened_line_92-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.89&CDS=1-2118
60	OG0000060	YER107C, YOR026W	snap_masked-flattened_line_10-processed-gene-2.267-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.267&CDS=1-1077, snap_masked-flattened_line_132-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.66&CDS=1-2979
