	OrthologID	Saccharomyces_cerevisiae	Yarrowia_lipolytica
10	OG0000010	YDL210W	genemark-YALI0A-processed-gene-21.60-mRNA-1_1&gene=genemark-YALI0A-processed-gene-21.60&CDS=1-1647, genemark-YALI0A-processed-gene-3.104-mRNA-1_1&gene=genemark-YALI0A-processed-gene-3.104&CDS=1-1632, genemark-YALI0A-processed-gene-7.83-mRNA-1_1&gene=genemark-YALI0A-processed-gene-7.83&CDS=1-1581, genemark-YALI0D-processed-gene-0.54-mRNA-1_1&gene=genemark-YALI0D-processed-gene-0.54&CDS=1-1629, genemark-YALI0D-processed-gene-21.108-mRNA-1_1&gene=genemark-YALI0D-processed-gene-21.108&CDS=1-1545, genemark-YALI0E-processed-gene-8.20-mRNA-1_1&gene=genemark-YALI0E-processed-gene-8.20&CDS=1-1599, snap_masked-YALI0F-processed-gene-1.12-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-1.12&CDS=1-1599
11	OG0000011	YHR179W, YPL171C	genemark-YALI0B-processed-gene-13.67-mRNA-1_1&gene=genemark-YALI0B-processed-gene-13.67&CDS=1-1029, genemark-YALI0B-processed-gene-8.61-mRNA-1_1&gene=genemark-YALI0B-processed-gene-8.61&CDS=1-1149, genemark-YALI0D-processed-gene-1.80-mRNA-1_1&gene=genemark-YALI0D-processed-gene-1.80&CDS=1-1122, genemark-YALI0D-processed-gene-20.21-mRNA-1_1&gene=genemark-YALI0D-processed-gene-20.21&CDS=1-1104, genemark-YALI0E-processed-gene-32.56-mRNA-1_1&gene=genemark-YALI0E-processed-gene-32.56&CDS=1-1119, genemark-YALI0F-processed-gene-31.14-mRNA-1_1&gene=genemark-YALI0F-processed-gene-31.14&CDS=1-1122
12	OG0000012	YKR039W	genemark-YALI0B-processed-gene-21.16-mRNA-1_1&gene=genemark-YALI0B-processed-gene-21.16&CDS=1-1731, genemark-YALI0B-processed-gene-25.35-mRNA-1_1&gene=genemark-YALI0B-processed-gene-25.35&CDS=1-1758, genemark-YALI0B-processed-gene-26.14-mRNA-1_1&gene=genemark-YALI0B-processed-gene-26.14&CDS=1-1806, genemark-YALI0C-processed-gene-13.68-mRNA-1_1&gene=genemark-YALI0C-processed-gene-13.68&CDS=1-1761, genemark-YALI0C-processed-gene-24.9-mRNA-1_1&gene=genemark-YALI0C-processed-gene-24.9&CDS=1-1755, genemark-YALI0E-processed-gene-12.39-mRNA-1_1&gene=genemark-YALI0E-processed-gene-12.39&CDS=1-1779, genemark-YALI0F-processed-gene-26.74-mRNA-1_1&gene=genemark-YALI0F-processed-gene-26.74&CDS=1-1737
13	OG0000013	YBR298C, YDL247W, YGR289C, YJR160C	genemark-YALI0A-processed-gene-14.11-mRNA-1_1&gene=genemark-YALI0A-processed-gene-14.11&CDS=1-1515, genemark-YALI0C-processed-gene-14.11-mRNA-1_1&gene=genemark-YALI0C-processed-gene-14.11&CDS=1-1119, snap_masked-YALI0B-processed-gene-0.4-mRNA-1_1&gene=snap_masked-YALI0B-processed-gene-0.4&CDS=1-1737
14	OG0000014	YDR368W, YOR120W	genemark-YALI0A-processed-gene-16.78-mRNA-1_1&gene=genemark-YALI0A-processed-gene-16.78&CDS=1-927, genemark-YALI0B-processed-gene-28.24-mRNA-1_1&gene=genemark-YALI0B-processed-gene-28.24&CDS=1-927, genemark-YALI0B-processed-gene-9.58-mRNA-1_1&gene=genemark-YALI0B-processed-gene-9.58&CDS=1-927, genemark-YALI0D-processed-gene-5.45-mRNA-1_1&gene=genemark-YALI0D-processed-gene-5.45&CDS=1-927, genemark-YALI0E-processed-gene-22.2-mRNA-1_1&gene=genemark-YALI0E-processed-gene-22.2&CDS=1-927
15	OG0000015	YDR406W, YOR153W, YOR328W	genemark-YALI0B-processed-gene-17.34-mRNA-1_1&gene=genemark-YALI0B-processed-gene-17.34&CDS=1-4416, genemark-YALI0B-processed-gene-3.46-mRNA-1_1&gene=genemark-YALI0B-processed-gene-3.46&CDS=1-4455, genemark-YALI0C-processed-gene-27.8-mRNA-1_1&gene=genemark-YALI0C-processed-gene-27.8&CDS=1-4407, maker-YALI0E-snap-gene-17.39-mRNA-1_1&gene=maker-YALI0E-snap-gene-17.39&CDS=1-4659
16	OG0000016	YDR536W	genemark-YALI0A-processed-gene-8.45-mRNA-1_1&gene=genemark-YALI0A-processed-gene-8.45&CDS=1-1725, genemark-YALI0B-processed-gene-22.73-mRNA-1_1&gene=genemark-YALI0B-processed-gene-22.73&CDS=1-1746, genemark-YALI0C-processed-gene-23.35-mRNA-1_1&gene=genemark-YALI0C-processed-gene-23.35&CDS=1-1734, genemark-YALI0D-processed-gene-1.94-mRNA-1_1&gene=genemark-YALI0D-processed-gene-1.94&CDS=1-1776, genemark-YALI0F-processed-gene-32.88-mRNA-1_1&gene=genemark-YALI0F-processed-gene-32.88&CDS=1-1686, maker-YALI0C-snap-gene-6.6-mRNA-1_1&gene=maker-YALI0C-snap-gene-6.6&CDS=1-2574
17	OG0000017	YGL205W	genemark-YALI0C-processed-gene-31.126-mRNA-1_1&gene=genemark-YALI0C-processed-gene-31.126&CDS=1-2097, genemark-YALI0D-processed-gene-33.0-mRNA-1_1&gene=genemark-YALI0D-processed-gene-33.0&CDS=1-2100, genemark-YALI0E-processed-gene-32.75-mRNA-1_1&gene=genemark-YALI0E-processed-gene-32.75&CDS=1-2103, genemark-YALI0E-processed-gene-39.36-mRNA-1_1&gene=genemark-YALI0E-processed-gene-39.36&CDS=1-2067, genemark-YALI0E-processed-gene-7.63-mRNA-1_1&gene=genemark-YALI0E-processed-gene-7.63&CDS=1-2067, genemark-YALI0F-processed-gene-14.12-mRNA-1_1&gene=genemark-YALI0F-processed-gene-14.12&CDS=1-2100
18	OG0000018	YKL217W	genemark-YALI0B-processed-gene-25.34-mRNA-1_1&gene=genemark-YALI0B-processed-gene-25.34&CDS=1-1587, genemark-YALI0C-processed-gene-21.39-mRNA-1_1&gene=genemark-YALI0C-processed-gene-21.39&CDS=1-1497, genemark-YALI0C-processed-gene-28.48-mRNA-1_1&gene=genemark-YALI0C-processed-gene-28.48&CDS=1-1569, genemark-YALI0D-processed-gene-32.79-mRNA-1_1&gene=genemark-YALI0D-processed-gene-32.79&CDS=1-1509, genemark-YALI0E-processed-gene-39.41-mRNA-1_1&gene=genemark-YALI0E-processed-gene-39.41&CDS=1-1572, maker-YALI0D-augustus-gene-25.66-mRNA-1_1&gene=maker-YALI0D-augustus-gene-25.66&CDS=1-5907
19	OG0000019	YMR083W, YMR303C, YOL086C	genemark-YALI0A-processed-gene-15.42-mRNA-1_1&gene=genemark-YALI0A-processed-gene-15.42&CDS=1-1044, genemark-YALI0A-processed-gene-16.85-mRNA-1_1&gene=genemark-YALI0A-processed-gene-16.85&CDS=1-1047, genemark-YALI0D-processed-gene-34.49-mRNA-1_1&gene=genemark-YALI0D-processed-gene-34.49&CDS=1-1047, genemark-YALI0E-processed-gene-21.3-mRNA-1_1&gene=genemark-YALI0E-processed-gene-21.3&CDS=1-1053
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-YALI0C-processed-gene-9.26-mRNA-1_1&gene=genemark-YALI0C-processed-gene-9.26&CDS=1-1752
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	genemark-YALI0D-processed-gene-29.52-mRNA-1_1&gene=genemark-YALI0D-processed-gene-29.52&CDS=1-1653, snap_masked-YALI0F-processed-gene-35.17-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-35.17&CDS=1-1665
22	OG0000022	YCR102C, YLR460C, YNL134C	augustus_masked-YALI0F-processed-gene-37.41-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-37.41&CDS=1-999, snap_masked-YALI0B-processed-gene-11.8-mRNA-1_1&gene=snap_masked-YALI0B-processed-gene-11.8&CDS=1-1107, snap_masked-YALI0D-processed-gene-2.84-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-2.84&CDS=1-1014
23	OG0000023	YJR152W	genemark-YALI0C-processed-gene-18.64-mRNA-1_1&gene=genemark-YALI0C-processed-gene-18.64&CDS=1-1485, genemark-YALI0C-processed-gene-23.56-mRNA-1_1&gene=genemark-YALI0C-processed-gene-23.56&CDS=1-1629, genemark-YALI0D-processed-gene-17.23-mRNA-1_1&gene=genemark-YALI0D-processed-gene-17.23&CDS=1-1506, genemark-YALI0D-processed-gene-7.26-mRNA-1_1&gene=genemark-YALI0D-processed-gene-7.26&CDS=1-1500, genemark-YALI0F-processed-gene-22.29-mRNA-1_1&gene=genemark-YALI0F-processed-gene-22.29&CDS=1-1473
24	OG0000024	YAL005C	genemark-YALI0D-processed-gene-10.66-mRNA-1_1&gene=genemark-YALI0D-processed-gene-10.66&CDS=1-1944, genemark-YALI0D-processed-gene-28.38-mRNA-1_1&gene=genemark-YALI0D-processed-gene-28.38&CDS=1-1947, genemark-YALI0E-processed-gene-41.26-mRNA-1_1&gene=genemark-YALI0E-processed-gene-41.26&CDS=1-1929, genemark-YALI0F-processed-gene-32.82-mRNA-1_1&gene=genemark-YALI0F-processed-gene-32.82&CDS=1-1959
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	genemark-YALI0E-processed-gene-5.88-mRNA-1_1&gene=genemark-YALI0E-processed-gene-5.88&CDS=1-2469
26	OG0000026	YBR019C, YHR210C, YNR071C	augustus_masked-YALI0C-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-YALI0C-processed-gene-13.27&CDS=1-981, genemark-YALI0E-processed-gene-31.33-mRNA-1_1&gene=genemark-YALI0E-processed-gene-31.33&CDS=1-1107
27	OG0000027	YBR207W, YER145C	genemark-YALI0A-processed-gene-5.67-mRNA-1_1&gene=genemark-YALI0A-processed-gene-5.67&CDS=1-1218, genemark-YALI0D-processed-gene-8.26-mRNA-1_1&gene=genemark-YALI0D-processed-gene-8.26&CDS=1-1242, genemark-YALI0D-processed-gene-9.8-mRNA-1_1&gene=genemark-YALI0D-processed-gene-9.8&CDS=1-1218
28	OG0000028	YBR297W, YFL052W, YGR288W, YPR196W	maker-YALI0C-augustus-gene-10.25-mRNA-1_1&gene=maker-YALI0C-augustus-gene-10.25&CDS=1-1503
29	OG0000029	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	
30	OG0000030	YDL106C, YDR451C, YML027W	genemark-YALI0A-processed-gene-19.29-mRNA-1_1&gene=genemark-YALI0A-processed-gene-19.29&CDS=1-1527, genemark-YALI0E-processed-gene-24.86-mRNA-1_1&gene=genemark-YALI0E-processed-gene-24.86&CDS=1-1461
31	OG0000031	YDR038C, YDR039C, YDR040C	genemark-YALI0A-processed-gene-1.41-mRNA-1_1&gene=genemark-YALI0A-processed-gene-1.41&CDS=1-3234, genemark-YALI0E-processed-gene-23.60-mRNA-1_1&gene=genemark-YALI0E-processed-gene-23.60&CDS=1-3162
32	OG0000032	YDR533C, YMR322C, YOR391C, YPL280W	genemark-YALI0C-processed-gene-29.64-mRNA-1_1&gene=genemark-YALI0C-processed-gene-29.64&CDS=1-717
33	OG0000033	YGR044C	augustus_masked-YALI0E-processed-gene-23.19-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-23.19&CDS=1-1140, genemark-YALI0A-processed-gene-13.71-mRNA-1_1&gene=genemark-YALI0A-processed-gene-13.71&CDS=1-1158, genemark-YALI0E-processed-gene-20.28-mRNA-1_1&gene=genemark-YALI0E-processed-gene-20.28&CDS=1-624, genemark-YALI0F-processed-gene-14.29-mRNA-1_1&gene=genemark-YALI0F-processed-gene-14.29&CDS=1-1155
34	OG0000034	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-YALI0D-processed-gene-18.76-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-18.76&CDS=1-1512
35	OG0000035	YIL166C	genemark-YALI0B-processed-gene-21.35-mRNA-1_1&gene=genemark-YALI0B-processed-gene-21.35&CDS=1-1734, genemark-YALI0B-processed-gene-27.38-mRNA-1_1&gene=genemark-YALI0B-processed-gene-27.38&CDS=1-1674, genemark-YALI0C-processed-gene-0.12-mRNA-1_1&gene=genemark-YALI0C-processed-gene-0.12&CDS=1-1578, genemark-YALI0D-processed-gene-0.36-mRNA-1_1&gene=genemark-YALI0D-processed-gene-0.36&CDS=1-1626
36	OG0000036	YKL055C	augustus_masked-YALI0D-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-7.59&CDS=1-744, augustus_masked-YALI0F-processed-gene-37.46-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-37.46&CDS=1-762, genemark-YALI0C-processed-gene-27.3-mRNA-1_1&gene=genemark-YALI0C-processed-gene-27.3&CDS=1-822, genemark-YALI0E-processed-gene-23.54-mRNA-1_1&gene=genemark-YALI0E-processed-gene-23.54&CDS=1-690
37	OG0000037	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
38	OG0000038	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-YALI0C-processed-gene-25.111-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-25.111&CDS=1-2481
39	OG0000039	YLR144C, YNR067C	genemark-YALI0A-processed-gene-7.65-mRNA-1_1&gene=genemark-YALI0A-processed-gene-7.65&CDS=1-2253, genemark-YALI0B-processed-gene-23.24-mRNA-1_1&gene=genemark-YALI0B-processed-gene-23.24&CDS=1-2805, genemark-YALI0C-processed-gene-16.52-mRNA-1_1&gene=genemark-YALI0C-processed-gene-16.52&CDS=1-4494
40	OG0000040	YML116W, YMR279C, YOR378W	genemark-YALI0C-processed-gene-30.29-mRNA-1_1&gene=genemark-YALI0C-processed-gene-30.29&CDS=1-1707, genemark-YALI0F-processed-gene-10.44-mRNA-1_1&gene=genemark-YALI0F-processed-gene-10.44&CDS=1-1413
41	OG0000041	YMR110C	augustus_masked-YALI0E-processed-gene-18.20-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-18.20&CDS=1-1224, genemark-YALI0A-processed-gene-18.26-mRNA-1_1&gene=genemark-YALI0A-processed-gene-18.26&CDS=1-1599, genemark-YALI0B-processed-gene-2.3-mRNA-1_1&gene=genemark-YALI0B-processed-gene-2.3&CDS=1-1587, genemark-YALI0F-processed-gene-31.18-mRNA-1_1&gene=genemark-YALI0F-processed-gene-31.18&CDS=1-1557
