	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034681_Blastobotrys_americana
10	OG0000010	Q0045, Q0055, Q0060, Q0065, Q0070	maker-flattened_line_106-snap-gene-0.30-mRNA-1_1&gene=maker-flattened_line_106-snap-gene-0.30&CDS=1-774, maker-flattened_line_106-snap-gene-0.31-mRNA-1_1&gene=maker-flattened_line_106-snap-gene-0.31&CDS=1-228, maker-flattened_line_133-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_133-snap-gene-0.0&CDS=1-195
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_94-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.8&CDS=1-1374, snap_masked-flattened_line_90-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.93&CDS=1-1452
12	OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_0-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.74&CDS=1-1899, snap_masked-flattened_line_74-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.96&CDS=1-1785, snap_masked-flattened_line_94-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.45&CDS=1-1833
13	OG0000013	YDR523C, YHR102W, YLR362W	maker-flattened_line_4-snap-gene-5.74-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-5.74&CDS=1-1716, snap_masked-flattened_line_0-processed-gene-6.214-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.214&CDS=1-3450, snap_masked-flattened_line_2-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.76&CDS=1-2856, snap_masked-flattened_line_28-processed-gene-2.1-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.1&CDS=1-1704
14	OG0000014	YKL055C	snap_masked-flattened_line_127-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_127-processed-gene-0.2&CDS=1-900, snap_masked-flattened_line_20-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.50&CDS=1-777, snap_masked-flattened_line_30-processed-gene-2.83-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.83&CDS=1-813, snap_masked-flattened_line_34-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.29&CDS=1-933, snap_masked-flattened_line_6-processed-gene-4.140-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.140&CDS=1-756, snap_masked-flattened_line_84-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.77&CDS=1-807
15	OG0000015	YKL222C, YLR256W, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_24-processed-gene-1.11-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.11&CDS=1-2052, snap_masked-flattened_line_28-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.76&CDS=1-2724
16	OG0000016	YBR237W, YDR243C, YNL112W	maker-flattened_line_36-snap-gene-1.7-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.7&CDS=1-1707, snap_masked-flattened_line_28-processed-gene-1.24-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.24&CDS=1-1875, snap_masked-flattened_line_94-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.55&CDS=1-3129
17	OG0000017	YBR240C, YML099C	maker-flattened_line_38-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.108&CDS=1-2520, snap_masked-flattened_line_0-processed-gene-2.101-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.101&CDS=1-2019, snap_masked-flattened_line_56-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.0&CDS=1-618, snap_masked-flattened_line_92-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.24&CDS=1-1011
18	OG0000018	YCL024W, YDR477W, YDR507C	genemark-flattened_line_22-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.79&CDS=1-1173, maker-flattened_line_40-augustus-gene-1.127-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-1.127&CDS=1-4353, snap_masked-flattened_line_46-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.31&CDS=1-1725
19	OG0000019	YCR102C, YDR064W, YLR460C, YNL134C	maker-flattened_line_80-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_80-snap-gene-0.6&CDS=1-1866, snap_masked-flattened_line_20-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.45&CDS=1-1107
20	OG0000020	YDL246C, YJR159W, YLR070C	snap_masked-flattened_line_26-processed-gene-1.109-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.109&CDS=1-1065, snap_masked-flattened_line_68-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.162&CDS=1-1182, snap_masked-flattened_line_90-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.96&CDS=1-1080
21	OG0000021	YDR242W	maker-flattened_line_60-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.1&CDS=1-1665, snap_masked-flattened_line_2-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.129&CDS=1-1644, snap_masked-flattened_line_24-processed-gene-2.40-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.40&CDS=1-1653, snap_masked-flattened_line_32-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.57&CDS=1-1656, snap_masked-flattened_line_70-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.78&CDS=1-1662
22	OG0000022	YDR402C	snap_masked-flattened_line_0-processed-gene-4.2-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.2&CDS=1-1599, snap_masked-flattened_line_0-processed-gene-6.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.152&CDS=1-1626, snap_masked-flattened_line_22-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.90&CDS=1-1464, snap_masked-flattened_line_66-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.19&CDS=1-1668, snap_masked-flattened_line_94-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.59&CDS=1-1617
23	OG0000023	YGL044C, YPR163C	snap_masked-flattened_line_2-processed-gene-3.23-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.23&CDS=1-369, snap_masked-flattened_line_24-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.21&CDS=1-798, snap_masked-flattened_line_26-processed-gene-2.94-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.94&CDS=1-1332, snap_masked-flattened_line_48-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.152&CDS=1-834
24	OG0000024	YGL077C	snap_masked-flattened_line_0-processed-gene-5.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.30&CDS=1-1680, snap_masked-flattened_line_24-processed-gene-2.86-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.86&CDS=1-1683, snap_masked-flattened_line_30-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.9&CDS=1-1575, snap_masked-flattened_line_4-processed-gene-3.25-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.25&CDS=1-1587, snap_masked-flattened_line_74-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.58&CDS=1-1644
25	OG0000025	YGR096W, YNL083W, YPR011C	genemark-flattened_line_24-processed-gene-2.129-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.129&CDS=1-1668, snap_masked-flattened_line_36-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.66&CDS=1-966, snap_masked-flattened_line_50-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.121&CDS=1-954
26	OG0000026	YGR260W	augustus_masked-flattened_line_104-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.62&CDS=1-1482, snap_masked-flattened_line_10-processed-gene-2.118-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.118&CDS=1-1542, snap_masked-flattened_line_102-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.36&CDS=1-1473, snap_masked-flattened_line_22-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.85&CDS=1-1485, snap_masked-flattened_line_34-processed-gene-1.127-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.127&CDS=1-1521
27	OG0000027	YOL119C, YOR306C	augustus_masked-flattened_line_18-processed-gene-2.269-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.269&CDS=1-1326, genemark-flattened_line_88-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.32&CDS=1-1377, snap_masked-flattened_line_2-processed-gene-4.82-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.82&CDS=1-1425, snap_masked-flattened_line_4-processed-gene-5.162-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.162&CDS=1-1473
28	OG0000028	YAL053W, YGL139W, YPL221W	genemark-flattened_line_24-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.137&CDS=1-2259, snap_masked-flattened_line_0-processed-gene-4.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.41&CDS=1-2157
29	OG0000029	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_40-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.45&CDS=1-4452
30	OG0000030	YBL063W, YEL061C	augustus_masked-flattened_line_30-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.120&CDS=1-3378, snap_masked-flattened_line_4-processed-gene-2.126-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.126&CDS=1-3252, snap_masked-flattened_line_84-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.78&CDS=1-2517
31	OG0000031	YBR038W, YNL192W	maker-flattened_line_14-snap-gene-2.1-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-2.1&CDS=1-3249, snap_masked-flattened_line_22-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.120&CDS=1-2925, snap_masked-flattened_line_24-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.110&CDS=1-3087
32	OG0000032	YBR114W, YOR191W	snap_masked-flattened_line_0-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.59&CDS=1-3945, snap_masked-flattened_line_2-processed-gene-4.83-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.83&CDS=1-2655, snap_masked-flattened_line_6-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.48&CDS=1-2910
33	OG0000033	YBR118W, YKR084C, YPR080W	maker-flattened_line_12-snap-gene-1.143-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.143&CDS=1-2643, snap_masked-flattened_line_20-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.43&CDS=1-1377
34	OG0000034	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_18-processed-gene-2.268-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.268&CDS=1-1611
35	OG0000035	YCR028C	snap_masked-flattened_line_104-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.36&CDS=1-1479, snap_masked-flattened_line_26-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.74&CDS=1-1605, snap_masked-flattened_line_4-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.2&CDS=1-1497, snap_masked-flattened_line_68-processed-gene-0.166-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.166&CDS=1-1500
36	OG0000036	YCR065W, YIL131C, YNL068C	snap_masked-flattened_line_20-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.64&CDS=1-2523, snap_masked-flattened_line_38-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.46&CDS=1-2175
37	OG0000037	YCR088W, YGR136W, YPR154W	snap_masked-flattened_line_2-processed-gene-1.62-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.62&CDS=1-2250, snap_masked-flattened_line_28-processed-gene-2.45-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.45&CDS=1-834
38	OG0000038	YDL108W, YPR161C	maker-flattened_line_26-snap-gene-1.152-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.152&CDS=1-1041, snap_masked-flattened_line_4-processed-gene-5.177-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.177&CDS=1-1509, snap_masked-flattened_line_4-processed-gene-5.178-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.178&CDS=1-1113
39	OG0000039	YDL132W, YGR003W	augustus_masked-flattened_line_62-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.141&CDS=1-2811, maker-flattened_line_54-snap-gene-0.191-mRNA-1_1&gene=maker-flattened_line_54-snap-gene-0.191&CDS=1-2388, maker-flattened_line_58-snap-gene-0.85-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.85&CDS=1-2448
40	OG0000040	YDL134C, YNR032W	genemark-flattened_line_78-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.94&CDS=1-1013, snap_masked-flattened_line_14-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.13&CDS=1-1053, snap_masked-flattened_line_36-processed-gene-1.121-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.121&CDS=1-1104
41	OG0000041	YDR021W, YJL138C, YKR059W	snap_masked-flattened_line_30-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.33&CDS=1-1188, snap_masked-flattened_line_8-processed-gene-3.185-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.185&CDS=1-1185
42	OG0000042	YDR107C, YER113C, YLR083C	snap_masked-flattened_line_34-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.135&CDS=1-1905, snap_masked-flattened_line_46-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.74&CDS=1-1902
43	OG0000043	YDR198C, YHL039W, YPL208W	augustus_masked-flattened_line_2-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.113&CDS=1-1749, snap_masked-flattened_line_72-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.121&CDS=1-1098
44	OG0000044	YDR385W, YKL173W, YOR133W	maker-flattened_line_12-snap-gene-2.156-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.156&CDS=1-2994, maker-flattened_line_52-snap-gene-0.90-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.90&CDS=1-2526
45	OG0000045	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_0-processed-gene-4.38-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.38&CDS=1-507
46	OG0000046	YEL007W, YHR177W	snap_masked-flattened_line_16-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.100&CDS=1-2061, snap_masked-flattened_line_2-processed-gene-3.30-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.30&CDS=1-1029, snap_masked-flattened_line_86-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.9&CDS=1-1071
47	OG0000047	YFL039C, YJL081C	snap_masked-flattened_line_62-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.89&CDS=1-1455, snap_masked-flattened_line_84-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.43&CDS=1-1323, snap_masked-flattened_line_86-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.3&CDS=1-1125
48	OG0000048	YFL050C, YKL064W, YOL130W	snap_masked-flattened_line_24-processed-gene-2.37-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.37&CDS=1-2121, snap_masked-flattened_line_4-processed-gene-3.34-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.34&CDS=1-3174
49	OG0000049	YFR038W, YOR304W	augustus_masked-flattened_line_36-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.179&CDS=1-2370, maker-flattened_line_26-augustus-gene-2.122-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-2.122&CDS=1-3291, snap_masked-flattened_line_52-processed-gene-0.238-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.238&CDS=1-3384
50	OG0000050	YGL092W, YKL068W, YMR047C	genemark-flattened_line_52-processed-gene-0.139-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.139&CDS=1-4998, snap_masked-flattened_line_14-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.40&CDS=1-3438
