	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035335_Candida_blattae
10	OG0000010	YDR541C, YOL151W	augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.117&CDS=1-1017, augustus_masked-NODE_14_length_397710_cov_34.1435_ID_3013-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_14_length_397710_cov_34.1435_ID_3013-processed-gene-0.7&CDS=1-1038, augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-2.94&CDS=1-1017, augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.45&CDS=1-1017, augustus_masked-NODE_23_length_123186_cov_28.3538_ID_3507-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_23_length_123186_cov_28.3538_ID_3507-processed-gene-0.14&CDS=1-1008
11	OG0000011	YGR281W	augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.21&CDS=1-4092, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.29&CDS=1-4164, augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-3.142&CDS=1-5466, augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-8.48&CDS=1-4215, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.71&CDS=1-4629, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.76&CDS=1-4197
12	OG0000012	YJR152W	augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.5&CDS=1-1476, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.156&CDS=1-1557, augustus_masked-NODE_22_length_155728_cov_26.7177_ID_3302-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-NODE_22_length_155728_cov_26.7177_ID_3302-processed-gene-0.193&CDS=1-1554, augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-1.24&CDS=1-1572, augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-2.139&CDS=1-1569, augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-5.36&CDS=1-1557
13	OG0000013	YKL014C	augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.24&CDS=1-1590, augustus_masked-NODE_27_length_83475_cov_26.1018_ID_3755-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_27_length_83475_cov_26.1018_ID_3755-processed-gene-0.50&CDS=1-1599, augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-3.67&CDS=1-1605, genemark-NODE_36_length_11798_cov_105.693_ID_4537-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_36_length_11798_cov_105.693_ID_4537-processed-gene-0.2&CDS=1-1437, maker-NODE_5_length_718965_cov_37.0908_ID_2110-augustus-gene-2.5-mRNA-1_1&gene=maker-NODE_5_length_718965_cov_37.0908_ID_2110-augustus-gene-2.5&CDS=1-6567, snap_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-3.96-mRNA-1_1&gene=snap_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-3.96&CDS=1-1494
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_2_length_909348_cov_30.7933_ID_2051-snap-gene-6.127-mRNA-1_1&gene=maker-NODE_2_length_909348_cov_30.7933_ID_2051-snap-gene-6.127&CDS=1-3645
15	OG0000015	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-2.27&CDS=1-453
16	OG0000016	YBR132C	augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.143&CDS=1-1683, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.173&CDS=1-1788, augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-0.53&CDS=1-1692, snap_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.169-mRNA-1_1&gene=snap_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.169&CDS=1-1746, snap_masked-NODE_32_length_23730_cov_64.6301_ID_4223-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_32_length_23730_cov_64.6301_ID_4223-processed-gene-0.28&CDS=1-1776
17	OG0000017	YBR160W, YPL031C, YPR161C	augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.83&CDS=1-1245, augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-3.22&CDS=1-984, maker-NODE_12_length_454146_cov_27.2292_ID_2576-augustus-gene-2.153-mRNA-1_1&gene=maker-NODE_12_length_454146_cov_27.2292_ID_2576-augustus-gene-2.153&CDS=1-930
18	OG0000018	YBR207W, YER145C	augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.116&CDS=1-1149, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.37&CDS=1-1185, augustus_masked-NODE_22_length_155728_cov_26.7177_ID_3302-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_22_length_155728_cov_26.7177_ID_3302-processed-gene-0.155&CDS=1-1194, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.82&CDS=1-1161
19	OG0000019	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.48&CDS=1-1740, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.92&CDS=1-1665
20	OG0000020	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-4.8&CDS=1-1818, snap_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.167&CDS=1-1707
21	OG0000021	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_28_length_58250_cov_27.2967_ID_4040-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_28_length_58250_cov_27.2967_ID_4040-processed-gene-0.63&CDS=1-2412, augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-1.87&CDS=1-1752, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-1.80&CDS=1-1968
22	OG0000022	YDL047W, YDR075W, YNR032W	augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-1.75&CDS=1-1053, augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-3.17&CDS=1-942, maker-NODE_5_length_718965_cov_37.0908_ID_2110-augustus-gene-1.76-mRNA-1_1&gene=maker-NODE_5_length_718965_cov_37.0908_ID_2110-augustus-gene-1.76&CDS=1-918
23	OG0000023	YDR207C	augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.28&CDS=1-1305, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-3.22&CDS=1-1170, augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-4.37&CDS=1-1386, snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-8.69-mRNA-1_1&gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-8.69&CDS=1-1722, snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-9.106-mRNA-1_1&gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-9.106&CDS=1-693
24	OG0000024	YGL120C, YKR086W, YNR011C	augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-1.6&CDS=1-3225, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-3.32&CDS=1-2625, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.93&CDS=1-2274
25	OG0000025	YKL215C	augustus_masked-NODE_18_length_249748_cov_39.5055_ID_3535-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_18_length_249748_cov_39.5055_ID_3535-processed-gene-1.152&CDS=1-3894, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.150&CDS=1-3954, snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-12.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-12.79&CDS=1-3948, snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.10&CDS=1-3948, snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.12&CDS=1-3894
26	OG0000026	YLR098C, YOR337W	augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.137&CDS=1-1752, augustus_masked-NODE_17_length_271379_cov_43.2709_ID_2853-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_17_length_271379_cov_43.2709_ID_2853-processed-gene-0.43&CDS=1-1953, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.147&CDS=1-2070, snap_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-7.30-mRNA-1_1&gene=snap_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-7.30&CDS=1-2217
27	OG0000027	YMR006C, YMR008C, YOL011W	augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-0.24&CDS=1-2100, augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-1.97&CDS=1-3747, snap_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-2.90&CDS=1-1938
28	OG0000028	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-3.23&CDS=1-4653
