	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035689_Candida_mycetangii
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-0.126&CDS=1-1389, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-2.71-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-2.71&CDS=1-1350
11	OG0000011	YGL185C, YPL113C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.209-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.209&CDS=1-1095, genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.130&CDS=1-1074, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.107-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.107&CDS=1-1098, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.130-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.130&CDS=1-1113, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-0.5&CDS=1-1038
12	OG0000012	YGL257C, YNR059W	augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.16&CDS=1-1458, genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.92&CDS=1-2574, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.109-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.109&CDS=1-2112, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.56-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.56&CDS=1-2118, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.38&CDS=1-2169
13	OG0000013	YKL071W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.32&CDS=1-753, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-4.82-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-4.82&CDS=1-750, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.5-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.5&CDS=1-753, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.6-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.6&CDS=1-753, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.34-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.34&CDS=1-747, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-1.97&CDS=1-762
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.36-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.36&CDS=1-4464, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-0.51&CDS=1-4605
15	OG0000015	YBR089C-A, YKL032C, YMR072W, YPR052C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.85-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.85&CDS=1-636, snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.91&CDS=1-276
16	OG0000016	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.47&CDS=1-1161, snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-4.111&CDS=1-762
17	OG0000017	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-0.59&CDS=1-1731, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.59&CDS=1-1737
18	OG0000018	YCL037C, YDL051W, YDR515W	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.119&CDS=1-1587, genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.6&CDS=1-813, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.20&CDS=1-1263
19	OG0000019	YDL216C, YFR004W, YLR073C	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.27&CDS=1-1344, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-11.94-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-11.94&CDS=1-933, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-6.96-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-6.96&CDS=1-1587
20	OG0000020	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W	augustus_masked-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.5&CDS=1-2211
21	OG0000021	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.127-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.127&CDS=1-1062, maker-NODE_17_length_199916_cov_36.786_ID_2328-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_17_length_199916_cov_36.786_ID_2328-snap-gene-0.110&CDS=1-2052
22	OG0000022	YER015W	augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.72&CDS=1-2082, augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.73&CDS=1-2118, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.103&CDS=1-2067, genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.144-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.144&CDS=1-2130, maker-NODE_14_length_319563_cov_30.9459_ID_1873-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_14_length_319563_cov_30.9459_ID_1873-snap-gene-0.123&CDS=1-4248
23	OG0000023	YGR263C	augustus_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-1.14&CDS=1-1029, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.124&CDS=1-1212, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.149-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.149&CDS=1-1143, snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.121-mRNA-1_1&gene=snap_masked-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.121&CDS=1-924, snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.6-mRNA-1_1&gene=snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.6&CDS=1-1017
24	OG0000024	YGR281W	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-1.56&CDS=1-4044, genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.5-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.5&CDS=1-3996, genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.111&CDS=1-4116, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.79-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.79&CDS=1-4152, maker-NODE_1_length_1846036_cov_27.8053_ID_2084-snap-gene-14.166-mRNA-1_1&gene=maker-NODE_1_length_1846036_cov_27.8053_ID_2084-snap-gene-14.166&CDS=1-8103
25	OG0000025	YHR050W, YLR034C, YOL122C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.11&CDS=1-1689, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.128-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.128&CDS=1-1455, genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-1.8&CDS=1-1656
26	OG0000026	YJL139C, YKR061W, YOR099W	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-5.72-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-5.72&CDS=1-1143, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.125-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.125&CDS=1-1254, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.195-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.195&CDS=1-1194
