	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035672_Phaffomyces_thermotolerans
19	OG0000019	YBR015C	augustus_masked-flattened_line_0-processed-gene-12.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.68&CDS=1-3105, augustus_masked-flattened_line_50-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.180&CDS=1-1776, augustus_masked-flattened_line_68-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.17&CDS=1-1563, genemark-flattened_line_16-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.43&CDS=1-1722, snap_masked-flattened_line_44-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.102&CDS=1-1476
20	OG0000020	YBR199W, YJL102W, YOR099W	augustus_masked-flattened_line_4-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.31&CDS=1-1218, augustus_masked-flattened_line_50-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.158&CDS=1-3189, genemark-flattened_line_4-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.96&CDS=1-1407
21	OG0000021	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_34-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.164&CDS=1-1644, augustus_masked-flattened_line_62-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.17&CDS=1-1680
22	OG0000022	YDL025C, YNL183C, YOR267C	augustus_masked-flattened_line_28-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.55&CDS=1-1857, augustus_masked-flattened_line_46-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.34&CDS=1-2265, augustus_masked-flattened_line_54-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.97&CDS=1-1572
23	OG0000023	YDL216C, YFR004W, YLR073C	augustus_masked-flattened_line_18-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.62&CDS=1-930, augustus_masked-flattened_line_22-processed-gene-1.295-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.295&CDS=1-1323, augustus_masked-flattened_line_46-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.6&CDS=1-1611
24	OG0000024	YDR134C, YLR110C	augustus_masked-flattened_line_1027-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1027-processed-gene-0.1&CDS=1-204, augustus_masked-flattened_line_48-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.97&CDS=1-423, augustus_masked-flattened_line_591-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_591-processed-gene-0.2&CDS=1-339, augustus_masked-flattened_line_89-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.0&CDS=1-846
25	OG0000025	YDR380W, YLR044C, YLR134W	augustus_masked-flattened_line_10-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.85&CDS=1-1809, augustus_masked-flattened_line_2-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.30&CDS=1-1698, augustus_masked-flattened_line_38-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.143&CDS=1-1713
26	OG0000026	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_0-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.37&CDS=1-1854, augustus_masked-flattened_line_18-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.50&CDS=1-1680
27	OG0000027	YER103W, YJL034W, YLL024C	augustus_masked-flattened_line_0-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.11&CDS=1-1935, augustus_masked-flattened_line_0-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.103&CDS=1-1926, augustus_masked-flattened_line_2-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.96&CDS=1-2028
28	OG0000028	YGL185C, YPL113C	augustus_masked-flattened_line_14-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.117&CDS=1-1098, augustus_masked-flattened_line_14-processed-gene-2.169-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.169&CDS=1-1122, augustus_masked-flattened_line_14-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.170&CDS=1-1095, augustus_masked-flattened_line_42-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.189&CDS=1-1098
29	OG0000029	YGR249W, YHR206W, YOR140W	augustus_masked-flattened_line_34-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.27&CDS=1-1830, augustus_masked-flattened_line_68-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.29&CDS=1-2061, augustus_masked-flattened_line_72-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.131&CDS=1-1356
30	OG0000030	YHL019C, YOL062C, YPL259C	augustus_masked-flattened_line_48-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.93&CDS=1-1278, genemark-flattened_line_16-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.24&CDS=1-1458, genemark-flattened_line_28-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.123&CDS=1-2619
31	OG0000031	YHR176W	augustus_masked-flattened_line_22-processed-gene-1.301-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.301&CDS=1-1395, augustus_masked-flattened_line_26-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.121&CDS=1-1512, augustus_masked-flattened_line_40-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.53&CDS=1-1458, augustus_masked-flattened_line_52-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.157&CDS=1-1518, augustus_masked-flattened_line_99-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.33&CDS=1-1428
32	OG0000032	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-flattened_line_16-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.85&CDS=1-1995, augustus_masked-flattened_line_26-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.120&CDS=1-2013
33	OG0000033	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-flattened_line_115-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_115-processed-gene-0.27&CDS=1-1968, maker-flattened_line_133-augustus-gene-0.35-mRNA-1_1&gene=maker-flattened_line_133-augustus-gene-0.35&CDS=1-2799
34	OG0000034	YOR374W, YPL061W	augustus_masked-flattened_line_12-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.117&CDS=1-1539, augustus_masked-flattened_line_8-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.112&CDS=1-1491, augustus_masked-flattened_line_87-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.16&CDS=1-1488, maker-flattened_line_0-snap-gene-12.174-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-12.174&CDS=1-1932
35	OG0000035	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_146-snap-gene-0.13-mRNA-1_1&gene=maker-flattened_line_146-snap-gene-0.13&CDS=1-285, maker-flattened_line_158-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_158-snap-gene-0.14&CDS=1-240
36	OG0000036	YAR042W, YDL019C	augustus_masked-flattened_line_204-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.0&CDS=1-3852, augustus_masked-flattened_line_74-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.135&CDS=1-1308, genemark-flattened_line_93-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_93-processed-gene-0.82&CDS=1-7506
37	OG0000037	YBL089W, YER119C, YIL088C	genemark-flattened_line_8-processed-gene-3.202-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.202&CDS=1-1218, maker-flattened_line_18-augustus-gene-1.0-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.0&CDS=1-1719
38	OG0000038	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_58-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.76&CDS=1-1773
39	OG0000039	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_10-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.108&CDS=1-2469, augustus_masked-flattened_line_12-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.58&CDS=1-2625
40	OG0000040	YCR065W, YIL131C, YNL068C	augustus_masked-flattened_line_36-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.215&CDS=1-2169, genemark-flattened_line_0-processed-gene-3.45-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.45&CDS=1-2241
41	OG0000041	YDL056W, YLR182W	augustus_masked-flattened_line_36-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.210&CDS=1-2202, augustus_masked-flattened_line_50-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.170&CDS=1-2352, maker-flattened_line_18-snap-gene-1.6-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.6&CDS=1-1839
42	OG0000042	YDL174C	augustus_masked-flattened_line_0-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.25&CDS=1-1692, augustus_masked-flattened_line_0-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.6&CDS=1-1695, augustus_masked-flattened_line_101-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.12&CDS=1-1683, snap_masked-flattened_line_14-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.41&CDS=1-1599
43	OG0000043	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_60-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.93&CDS=1-1761, snap_masked-flattened_line_60-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.113&CDS=1-1665
44	OG0000044	YDR242W	augustus_masked-flattened_line_62-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.11&CDS=1-1626, augustus_masked-flattened_line_62-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.26&CDS=1-1599, augustus_masked-flattened_line_70-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.64&CDS=1-1722, augustus_masked-flattened_line_70-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.84&CDS=1-1575
45	OG0000045	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_76-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.107&CDS=1-720
46	OG0000046	YER015W	augustus_masked-flattened_line_101-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.3&CDS=1-2079, augustus_masked-flattened_line_18-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.67&CDS=1-2136, maker-flattened_line_14-snap-gene-1.153-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.153&CDS=1-2508, maker-flattened_line_14-snap-gene-1.154-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.154&CDS=1-2901
47	OG0000047	YER028C, YGL035C, YGL209W	augustus_masked-flattened_line_0-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.113&CDS=1-1302, augustus_masked-flattened_line_6-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.72&CDS=1-957
48	OG0000048	YER133W, YML016C	augustus_masked-flattened_line_0-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.87&CDS=1-981, augustus_masked-flattened_line_2-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.148&CDS=1-1650, augustus_masked-flattened_line_6-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.58&CDS=1-1572
49	OG0000049	YER185W, YGR213C, YLR046C	snap_masked-flattened_line_144-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.15&CDS=1-1023, snap_masked-flattened_line_22-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.79&CDS=1-1011
50	OG0000050	YFR040W, YGL229C, YKR028W	augustus_masked-flattened_line_16-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.86&CDS=1-2724, augustus_masked-flattened_line_6-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.25&CDS=1-2463
51	OG0000051	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_0-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.38&CDS=1-1002, augustus_masked-flattened_line_14-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.118&CDS=1-1020
52	OG0000052	YJL110C, YKR034W	augustus_masked-flattened_line_22-processed-gene-1.258-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.258&CDS=1-1434, augustus_masked-flattened_line_34-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.176&CDS=1-585, augustus_masked-flattened_line_6-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.57&CDS=1-1782
53	OG0000053	YJR061W, YKL201C	augustus_masked-flattened_line_127-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.28&CDS=1-1830, augustus_masked-flattened_line_4-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.54&CDS=1-1317, augustus_masked-flattened_line_4-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.109&CDS=1-2070
