	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034674_Blastobotrys_muscicola
10	OG0000010	YMR008C	augustus_masked-NODE_81_length_30935_cov_16.0264_ID_161-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_81_length_30935_cov_16.0264_ID_161-processed-gene-0.22&CDS=1-1692, snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.73&CDS=1-1839, snap_masked-NODE_212_length_1950_cov_17.6005_ID_423-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_212_length_1950_cov_17.6005_ID_423-processed-gene-0.0&CDS=1-1416, snap_masked-NODE_216_length_1918_cov_14.4346_ID_431-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_216_length_1918_cov_14.4346_ID_431-processed-gene-0.2&CDS=1-1416, snap_masked-NODE_60_length_57070_cov_16.4269_ID_119-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_60_length_57070_cov_16.4269_ID_119-processed-gene-0.11&CDS=1-1674, snap_masked-NODE_60_length_57070_cov_16.4269_ID_119-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_60_length_57070_cov_16.4269_ID_119-processed-gene-0.15&CDS=1-1680
11	OG0000011	YDR207C, YDR213W, YLR228C	snap_masked-NODE_47_length_78687_cov_15.7436_ID_93-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_47_length_78687_cov_15.7436_ID_93-processed-gene-0.64&CDS=1-1458, snap_masked-NODE_4_length_601949_cov_15.9732_ID_7-processed-gene-5.112-mRNA-1_1&gene=snap_masked-NODE_4_length_601949_cov_15.9732_ID_7-processed-gene-5.112&CDS=1-741, snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-4.111&CDS=1-1284
12	OG0000012	YER066W, YFL009W, YML088W	snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.196-mRNA-1_1&gene=snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.196&CDS=1-1269, snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.111&CDS=1-2007, snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-0.100&CDS=1-1587
13	OG0000013	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_145_length_5043_cov_26.7842_ID_289-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_145_length_5043_cov_26.7842_ID_289-processed-gene-0.4&CDS=1-2106, snap_masked-NODE_20_length_198564_cov_15.2701_ID_39-processed-gene-0.193-mRNA-1_1&gene=snap_masked-NODE_20_length_198564_cov_15.2701_ID_39-processed-gene-0.193&CDS=1-603
14	OG0000014	YIL124W	maker-NODE_49_length_74058_cov_15.2778_ID_97-snap-gene-0.80-mRNA-1_1&gene=maker-NODE_49_length_74058_cov_15.2778_ID_97-snap-gene-0.80&CDS=1-2463, maker-NODE_71_length_38985_cov_16.2377_ID_141-snap-gene-0.63-mRNA-1_1&gene=maker-NODE_71_length_38985_cov_16.2377_ID_141-snap-gene-0.63&CDS=1-906, maker-NODE_71_length_38985_cov_16.2377_ID_141-snap-gene-0.64-mRNA-1_1&gene=maker-NODE_71_length_38985_cov_16.2377_ID_141-snap-gene-0.64&CDS=1-672, snap_masked-NODE_49_length_74058_cov_15.2778_ID_97-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_49_length_74058_cov_15.2778_ID_97-processed-gene-0.14&CDS=1-852, snap_masked-NODE_49_length_74058_cov_15.2778_ID_97-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_49_length_74058_cov_15.2778_ID_97-processed-gene-0.15&CDS=1-849
15	OG0000015	YMR234W	maker-NODE_14_length_275940_cov_14.7477_ID_27-snap-gene-1.163-mRNA-1_1&gene=maker-NODE_14_length_275940_cov_14.7477_ID_27-snap-gene-1.163&CDS=1-1773, snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-1.102&CDS=1-747, snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.157&CDS=1-702, snap_masked-NODE_42_length_92726_cov_16.7876_ID_83-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_42_length_92726_cov_16.7876_ID_83-processed-gene-0.150&CDS=1-999, snap_masked-NODE_6_length_451030_cov_15.2139_ID_11-processed-gene-3.214-mRNA-1_1&gene=snap_masked-NODE_6_length_451030_cov_15.2139_ID_11-processed-gene-3.214&CDS=1-636
16	OG0000016	YOL152W	genemark-NODE_31_length_138828_cov_14.8094_ID_61-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_31_length_138828_cov_14.8094_ID_61-processed-gene-0.36&CDS=1-1785, snap_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-2.65-mRNA-1_1&gene=snap_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-2.65&CDS=1-1761, snap_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.214-mRNA-1_1&gene=snap_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.214&CDS=1-1803, snap_masked-NODE_47_length_78687_cov_15.7436_ID_93-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_47_length_78687_cov_15.7436_ID_93-processed-gene-0.55&CDS=1-1503, snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-3.113-mRNA-1_1&gene=snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-3.113&CDS=1-1761
17	OG0000017	YPR194C	snap_masked-NODE_115_length_7783_cov_17.405_ID_229-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_115_length_7783_cov_17.405_ID_229-processed-gene-0.0&CDS=1-2541, snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-0.36&CDS=1-2538, snap_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.210&CDS=1-2553, snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.113&CDS=1-2526, snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-0.15&CDS=1-2520
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-6.80-mRNA-1_1&gene=snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-6.80&CDS=1-4470
19	OG0000019	YBR015C, YJL186W	augustus_masked-NODE_69_length_42083_cov_16.1551_ID_137-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_69_length_42083_cov_16.1551_ID_137-processed-gene-0.57&CDS=1-1560, snap_masked-NODE_45_length_84720_cov_15.0199_ID_89-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_45_length_84720_cov_15.0199_ID_89-processed-gene-0.14&CDS=1-1596, snap_masked-NODE_45_length_84720_cov_15.0199_ID_89-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_45_length_84720_cov_15.0199_ID_89-processed-gene-0.15&CDS=1-1530
20	OG0000020	YBR072W	augustus_masked-NODE_93_length_19823_cov_17.6889_ID_185-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_93_length_19823_cov_17.6889_ID_185-processed-gene-0.28&CDS=1-975, snap_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-1.88&CDS=1-780, snap_masked-NODE_25_length_162218_cov_15.54_ID_49-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_25_length_162218_cov_15.54_ID_49-processed-gene-0.68&CDS=1-552, snap_masked-NODE_61_length_55815_cov_14.2619_ID_121-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_61_length_55815_cov_14.2619_ID_121-processed-gene-0.89&CDS=1-663
21	OG0000021	YBR119W, YIR009W	snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.72&CDS=1-654, snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_7_length_431451_cov_15.2319_ID_13-processed-gene-1.103&CDS=1-876, snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-0.87&CDS=1-372
22	OG0000022	YBR145W, YMR083W, YMR303C, YOL086C	snap_masked-NODE_31_length_138828_cov_14.8094_ID_61-processed-gene-0.169-mRNA-1_1&gene=snap_masked-NODE_31_length_138828_cov_14.8094_ID_61-processed-gene-0.169&CDS=1-1044
23	OG0000023	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.163-mRNA-1_1&gene=snap_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.163&CDS=1-1461
24	OG0000024	YCR083W, YGR209C, YLR043C	augustus_masked-NODE_36_length_109238_cov_15.2854_ID_71-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_36_length_109238_cov_15.2854_ID_71-processed-gene-0.27&CDS=1-390, snap_masked-NODE_30_length_142008_cov_15.3102_ID_59-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_30_length_142008_cov_15.3102_ID_59-processed-gene-0.4&CDS=1-327
25	OG0000025	YCR102C, YLR460C, YNL134C	snap_masked-NODE_10_length_349244_cov_14.8404_ID_19-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_10_length_349244_cov_14.8404_ID_19-processed-gene-0.27&CDS=1-1077, snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-0.96&CDS=1-1080
26	OG0000026	YDR107C, YER113C, YLR083C	snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.82&CDS=1-2373, snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.93&CDS=1-1881
27	OG0000027	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-4.55&CDS=1-708
28	OG0000028	YFL034C-A, YLR061W	maker-NODE_10_length_349244_cov_14.8404_ID_19-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_10_length_349244_cov_14.8404_ID_19-augustus-gene-1.7&CDS=1-915, snap_masked-NODE_105_length_10517_cov_17.7233_ID_209-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_105_length_10517_cov_17.7233_ID_209-processed-gene-0.5&CDS=1-588, snap_masked-NODE_10_length_349244_cov_14.8404_ID_19-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_10_length_349244_cov_14.8404_ID_19-processed-gene-1.159&CDS=1-540
