	OrthologID	Metschnikowia_continentalis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-con_s286-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s286-processed-gene-0.25&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
11	OG0000011	augustus_masked-con_s470-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s470-processed-gene-0.9&CDS=1-1722, augustus_masked-con_s616-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s616-processed-gene-0.9&CDS=1-1788, augustus_masked-con_s637-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-con_s637-processed-gene-0.108&CDS=1-1737	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
12	OG0000012	augustus_masked-con_s23-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-2.65&CDS=1-1722, augustus_masked-con_s778-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s778-processed-gene-0.27&CDS=1-1671, augustus_masked-con_s810-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-con_s810-processed-gene-1.95&CDS=1-1668	YBR298C, YDL247W, YGR289C, YJR160C
13	OG0000013	augustus_masked-con_s340-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-con_s340-processed-gene-0.81&CDS=1-942, augustus_masked-con_s80-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s80-processed-gene-0.21&CDS=1-1065, maker-con_s133-snap-gene-0.179-mRNA-1_1&gene=maker-con_s133-snap-gene-0.179&CDS=1-993	YDL047W, YDR075W, YNR032W
14	OG0000014	augustus_masked-con_s135-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.63&CDS=1-1722, augustus_masked-con_s608-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s608-processed-gene-0.23&CDS=1-1653	YDR342C, YDR343C, YDR345C, YHR092C
15	OG0000015	augustus_masked-con_s145-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.92&CDS=1-2664, augustus_masked-con_s727-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s727-processed-gene-0.7&CDS=1-2562, augustus_masked-con_s83-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-con_s83-processed-gene-0.96&CDS=1-2571	YLL005C, YMR266W, YOL084W
16	OG0000016	augustus_masked-con_s17-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.168&CDS=1-2646, augustus_masked-con_s624-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s624-processed-gene-0.86&CDS=1-3372, augustus_masked-con_s708-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.158&CDS=1-2277	YGL120C, YKR086W, YNR011C
17	OG0000017	augustus_masked-con_s801-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s801-processed-gene-0.13&CDS=1-660, snap_masked-con_s189-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s189-processed-gene-0.3&CDS=1-228, snap_masked-con_s32-processed-gene-0.18-mRNA-1_1&gene=snap_masked-con_s32-processed-gene-0.18&CDS=1-519, snap_masked-con_s37-processed-gene-0.2-mRNA-1_1&gene=snap_masked-con_s37-processed-gene-0.2&CDS=1-588, snap_masked-con_s421-processed-gene-0.18-mRNA-1_1&gene=snap_masked-con_s421-processed-gene-0.18&CDS=1-228	YCL074W
18	OG0000018	augustus_masked-con_s221-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-con_s221-processed-gene-0.46&CDS=1-372, augustus_masked-con_s251-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s251-processed-gene-0.24&CDS=1-375, augustus_masked-con_s749-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-con_s749-processed-gene-0.106&CDS=1-456, snap_masked-con_s22-processed-gene-0.90-mRNA-1_1&gene=snap_masked-con_s22-processed-gene-0.90&CDS=1-477	YGL089C, YPL187W
19	OG0000019	augustus_masked-con_s250-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s250-processed-gene-0.4&CDS=1-1008	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
20	OG0000020	augustus_masked-con_s434-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-con_s434-processed-gene-0.61&CDS=1-1269, augustus_masked-con_s732-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-con_s732-processed-gene-1.134&CDS=1-1068	YIL123W, YJL116C, YKR042W, YNL066W
21	OG0000021	augustus_masked-con_s504-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s504-processed-gene-0.22&CDS=1-2199, augustus_masked-con_s639-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s639-processed-gene-0.0&CDS=1-2367, augustus_masked-con_s813-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s813-processed-gene-0.27&CDS=1-1866	YDL025C, YNL183C, YOR267C
22	OG0000022	maker-con_s624-snap-gene-0.60-mRNA-1_1&gene=maker-con_s624-snap-gene-0.60&CDS=1-180, maker-con_s624-snap-gene-1.43-mRNA-1_1&gene=maker-con_s624-snap-gene-1.43&CDS=1-219	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
23	OG0000023	augustus_masked-con_s814-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-con_s814-processed-gene-0.74&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
24	OG0000024	augustus_masked-con_C49637-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_C49637-processed-gene-0.53&CDS=1-747, augustus_masked-con_s133-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.113&CDS=1-891, augustus_masked-con_s809-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s809-processed-gene-0.6&CDS=1-1086	YJL079C, YKR013W
25	OG0000025	augustus_masked-con_s11-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s11-processed-gene-0.19&CDS=1-1293, augustus_masked-con_s42-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s42-processed-gene-0.116&CDS=1-1395	YBL089W, YER119C, YIL088C
26	OG0000026	augustus_masked-con_s144-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.27&CDS=1-1968, augustus_masked-con_s301-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s301-processed-gene-0.17&CDS=1-2196, augustus_masked-con_s804-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s804-processed-gene-0.24&CDS=1-1737	YLR098C, YOR337W
27	OG0000027	augustus_masked-con_s145-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.107&CDS=1-2493, augustus_masked-con_s815-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-con_s815-processed-gene-0.114&CDS=1-2814	YCR037C, YJL198W, YNR013C
28	OG0000028	augustus_masked-con_s145-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.121&CDS=1-1374, maker-con_s639-augustus-gene-0.12-mRNA-1_1&gene=maker-con_s639-augustus-gene-0.12&CDS=1-4548	YBR118W, YMR189W, YPR080W
29	OG0000029	augustus_masked-con_s17-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.43&CDS=1-759, augustus_masked-con_s256-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s256-processed-gene-0.10&CDS=1-792, genemark-con_s345-processed-gene-0.37-mRNA-1_1&gene=genemark-con_s345-processed-gene-0.37&CDS=1-771	YCR010C, YNR002C
30	OG0000030	augustus_masked-con_s586-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s586-processed-gene-0.9&CDS=1-966, genemark-con_s17-processed-gene-2.90-mRNA-1_1&gene=genemark-con_s17-processed-gene-2.90&CDS=1-957	YBL068W, YER099C, YHL011C
31	OG0000031	augustus_masked-con_s412-processed-gene-1.281-mRNA-1_1&gene=augustus_masked-con_s412-processed-gene-1.281&CDS=1-1881, snap_masked-con_s179-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s179-processed-gene-0.1&CDS=1-351	YOR389W, YPL277C, YPL278C
32	OG0000032	augustus_masked-con_s199-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-con_s199-processed-gene-0.62&CDS=1-1527, augustus_masked-con_s27-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s27-processed-gene-0.2&CDS=1-1920, augustus_masked-con_s27-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s27-processed-gene-0.5&CDS=1-1608	YGR197C, YJR015W
33	OG0000033	augustus_masked-con_s206-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-con_s206-processed-gene-0.49&CDS=1-4515	YBL017C, YIL173W, YJL222W, YNR065C
34	OG0000034	augustus_masked-con_s215-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s215-processed-gene-0.2&CDS=1-1272, augustus_masked-con_s489-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s489-processed-gene-0.4&CDS=1-1248, augustus_masked-con_s72-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s72-processed-gene-0.24&CDS=1-1155	YBR207W, YER145C
35	OG0000035	augustus_masked-con_s220-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s220-processed-gene-0.0&CDS=1-1896, augustus_masked-con_s73-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-con_s73-processed-gene-0.29&CDS=1-2049, genemark-con_s388-processed-gene-0.4-mRNA-1_1&gene=genemark-con_s388-processed-gene-0.4&CDS=1-2082	YMR008C, YOL011W
36	OG0000036	augustus_masked-con_s221-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-con_s221-processed-gene-0.59&CDS=1-1584, augustus_masked-con_s569-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s569-processed-gene-0.16&CDS=1-3183, snap_masked-con_s506-processed-gene-0.196-mRNA-1_1&gene=snap_masked-con_s506-processed-gene-0.196&CDS=1-2952	YNL192W, YNL193W
37	OG0000037	augustus_masked-con_s23-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-2.66&CDS=1-2229	YBR297W, YFL052W, YGR288W, YPR196W
38	OG0000038	augustus_masked-con_s23-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-2.78&CDS=1-1752, augustus_masked-con_s23-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-4.108&CDS=1-1704, maker-con_s546-snap-gene-0.113-mRNA-1_1&gene=maker-con_s546-snap-gene-0.113&CDS=1-1722	YJL172W, YOL153C
39	OG0000039	augustus_masked-con_s23-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-3.145&CDS=1-540, augustus_masked-con_s656-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.2&CDS=1-486, augustus_masked-con_s726-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-con_s726-processed-gene-1.45&CDS=1-618	YDR155C, YDR304C
40	OG0000040	augustus_masked-con_s26-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s26-processed-gene-0.22&CDS=1-408, augustus_masked-con_s340-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s340-processed-gene-0.89&CDS=1-408, augustus_masked-con_s637-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-con_s637-processed-gene-1.54&CDS=1-408	YBR010W, YNL031C
41	OG0000041	augustus_masked-con_s301-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s301-processed-gene-0.20&CDS=1-1191, augustus_masked-con_s577-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s577-processed-gene-0.33&CDS=1-1275	YCR094W, YNL323W, YNR048W
42	OG0000042	augustus_masked-con_s314-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s314-processed-gene-0.31&CDS=1-873, genemark-con_s314-processed-gene-0.54-mRNA-1_1&gene=genemark-con_s314-processed-gene-0.54&CDS=1-867, snap_masked-con_s59-processed-gene-0.11-mRNA-1_1&gene=snap_masked-con_s59-processed-gene-0.11&CDS=1-912	YDR368W, YOR120W
43	OG0000043	augustus_masked-con_s340-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-con_s340-processed-gene-0.140&CDS=1-1632, augustus_masked-con_s590-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-con_s590-processed-gene-0.42&CDS=1-1917, augustus_masked-con_s696-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s696-processed-gene-0.5&CDS=1-1953	YBR015C, YJL186W
44	OG0000044	augustus_masked-con_s369-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s369-processed-gene-0.5&CDS=1-993, augustus_masked-con_s369-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s369-processed-gene-0.55&CDS=1-1002, augustus_masked-con_s75-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-con_s75-processed-gene-0.78&CDS=1-1026	YDL078C, YKL085W
45	OG0000045	augustus_masked-con_s434-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-con_s434-processed-gene-2.70&CDS=1-930, augustus_masked-con_s759-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s759-processed-gene-0.33&CDS=1-663, genemark-con_s59-processed-gene-0.73-mRNA-1_1&gene=genemark-con_s59-processed-gene-0.73&CDS=1-594	YKR055W, YPR165W
46	OG0000046	augustus_masked-con_s662-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.69&CDS=1-1098, augustus_masked-con_s674-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.74&CDS=1-1080, augustus_masked-con_s83-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-con_s83-processed-gene-0.78&CDS=1-1089	YCR105W, YMR318C
47	OG0000047		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
48	OG0000048	augustus_masked-con_s118-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s118-processed-gene-0.14&CDS=1-990, augustus_masked-con_s640-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-con_s640-processed-gene-0.150&CDS=1-993	YCR034W, YLR372W
