	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034899_Ogataea_kodamae
10	OG0000010	YDR338C, YHR032W	augustus_masked-NODE_28_length_48709_cov_21.375_ID_55-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_28_length_48709_cov_21.375_ID_55-processed-gene-0.47&CDS=1-1845, maker-NODE_49_length_1570_cov_22.7336_ID_97-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_49_length_1570_cov_22.7336_ID_97-augustus-gene-0.0&CDS=1-1281, snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-4.59&CDS=1-1404, snap_masked-NODE_62_length_546_cov_39.8907_ID_123-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_62_length_546_cov_39.8907_ID_123-processed-gene-0.1&CDS=1-312, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-1.109&CDS=1-1704
11	OG0000011	YFL040W	augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-5.168&CDS=1-2418, augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.85&CDS=1-1578, maker-NODE_9_length_365810_cov_20.2728_ID_17-augustus-gene-2.13-mRNA-1_1&gene=maker-NODE_9_length_365810_cov_20.2728_ID_17-augustus-gene-2.13&CDS=1-2076, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-0.26&CDS=1-1506, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-0.120&CDS=1-1614, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.57&CDS=1-1569
12	OG0000012	YGR220C	augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.96&CDS=1-1146, augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-3.158&CDS=1-2097, maker-NODE_5_length_586398_cov_20.5162_ID_9-augustus-gene-4.0-mRNA-1_1&gene=maker-NODE_5_length_586398_cov_20.5162_ID_9-augustus-gene-4.0&CDS=1-2280, snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.168-mRNA-1_1&gene=snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.168&CDS=1-1245, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.35-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.35&CDS=1-1164, snap_masked-NODE_33_length_16453_cov_19.6734_ID_65-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_33_length_16453_cov_19.6734_ID_65-processed-gene-0.3&CDS=1-1200
13	OG0000013	YGR260W, YOR246C	augustus_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.14&CDS=1-2403, genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.114&CDS=1-1413, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.69-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.69&CDS=1-1587, snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-0.129&CDS=1-1527, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.225-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.225&CDS=1-1440
14	OG0000014	YIL002C, YNL106C, YNL272C, YOR109W	augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.7&CDS=1-4071, augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.121&CDS=1-3351, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-1.47&CDS=1-2880
15	OG0000015	YIR033W, YKL020C, YKL221W, YNL125C	augustus_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.18&CDS=1-7116, maker-NODE_13_length_285270_cov_20.0104_ID_25-snap-gene-1.372-mRNA-1_1&gene=maker-NODE_13_length_285270_cov_20.0104_ID_25-snap-gene-1.372&CDS=1-3300, maker-NODE_15_length_161813_cov_20.1063_ID_29-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_15_length_161813_cov_20.1063_ID_29-snap-gene-0.9&CDS=1-2745
16	OG0000016	YJL034W, YLL024C, YNL209W	snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-3.10&CDS=1-1932, snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-4.164-mRNA-1_1&gene=snap_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-4.164&CDS=1-2010, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.32&CDS=1-1926, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.61&CDS=1-1839
17	OG0000017	YJL042W, YOR227W, YOR244W, YPL137C	maker-NODE_12_length_300130_cov_20.6791_ID_23-augustus-gene-2.68-mRNA-1_1&gene=maker-NODE_12_length_300130_cov_20.6791_ID_23-augustus-gene-2.68&CDS=1-7248, snap_masked-NODE_13_length_285270_cov_20.0104_ID_25-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_13_length_285270_cov_20.0104_ID_25-processed-gene-1.100&CDS=1-3255, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-6.151-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-6.151&CDS=1-1383
18	OG0000018	YKL071W	augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.117&CDS=1-708, snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.116&CDS=1-699, snap_masked-NODE_19_length_129082_cov_20.1829_ID_37-processed-gene-0.163-mRNA-1_1&gene=snap_masked-NODE_19_length_129082_cov_20.1829_ID_37-processed-gene-0.163&CDS=1-699, snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.0&CDS=1-702, snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.30&CDS=1-708, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.274-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.274&CDS=1-708
19	OG0000019	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	maker-NODE_6_length_547818_cov_20.3499_ID_11-augustus-gene-2.55-mRNA-1_1&gene=maker-NODE_6_length_547818_cov_20.3499_ID_11-augustus-gene-2.55&CDS=1-2892, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-0.5&CDS=1-2124
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-4.168-mRNA-1_1&gene=genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-4.168&CDS=1-4764, snap_masked-NODE_24_length_71297_cov_21.4053_ID_47-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_24_length_71297_cov_21.4053_ID_47-processed-gene-0.4&CDS=1-3897
21	OG0000021	YBL041W, YJL172W, YOL153C	augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-2.131&CDS=1-5961, snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.28&CDS=1-1752, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.61&CDS=1-1719
22	OG0000022	YBR160W, YKL139W, YPR161C	maker-NODE_2_length_802081_cov_20.2947_ID_3-snap-gene-1.67-mRNA-1_1&gene=maker-NODE_2_length_802081_cov_20.2947_ID_3-snap-gene-1.67&CDS=1-1536, maker-NODE_4_length_594317_cov_21.076_ID_7-snap-gene-3.2-mRNA-1_1&gene=maker-NODE_4_length_594317_cov_21.076_ID_7-snap-gene-3.2&CDS=1-951, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-1.116&CDS=1-1263
23	OG0000023	YBR238C, YFL050C, YGL107C, YOL130W	augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-7.37&CDS=1-5544, snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-0.7&CDS=1-1707
24	OG0000024	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-1.151&CDS=1-3486, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-3.63&CDS=1-3060, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-1.40&CDS=1-1983
25	OG0000025	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-5.1-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-5.1&CDS=1-1635
26	OG0000026	YEL036C, YGL125W, YML115C	augustus_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_4_length_594317_cov_21.076_ID_7-processed-gene-1.139&CDS=1-3960, genemark-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-6.229-mRNA-1_1&gene=genemark-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-6.229&CDS=1-2991, snap_masked-NODE_13_length_285270_cov_20.0104_ID_25-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_13_length_285270_cov_20.0104_ID_25-processed-gene-1.21&CDS=1-1287
27	OG0000027	YGR123C, YHL019C, YOL062C	genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-4.271-mRNA-1_1&gene=genemark-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-4.271&CDS=1-1689, snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-0.34&CDS=1-1308, snap_masked-NODE_8_length_401107_cov_21.2284_ID_15-processed-gene-3.159-mRNA-1_1&gene=snap_masked-NODE_8_length_401107_cov_21.2284_ID_15-processed-gene-3.159&CDS=1-2817
28	OG0000028	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C	augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.85&CDS=1-4263
29	OG0000029	YHR179W, YPL171C	genemark-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.170-mRNA-1_1&gene=genemark-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.170&CDS=1-1155, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.126&CDS=1-1065, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.43-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.43&CDS=1-1152, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.226-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.226&CDS=1-1161
