	OrthologID	Candida_tropicalis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-NW_003020040.1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NW_003020040.1-processed-gene-1.131&CDS=1-1899, augustus_masked-NW_003020056.1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-7.6&CDS=1-627, genemark-NW_003020041.1-processed-gene-0.146-mRNA-1_1&gene=genemark-NW_003020041.1-processed-gene-0.146&CDS=1-2070, genemark-NW_003020058.1-processed-gene-5.75-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-5.75&CDS=1-2244, maker-NW_003020040.1-snap-gene-0.93-mRNA-1_1&gene=maker-NW_003020040.1-snap-gene-0.93&CDS=1-6501, snap_masked-NW_003020056.1-processed-gene-7.45-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-7.45&CDS=1-1647	YGL257C, YNR059W
11	OG0000011	augustus_masked-NW_003020040.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-NW_003020040.1-processed-gene-3.94&CDS=1-1776, augustus_masked-NW_003020040.1-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NW_003020040.1-processed-gene-3.95&CDS=1-1758, snap_masked-NW_003020040.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-2.58&CDS=1-1752, snap_masked-NW_003020040.1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-2.60&CDS=1-1776	YBR298C, YDL247W, YGR289C, YJR160C
12	OG0000012	snap_masked-NW_003020049.1-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-1.147&CDS=1-1176, snap_masked-NW_003020049.1-processed-gene-6.83-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-6.83&CDS=1-1176, snap_masked-NW_003020055.1-processed-gene-17.113-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.113&CDS=1-1233, snap_masked-NW_003020055.1-processed-gene-17.132-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.132&CDS=1-1206, snap_masked-NW_003020055.1-processed-gene-21.138-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-21.138&CDS=1-1170	YHR179W, YPL171C
13	OG0000013	augustus_masked-NW_003020054.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_003020054.1-processed-gene-0.3&CDS=1-1254	Q0045, Q0055, Q0060, Q0065, Q0070, Q0120
14	OG0000014	maker-NW_003020057.1-snap-gene-5.115-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-5.115&CDS=1-3633, snap_masked-NW_003020057.1-processed-gene-10.23-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-10.23&CDS=1-1833, snap_masked-NW_003020060.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-3.19&CDS=1-1896	YCL069W, YGR224W, YKR105C, YPR198W
15	OG0000015	genemark-NW_003020038.1-processed-gene-10.97-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.97&CDS=1-1488, genemark-NW_003020059.1-processed-gene-7.16-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-7.16&CDS=1-1593, genemark-NW_003020059.1-processed-gene-7.36-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-7.36&CDS=1-1749, snap_masked-NW_003020055.1-processed-gene-12.11-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.11&CDS=1-1500	YGR197C, YJR015W
16	OG0000016	snap_masked-NW_003020038.1-processed-gene-11.129-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.129&CDS=1-1134, snap_masked-NW_003020038.1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.96&CDS=1-1134, snap_masked-NW_003020055.1-processed-gene-17.115-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-17.115&CDS=1-1059, snap_masked-NW_003020060.1-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-2.36&CDS=1-1125, snap_masked-NW_003020060.1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-3.8&CDS=1-1134	YOR388C
17	OG0000017	genemark-NW_003020059.1-processed-gene-7.5-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-7.5&CDS=1-1044, genemark-NW_003020059.1-processed-gene-8.73-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-8.73&CDS=1-1044, snap_masked-NW_003020040.1-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-3.141&CDS=1-1047, snap_masked-NW_003020060.1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-6.40&CDS=1-1044	YMR303C, YOL086C
18	OG0000018	snap_masked-NW_003020049.1-processed-gene-9.38-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-9.38&CDS=1-2154, snap_masked-NW_003020055.1-processed-gene-11.28-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.28&CDS=1-2154, snap_masked-NW_003020055.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-3.58&CDS=1-2247, snap_masked-NW_003020057.1-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.10&CDS=1-2223, snap_masked-NW_003020060.1-processed-gene-6.64-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-6.64&CDS=1-2223	YER015W
19	OG0000019	snap_masked-NW_003020049.1-processed-gene-20.100-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-20.100&CDS=1-411, snap_masked-NW_003020055.1-processed-gene-12.20-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.20&CDS=1-795, snap_masked-NW_003020059.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-1.109&CDS=1-609	YHL034C, YIR001C, YLL046C
20	OG0000020	augustus_masked-NW_003020056.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-2.85&CDS=1-2250, genemark-NW_003020060.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NW_003020060.1-processed-gene-4.64&CDS=1-780, maker-NW_003020057.1-snap-gene-1.105-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-1.105&CDS=1-1665, snap_masked-NW_003020055.1-processed-gene-21.161-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-21.161&CDS=1-846	YFL048C, YLR080W
21	OG0000021	genemark-NW_003020059.1-processed-gene-3.15-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-3.15&CDS=1-3288, snap_masked-NW_003020058.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-0.12&CDS=1-3204, snap_masked-NW_003020059.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.57&CDS=1-1833	YDR038C, YDR039C, YDR040C
22	OG0000022	genemark-NW_003020058.1-processed-gene-7.13-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-7.13&CDS=1-864, snap_masked-NW_003020058.1-processed-gene-10.15-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.15&CDS=1-963, snap_masked-NW_003020058.1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.75&CDS=1-930, snap_masked-NW_003020058.1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.80&CDS=1-864	YLL023C, YLR064W
23	OG0000023	genemark-NW_003020059.1-processed-gene-3.24-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-3.24&CDS=1-1725, snap_masked-NW_003020038.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-0.106&CDS=1-1671, snap_masked-NW_003020057.1-processed-gene-5.84-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.84&CDS=1-1647, snap_masked-NW_003020059.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.45&CDS=1-1725	YDR242W
24	OG0000024	genemark-NW_003020038.1-processed-gene-7.25-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.25&CDS=1-1443, genemark-NW_003020041.1-processed-gene-0.144-mRNA-1_1&gene=genemark-NW_003020041.1-processed-gene-0.144&CDS=1-1467, snap_masked-NW_003020038.1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.70&CDS=1-1542	YIL120W, YIL121W
25	OG0000025	genemark-NW_003020038.1-processed-gene-12.37-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.37&CDS=1-2007, snap_masked-NW_003020056.1-processed-gene-7.65-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-7.65&CDS=1-1935, snap_masked-NW_003020057.1-processed-gene-5.82-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.82&CDS=1-1695	YBR015C, YJL186W
26	OG0000026	genemark-NW_003020039.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NW_003020039.1-processed-gene-1.66&CDS=1-1191, maker-NW_003020055.1-snap-gene-13.2-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-13.2&CDS=1-2331, snap_masked-NW_003020039.1-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-1.127&CDS=1-1182, snap_masked-NW_003020055.1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.70&CDS=1-1170	YGR234W
27	OG0000027	genemark-NW_003020039.1-processed-gene-3.59-mRNA-1_1&gene=genemark-NW_003020039.1-processed-gene-3.59&CDS=1-1023	YDL244W, YFL058W, YJR156C, YNL332W
28	OG0000028	snap_masked-NW_003020039.1-processed-gene-3.152-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-3.152&CDS=1-1515	YBR297W, YFL052W, YGR288W, YPR196W
29	OG0000029	snap_masked-NW_003020049.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-0.25&CDS=1-1122, snap_masked-NW_003020060.1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-4.22&CDS=1-1206, snap_masked-NW_003020060.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-5.7&CDS=1-1263, snap_masked-NW_003020060.1-processed-gene-7.5-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-7.5&CDS=1-1245	YGR263C
30	OG0000030	augustus_masked-NW_003020055.1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NW_003020055.1-processed-gene-7.99&CDS=1-2172, snap_masked-NW_003020049.1-processed-gene-7.28-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-7.28&CDS=1-5040, snap_masked-NW_003020055.1-processed-gene-8.43-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-8.43&CDS=1-3858	YIL126W, YOR290C
31	OG0000031	snap_masked-NW_003020049.1-processed-gene-10.27-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-10.27&CDS=1-1068, snap_masked-NW_003020049.1-processed-gene-10.41-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-10.41&CDS=1-1077, snap_masked-NW_003020049.1-processed-gene-10.42-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-10.42&CDS=1-1062, snap_masked-NW_003020049.1-processed-gene-8.23-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-8.23&CDS=1-1083	YMR152W
32	OG0000032	snap_masked-NW_003020049.1-processed-gene-17.155-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-17.155&CDS=1-3711, snap_masked-NW_003020061.1-processed-gene-3.200-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.200&CDS=1-2109	YIL131C, YNL068C, YPR104C
33	OG0000033	snap_masked-NW_003020049.1-processed-gene-19.5-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-19.5&CDS=1-1146	YJL158C, YJL160C, YKL163W, YKL164C
34	OG0000034	snap_masked-NW_003020049.1-processed-gene-20.108-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-20.108&CDS=1-1350, snap_masked-NW_003020055.1-processed-gene-18.6-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-18.6&CDS=1-3063	YDR253C, YGR067C, YPL038W
35	OG0000035	genemark-NW_003020055.1-processed-gene-12.102-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-12.102&CDS=1-1794, maker-NW_003020055.1-augustus-gene-12.1-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-12.1&CDS=1-3228, snap_masked-NW_003020055.1-processed-gene-13.61-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-13.61&CDS=1-1782	YBR021W, YIR028W
36	OG0000036	maker-NW_003020056.1-snap-gene-11.107-mRNA-1_1&gene=maker-NW_003020056.1-snap-gene-11.107&CDS=1-4416	YBL017C, YIL173W, YJL222W, YNR065C
37	OG0000037	genemark-NW_003020059.1-processed-gene-6.36-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-6.36&CDS=1-1902, maker-NW_003020059.1-augustus-gene-6.112-mRNA-1_1&gene=maker-NW_003020059.1-augustus-gene-6.112&CDS=1-2448	YHR122W, YJR054W, YML047C
38	OG0000038	augustus_masked-NW_003020059.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-NW_003020059.1-processed-gene-6.79&CDS=1-3996	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
39	OG0000039	snap_masked-NW_003020060.1-processed-gene-2.29-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-2.29&CDS=1-2829, snap_masked-NW_003020060.1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-2.30&CDS=1-2712, snap_masked-NW_003020060.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-2.6&CDS=1-2994	YBR150C, YOL089C
40	OG0000040		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
41	OG0000041	snap_masked-NW_003020038.1-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-4.127&CDS=1-2769	YML111W, YMR275C, YNR069C
42	OG0000042	snap_masked-NW_003020038.1-processed-gene-6.105-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.105&CDS=1-1737, snap_masked-NW_003020038.1-processed-gene-6.124-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.124&CDS=1-1737	YJL172W, YOL153C
43	OG0000043	snap_masked-NW_003020038.1-processed-gene-11.102-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.102&CDS=1-1104, snap_masked-NW_003020056.1-processed-gene-6.90-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-6.90&CDS=1-1119, snap_masked-NW_003020056.1-processed-gene-7.59-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-7.59&CDS=1-1119	YEL046C
44	OG0000044	snap_masked-NW_003020038.1-processed-gene-12.103-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.103&CDS=1-597, snap_masked-NW_003020038.1-processed-gene-12.133-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.133&CDS=1-594, snap_masked-NW_003020038.1-processed-gene-13.1-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.1&CDS=1-597	YDR032C
45	OG0000045	genemark-NW_003020038.1-processed-gene-15.73-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.73&CDS=1-315, snap_masked-NW_003020058.1-processed-gene-10.12-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.12&CDS=1-315	YBR009C, YNL030W
46	OG0000046	snap_masked-NW_003020038.1-processed-gene-15.105-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.105&CDS=1-408, snap_masked-NW_003020058.1-processed-gene-10.36-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.36&CDS=1-408	YBR010W, YNL031C
47	OG0000047	augustus_masked-NW_003020038.1-processed-gene-17.35-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-17.35&CDS=1-1941, snap_masked-NW_003020038.1-processed-gene-16.53-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.53&CDS=1-1335	YOR258W, YPL020C
48	OG0000048	snap_masked-NW_003020038.1-processed-gene-17.148-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.148&CDS=1-1071	YCR102C, YLR460C, YNL134C
49	OG0000049	snap_masked-NW_003020038.1-processed-gene-20.32-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-20.32&CDS=1-1233, snap_masked-NW_003020049.1-processed-gene-9.30-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-9.30&CDS=1-1290	YDL066W, YLR174W
50	OG0000050	maker-NW_003020038.1-snap-gene-20.33-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-20.33&CDS=1-1686, snap_masked-NW_003020061.1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-2.37&CDS=1-2640	YBR237W, YNL112W
