	OrthologID	Candida_infanticola	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-LWLF01000001.1-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.84&CDS=1-1077, augustus_masked-LWLF01000022.1-processed-gene-4.174-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.174&CDS=1-1008	YBR145W, YMR083W, YMR303C, YOL086C
11	OG0000011	augustus_masked-LWLF01000001.1-processed-gene-9.105-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.105&CDS=1-939, augustus_masked-LWLF01000022.1-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-10.20&CDS=1-990, genemark-LWLF01000022.1-processed-gene-24.38-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-24.38&CDS=1-1050	YDL134C, YDR075W, YNR032W
12	OG0000012	augustus_masked-LWLF01000001.1-processed-gene-12.90-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-12.90&CDS=1-930, augustus_masked-LWLF01000001.1-processed-gene-20.49-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.49&CDS=1-1041, maker-LWLF01000022.1-snap-gene-12.72-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-12.72&CDS=1-927	YDL216C, YFR004W, YLR073C
13	OG0000013	augustus_masked-LWLF01000001.1-processed-gene-13.184-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-13.184&CDS=1-1485, augustus_masked-LWLF01000001.1-processed-gene-19.197-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-19.197&CDS=1-1482, augustus_masked-LWLF01000001.1-processed-gene-22.84-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-22.84&CDS=1-1488	YER073W, YMR169C, YMR170C
14	OG0000014	augustus_masked-LWLF01000001.1-processed-gene-26.11-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.11&CDS=1-729, augustus_masked-LWLF01000001.1-processed-gene-26.12-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.12&CDS=1-726, snap_masked-LWLF01000021.1-processed-gene-1.113-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-1.113&CDS=1-972, snap_masked-LWLF01000021.1-processed-gene-22.110-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-22.110&CDS=1-738	YDL114W, YLR426W
15	OG0000015	snap_masked-LWLF01000021.1-processed-gene-18.138-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-18.138&CDS=1-1089, snap_masked-LWLF01000021.1-processed-gene-19.92-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-19.92&CDS=1-1074, snap_masked-LWLF01000021.1-processed-gene-19.93-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-19.93&CDS=1-1071	YCR102C, YLR460C, YNL134C
16	OG0000016	augustus_masked-LWLF01000022.1-processed-gene-22.84-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-22.84&CDS=1-855, augustus_masked-LWLF01000022.1-processed-gene-23.13-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.13&CDS=1-1308, augustus_masked-LWLF01000022.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-3.71&CDS=1-1776	YGL073W, YHR206W, YOR140W
17	OG0000017	augustus_masked-LWLF01000021.1-processed-gene-19.158-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.158&CDS=1-2895, augustus_masked-LWLF01000022.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.129&CDS=1-2874, genemark-LWLF01000001.1-processed-gene-3.53-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-3.53&CDS=1-3483	YBR038W, YNL192W
18	OG0000018	augustus_masked-LWLF01000001.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.74&CDS=1-1104, augustus_masked-LWLF01000022.1-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.151&CDS=1-1275	YJL105W, YKR029C, YPL181W
19	OG0000019	augustus_masked-LWLF01000001.1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.6&CDS=1-2619, augustus_masked-LWLF01000021.1-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.180&CDS=1-2673, snap_masked-LWLF01000021.1-processed-gene-8.135-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-8.135&CDS=1-2916	YJL212C, YPR194C
20	OG0000020	augustus_masked-LWLF01000001.1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.26&CDS=1-2544, snap_masked-LWLF01000021.1-processed-gene-20.155-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-20.155&CDS=1-2709	YHR098C, YIL109C, YNL049C
21	OG0000021	augustus_masked-LWLF01000001.1-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.45&CDS=1-2481, augustus_masked-LWLF01000022.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.73&CDS=1-3039	YHL007C, YNL298W, YOL113W
22	OG0000022	augustus_masked-LWLF01000001.1-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-14.13&CDS=1-1188, augustus_masked-LWLF01000001.1-processed-gene-15.159-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-15.159&CDS=1-1176	YDR021W, YJL138C, YKR059W
23	OG0000023	augustus_masked-LWLF01000001.1-processed-gene-17.148-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-17.148&CDS=1-2124, augustus_masked-LWLF01000001.1-processed-gene-24.20-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.20&CDS=1-1377	YBR118W, YKR084C, YPR080W
24	OG0000024	augustus_masked-LWLF01000001.1-processed-gene-17.131-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-17.131&CDS=1-726, augustus_masked-LWLF01000022.1-processed-gene-24.108-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.108&CDS=1-2016	YDR348C, YHR097C, YJR101W
25	OG0000025	augustus_masked-LWLF01000001.1-processed-gene-19.192-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-19.192&CDS=1-1338, snap_masked-LWLF01000001.1-processed-gene-19.130-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-19.130&CDS=1-1056	YLL050C, YMR253C, YPL264C
26	OG0000026	augustus_masked-LWLF01000001.1-processed-gene-20.19-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.19&CDS=1-1845, augustus_masked-LWLF01000001.1-processed-gene-24.46-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.46&CDS=1-1851	YCR065W, YIL131C, YNL068C
27	OG0000027	augustus_masked-LWLF01000001.1-processed-gene-20.48-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.48&CDS=1-1710, augustus_masked-LWLF01000001.1-processed-gene-24.24-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.24&CDS=1-1608, augustus_masked-LWLF01000021.1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.39&CDS=1-1635, genemark-LWLF01000021.1-processed-gene-7.122-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-7.122&CDS=1-1479	YDL210W
28	OG0000028	augustus_masked-LWLF01000001.1-processed-gene-21.171-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-21.171&CDS=1-1245, augustus_masked-LWLF01000021.1-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.128&CDS=1-1230, augustus_masked-LWLF01000022.1-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-3.102&CDS=1-1125	YFL039C, YJL081C
29	OG0000029	snap_masked-LWLF01000001.1-processed-gene-24.78-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-24.78&CDS=1-3735	YBL017C, YIL173W, YJL222W, YNR065C
30	OG0000030	augustus_masked-LWLF01000001.1-processed-gene-26.60-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.60&CDS=1-1878, augustus_masked-LWLF01000022.1-processed-gene-23.16-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.16&CDS=1-1602	YKR089C, YMR313C, YOR081C
31	OG0000031	augustus_masked-LWLF01000021.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.3&CDS=1-960, genemark-LWLF01000022.1-processed-gene-12.4-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-12.4&CDS=1-963, maker-LWLF01000022.1-augustus-gene-8.0-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-8.0&CDS=1-1452	YDR178W, YLR164W
32	OG0000032	augustus_masked-LWLF01000022.1-processed-gene-23.35-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.35&CDS=1-1614, maker-LWLF01000021.1-augustus-gene-3.67-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-3.67&CDS=1-2937, maker-LWLF01000022.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-0.1&CDS=1-2874	YNL062C, YOR259C
33	OG0000033	augustus_masked-LWLF01000021.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.84&CDS=1-792, augustus_masked-LWLF01000022.1-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.167&CDS=1-951	YEL006W, YIL006W, YIL134W
34	OG0000034	augustus_masked-LWLF01000021.1-processed-gene-20.89-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-20.89&CDS=1-999, augustus_masked-LWLF01000021.1-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.55&CDS=1-1524, augustus_masked-LWLF01000022.1-processed-gene-14.112-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.112&CDS=1-996	YAL040C, YDL155W
35	OG0000035	augustus_masked-LWLF01000022.1-processed-gene-22.95-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-22.95&CDS=1-975, genemark-LWLF01000021.1-processed-gene-5.167-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-5.167&CDS=1-924	YGR154C, YKR076W, YMR251W
36	OG0000036	augustus_masked-LWLF01000021.1-processed-gene-14.14-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.14&CDS=1-2028, augustus_masked-LWLF01000021.1-processed-gene-16.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.80&CDS=1-1482, augustus_masked-LWLF01000021.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.30&CDS=1-1425	YDR523C, YHR102W
37	OG0000037	augustus_masked-LWLF01000021.1-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.0&CDS=1-1329, genemark-LWLF01000021.1-processed-gene-17.30-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-17.30&CDS=1-1368, maker-LWLF01000021.1-snap-gene-20.59-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-20.59&CDS=1-2436	YFL037W, YLR017W
38	OG0000038	augustus_masked-LWLF01000021.1-processed-gene-15.117-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-15.117&CDS=1-2955, augustus_masked-LWLF01000021.1-processed-gene-17.117-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.117&CDS=1-3021, augustus_masked-LWLF01000021.1-processed-gene-19.137-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.137&CDS=1-2106	YFR038W, YOR304W
39	OG0000039	genemark-LWLF01000022.1-processed-gene-6.39-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-6.39&CDS=1-981, snap_masked-LWLF01000022.1-processed-gene-12.184-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-12.184&CDS=1-1134	YDL159W, YOR231W, YPL140C
40	OG0000040	augustus_masked-LWLF01000022.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.92&CDS=1-741, augustus_masked-LWLF01000022.1-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.119&CDS=1-1305, augustus_masked-LWLF01000022.1-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.133&CDS=1-1335	YJL079C, YKR013W
41	OG0000041	genemark-LWLF01000022.1-processed-gene-7.38-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-7.38&CDS=1-2331	YBR297W, YFL052W, YGR288W, YPR196W
42	OG0000042	augustus_masked-LWLF01000022.1-processed-gene-21.34-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-21.34&CDS=1-1728	YDL080C, YGR087C, YLR044C, YLR134W
43	OG0000043		YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
44	OG0000044	augustus_masked-LWLF01000022.1-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.139&CDS=1-1668, maker-LWLF01000001.1-snap-gene-0.2-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-0.2&CDS=1-3240	YJL172W, YOL153C
45	OG0000045	augustus_masked-LWLF01000021.1-processed-gene-18.111-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.111&CDS=1-2175, snap_masked-LWLF01000001.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.12&CDS=1-1377	YDL170W, YML099C
46	OG0000046	augustus_masked-LWLF01000001.1-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.109&CDS=1-2403, genemark-LWLF01000001.1-processed-gene-1.152-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-1.152&CDS=1-2070	YKL188C, YPL147W
47	OG0000047	augustus_masked-LWLF01000001.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.81&CDS=1-2376, augustus_masked-LWLF01000021.1-processed-gene-21.117-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.117&CDS=1-1092	YHR107C, YLR314C
48	OG0000048	augustus_masked-LWLF01000001.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.53&CDS=1-2178, augustus_masked-LWLF01000021.1-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.100&CDS=1-1755	YHR172W, YNL126W
49	OG0000049	augustus_masked-LWLF01000001.1-processed-gene-3.169-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-3.169&CDS=1-591, augustus_masked-LWLF01000022.1-processed-gene-19.68-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.68&CDS=1-1629, genemark-LWLF01000022.1-processed-gene-17.27-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.27&CDS=1-1149	YKL043W
50	OG0000050	augustus_masked-LWLF01000001.1-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.101&CDS=1-9039	YDR406W, YOR153W, YOR328W
51	OG0000051	augustus_masked-LWLF01000021.1-processed-gene-21.137-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.137&CDS=1-2148, genemark-LWLF01000001.1-processed-gene-4.170-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-4.170&CDS=1-2193	YER017C, YMR089C
52	OG0000052	augustus_masked-LWLF01000001.1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.111&CDS=1-2208	YBL005W, YER184C, YGL013C
53	OG0000053	maker-LWLF01000001.1-snap-gene-5.59-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-5.59&CDS=1-5010, maker-LWLF01000022.1-snap-gene-22.161-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-22.161&CDS=1-4980, snap_masked-LWLF01000022.1-processed-gene-22.3-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-22.3&CDS=1-1716	YLL028W
54	OG0000054	augustus_masked-LWLF01000001.1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-5.26&CDS=1-1443, snap_masked-LWLF01000001.1-processed-gene-9.33-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-9.33&CDS=1-1578	YMR215W, YOL132W
55	OG0000055	augustus_masked-LWLF01000001.1-processed-gene-10.127-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-10.127&CDS=1-309, augustus_masked-LWLF01000001.1-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.38&CDS=1-309	YBR009C, YNL030W
56	OG0000056	augustus_masked-LWLF01000001.1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-6.21&CDS=1-1143, snap_masked-LWLF01000022.1-processed-gene-17.157-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-17.157&CDS=1-2223	YBR195C, YOL087C
57	OG0000057	augustus_masked-LWLF01000001.1-processed-gene-13.172-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-13.172&CDS=1-774, augustus_masked-LWLF01000001.1-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-7.92&CDS=1-789	YDR099W, YER177W
58	OG0000058	augustus_masked-LWLF01000001.1-processed-gene-27.195-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.195&CDS=1-1758, augustus_masked-LWLF01000001.1-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.9&CDS=1-1683	YGL125W, YPL023C
59	OG0000059	augustus_masked-LWLF01000001.1-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.13&CDS=1-519, augustus_masked-LWLF01000021.1-processed-gene-22.254-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.254&CDS=1-489	YDR121W, YDR397C
60	OG0000060	augustus_masked-LWLF01000001.1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.35&CDS=1-2466, augustus_masked-LWLF01000022.1-processed-gene-20.161-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.161&CDS=1-1956	YDL056W, YLR182W
61	OG0000061	augustus_masked-LWLF01000001.1-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-8.22&CDS=1-2007, augustus_masked-LWLF01000022.1-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.75&CDS=1-2232	YJR005W, YKL135C
62	OG0000062	augustus_masked-LWLF01000001.1-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.78&CDS=1-1791, augustus_masked-LWLF01000022.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.65&CDS=1-1755, maker-LWLF01000021.1-augustus-gene-18.62-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-18.62&CDS=1-2589	YMR226C
63	OG0000063	augustus_masked-LWLF01000001.1-processed-gene-26.39-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.39&CDS=1-4623, genemark-LWLF01000001.1-processed-gene-12.195-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-12.195&CDS=1-4512	YDR093W, YER166W
64	OG0000064	augustus_masked-LWLF01000001.1-processed-gene-13.164-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-13.164&CDS=1-1440, augustus_masked-LWLF01000001.1-processed-gene-19.187-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-19.187&CDS=1-1416	YBR263W, YLR058C
