	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035047_Barnettozyma_pratensis
26	OG0000026	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_32-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.42&CDS=1-2808, augustus_masked-flattened_line_74-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.116&CDS=1-2640
27	OG0000027	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-flattened_line_86-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.155&CDS=1-2829, genemark-flattened_line_0-processed-gene-6.262-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.262&CDS=1-1977
28	OG0000028	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_102-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.38&CDS=1-285, maker-flattened_line_102-snap-gene-0.41-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.41&CDS=1-765
29	OG0000029	YAL051W, YLL054C, YOR363C	genemark-flattened_line_30-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.12&CDS=1-3240, genemark-flattened_line_34-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.93&CDS=1-2544
30	OG0000030	YAR019C, YDR523C	augustus_masked-flattened_line_0-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.3&CDS=1-1428, augustus_masked-flattened_line_0-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.18&CDS=1-1467, augustus_masked-flattened_line_6-processed-gene-3.213-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.213&CDS=1-3051
31	OG0000031	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_40-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.21&CDS=1-2082
32	OG0000032	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_8-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.165&CDS=1-3540, maker-flattened_line_22-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.0&CDS=1-3819
33	OG0000033	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_96-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.25&CDS=1-1746
34	OG0000034	YCR010C, YNR002C	augustus_masked-flattened_line_14-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.101&CDS=1-882, augustus_masked-flattened_line_48-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.195&CDS=1-804, augustus_masked-flattened_line_8-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.41&CDS=1-519
35	OG0000035	YDL078C, YKL085W	augustus_masked-flattened_line_18-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.125&CDS=1-1017, augustus_masked-flattened_line_24-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.15&CDS=1-1008, augustus_masked-flattened_line_44-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.216&CDS=1-1056
36	OG0000036	YDL138W, YDL194W	augustus_masked-flattened_line_10-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.49&CDS=1-1611, augustus_masked-flattened_line_128-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.7&CDS=1-1662, maker-flattened_line_40-augustus-gene-0.12-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.12&CDS=1-2826
37	OG0000037	YDL218W	augustus_masked-flattened_line_98-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.9&CDS=1-654, snap_masked-flattened_line_16-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.69&CDS=1-558, snap_masked-flattened_line_16-processed-gene-2.70-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.70&CDS=1-456, snap_masked-flattened_line_58-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.134&CDS=1-768
38	OG0000038	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_148-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.29&CDS=1-1014
39	OG0000039	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_26-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.28&CDS=1-3159, augustus_masked-flattened_line_50-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.196&CDS=1-3153
40	OG0000040	YDR406W, YOR153W	genemark-flattened_line_20-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.60&CDS=1-5466, maker-flattened_line_52-snap-gene-0.271-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.271&CDS=1-9096, maker-flattened_line_8-augustus-gene-0.112-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.112&CDS=1-9354
41	OG0000041	YDR475C, YGR237C, YOR019W	augustus_masked-flattened_line_16-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.110&CDS=1-2043, augustus_masked-flattened_line_26-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.92&CDS=1-1965
42	OG0000042	YDR533C, YMR322C, YOR391C, YPL280W	maker-flattened_line_60-augustus-gene-0.244-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.244&CDS=1-1896
43	OG0000043	YEL063C, YNL268W	augustus_masked-flattened_line_0-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.10&CDS=1-1677, augustus_masked-flattened_line_22-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.16&CDS=1-1683, augustus_masked-flattened_line_22-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.34&CDS=1-1671
44	OG0000044	YER047C, YPL074W	augustus_masked-flattened_line_118-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.7&CDS=1-2355, augustus_masked-flattened_line_160-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.1&CDS=1-1833, augustus_masked-flattened_line_44-processed-gene-0.268-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.268&CDS=1-609
45	OG0000045	YER056C, YER060W, YER060W-A	genemark-flattened_line_20-processed-gene-1.154-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.154&CDS=1-1566, maker-flattened_line_10-snap-gene-2.109-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.109&CDS=1-4617
46	OG0000046	YER185W, YGR213C, YLR046C	augustus_masked-flattened_line_34-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.6&CDS=1-1074, snap_masked-flattened_line_30-processed-gene-1.199-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.199&CDS=1-1035
47	OG0000047	YFR040W, YGL229C, YKR028W	augustus_masked-flattened_line_10-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.31&CDS=1-2568, snap_masked-flattened_line_92-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.29&CDS=1-2826
48	OG0000048	YGL077C	augustus_masked-flattened_line_22-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.12&CDS=1-1629, augustus_masked-flattened_line_22-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.13&CDS=1-1599, augustus_masked-flattened_line_22-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.14&CDS=1-1623, augustus_masked-flattened_line_22-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.15&CDS=1-1599
49	OG0000049	YGL089C, YPL187W	augustus_masked-flattened_line_22-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.45&CDS=1-453, augustus_masked-flattened_line_38-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.97&CDS=1-390, snap_masked-flattened_line_84-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.95&CDS=1-363
50	OG0000050	YGL185C, YPL113C	augustus_masked-flattened_line_70-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.172&CDS=1-1098, maker-flattened_line_42-snap-gene-0.102-mRNA-1_1&gene=maker-flattened_line_42-snap-gene-0.102&CDS=1-2202, snap_masked-flattened_line_20-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.71&CDS=1-1098
51	OG0000051	YGR032W, YMR306W	genemark-flattened_line_42-processed-gene-0.285-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.285&CDS=1-5301, genemark-flattened_line_6-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.76&CDS=1-5700, maker-flattened_line_14-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.0&CDS=1-5451
52	OG0000052	YGR197C, YJR015W	augustus_masked-flattened_line_38-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.31&CDS=1-1653, augustus_masked-flattened_line_8-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.36&CDS=1-1575, genemark-flattened_line_38-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.125&CDS=1-1728
