	OrthologID	Saccharomyces_cerevisiae	Yarrowia_deformans
10	OG0000010	YJR152W	-processed-gene-10.21-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.21&CDS=1-1473, -processed-gene-11.57-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.57&CDS=1-1506, -processed-gene-13.7-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.7&CDS=1-1503, -processed-gene-16.51-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.51&CDS=1-1512, -processed-gene-23.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.50&CDS=1-1323, -processed-gene-6.21-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-6.21&CDS=1-1500, -processed-gene-7.88-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-7.88&CDS=1-1536, -processed-gene-8.65-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-8.65&CDS=1-1575
11	OG0000011	YOR388C	-processed-gene-1.0-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-1.0&CDS=1-1098, -processed-gene-1.22-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-1.22&CDS=1-1104, -processed-gene-3.143-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.143&CDS=1-1095, -processed-gene-3.37-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.37&CDS=1-1104, -processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.78&CDS=1-1104, -processed-gene-4.41-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.41&CDS=1-1095, -processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.63&CDS=1-1104, -processed-gene-6.40-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-6.40&CDS=1-1104
12	OG0000012	YDR406W, YOR153W, YOR328W	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-1.71&CDS=1-4467, -processed-gene-4.25-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.25&CDS=1-4416, -processed-gene-4.49-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-4.49&CDS=1-4416, -processed-gene-7.54-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.54&CDS=1-4407, -snap-gene-1.119-mRNA-1_1&gene=maker-gi|1002317471|dbj|BCIW01000018.1|-snap-gene-1.119&CDS=1-4695
13	OG0000013	YDR536W	-processed-gene-1.64-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-1.64&CDS=1-1776, -processed-gene-15.1-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-15.1&CDS=1-1746, -processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-2.49&CDS=1-1698, -processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-2.50&CDS=1-1743, -processed-gene-8.29-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-8.29&CDS=1-1734, -processed-gene-9.11-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.11&CDS=1-1740, -snap-gene-0.55-mRNA-1_1&gene=maker-gi|1002317468|dbj|BCIW01000021.1|-snap-gene-0.55&CDS=1-3438
14	OG0000014	YKL217W	-processed-gene-10.70-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.70&CDS=1-1497, -processed-gene-2.107-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-2.107&CDS=1-1560, -processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.31&CDS=1-1536, -processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-2.9&CDS=1-1572, -processed-gene-5.2-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.2&CDS=1-1389, -processed-gene-5.91-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.91&CDS=1-1494, -processed-gene-9.90-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.90&CDS=1-1572
15	OG0000015	YNL233W	-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.70&CDS=1-903, -processed-gene-1.38-mRNA-1_1&gene=snap_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.38&CDS=1-1971, -processed-gene-1.48-mRNA-1_1&gene=snap_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-1.48&CDS=1-1338, -processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.77&CDS=1-1860, -processed-gene-21.22-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.22&CDS=1-1284, -processed-gene-6.22-mRNA-1_1&gene=augustus_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-6.22&CDS=1-5046, -processed-gene-9.40-mRNA-1_1&gene=snap_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.40&CDS=1-2139
16	OG0000016	YDL210W	-processed-gene-0.58-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-0.58&CDS=1-1629, -processed-gene-3.35-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.35&CDS=1-1629, -processed-gene-5.34-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-5.34&CDS=1-1602, -processed-gene-5.79-mRNA-1_1&gene=augustus_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-5.79&CDS=1-1590, -processed-gene-6.14-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-6.14&CDS=1-1578, -processed-gene-8.100-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.100&CDS=1-1647
17	OG0000017	YER056C, YER060W, YER060W-A	-processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.50&CDS=1-1539, -processed-gene-3.57-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-3.57&CDS=1-1524, -processed-gene-4.164-mRNA-1_1&gene=augustus_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.164&CDS=1-1548, -processed-gene-9.20-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-9.20&CDS=1-1539
18	OG0000018	YGL205W	-processed-gene-1.2-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.2&CDS=1-2067, -processed-gene-2.109-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-2.109&CDS=1-2067, -processed-gene-2.61-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.61&CDS=1-2100, -processed-gene-3.138-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.138&CDS=1-2097, -processed-gene-5.89-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.89&CDS=1-2100, -processed-gene-7.100-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.100&CDS=1-2103
19	OG0000019	YHR179W, YPL171C	-processed-gene-0.42-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.42&CDS=1-1122, -processed-gene-10.31-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.31&CDS=1-1107, -processed-gene-15.101-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-15.101&CDS=1-1131, -processed-gene-4.14-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.14&CDS=1-1113, -processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-8.39&CDS=1-1119
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-1.5-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.5&CDS=1-1761
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	-processed-gene-10.82-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.82&CDS=1-1512, -processed-gene-4.101-mRNA-1_1&gene=snap_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.101&CDS=1-1668
22	OG0000022	YCR102C, YLR460C, YNL134C	-processed-gene-11.41-mRNA-1_1&gene=snap_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-11.41&CDS=1-1128, -processed-gene-2.92-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-2.92&CDS=1-1014, -processed-gene-3.106-mRNA-1_1&gene=snap_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.106&CDS=1-999
23	OG0000023	YDR242W	-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-0.16&CDS=1-1620, -processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-0.2&CDS=1-1530, -processed-gene-0.75-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.75&CDS=1-1617, -processed-gene-10.10-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.10&CDS=1-1656, -processed-gene-21.84-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.84&CDS=1-1614
24	OG0000024	YDR368W, YOR120W	-processed-gene-10.15-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.15&CDS=1-927, -processed-gene-13.50-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-13.50&CDS=1-927, -processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.36&CDS=1-927, -processed-gene-21.87-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.87&CDS=1-927
25	OG0000025	YGR044C	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-0.37&CDS=1-1224, -processed-gene-1.37-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.37&CDS=1-582, -processed-gene-1.92-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.92&CDS=1-1017, -processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-3.41&CDS=1-1428, -processed-gene-3.9-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.9&CDS=1-651
26	OG0000026	YKR039W	-processed-gene-1.40-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.40&CDS=1-1755, -processed-gene-12.23-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-12.23&CDS=1-1731, -processed-gene-4.66-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.66&CDS=1-1803, -processed-gene-5.19-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.19&CDS=1-1758, -processed-gene-9.40-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-9.40&CDS=1-1737
27	OG0000027	YMR303C, YOL086C	-processed-gene-10.171-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.171&CDS=1-1053, -processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-2.9&CDS=1-1047, -processed-gene-23.61-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.61&CDS=1-1047, -processed-gene-4.48-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.48&CDS=1-1047
28	OG0000028	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-5.85-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.85&CDS=1-2472
29	OG0000029	YBR072W, YDR171W	-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.29&CDS=1-402, -processed-gene-9.107-mRNA-1_1&gene=snap_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.107&CDS=1-477, -processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.27&CDS=1-444
