	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_uvarum
10	OG0000010	YDL066W, YLR173W, YNL009W	augustus_masked-Sbay_10-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-Sbay_10-processed-gene-4.33&CDS=1-3021, genemark-Sbay_14-processed-gene-6.109-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.109&CDS=1-1251, genemark-Sbay_4-processed-gene-3.63-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.63&CDS=1-1287
11	OG0000011	YDL245C, YEL069C, YJR158W, YNR072W	genemark-Sbay_12-processed-gene-3.93-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.93&CDS=1-1656, genemark-Sbay_15-processed-gene-6.126-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-6.126&CDS=1-1707
12	OG0000012	YDR406W, YOR153W, YOR328W	augustus_masked-Sbay_8-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.14&CDS=1-6252, genemark-Sbay_2-processed-gene-10.100-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-10.100&CDS=1-4611, genemark-Sbay_8-processed-gene-6.118-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.118&CDS=1-4662
13	OG0000013	YDR436W, YER133W, YML016C	genemark-Sbay_13-processed-gene-2.38-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-2.38&CDS=1-2103, genemark-Sbay_2-processed-gene-11.78-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-11.78&CDS=1-2124, genemark-Sbay_5-processed-gene-4.115-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-4.115&CDS=1-936
14	OG0000014	YFL051C	genemark-Sbay_10-processed-gene-0.56-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-0.56&CDS=1-3183, maker-Sbay_1-snap-gene-0.222-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.222&CDS=1-2319, maker-Sbay_1-snap-gene-0.223-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.223&CDS=1-3873, maker-Sbay_11-snap-gene-5.4-mRNA-1_1&gene=maker-Sbay_11-snap-gene-5.4&CDS=1-3000, maker-Sbay_6-snap-gene-0.126-mRNA-1_1&gene=maker-Sbay_6-snap-gene-0.126&CDS=1-1812
15	OG0000015	YGR032W, YLR342W, YMR306W	augustus_masked-Sbay_13-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-8.121&CDS=1-5355, augustus_masked-Sbay_7-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-Sbay_7-processed-gene-5.22&CDS=1-5949, genemark-Sbay_10-processed-gene-7.98-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-7.98&CDS=1-3636
16	OG0000016	YGR087C, YLR044C, YLR134W	genemark-Sbay_10-processed-gene-2.97-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-2.97&CDS=1-1689, genemark-Sbay_10-processed-gene-4.124-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-4.124&CDS=1-1689, genemark-Sbay_7-processed-gene-6.69-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-6.69&CDS=1-1689
17	OG0000017	YGR192C, YJL052W, YJR009C	genemark-Sbay_12-processed-gene-1.113-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-1.113&CDS=1-996, genemark-Sbay_6-processed-gene-2.70-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-2.70&CDS=1-996, genemark-Sbay_7-processed-gene-8.134-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-8.134&CDS=1-996
18	OG0000018	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C	maker-Sbay_15-augustus-gene-6.221-mRNA-1_1&gene=maker-Sbay_15-augustus-gene-6.221&CDS=1-1821
19	OG0000019	YKL220C, YNR060W, YOR381W	genemark-Sbay_12-processed-gene-3.91-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.91&CDS=1-2160, genemark-Sbay_14-processed-gene-6.146-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.146&CDS=1-2160, genemark-Sbay_8-processed-gene-7.116-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.116&CDS=1-2055
20	OG0000020	YML111W, YMR275C, YNR069C	augustus_masked-Sbay_13-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-8.110&CDS=1-6660, genemark-Sbay_13-processed-gene-0.104-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-0.104&CDS=1-2742, snap_masked-Sbay_14-processed-gene-6.106-mRNA-1_1&gene=snap_masked-Sbay_14-processed-gene-6.106&CDS=1-2514
21	OG0000021	YBL104C, YBL106C, YPR032W	augustus_masked-Sbay_2-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-0.28&CDS=1-8790, genemark-Sbay_16-processed-gene-6.63-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-6.63&CDS=1-5340
22	OG0000022	YBR298C, YDL247W, YJR160C	genemark-Sbay_16-processed-gene-0.36-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.36&CDS=1-1836, genemark-Sbay_2-processed-gene-0.78-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.78&CDS=1-1842
23	OG0000023	YCR107W, YDL243C, YJR155W, YNL331C	genemark-Sbay_14-processed-gene-0.27-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-0.27&CDS=1-1128
24	OG0000024	YDL244W, YFL058W, YJR156C, YNL332W	genemark-Sbay_2-processed-gene-0.80-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.80&CDS=1-1020
25	OG0000025	YDR011W, YNR070W, YPL058C	genemark-Sbay_16-processed-gene-4.130-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-4.130&CDS=1-4539, genemark-Sbay_7-processed-gene-0.67-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-0.67&CDS=1-4290
26	OG0000026	YDR144C, YLR120C, YLR121C	genemark-Sbay_2-processed-gene-5.68-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-5.68&CDS=1-1737, maker-Sbay_10-snap-gene-4.12-mRNA-1_1&gene=maker-Sbay_10-snap-gene-4.12&CDS=1-3588
27	OG0000027	YFL050C, YOL130W	genemark-Sbay_15-processed-gene-0.70-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-0.70&CDS=1-2520, genemark-Sbay_6-processed-gene-0.18-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-0.18&CDS=1-2553, genemark-Sbay_7-processed-gene-9.98-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-9.98&CDS=1-2529
28	OG0000028	YFL059W, YMR096W, YNL333W	augustus_masked-Sbay_13-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-4.110&CDS=1-1002, genemark-Sbay_2-processed-gene-0.79-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.79&CDS=1-894
29	OG0000029	YGR083C, YGR085C, YPR102C	augustus_masked-Sbay_7-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-Sbay_7-processed-gene-6.24&CDS=1-3327, genemark-Sbay_16-processed-gene-7.126-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-7.126&CDS=1-522
30	OG0000030	YHR179W, YPL171C, YPL172C	augustus_masked-Sbay_16-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-Sbay_16-processed-gene-2.128&CDS=1-2430, genemark-Sbay_15-processed-gene-6.105-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-6.105&CDS=1-1200
31	OG0000031	YHR216W, YLR432W, YML056C	augustus_masked-Sbay_13-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-1.33&CDS=1-1530, genemark-Sbay_10-processed-gene-9.34-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-9.34&CDS=1-1551
32	OG0000032	YIL009W, YMR246W, YOR317W	genemark-Sbay_13-processed-gene-7.120-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-7.120&CDS=1-2085, genemark-Sbay_8-processed-gene-6.114-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.114&CDS=1-2097
33	OG0000033	YJL138C, YKR056W, YKR059W	maker-Sbay_11-snap-gene-5.0-mRNA-1_1&gene=maker-Sbay_11-snap-gene-5.0&CDS=1-5034, maker-Sbay_6-snap-gene-4.191-mRNA-1_1&gene=maker-Sbay_6-snap-gene-4.191&CDS=1-2592
34	OG0000034	YKL163W, YKL164C	genemark-Sbay_6-processed-gene-4.39-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-4.39&CDS=1-1227, snap_masked-Sbay_11-processed-gene-1.10-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-1.10&CDS=1-1197, snap_masked-Sbay_11-processed-gene-1.29-mRNA-1_1&gene=snap_masked-Sbay_11-processed-gene-1.29&CDS=1-1239
35	OG0000035	YLR237W, YOR071C, YOR192C	maker-Sbay_10-snap-gene-8.137-mRNA-1_1&gene=maker-Sbay_10-snap-gene-8.137&CDS=1-3288, snap_masked-Sbay_10-processed-gene-5.71-mRNA-1_1&gene=snap_masked-Sbay_10-processed-gene-5.71&CDS=1-1803
36	OG0000036	YMR006C, YMR008C, YOL011W	genemark-Sbay_15-processed-gene-2.25-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-2.25&CDS=1-2055, maker-Sbay_13-snap-gene-2.146-mRNA-1_1&gene=maker-Sbay_13-snap-gene-2.146&CDS=1-4053
37	OG0000037	YMR186W, YPL240C, YPL242C	augustus_masked-Sbay_16-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Sbay_16-processed-gene-1.101&CDS=1-7317, genemark-Sbay_13-processed-gene-6.46-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-6.46&CDS=1-2124
38	OG0000038	YOL055C, YPL258C, YPR121W	genemark-Sbay_15-processed-gene-2.4-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-2.4&CDS=1-1653, genemark-Sbay_16-processed-gene-0.59-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.59&CDS=1-1659
39	OG0000039	YAL017W, YOL045W	genemark-Sbay_1-processed-gene-0.19-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.19&CDS=1-4080, genemark-Sbay_15-processed-gene-2.8-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-2.8&CDS=1-3318
40	OG0000040	YAL023C, YOR321W	augustus_masked-Sbay_8-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-6.23&CDS=1-2262, genemark-Sbay_1-processed-gene-0.51-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.51&CDS=1-2277
41	OG0000041	YAL029C, YOR326W	genemark-Sbay_1-processed-gene-0.47-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.47&CDS=1-4413, genemark-Sbay_8-processed-gene-6.117-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.117&CDS=1-4704
42	OG0000042	YAL038W, YOR347C	genemark-Sbay_1-processed-gene-0.10-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.10&CDS=1-1500, genemark-Sbay_8-processed-gene-7.123-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.123&CDS=1-1518
43	OG0000043	YAL062W, YOR375C	genemark-Sbay_1-processed-gene-0.0-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.0&CDS=1-1371, genemark-Sbay_8-processed-gene-7.138-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.138&CDS=1-1362
44	OG0000044	YAR042W, YDL019C	maker-Sbay_4-snap-gene-4.139-mRNA-1_1&gene=maker-Sbay_4-snap-gene-4.139&CDS=1-3783, snap_masked-Sbay_1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.109&CDS=1-3477
45	OG0000045	YBL003C, YDR225W	genemark-Sbay_2-processed-gene-2.76-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.76&CDS=1-396, genemark-Sbay_2-processed-gene-7.7-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-7.7&CDS=1-396
46	OG0000046	YBL030C, YBR085W	genemark-Sbay_2-processed-gene-1.50-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.50&CDS=1-954, genemark-Sbay_4-processed-gene-5.18-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.18&CDS=1-921
47	OG0000047	YBL039C, YJR103W	genemark-Sbay_12-processed-gene-3.60-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.60&CDS=1-1719, genemark-Sbay_2-processed-gene-1.45-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.45&CDS=1-1737
48	OG0000048	YBL067C, YER098W	genemark-Sbay_2-processed-gene-1.12-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.12&CDS=1-2250, genemark-Sbay_5-processed-gene-3.76-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.76&CDS=1-2262
49	OG0000049	YBL068W, YER099C	genemark-Sbay_2-processed-gene-1.10-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.10&CDS=1-978, genemark-Sbay_5-processed-gene-3.94-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.94&CDS=1-954
50	OG0000050	YBL069W, YER101C	augustus_masked-Sbay_2-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.109&CDS=1-1287, genemark-Sbay_5-processed-gene-3.95-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.95&CDS=1-1290
51	OG0000051	YBL072C, YER102W	genemark-Sbay_2-processed-gene-0.111-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.111&CDS=1-600, genemark-Sbay_5-processed-gene-3.78-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.78&CDS=1-600
52	OG0000052	YBL079W, YER105C	genemark-Sbay_2-processed-gene-0.92-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.92&CDS=1-4548, genemark-Sbay_5-processed-gene-3.96-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.96&CDS=1-4158
53	OG0000053	YBL087C, YER117W	genemark-Sbay_5-processed-gene-3.83-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-3.83&CDS=1-345, snap_masked-Sbay_2-processed-gene-0.68-mRNA-1_1&gene=snap_masked-Sbay_2-processed-gene-0.68&CDS=1-345
54	OG0000054	YBR001C, YDR001C	genemark-Sbay_2-processed-gene-2.78-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.78&CDS=1-2340, genemark-Sbay_4-processed-gene-4.37-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.37&CDS=1-2256
55	OG0000055	YBR009C, YNL030W	genemark-Sbay_14-processed-gene-5.78-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-5.78&CDS=1-309, genemark-Sbay_2-processed-gene-2.82-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.82&CDS=1-309
56	OG0000056	YBR010W, YNL031C	genemark-Sbay_14-processed-gene-5.98-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-5.98&CDS=1-408, genemark-Sbay_2-processed-gene-2.61-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.61&CDS=1-408
57	OG0000057	YBR020W, YDR009W	genemark-Sbay_2-processed-gene-2.63-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.63&CDS=1-1584, genemark-Sbay_4-processed-gene-4.22-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.22&CDS=1-1566
58	OG0000058	YBR021W, YIR028W	augustus_masked-Sbay_2-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.26&CDS=1-2436, maker-Sbay_9-augustus-gene-3.4-mRNA-1_1&gene=maker-Sbay_9-augustus-gene-3.4&CDS=1-2883
59	OG0000059	YBR031W, YDR012W	genemark-Sbay_2-processed-gene-2.68-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.68&CDS=1-1086, genemark-Sbay_4-processed-gene-4.23-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.23&CDS=1-1086
60	OG0000060	YBR048W, YDR025W	augustus_masked-Sbay_2-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-3.98&CDS=1-468, genemark-Sbay_4-processed-gene-5.1-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.1&CDS=1-468
61	OG0000061	YBR082C, YDR054C	maker-Sbay_2-snap-gene-3.144-mRNA-1_1&gene=maker-Sbay_2-snap-gene-3.144&CDS=1-1764, maker-Sbay_4-augustus-gene-5.128-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-5.128&CDS=1-444
62	OG0000062	YBR084W, YGR204W	augustus_masked-Sbay_7-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-Sbay_7-processed-gene-8.22&CDS=1-3072, genemark-Sbay_4-processed-gene-5.17-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.17&CDS=1-2925
63	OG0000063	YBR117C, YPR074C	genemark-Sbay_4-processed-gene-6.98-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.98&CDS=1-2043, maker-Sbay_16-augustus-gene-7.144-mRNA-1_1&gene=maker-Sbay_16-augustus-gene-7.144&CDS=1-2523
64	OG0000064	YBR118W, YPR080W	genemark-Sbay_16-processed-gene-7.94-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-7.94&CDS=1-1374, maker-Sbay_4-augustus-gene-6.1-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-6.1&CDS=1-2253
65	OG0000065	YBR140C, YOL081W	augustus_masked-Sbay_4-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-7.7&CDS=1-9360, genemark-Sbay_15-processed-gene-1.58-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-1.58&CDS=1-9237
66	OG0000066	YBR147W, YOL092W	augustus_masked-Sbay_15-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-Sbay_15-processed-gene-1.19&CDS=1-2613, maker-Sbay_4-augustus-gene-7.156-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-7.156&CDS=1-2838
67	OG0000067	YBR169C, YPL106C	genemark-Sbay_16-processed-gene-3.41-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-3.41&CDS=1-2079, maker-Sbay_4-augustus-gene-7.161-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-7.161&CDS=1-3840
68	OG0000068	YBR181C, YPL090C	augustus_masked-Sbay_16-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-Sbay_16-processed-gene-4.11&CDS=1-708, snap_masked-Sbay_4-processed-gene-7.147-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.147&CDS=1-708
69	OG0000069	YBR205W, YOR099W	augustus_masked-Sbay_4-processed-gene-8.200-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.200&CDS=1-2571, genemark-Sbay_8-processed-gene-2.110-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-2.110&CDS=1-1179
70	OG0000070	YBR214W, YGL056C	maker-Sbay_7-augustus-gene-4.8-mRNA-1_1&gene=maker-Sbay_7-augustus-gene-4.8&CDS=1-2400, snap_masked-Sbay_4-processed-gene-8.107-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.107&CDS=1-1584
71	OG0000071	YBR218C, YGL062W	snap_masked-Sbay_4-processed-gene-8.154-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.154&CDS=1-3537, snap_masked-Sbay_7-processed-gene-3.138-mRNA-1_1&gene=snap_masked-Sbay_7-processed-gene-3.138&CDS=1-3534
72	OG0000072	YBR245C, YOR304W	genemark-Sbay_4-processed-gene-8.73-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.73&CDS=1-3207, genemark-Sbay_8-processed-gene-6.111-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.111&CDS=1-3363
73	OG0000073	YBR294W, YLR092W	augustus_masked-Sbay_10-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-Sbay_10-processed-gene-3.6&CDS=1-4974, genemark-Sbay_4-processed-gene-8.52-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.52&CDS=1-2550
74	OG0000074	YCL024W, YDR507C	genemark-Sbay_2-processed-gene-11.152-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-11.152&CDS=1-3384, snap_masked-Sbay_3-processed-gene-1.82-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.82&CDS=1-2997
75	OG0000075	YCL025C, YDR508C	genemark-Sbay_2-processed-gene-11.153-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-11.153&CDS=1-1983, genemark-Sbay_3-processed-gene-1.224-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.224&CDS=1-1899
76	OG0000076	YCL068C, YCR038C	augustus_masked-Sbay_3-processed-gene-1.268-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.268&CDS=1-1821, genemark-Sbay_3-processed-gene-1.203-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.203&CDS=1-834
77	OG0000077	YCR005C, YNR001C	genemark-Sbay_14-processed-gene-6.152-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.152&CDS=1-1437, genemark-Sbay_3-processed-gene-0.83-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.83&CDS=1-1380
78	OG0000078	YCR031C, YJL191W	genemark-Sbay_6-processed-gene-4.51-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-4.51&CDS=1-414, snap_masked-Sbay_3-processed-gene-1.36-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.36&CDS=1-411
79	OG0000079	YCR037C, YJL198W	genemark-Sbay_3-processed-gene-1.183-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.183&CDS=1-2763, genemark-Sbay_6-processed-gene-4.55-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-4.55&CDS=1-2541
80	OG0000080	YCR067C, YNR026C	genemark-Sbay_14-processed-gene-6.161-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.161&CDS=1-1419, maker-Sbay_3-snap-gene-1.13-mRNA-1_1&gene=maker-Sbay_3-snap-gene-1.13&CDS=1-2658
81	OG0000081	YCR073C, YNR031C	genemark-Sbay_14-processed-gene-6.163-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.163&CDS=1-4743, maker-Sbay_3-augustus-gene-1.28-mRNA-1_1&gene=maker-Sbay_3-augustus-gene-1.28&CDS=1-5877
82	OG0000082	YCR106W, YLL054C	augustus_masked-Sbay_15-processed-gene-6.190-mRNA-1_1&gene=augustus_masked-Sbay_15-processed-gene-6.190&CDS=1-2427, genemark-Sbay_10-processed-gene-0.57-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-0.57&CDS=1-2526
