	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026137_Ambrosiozyma_ambrosiae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_10-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.62&CDS=1-1638, snap_masked-flattened_line_121-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.20&CDS=1-1395
11	OG0000011	YBR015C	augustus_masked-flattened_line_12-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.113&CDS=1-1494, maker-flattened_line_10-snap-gene-2.35-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.35&CDS=1-3408, snap_masked-flattened_line_20-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.17&CDS=1-2100, snap_masked-flattened_line_40-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.45&CDS=1-2136, snap_masked-flattened_line_40-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.46&CDS=1-2262, snap_masked-flattened_line_6-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.25&CDS=1-2100
12	OG0000012	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_132-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.0&CDS=1-531, augustus_masked-flattened_line_132-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.3&CDS=1-1188, maker-flattened_line_84-snap-gene-0.43-mRNA-1_1&gene=maker-flattened_line_84-snap-gene-0.43&CDS=1-3465
13	OG0000013	YHL034C, YIR001C, YLL046C	genemark-flattened_line_26-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.32&CDS=1-642, maker-flattened_line_66-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_66-snap-gene-0.47&CDS=1-1029, snap_masked-flattened_line_0-processed-gene-9.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.134&CDS=1-567, snap_masked-flattened_line_38-processed-gene-1.15-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.15&CDS=1-582
14	OG0000014	YJR061W, YKL201C	genemark-flattened_line_10-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.47&CDS=1-2337, genemark-flattened_line_16-processed-gene-2.52-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.52&CDS=1-2307, genemark-flattened_line_20-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.74&CDS=1-2778, snap_masked-flattened_line_0-processed-gene-4.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.37&CDS=1-2313, snap_masked-flattened_line_86-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.0&CDS=1-2085
15	OG0000015	YKL128C	genemark-flattened_line_2-processed-gene-7.73-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.73&CDS=1-1014, genemark-flattened_line_6-processed-gene-6.111-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-6.111&CDS=1-1077, snap_masked-flattened_line_22-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.142&CDS=1-1092, snap_masked-flattened_line_6-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.21&CDS=1-1095, snap_masked-flattened_line_6-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.22&CDS=1-1095, snap_masked-flattened_line_6-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.23&CDS=1-1092
16	OG0000016	YLR422W	augustus_masked-flattened_line_137-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.7&CDS=1-3918, augustus_masked-flattened_line_178-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_178-processed-gene-0.1&CDS=1-1845, augustus_masked-flattened_line_6-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.40&CDS=1-5877, snap_masked-flattened_line_10-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.31&CDS=1-5733, snap_masked-flattened_line_48-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.27&CDS=1-5748, snap_masked-flattened_line_76-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.142&CDS=1-3903
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_0-augustus-gene-4.119-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-4.119&CDS=1-5052, snap_masked-flattened_line_4-processed-gene-2.105-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.105&CDS=1-4569
18	OG0000018	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	maker-flattened_line_24-snap-gene-2.158-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-2.158&CDS=1-1359
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_0-processed-gene-3.52-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.52&CDS=1-1638, snap_masked-flattened_line_54-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.64&CDS=1-1683
20	OG0000020	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_22-processed-gene-2.145-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.145&CDS=1-1047, snap_masked-flattened_line_62-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.129&CDS=1-1035
21	OG0000021	YGR197C, YJR015W	augustus_masked-flattened_line_72-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.94&CDS=1-1503, genemark-flattened_line_72-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.130&CDS=1-1521, snap_masked-flattened_line_109-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.0&CDS=1-1500, snap_masked-flattened_line_72-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.25&CDS=1-1527
22	OG0000022	YGR281W	genemark-flattened_line_0-processed-gene-4.78-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.78&CDS=1-4290, genemark-flattened_line_119-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_119-processed-gene-0.9&CDS=1-4206, snap_masked-flattened_line_107-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.32&CDS=1-2178, snap_masked-flattened_line_145-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.0&CDS=1-2160, snap_masked-flattened_line_4-processed-gene-7.199-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.199&CDS=1-4092
23	OG0000023	YHR179W, YPL171C	snap_masked-flattened_line_14-processed-gene-3.104-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.104&CDS=1-1215, snap_masked-flattened_line_14-processed-gene-3.116-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.116&CDS=1-1197, snap_masked-flattened_line_56-processed-gene-0.173-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.173&CDS=1-1212, snap_masked-flattened_line_8-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.95&CDS=1-1212
24	OG0000024	YLR253W, YLR256W	augustus_masked-flattened_line_12-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.65&CDS=1-8781, maker-flattened_line_12-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.5&CDS=1-3930, snap_masked-flattened_line_14-processed-gene-4.117-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.117&CDS=1-2862, snap_masked-flattened_line_20-processed-gene-2.233-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.233&CDS=1-2610
25	OG0000025	YMR169C, YMR170C	snap_masked-flattened_line_0-processed-gene-9.162-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.162&CDS=1-1512, snap_masked-flattened_line_12-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.49&CDS=1-1500, snap_masked-flattened_line_18-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.20&CDS=1-1485, snap_masked-flattened_line_2-processed-gene-6.59-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.59&CDS=1-1506
26	OG0000026	YNL234W	maker-flattened_line_0-snap-gene-6.1-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.1&CDS=1-732, maker-flattened_line_0-snap-gene-6.2-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.2&CDS=1-435, snap_masked-flattened_line_0-processed-gene-6.26-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.26&CDS=1-1290, snap_masked-flattened_line_2-processed-gene-2.20-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.20&CDS=1-993, snap_masked-flattened_line_62-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.152&CDS=1-1149
27	OG0000027	Q0045, Q0060, Q0065, Q0070	maker-flattened_line_99-snap-gene-0.62-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.62&CDS=1-150, snap_masked-flattened_line_99-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.85&CDS=1-246
28	OG0000028	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_99-snap-gene-0.57-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.57&CDS=1-315, maker-flattened_line_99-snap-gene-0.59-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.59&CDS=1-954
29	OG0000029	YBL089W, YER119C, YIL088C	snap_masked-flattened_line_16-processed-gene-3.237-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.237&CDS=1-1503, snap_masked-flattened_line_68-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.41&CDS=1-1413
30	OG0000030	YBR009C, YNL030W	snap_masked-flattened_line_109-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.1&CDS=1-309, snap_masked-flattened_line_4-processed-gene-6.37-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.37&CDS=1-309, snap_masked-flattened_line_88-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.121&CDS=1-309
31	OG0000031	YBR010W, YNL031C	snap_masked-flattened_line_109-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.18&CDS=1-408, snap_masked-flattened_line_4-processed-gene-6.17-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.17&CDS=1-408, snap_masked-flattened_line_88-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.144&CDS=1-408
32	OG0000032	YBR025C, YHL014C	snap_masked-flattened_line_20-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.20&CDS=1-1224, snap_masked-flattened_line_28-processed-gene-2.13-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.13&CDS=1-1185, snap_masked-flattened_line_28-processed-gene-2.14-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.14&CDS=1-1185
33	OG0000033	YBR089C-A, YDL002C, YPR052C	augustus_masked-flattened_line_2-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.16&CDS=1-303, snap_masked-flattened_line_16-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.71&CDS=1-1356
34	OG0000034	YBR207W, YER145C	genemark-flattened_line_82-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.26&CDS=1-1293, maker-flattened_line_38-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-1.5&CDS=1-1641, snap_masked-flattened_line_48-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.35&CDS=1-1191
35	OG0000035	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_132-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.10&CDS=1-1950
36	OG0000036	YCR037C, YJL198W, YNR013C	snap_masked-flattened_line_14-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.17&CDS=1-2565, snap_masked-flattened_line_64-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.9&CDS=1-2571
37	OG0000037	YDL210W	genemark-flattened_line_28-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.19&CDS=1-1659, maker-flattened_line_20-augustus-gene-2.167-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-2.167&CDS=1-2808, maker-flattened_line_58-snap-gene-0.140-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.140&CDS=1-1653, snap_masked-flattened_line_24-processed-gene-2.220-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.220&CDS=1-1758
38	OG0000038	YDR011W, YNR070W, YPL058C	genemark-flattened_line_16-processed-gene-2.53-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.53&CDS=1-4860, maker-flattened_line_32-snap-gene-0.39-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.39&CDS=1-4488
39	OG0000039	YDR125C, YLR099C	genemark-flattened_line_62-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.93&CDS=1-1356, snap_masked-flattened_line_16-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.79&CDS=1-1461, snap_masked-flattened_line_82-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.93&CDS=1-1170
40	OG0000040	YDR144C, YLR120C, YLR121C	maker-flattened_line_113-snap-gene-0.53-mRNA-1_1&gene=maker-flattened_line_113-snap-gene-0.53&CDS=1-1716, maker-flattened_line_90-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_90-augustus-gene-0.0&CDS=1-2577
41	OG0000041	YDR368W, YOR120W	snap_masked-flattened_line_18-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.38&CDS=1-942, snap_masked-flattened_line_2-processed-gene-8.112-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.112&CDS=1-918, snap_masked-flattened_line_22-processed-gene-2.141-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.141&CDS=1-906
42	OG0000042	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_135-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.11&CDS=1-1530, snap_masked-flattened_line_88-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.124&CDS=1-1536
43	OG0000043	YFL034C-A, YFL034W, YLR061W	genemark-flattened_line_14-processed-gene-4.4-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.4&CDS=1-366, maker-flattened_line_22-snap-gene-1.78-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.78&CDS=1-4137
44	OG0000044	YGR087C, YLR044C, YLR134W	genemark-flattened_line_82-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.23&CDS=1-1701, snap_masked-flattened_line_4-processed-gene-6.7-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.7&CDS=1-1725
45	OG0000045	YKL220C, YNR060W, YOR381W	snap_masked-flattened_line_18-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.11&CDS=1-2085, snap_masked-flattened_line_60-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.11&CDS=1-2085
46	OG0000046	YLL028W	snap_masked-flattened_line_130-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.14&CDS=1-1788, snap_masked-flattened_line_24-processed-gene-2.230-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.230&CDS=1-1818, snap_masked-flattened_line_58-processed-gene-0.185-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.185&CDS=1-1863, snap_masked-flattened_line_8-processed-gene-5.228-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.228&CDS=1-1794
47	OG0000047	YLL062C, YMR321C, YPL273W	genemark-flattened_line_38-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.75&CDS=1-1002, genemark-flattened_line_6-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.78&CDS=1-993
