	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_paradoxus
13	OG0000013	YHL043W	genemark-Spar_10-processed-gene-6.113-mRNA-1_1&gene=genemark-Spar_10-processed-gene-6.113&CDS=1-1137, genemark-Spar_16-processed-gene-0.0-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.0&CDS=1-825, genemark-Spar_6-processed-gene-2.155-mRNA-1_1&gene=genemark-Spar_6-processed-gene-2.155&CDS=1-927, genemark-Spar_7-processed-gene-0.0-mRNA-1_1&gene=genemark-Spar_7-processed-gene-0.0&CDS=1-1131, genemark-Spar_8-processed-gene-0.36-mRNA-1_1&gene=genemark-Spar_8-processed-gene-0.36&CDS=1-1215, genemark-Spar_9-processed-gene-3.134-mRNA-1_1&gene=genemark-Spar_9-processed-gene-3.134&CDS=1-1131, maker-Spar_9-snap-gene-3.6-mRNA-1_1&gene=maker-Spar_9-snap-gene-3.6&CDS=1-1092
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-Spar_2-processed-gene-1.140-mRNA-1_1&gene=genemark-Spar_2-processed-gene-1.140&CDS=1-5094, maker-Spar_3-snap-gene-2.158-mRNA-1_1&gene=maker-Spar_3-snap-gene-2.158&CDS=1-4593, snap_masked-Spar_14-processed-gene-6.144-mRNA-1_1&gene=snap_masked-Spar_14-processed-gene-6.144&CDS=1-4686
15	OG0000015	YDL245C, YEL069C, YJR158W, YNR072W	genemark-Spar_14-processed-gene-6.199-mRNA-1_1&gene=genemark-Spar_14-processed-gene-6.199&CDS=1-1692, genemark-Spar_16-processed-gene-0.24-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.24&CDS=1-1698, genemark-Spar_4-processed-gene-0.92-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.92&CDS=1-1701
16	OG0000016	YAR071W, YBR092C, YBR093C, YHR215W	augustus_masked-Spar_2-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-Spar_2-processed-gene-4.20&CDS=1-2688, genemark-Spar_8-processed-gene-4.124-mRNA-1_1&gene=genemark-Spar_8-processed-gene-4.124&CDS=1-1401
17	OG0000017	YCR102C, YLR460C, YNL134C	genemark-Spar_12-processed-gene-9.55-mRNA-1_1&gene=genemark-Spar_12-processed-gene-9.55&CDS=1-1128, genemark-Spar_14-processed-gene-3.147-mRNA-1_1&gene=genemark-Spar_14-processed-gene-3.147&CDS=1-1128, genemark-Spar_3-processed-gene-2.85-mRNA-1_1&gene=genemark-Spar_3-processed-gene-2.85&CDS=1-1128
18	OG0000018	YDR406W, YOR153W, YOR328W	genemark-Spar_15-processed-gene-5.28-mRNA-1_1&gene=genemark-Spar_15-processed-gene-5.28&CDS=1-4533, genemark-Spar_15-processed-gene-8.63-mRNA-1_1&gene=genemark-Spar_15-processed-gene-8.63&CDS=1-4695, genemark-Spar_4-processed-gene-12.100-mRNA-1_1&gene=genemark-Spar_4-processed-gene-12.100&CDS=1-4611
19	OG0000019	YGR032W, YLR342W, YMR306W	genemark-Spar_12-processed-gene-7.61-mRNA-1_1&gene=genemark-Spar_12-processed-gene-7.61&CDS=1-7191, genemark-Spar_13-processed-gene-7.201-mRNA-1_1&gene=genemark-Spar_13-processed-gene-7.201&CDS=1-5055, genemark-Spar_7-processed-gene-5.26-mRNA-1_1&gene=genemark-Spar_7-processed-gene-5.26&CDS=1-5685
20	OG0000020	YGR087C, YLR044C, YLR134W	genemark-Spar_12-processed-gene-4.59-mRNA-1_1&gene=genemark-Spar_12-processed-gene-4.59&CDS=1-1689, genemark-Spar_7-processed-gene-6.78-mRNA-1_1&gene=genemark-Spar_7-processed-gene-6.78&CDS=1-1689, maker-Spar_12-augustus-gene-2.51-mRNA-1_1&gene=maker-Spar_12-augustus-gene-2.51&CDS=1-1989
21	OG0000021	YGR192C, YJL052W, YJR009C	genemark-Spar_10-processed-gene-3.13-mRNA-1_1&gene=genemark-Spar_10-processed-gene-3.13&CDS=1-996, genemark-Spar_10-processed-gene-4.124-mRNA-1_1&gene=genemark-Spar_10-processed-gene-4.124&CDS=1-996, genemark-Spar_7-processed-gene-8.126-mRNA-1_1&gene=genemark-Spar_7-processed-gene-8.126&CDS=1-996
22	OG0000022	YIL009W, YMR246W, YOR317W	genemark-Spar_13-processed-gene-7.178-mRNA-1_1&gene=genemark-Spar_13-processed-gene-7.178&CDS=1-2082, genemark-Spar_15-processed-gene-8.59-mRNA-1_1&gene=genemark-Spar_15-processed-gene-8.59&CDS=1-2100, genemark-Spar_9-processed-gene-3.81-mRNA-1_1&gene=genemark-Spar_9-processed-gene-3.81&CDS=1-2082
23	OG0000023	YKL220C, YNR060W, YOR381W	genemark-Spar_11-processed-gene-0.51-mRNA-1_1&gene=genemark-Spar_11-processed-gene-0.51&CDS=1-2133, genemark-Spar_14-processed-gene-6.196-mRNA-1_1&gene=genemark-Spar_14-processed-gene-6.196&CDS=1-2154, genemark-Spar_15-processed-gene-9.127-mRNA-1_1&gene=genemark-Spar_15-processed-gene-9.127&CDS=1-2055
24	OG0000024	YLR237W, YOR071C, YOR192C	genemark-Spar_12-processed-gene-5.64-mRNA-1_1&gene=genemark-Spar_12-processed-gene-5.64&CDS=1-1794, genemark-Spar_15-processed-gene-4.95-mRNA-1_1&gene=genemark-Spar_15-processed-gene-4.95&CDS=1-1794, snap_masked-Spar_15-processed-gene-6.120-mRNA-1_1&gene=snap_masked-Spar_15-processed-gene-6.120&CDS=1-1794
25	OG0000025	YOL055C, YPL258C, YPR121W	genemark-Spar_15-processed-gene-2.36-mRNA-1_1&gene=genemark-Spar_15-processed-gene-2.36&CDS=1-1653, genemark-Spar_16-processed-gene-0.30-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.30&CDS=1-1653, genemark-Spar_16-processed-gene-8.10-mRNA-1_1&gene=genemark-Spar_16-processed-gene-8.10&CDS=1-1650
26	OG0000026	YDL243C, YNL331C	genemark-Spar_14-processed-gene-0.23-mRNA-1_1&gene=genemark-Spar_14-processed-gene-0.23&CDS=1-1128, genemark-Spar_4-processed-gene-0.93-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.93&CDS=1-1128, genemark-Spar_6-processed-gene-0.43-mRNA-1_1&gene=genemark-Spar_6-processed-gene-0.43&CDS=1-1125
27	OG0000027	YDR312W, YHR066W, YHR068W	augustus_masked-Spar_8-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-Spar_8-processed-gene-2.92&CDS=1-3258, genemark-Spar_4-processed-gene-11.48-mRNA-1_1&gene=genemark-Spar_4-processed-gene-11.48&CDS=1-1359
28	OG0000028	YEL070W, YNR073C	genemark-Spar_14-processed-gene-6.235-mRNA-1_1&gene=genemark-Spar_14-processed-gene-6.235&CDS=1-1506, genemark-Spar_16-processed-gene-0.2-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.2&CDS=1-1215, genemark-Spar_16-processed-gene-0.7-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.7&CDS=1-1506
29	OG0000029	YER061C, YER062C, YIL053W	genemark-Spar_9-processed-gene-2.9-mRNA-1_1&gene=genemark-Spar_9-processed-gene-2.9&CDS=1-750, maker-Spar_5-augustus-gene-2.56-mRNA-1_1&gene=maker-Spar_5-augustus-gene-2.56&CDS=1-2082
30	OG0000030	YJL138C, YKR056W, YKR059W	maker-Spar_10-snap-gene-1.141-mRNA-1_1&gene=maker-Spar_10-snap-gene-1.141&CDS=1-2580, maker-Spar_11-snap-gene-5.1-mRNA-1_1&gene=maker-Spar_11-snap-gene-5.1&CDS=1-5004
31	OG0000031	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-Spar_12-snap-gene-4.5-mRNA-1_1&gene=maker-Spar_12-snap-gene-4.5&CDS=1-252
32	OG0000032	YML085C, YML124C, YML126C	augustus_masked-Spar_13-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-Spar_13-processed-gene-0.25&CDS=1-3660, augustus_masked-Spar_13-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-Spar_13-processed-gene-1.19&CDS=1-2532
33	OG0000033	YMR006C, YMR008C, YOL011W	genemark-Spar_15-processed-gene-3.33-mRNA-1_1&gene=genemark-Spar_15-processed-gene-3.33&CDS=1-2046, maker-Spar_13-snap-gene-2.147-mRNA-1_1&gene=maker-Spar_13-snap-gene-2.147&CDS=1-4068
34	OG0000034	YMR186W, YPL240C, YPL242C	genemark-Spar_13-processed-gene-6.53-mRNA-1_1&gene=genemark-Spar_13-processed-gene-6.53&CDS=1-2130, genemark-Spar_16-processed-gene-1.121-mRNA-1_1&gene=genemark-Spar_16-processed-gene-1.121&CDS=1-7332
35	OG0000035	YAL017W, YOL045W	genemark-Spar_1-processed-gene-0.83-mRNA-1_1&gene=genemark-Spar_1-processed-gene-0.83&CDS=1-4068, maker-Spar_15-augustus-gene-2.53-mRNA-1_1&gene=maker-Spar_15-augustus-gene-2.53&CDS=1-4440
36	OG0000036	YAL024C, YOR321W	augustus_masked-Spar_1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-Spar_1-processed-gene-0.48&CDS=1-8160, genemark-Spar_15-processed-gene-8.61-mRNA-1_1&gene=genemark-Spar_15-processed-gene-8.61&CDS=1-2259
37	OG0000037	YAL029C, YOR326W	genemark-Spar_1-processed-gene-0.120-mRNA-1_1&gene=genemark-Spar_1-processed-gene-0.120&CDS=1-4416, genemark-Spar_15-processed-gene-8.62-mRNA-1_1&gene=genemark-Spar_15-processed-gene-8.62&CDS=1-4722
38	OG0000038	YAL038W, YOR347C	genemark-Spar_1-processed-gene-0.74-mRNA-1_1&gene=genemark-Spar_1-processed-gene-0.74&CDS=1-1500, genemark-Spar_15-processed-gene-9.141-mRNA-1_1&gene=genemark-Spar_15-processed-gene-9.141&CDS=1-1518
39	OG0000039	YAL051W, YOR363C	augustus_masked-Spar_1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-Spar_1-processed-gene-0.4&CDS=1-5475, augustus_masked-Spar_15-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-Spar_15-processed-gene-9.39&CDS=1-4932
40	OG0000040	YAL062W, YOR375C	genemark-Spar_1-processed-gene-0.62-mRNA-1_1&gene=genemark-Spar_1-processed-gene-0.62&CDS=1-1371, genemark-Spar_15-processed-gene-9.156-mRNA-1_1&gene=genemark-Spar_15-processed-gene-9.156&CDS=1-1362
41	OG0000041	YAR042W, YDL019C	augustus_masked-Spar_1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-Spar_1-processed-gene-0.30&CDS=1-9126, genemark-Spar_4-processed-gene-4.88-mRNA-1_1&gene=genemark-Spar_4-processed-gene-4.88&CDS=1-3846
42	OG0000042	YBL002W, YDR224C	genemark-Spar_2-processed-gene-2.86-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.86&CDS=1-390, genemark-Spar_4-processed-gene-9.10-mRNA-1_1&gene=genemark-Spar_4-processed-gene-9.10&CDS=1-393
43	OG0000043	YBL003C, YDR225W	genemark-Spar_2-processed-gene-2.100-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.100&CDS=1-396, genemark-Spar_4-processed-gene-9.6-mRNA-1_1&gene=genemark-Spar_4-processed-gene-9.6&CDS=1-396
44	OG0000044	YBL030C, YBR085W	genemark-Spar_2-processed-gene-1.135-mRNA-1_1&gene=genemark-Spar_2-processed-gene-1.135&CDS=1-954, genemark-Spar_2-processed-gene-3.83-mRNA-1_1&gene=genemark-Spar_2-processed-gene-3.83&CDS=1-921
45	OG0000045	YBL069W, YER101C	augustus_masked-Spar_2-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-Spar_2-processed-gene-0.10&CDS=1-2241, genemark-Spar_5-processed-gene-3.134-mRNA-1_1&gene=genemark-Spar_5-processed-gene-3.134&CDS=1-1290
46	OG0000046	YBL072C, YER102W	genemark-Spar_2-processed-gene-0.63-mRNA-1_1&gene=genemark-Spar_2-processed-gene-0.63&CDS=1-600, genemark-Spar_5-processed-gene-3.116-mRNA-1_1&gene=genemark-Spar_5-processed-gene-3.116&CDS=1-600
47	OG0000047	YBL106C, YPR032W	augustus_masked-Spar_16-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-Spar_16-processed-gene-6.8&CDS=1-5319, genemark-Spar_2-processed-gene-0.48-mRNA-1_1&gene=genemark-Spar_2-processed-gene-0.48&CDS=1-3615
48	OG0000048	YBR001C, YDR001C	genemark-Spar_2-processed-gene-2.102-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.102&CDS=1-2340, genemark-Spar_4-processed-gene-4.94-mRNA-1_1&gene=genemark-Spar_4-processed-gene-4.94&CDS=1-2253
49	OG0000049	YBR009C, YNL030W	genemark-Spar_14-processed-gene-5.86-mRNA-1_1&gene=genemark-Spar_14-processed-gene-5.86&CDS=1-309, genemark-Spar_2-processed-gene-2.107-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.107&CDS=1-309
50	OG0000050	YBR010W, YNL031C	genemark-Spar_14-processed-gene-5.100-mRNA-1_1&gene=genemark-Spar_14-processed-gene-5.100&CDS=1-408, genemark-Spar_2-processed-gene-2.90-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.90&CDS=1-408
51	OG0000051	YBR020W, YDR009W	genemark-Spar_2-processed-gene-2.92-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.92&CDS=1-1584, genemark-Spar_4-processed-gene-4.76-mRNA-1_1&gene=genemark-Spar_4-processed-gene-4.76&CDS=1-1560
52	OG0000052	YBR021W, YIR028W	genemark-Spar_2-processed-gene-2.93-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.93&CDS=1-1899, maker-Spar_9-augustus-gene-3.138-mRNA-1_1&gene=maker-Spar_9-augustus-gene-3.138&CDS=1-2904
53	OG0000053	YBR031W, YDR012W	genemark-Spar_2-processed-gene-2.97-mRNA-1_1&gene=genemark-Spar_2-processed-gene-2.97&CDS=1-1086, genemark-Spar_4-processed-gene-4.78-mRNA-1_1&gene=genemark-Spar_4-processed-gene-4.78&CDS=1-1086
54	OG0000054	YBR048W, YDR025W	genemark-Spar_2-processed-gene-3.72-mRNA-1_1&gene=genemark-Spar_2-processed-gene-3.72&CDS=1-468, genemark-Spar_4-processed-gene-5.16-mRNA-1_1&gene=genemark-Spar_4-processed-gene-5.16&CDS=1-468
55	OG0000055	YBR082C, YDR054C	genemark-Spar_2-processed-gene-3.106-mRNA-1_1&gene=genemark-Spar_2-processed-gene-3.106&CDS=1-444, maker-Spar_4-snap-gene-5.4-mRNA-1_1&gene=maker-Spar_4-snap-gene-5.4&CDS=1-1881
56	OG0000056	YBR084W, YGR204W	augustus_masked-Spar_7-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-Spar_7-processed-gene-8.12&CDS=1-3264, genemark-Spar_2-processed-gene-3.82-mRNA-1_1&gene=genemark-Spar_2-processed-gene-3.82&CDS=1-2925
57	OG0000057	YBR118W, YPR080W	genemark-Spar_16-processed-gene-7.64-mRNA-1_1&gene=genemark-Spar_16-processed-gene-7.64&CDS=1-1374, genemark-Spar_2-processed-gene-4.110-mRNA-1_1&gene=genemark-Spar_2-processed-gene-4.110&CDS=1-1374
58	OG0000058	YBR121C, YPR081C	augustus_masked-Spar_16-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-Spar_16-processed-gene-7.39&CDS=1-2325, genemark-Spar_2-processed-gene-4.128-mRNA-1_1&gene=genemark-Spar_2-processed-gene-4.128&CDS=1-1995
59	OG0000059	YBR140C, YOL081W	genemark-Spar_15-processed-gene-1.67-mRNA-1_1&gene=genemark-Spar_15-processed-gene-1.67&CDS=1-9240, genemark-Spar_2-processed-gene-5.106-mRNA-1_1&gene=genemark-Spar_2-processed-gene-5.106&CDS=1-9231
60	OG0000060	YBR169C, YPL106C	genemark-Spar_16-processed-gene-3.82-mRNA-1_1&gene=genemark-Spar_16-processed-gene-3.82&CDS=1-2079, snap_masked-Spar_2-processed-gene-5.96-mRNA-1_1&gene=snap_masked-Spar_2-processed-gene-5.96&CDS=1-3813
61	OG0000061	YBR181C, YPL090C	snap_masked-Spar_16-processed-gene-4.73-mRNA-1_1&gene=snap_masked-Spar_16-processed-gene-4.73&CDS=1-708, snap_masked-Spar_2-processed-gene-5.101-mRNA-1_1&gene=snap_masked-Spar_2-processed-gene-5.101&CDS=1-708
62	OG0000062	YBR189W, YPL081W	maker-Spar_16-snap-gene-4.138-mRNA-1_1&gene=maker-Spar_16-snap-gene-4.138&CDS=1-1041, maker-Spar_2-snap-gene-5.47-mRNA-1_1&gene=maker-Spar_2-snap-gene-5.47&CDS=1-1164
63	OG0000063	YBR205W, YOR099W	augustus_masked-Spar_2-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-Spar_2-processed-gene-6.100&CDS=1-2490, genemark-Spar_15-processed-gene-5.5-mRNA-1_1&gene=genemark-Spar_15-processed-gene-5.5&CDS=1-1179
64	OG0000064	YBR214W, YGL056C	augustus_masked-Spar_2-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-Spar_2-processed-gene-6.103&CDS=1-2349, augustus_masked-Spar_7-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-Spar_7-processed-gene-4.108&CDS=1-2337
65	OG0000065	YBR218C, YGL062W	genemark-Spar_2-processed-gene-6.29-mRNA-1_1&gene=genemark-Spar_2-processed-gene-6.29&CDS=1-3540, snap_masked-Spar_7-processed-gene-3.62-mRNA-1_1&gene=snap_masked-Spar_7-processed-gene-3.62&CDS=1-3534
66	OG0000066	YBR294W, YLR092W	augustus_masked-Spar_12-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-Spar_12-processed-gene-3.81&CDS=1-4914, snap_masked-Spar_2-processed-gene-7.74-mRNA-1_1&gene=snap_masked-Spar_2-processed-gene-7.74&CDS=1-2592
67	OG0000067	YBR298C, YDL247W, YJR160C	genemark-Spar_4-processed-gene-0.77-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.77&CDS=1-1833
68	OG0000068	YBR300C, YGR293C	snap_masked-Spar_2-processed-gene-7.97-mRNA-1_1&gene=snap_masked-Spar_2-processed-gene-7.97&CDS=1-213, snap_masked-Spar_7-processed-gene-9.130-mRNA-1_1&gene=snap_masked-Spar_7-processed-gene-9.130&CDS=1-213
69	OG0000069	YCL025C, YDR508C	genemark-Spar_3-processed-gene-0.65-mRNA-1_1&gene=genemark-Spar_3-processed-gene-0.65&CDS=1-1899, genemark-Spar_4-processed-gene-14.110-mRNA-1_1&gene=genemark-Spar_4-processed-gene-14.110&CDS=1-1989
70	OG0000070	YCL039W, YDR516C	genemark-Spar_4-processed-gene-14.112-mRNA-1_1&gene=genemark-Spar_4-processed-gene-14.112&CDS=1-1500, maker-Spar_3-augustus-gene-0.113-mRNA-1_1&gene=maker-Spar_3-augustus-gene-0.113&CDS=1-3720
71	OG0000071	YCL066W, YCR040W	augustus_masked-Spar_3-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-Spar_3-processed-gene-0.0&CDS=1-525, genemark-Spar_3-processed-gene-1.60-mRNA-1_1&gene=genemark-Spar_3-processed-gene-1.60&CDS=1-525
