	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035673_Candida_orba
10	OG0000010	YGL073W, YGR249W, YHR206W, YOR140W	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-1.151&CDS=1-1656, augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.71&CDS=1-2160, augustus_masked-NODE_32_length_86984_cov_121.358_ID_5533-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_32_length_86984_cov_121.358_ID_5533-processed-gene-0.119&CDS=1-1362, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.154&CDS=1-1857
11	OG0000011	YJL102W, YJL139C, YKR061W, YOR099W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.119&CDS=1-1257, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.15&CDS=1-1218, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.132&CDS=1-3216, maker-NODE_20_length_154965_cov_99.9354_ID_4845-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_20_length_154965_cov_99.9354_ID_4845-snap-gene-0.6&CDS=1-2325
12	OG0000012	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.110&CDS=1-3588, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-0.84&CDS=1-3474, maker-NODE_29_length_91889_cov_116.398_ID_4951-snap-gene-0.163-mRNA-1_1&gene=maker-NODE_29_length_91889_cov_116.398_ID_4951-snap-gene-0.163&CDS=1-1785
13	OG0000013	YDL138W, YDL194W, YDR536W	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-0.99&CDS=1-1623, augustus_masked-NODE_34_length_77108_cov_101.239_ID_6280-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_34_length_77108_cov_101.239_ID_6280-processed-gene-0.108&CDS=1-1545, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.54&CDS=1-2115, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.40&CDS=1-1824
14	OG0000014	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.12&CDS=1-930, augustus_masked-NODE_342_length_391_cov_1_ID_10662-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_342_length_391_cov_1_ID_10662-processed-gene-0.2&CDS=1-282, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.7&CDS=1-1623, maker-NODE_14_length_242154_cov_107.613_ID_3890-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_14_length_242154_cov_107.613_ID_3890-augustus-gene-0.1&CDS=1-1323
15	OG0000015	YDR338C, YHR032W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.78&CDS=1-2727, augustus_masked-NODE_26_length_113171_cov_97.9406_ID_4626-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_26_length_113171_cov_97.9406_ID_4626-processed-gene-0.19&CDS=1-1665, augustus_masked-NODE_29_length_91889_cov_116.398_ID_4951-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_29_length_91889_cov_116.398_ID_4951-processed-gene-0.20&CDS=1-1704, augustus_masked-NODE_48_length_54476_cov_123.556_ID_10356-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_48_length_54476_cov_123.556_ID_10356-processed-gene-0.80&CDS=1-1476, augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-0.82&CDS=1-1923
16	OG0000016	YGL257C, YNR059W	augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.34&CDS=1-2112, augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.38&CDS=1-2058, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.22&CDS=1-2142, snap_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.205-mRNA-1_1&gene=snap_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.205&CDS=1-2085, snap_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.249-mRNA-1_1&gene=snap_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.249&CDS=1-2178
17	OG0000017	YHR176W	augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.48&CDS=1-1404, augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.35&CDS=1-1515, augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.7&CDS=1-1542, augustus_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.84&CDS=1-1518, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.93&CDS=1-1458, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.39&CDS=1-1428
18	OG0000018	YKL055C, YMR226C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.10&CDS=1-804, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.17&CDS=1-807, augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.120&CDS=1-729, augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.91&CDS=1-753, genemark-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.77-mRNA-1_1&gene=genemark-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.77&CDS=1-825
19	OG0000019	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.16&CDS=1-1347
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-2.11&CDS=1-4572, genemark-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-4.24-mRNA-1_1&gene=genemark-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-4.24&CDS=1-4731
21	OG0000021	YBR015C	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.175&CDS=1-1746, augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.83&CDS=1-1563, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.156-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.156&CDS=1-1776, genemark-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-2.77-mRNA-1_1&gene=genemark-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-2.77&CDS=1-1722, maker-NODE_10_length_310917_cov_107.48_ID_4357-snap-gene-2.154-mRNA-1_1&gene=maker-NODE_10_length_310917_cov_107.48_ID_4357-snap-gene-2.154&CDS=1-3183
22	OG0000022	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.130&CDS=1-1842, augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.85&CDS=1-1584, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.48&CDS=1-2268
23	OG0000023	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W	augustus_masked-NODE_58_length_26280_cov_96.9666_ID_15326-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_58_length_26280_cov_96.9666_ID_15326-processed-gene-0.5&CDS=1-2208
24	OG0000024	YDR380W, YLR044C, YLR134W	augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.116&CDS=1-1698, augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.98&CDS=1-1713, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-9.150&CDS=1-1797
25	OG0000025	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.72&CDS=1-1680, augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.132&CDS=1-1836
26	OG0000026	YGL185C, YPL113C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-4.116&CDS=1-1098, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.52&CDS=1-1122, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.53&CDS=1-1095, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.348-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.348&CDS=1-1098
27	OG0000027	YHL019C, YOL062C, YPL259C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.20&CDS=1-1278, augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.79&CDS=1-1461, maker-NODE_24_length_122096_cov_96.048_ID_6063-augustus-gene-0.197-mRNA-1_1&gene=maker-NODE_24_length_122096_cov_96.048_ID_6063-augustus-gene-0.197&CDS=1-2640
28	OG0000028	YHL034C, YIR001C, YLL046C	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-1.111&CDS=1-807, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.19&CDS=1-447, augustus_masked-NODE_37_length_74221_cov_107.007_ID_6329-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_37_length_74221_cov_107.007_ID_6329-processed-gene-0.77&CDS=1-519
29	OG0000029	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.73&CDS=1-1512, augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.2&CDS=1-1377, augustus_masked-NODE_53_length_33435_cov_99.4918_ID_3219-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_53_length_33435_cov_99.4918_ID_3219-processed-gene-0.5&CDS=1-1731
30	OG0000030	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.36&CDS=1-2013, augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-4.90&CDS=1-2049
