	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
29	OG0000029	YNL274C, YPL113C	genemark-flattened_line_103-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.72&CDS=1-987, genemark-flattened_line_13-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.52&CDS=1-1098, maker-flattened_line_111-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_111-augustus-gene-0.1&CDS=1-1014
30	OG0000030	YOL119C, YOR306C	genemark-flattened_line_21-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.80&CDS=1-1389, genemark-flattened_line_232-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_232-processed-gene-0.21&CDS=1-1416, genemark-flattened_line_241-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_241-processed-gene-0.3&CDS=1-1305
31	OG0000031	YPR194C	genemark-flattened_line_117-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.17&CDS=1-2556, genemark-flattened_line_161-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_161-processed-gene-0.75&CDS=1-2547, genemark-flattened_line_196-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.25&CDS=1-2544, genemark-flattened_line_85-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_85-processed-gene-0.76&CDS=1-2430
32	OG0000032	YAL067C	genemark-flattened_line_172-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.69&CDS=1-1671, genemark-flattened_line_212-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.39&CDS=1-1653, maker-flattened_line_141-snap-gene-0.50-mRNA-1_1&gene=maker-flattened_line_141-snap-gene-0.50&CDS=1-1623
33	OG0000033	YBL037W, YPR029C	genemark-flattened_line_165-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_165-processed-gene-0.70&CDS=1-2511, maker-flattened_line_9-snap-gene-1.202-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.202&CDS=1-1887
34	OG0000034	YBL067C, YER098W	genemark-flattened_line_27-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.31&CDS=1-1737, genemark-flattened_line_83-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.21&CDS=1-2034
35	OG0000035	YBL068W, YER099C, YHL011C	genemark-flattened_line_2-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.52&CDS=1-4287
36	OG0000036	YBL068W-A, YBL069W, YER101C	snap_masked-flattened_line_2-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.110&CDS=1-1062
37	OG0000037	YBL091C-A, YER120W	augustus_masked-flattened_line_4-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.85&CDS=1-762, augustus_masked-flattened_line_4-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.125&CDS=1-762
38	OG0000038	YBR008C	genemark-flattened_line_37-processed-gene-0.197-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.197&CDS=1-1668, genemark-flattened_line_39-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.151&CDS=1-1755, genemark-flattened_line_69-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.130&CDS=1-1677
39	OG0000039	YBR160W, YPR161C	genemark-flattened_line_105-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.123&CDS=1-897, genemark-flattened_line_73-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_73-processed-gene-0.140&CDS=1-1377
40	OG0000040	YDL122W, YPL072W	genemark-flattened_line_13-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.2&CDS=1-1755, genemark-flattened_line_163-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.43&CDS=1-1422
41	OG0000041	YDR038C, YDR039C, YDR040C	maker-flattened_line_0-augustus-gene-0.26-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.26&CDS=1-3204
42	OG0000042	YDR135C	genemark-flattened_line_23-processed-gene-1.144-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.144&CDS=1-4380, genemark-flattened_line_31-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.60&CDS=1-4569, genemark-flattened_line_53-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.134&CDS=1-4446
43	OG0000043	YDR150W	augustus_masked-flattened_line_708-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_708-processed-gene-0.0&CDS=1-501, augustus_masked-flattened_line_880-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_880-processed-gene-0.2&CDS=1-345, snap_masked-flattened_line_362-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_362-processed-gene-0.3&CDS=1-1479
44	OG0000044	YER056C, YER060W, YER060W-A	genemark-flattened_line_7-processed-gene-1.130-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.130&CDS=1-1563
45	OG0000045	YFL004W, YPL019C	maker-flattened_line_4-snap-gene-1.147-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.147&CDS=1-2331, maker-flattened_line_4-snap-gene-2.3-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.3&CDS=1-2331
46	OG0000046	YFL059W, YMR096W, YNL333W	snap_masked-flattened_line_441-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_441-processed-gene-0.1&CDS=1-996
47	OG0000047	YGL227W, YMR171C	augustus_masked-flattened_line_29-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.36&CDS=1-1467, genemark-flattened_line_115-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.39&CDS=1-1674
48	OG0000048	YGR197C, YJR015W	genemark-flattened_line_125-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.120&CDS=1-1557, genemark-flattened_line_43-processed-gene-0.216-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.216&CDS=1-1479
49	OG0000049	YGR260W	genemark-flattened_line_29-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.44&CDS=1-1494, genemark-flattened_line_378-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_378-processed-gene-0.2&CDS=1-1464, genemark-flattened_line_89-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_89-processed-gene-0.127&CDS=1-1488
50	OG0000050	YHR178W, YLR014C	genemark-flattened_line_127-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_127-processed-gene-0.77&CDS=1-3081, genemark-flattened_line_23-processed-gene-1.180-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.180&CDS=1-3150
51	OG0000051	YIL111W, YNL052W	genemark-flattened_line_4-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.15&CDS=1-486, genemark-flattened_line_4-processed-gene-2.259-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.259&CDS=1-486
52	OG0000052	YIL149C, YKR095W	augustus_masked-flattened_line_43-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.14&CDS=1-4995, snap_masked-flattened_line_115-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.13&CDS=1-5919
53	OG0000053	YIR013C, YLR013W, YPL021W	genemark-flattened_line_115-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.37&CDS=1-1440
54	OG0000054	YIR035C, YIR036C	augustus_masked-flattened_line_73-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.199&CDS=1-2295, genemark-flattened_line_59-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.47&CDS=1-840
55	OG0000055	YJL042W, YOR227W, YPL137C	snap_masked-flattened_line_9-processed-gene-1.180-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.180&CDS=1-1251
56	OG0000056	YJL076W, YKR010C	snap_masked-flattened_line_228-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.23&CDS=1-2058, snap_masked-flattened_line_35-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.146&CDS=1-2106
57	OG0000057	YJL141C, YPL042C	genemark-flattened_line_141-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.107&CDS=1-2583, maker-flattened_line_5-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-0.69&CDS=1-3363
58	OG0000058	YJL163C	genemark-flattened_line_125-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.121&CDS=1-1674, genemark-flattened_line_208-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.13&CDS=1-1752, genemark-flattened_line_29-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.60&CDS=1-1788
59	OG0000059	YJR005W, YKL135C	genemark-flattened_line_43-processed-gene-0.195-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.195&CDS=1-2160, maker-flattened_line_19-augustus-gene-0.69-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-0.69&CDS=1-2079
60	OG0000060	YKL050C, YMR031C	genemark-flattened_line_4-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.53&CDS=1-2400, genemark-flattened_line_4-processed-gene-2.248-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.248&CDS=1-2400
61	OG0000061	YKL055C	genemark-flattened_line_5-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.133&CDS=1-801, genemark-flattened_line_67-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.38&CDS=1-810, snap_masked-flattened_line_0-processed-gene-3.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.152&CDS=1-807
62	OG0000062	YKL103C	genemark-flattened_line_13-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.27&CDS=1-1590, genemark-flattened_line_13-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.4&CDS=1-1470, genemark-flattened_line_172-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.66&CDS=1-1626
63	OG0000063	YMR006C, YMR008C, YOL011W	snap_masked-flattened_line_81-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.108&CDS=1-2154
64	OG0000064	YMR111C, YOL116W	snap_masked-flattened_line_0-processed-gene-1.1-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.1&CDS=1-1566, snap_masked-flattened_line_11-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.76&CDS=1-1857
65	OG0000065	YMR222C, YOR280C	genemark-flattened_line_39-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.158&CDS=1-648, genemark-flattened_line_39-processed-gene-0.207-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.207&CDS=1-735
66	OG0000066	YOL055C, YPL258C, YPR121W	maker-flattened_line_25-augustus-gene-1.184-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.184&CDS=1-849
67	OG0000067	YOL152W	genemark-flattened_line_0-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.98&CDS=1-1512, genemark-flattened_line_159-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.29&CDS=1-1566, genemark-flattened_line_87-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.153&CDS=1-1449
68	OG0000068	YPL064C	genemark-flattened_line_51-processed-gene-0.139-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.139&CDS=1-1494, genemark-flattened_line_7-processed-gene-2.27-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.27&CDS=1-483, maker-flattened_line_2-snap-gene-1.110-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.110&CDS=1-450
