	OrthologID	Candida_carpophila	Saccharomyces_cerevisiae
10	OG0000010	-augustus-gene-1.98-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-1.98&CDS=1-2631, -processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-0.78&CDS=1-1560, -processed-gene-16.124-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-16.124&CDS=1-1497, -processed-gene-6.102-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.102&CDS=1-1557, -processed-gene-6.153-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.153&CDS=1-1545	YDR402C, YER156C
11	OG0000011	-processed-gene-0.134-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.134&CDS=1-1599, -processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.24&CDS=1-1560, -processed-gene-3.110-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.110&CDS=1-1770, -processed-gene-4.84-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-4.84&CDS=1-1578, -processed-gene-6.9-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-6.9&CDS=1-1674, -snap-gene-0.87-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-0.87&CDS=1-3318	YBR008C
12	OG0000012	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.9&CDS=1-1227, -processed-gene-7.153-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-7.153&CDS=1-1248, -processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.47&CDS=1-1089, -processed-gene-7.78-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-7.78&CDS=1-1092	YCR102C, YLR460C, YNL134C
13	OG0000013	-processed-gene-6.70-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-6.70&CDS=1-2133, -snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002316126|dbj|BCGK01000004.1|-snap-gene-3.2&CDS=1-5838	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
14	OG0000014	-processed-gene-0.258-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.258&CDS=1-1110, -processed-gene-7.142-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.142&CDS=1-1671	YBR297W, YFL052W, YGR288W, YPR196W
15	OG0000015	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.83&CDS=1-1542, -processed-gene-15.83-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.83&CDS=1-1482, -processed-gene-16.117-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.117&CDS=1-3549	YER056C, YER060W, YER060W-A
16	OG0000016	-processed-gene-11.94-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.94&CDS=1-2151, -processed-gene-2.2-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.2&CDS=1-4059, -processed-gene-3.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.68&CDS=1-2109, -processed-gene-5.160-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.160&CDS=1-2340	YGL257C, YNR059W
17	OG0000017	-processed-gene-12.117-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-12.117&CDS=1-2277, -processed-gene-3.118-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.118&CDS=1-3105, -processed-gene-5.45-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.45&CDS=1-2988	YBR245C, YFR038W, YOR304W
18	OG0000018	-augustus-gene-9.63-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-9.63&CDS=1-6117, -processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.68&CDS=1-1953, -processed-gene-10.309-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.309&CDS=1-1839, -processed-gene-4.20-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-4.20&CDS=1-2928, -snap-gene-1.138-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-1.138&CDS=1-6573	YLR256W
19	OG0000019	-processed-gene-4.50-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-4.50&CDS=1-4110, -processed-gene-7.105-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.105&CDS=1-1938, -snap-gene-1.164-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-snap-gene-1.164&CDS=1-2733	YAL005C, YJL034W, YLL024C
20	OG0000020	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-1.82&CDS=1-1173, -processed-gene-2.25-mRNA-1_1&gene=augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-2.25&CDS=1-1656, -processed-gene-3.119-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-3.119&CDS=1-1269, -processed-gene-5.51-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-5.51&CDS=1-1152	YBR207W, YER145C
21	OG0000021	-augustus-gene-0.50-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-0.50&CDS=1-7212, -processed-gene-0.86-mRNA-1_1&gene=augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.86&CDS=1-3801, -processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-1.70&CDS=1-2214, -processed-gene-11.76-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-11.76&CDS=1-2466, -processed-gene-15.124-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.124&CDS=1-3603	YJR004C
22	OG0000022	-processed-gene-10.53-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.53&CDS=1-753, -processed-gene-11.148-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.148&CDS=1-747, -processed-gene-11.70-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-11.70&CDS=1-753, -processed-gene-3.107-mRNA-1_1&gene=augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-3.107&CDS=1-753, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002316126|dbj|BCGK01000004.1|-snap-gene-0.2&CDS=1-1077	YKL071W
23	OG0000023	-augustus-gene-14.59-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-14.59&CDS=1-2829, -processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.111&CDS=1-1713, -processed-gene-15.108-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.108&CDS=1-1713	YGR187C, YJL172W, YOL153C
24	OG0000024	-augustus-gene-14.79-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-14.79&CDS=1-2736, -augustus-gene-16.60-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-16.60&CDS=1-4083, -processed-gene-4.145-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-4.145&CDS=1-3240	YGL120C, YKR086W, YNR011C
25	OG0000025	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.8&CDS=1-696, -processed-gene-11.87-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-11.87&CDS=1-708, -processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-3.102&CDS=1-981, -processed-gene-5.45-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-5.45&CDS=1-984	YJL079C, YKR013W
26	OG0000026	-processed-gene-0.246-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.246&CDS=1-999, -processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.104&CDS=1-1002	YGR192C, YJL052W, YJR009C
27	OG0000027	-augustus-gene-7.114-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-7.114&CDS=1-2430, -processed-gene-0.248-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.248&CDS=1-1557, -processed-gene-14.75-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-14.75&CDS=1-1536, -processed-gene-4.130-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.130&CDS=1-1533	YJL068C
28	OG0000028	-augustus-gene-0.6-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-augustus-gene-0.6&CDS=1-2481, -processed-gene-0.251-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.251&CDS=1-1572, -processed-gene-15.85-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.85&CDS=1-1005, -processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.69&CDS=1-1746	YML054C
29	OG0000029	-processed-gene-1.117-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-1.117&CDS=1-2553, -processed-gene-2.119-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.119&CDS=1-2253	YML111W, YMR275C, YNR069C
30	OG0000030	-processed-gene-13.160-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.160&CDS=1-1224, -processed-gene-2.88-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.88&CDS=1-1407	YBL089W, YER119C, YIL088C
31	OG0000031	-processed-gene-0.112-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.112&CDS=1-3810, -processed-gene-2.116-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-2.116&CDS=1-4251	YCL024W, YDR507C, YKL101W
32	OG0000032	-processed-gene-17.94-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-17.94&CDS=1-1470, -processed-gene-4.15-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-4.15&CDS=1-1839, -processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-4.34&CDS=1-1872	YHR206W, YOR140W
33	OG0000033	-processed-gene-1.100-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.100&CDS=1-4530, -processed-gene-3.107-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.107&CDS=1-6708, -processed-gene-4.25-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-4.25&CDS=1-4566	YDR135C, YLL015W
34	OG0000034	-processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-0.57&CDS=1-1443, -processed-gene-12.123-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-12.123&CDS=1-1491, -processed-gene-5.136-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-5.136&CDS=1-1644	YDR338C, YHR032W
35	OG0000035	-augustus-gene-9.64-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-9.64&CDS=1-3420, -processed-gene-6.73-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.73&CDS=1-3654, -processed-gene-8.122-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.122&CDS=1-2142	YER015W, YPL235W
36	OG0000036	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.9&CDS=1-3303, -processed-gene-13.79-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-13.79&CDS=1-3285, -processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.97&CDS=1-2112	YLR144C, YNR067C
37	OG0000037	-processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.56&CDS=1-1560, -processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.101&CDS=1-1566, -processed-gene-6.21-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.21&CDS=1-1578, -processed-gene-8.48-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.48&CDS=1-1578	YJR152W
38	OG0000038	-augustus-gene-2.4-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-augustus-gene-2.4&CDS=1-4434, -processed-gene-7.190-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-7.190&CDS=1-1374	YBR118W, YMR189W, YPR080W
39	OG0000039	-processed-gene-16.37-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.37&CDS=1-489, -processed-gene-17.118-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-17.118&CDS=1-1023, -processed-gene-3.138-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.138&CDS=1-561	YFR032C, YIR001C
40	OG0000040	-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.92&CDS=1-5637, -processed-gene-4.67-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-4.67&CDS=1-1065	YCL064C, YIL167W, YML020W
41	OG0000041	-processed-gene-15.101-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.101&CDS=1-3609, -processed-gene-2.138-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-2.138&CDS=1-3834	YJL042W, YOR227W, YPL137C
42	OG0000042	-processed-gene-15.83-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.83&CDS=1-5226, -processed-gene-5.147-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.147&CDS=1-4548, -processed-gene-5.50-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-5.50&CDS=1-4296, -processed-gene-7.146-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.146&CDS=1-4251	YGR281W
43	OG0000043	-processed-gene-1.138-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.138&CDS=1-981, -processed-gene-10.38-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.38&CDS=1-936, -processed-gene-12.104-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-12.104&CDS=1-993, -processed-gene-2.108-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.108&CDS=1-912	YKL128C
44	OG0000044	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.112&CDS=1-1782, -processed-gene-10.57-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-10.57&CDS=1-1992, -processed-gene-2.61-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-2.61&CDS=1-1941	YEL065W, YHL040C
45	OG0000045	-processed-gene-0.145-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-0.145&CDS=1-1707, -processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-2.39&CDS=1-1638	YDR342C, YDR343C, YHR092C
46	OG0000046	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-1.48&CDS=1-969, -processed-gene-13.61-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-13.61&CDS=1-960	YBL068W, YER099C, YHL011C
47	OG0000047	-processed-gene-6.23-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-6.23&CDS=1-2838, -processed-gene-7.45-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.45&CDS=1-2481	YCR037C, YJL198W, YNR013C
48	OG0000048	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-0.110&CDS=1-4587	YBL017C, YIL173W, YJL222W, YNR065C
49	OG0000049	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-2.44&CDS=1-3084, -processed-gene-6.107-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-6.107&CDS=1-2271	YDR326C, YFL042C, YHR080C
50	OG0000050	-processed-gene-6.118-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-6.118&CDS=1-1017	YDL244W, YFL058W, YJR156C, YNL332W
51	OG0000051	-processed-gene-16.184-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-16.184&CDS=1-1218, -processed-gene-7.84-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-7.84&CDS=1-3822	YFL030W, YMR237W, YOR299W
52	OG0000052	-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-10.36&CDS=1-3744, -processed-gene-2.14-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.14&CDS=1-4041	YIL002C, YNL106C, YOR109W
53	OG0000053	-processed-gene-1.120-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.120&CDS=1-1248, -processed-gene-1.74-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.74&CDS=1-6753	YAL017W, YIL160C, YOL045W
54	OG0000054	-processed-gene-8.111-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.111&CDS=1-1710, -snap-gene-8.8-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-snap-gene-8.8&CDS=1-750	YBR298C, YDL247W, YJR160C
