	OrthologID	Lachancea_nothofagi	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-LANO0A-processed-gene-0.86-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.86&CDS=1-1539, snap_masked-LANO0D-processed-gene-10.107-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.107&CDS=1-1539, snap_masked-LANO0E-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-0.71&CDS=1-1530, snap_masked-LANO0E-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-2.92&CDS=1-2124, snap_masked-LANO0E-processed-gene-6.80-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-6.80&CDS=1-1539	YDL194W
11	OG0000011	maker-LANO0H-snap-gene-7.109-mRNA-1_1&gene=maker-LANO0H-snap-gene-7.109&CDS=1-3225, snap_masked-LANO0A-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.69&CDS=1-1560, snap_masked-LANO0B-processed-gene-7.258-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-7.258&CDS=1-1542	YIL120W, YIL121W, YNL065W
12	OG0000012	snap_masked-LANO0A-processed-gene-1.127-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-1.127&CDS=1-2223, snap_masked-LANO0A-processed-gene-1.128-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-1.128&CDS=1-2154, snap_masked-LANO0A-processed-gene-5.131-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-5.131&CDS=1-2313	YKL222C, YOR162C, YOR172W
13	OG0000013	augustus_masked-LANO0A-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-LANO0A-processed-gene-3.38&CDS=1-2700, augustus_masked-LANO0H-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-12.30&CDS=1-2649, augustus_masked-LANO0H-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-17.43&CDS=1-2871, maker-LANO0H-snap-gene-12.2-mRNA-1_1&gene=maker-LANO0H-snap-gene-12.2&CDS=1-1956, snap_masked-LANO0F-processed-gene-14.86-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-14.86&CDS=1-2787	YDL227C
14	OG0000014	maker-LANO0B-snap-gene-6.160-mRNA-1_1&gene=maker-LANO0B-snap-gene-6.160&CDS=1-1923, snap_masked-LANO0C-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-0.30&CDS=1-1566, snap_masked-LANO0E-processed-gene-9.53-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-9.53&CDS=1-1578	YER073W, YOR374W, YPL061W
15	OG0000015	snap_masked-LANO0C-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-0.5&CDS=1-1860, snap_masked-LANO0C-processed-gene-9.179-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.179&CDS=1-1800, snap_masked-LANO0D-processed-gene-0.94-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-0.94&CDS=1-1842, snap_masked-LANO0G-processed-gene-16.173-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-16.173&CDS=1-1860	YHL040C, YHL047C
16	OG0000016	augustus_masked-LANO0C-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-LANO0C-processed-gene-2.92&CDS=1-2502, augustus_masked-LANO0G-processed-gene-16.259-mRNA-1_1&gene=augustus_masked-LANO0G-processed-gene-16.259&CDS=1-1845, snap_masked-LANO0C-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-0.18&CDS=1-2889	YAL051W, YOR363C, YPL248C
17	OG0000017	snap_masked-LANO0C-processed-gene-4.32-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-4.32&CDS=1-996, snap_masked-LANO0E-processed-gene-15.110-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-15.110&CDS=1-993, snap_masked-LANO0G-processed-gene-12.75-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-12.75&CDS=1-993	YGR192C, YJL052W, YJR009C
18	OG0000018	augustus_masked-LANO0D-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-9.124&CDS=1-918, augustus_masked-LANO0D-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-9.125&CDS=1-2094, augustus_masked-LANO0E-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-LANO0E-processed-gene-4.112&CDS=1-780, snap_masked-LANO0E-processed-gene-10.21-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-10.21&CDS=1-948, snap_masked-LANO0F-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-7.62&CDS=1-1305	YIL119C
19	OG0000019	maker-LANO0F-snap-gene-8.36-mRNA-1_1&gene=maker-LANO0F-snap-gene-8.36&CDS=1-933, snap_masked-LANO0F-processed-gene-1.10-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-1.10&CDS=1-1626, snap_masked-LANO0H-processed-gene-12.81-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-12.81&CDS=1-1956	YER133W, YML016C, YPL179W
20	OG0000020	snap_masked-LANO0G-processed-gene-5.39-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-5.39&CDS=1-1122, snap_masked-LANO0H-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-7.56&CDS=1-1413	YIL123W, YJL116C, YKR042W, YNL066W
21	OG0000021	augustus_masked-LANO0G-processed-gene-16.195-mRNA-1_1&gene=augustus_masked-LANO0G-processed-gene-16.195&CDS=1-4578	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
22	OG0000022	snap_masked-LANO0A-processed-gene-2.13-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-2.13&CDS=1-2451, snap_masked-LANO0G-processed-gene-3.91-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-3.91&CDS=1-2673	YCR037C, YJL198W, YNR013C
23	OG0000023	snap_masked-LANO0A-processed-gene-6.199-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.199&CDS=1-1536, snap_masked-LANO0C-processed-gene-9.182-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.182&CDS=1-1536, snap_masked-LANO0H-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-0.0&CDS=1-1347	YBR020W, YDR009W
24	OG0000024	maker-LANO0F-augustus-gene-5.0-mRNA-1_1&gene=maker-LANO0F-augustus-gene-5.0&CDS=1-4050, snap_masked-LANO0B-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-0.38&CDS=1-1827, snap_masked-LANO0G-processed-gene-16.135-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-16.135&CDS=1-1818	YBR284W, YJL070C
25	OG0000025	maker-LANO0B-augustus-gene-7.90-mRNA-1_1&gene=maker-LANO0B-augustus-gene-7.90&CDS=1-2274, snap_masked-LANO0D-processed-gene-10.133-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.133&CDS=1-1545	YER056C, YER060W, YER060W-A
26	OG0000026	snap_masked-LANO0C-processed-gene-8.97-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-8.97&CDS=1-1743, snap_masked-LANO0G-processed-gene-6.44-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-6.44&CDS=1-2436	YDR144C, YLR120C, YLR121C
27	OG0000027	snap_masked-LANO0D-processed-gene-3.77-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.77&CDS=1-1851, snap_masked-LANO0H-processed-gene-17.63-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-17.63&CDS=1-1962	YBL042C, YBR021W, YIR028W
28	OG0000028	augustus_masked-LANO0E-processed-gene-11.141-mRNA-1_1&gene=augustus_masked-LANO0E-processed-gene-11.141&CDS=1-1851, snap_masked-LANO0E-processed-gene-15.92-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-15.92&CDS=1-1692, snap_masked-LANO0H-processed-gene-12.84-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-12.84&CDS=1-1689	YDL080C, YLR044C
29	OG0000029	snap_masked-LANO0E-processed-gene-14.73-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-14.73&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
30	OG0000030	augustus_masked-LANO0H-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-2.109&CDS=1-1500, snap_masked-LANO0F-processed-gene-2.132-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-2.132&CDS=1-1263	YIR013C, YLR013W, YMR136W
31	OG0000031	snap_masked-LANO0F-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-4.81&CDS=1-4536	YBL017C, YIL173W, YJL222W, YNR065C
32	OG0000032	snap_masked-LANO0H-processed-gene-18.92-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-18.92&CDS=1-1848, snap_masked-LANO0H-processed-gene-8.61-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-8.61&CDS=1-1746	YGL257C, YIL014W, YNR059W
33	OG0000033	snap_masked-LANO0A-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.68&CDS=1-2121	YKL220C, YNR060W, YOR381W
34	OG0000034	snap_masked-LANO0A-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.90&CDS=1-1218, snap_masked-LANO0F-processed-gene-16.118-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-16.118&CDS=1-1143, snap_masked-LANO0G-processed-gene-16.132-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-16.132&CDS=1-1143	YGL255W
35	OG0000035	snap_masked-LANO0A-processed-gene-3.51-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-3.51&CDS=1-2550, snap_masked-LANO0H-processed-gene-6.26-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-6.26&CDS=1-2370	YBR059C, YIL095W
36	OG0000036	augustus_masked-LANO0E-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-LANO0E-processed-gene-11.122&CDS=1-2004, snap_masked-LANO0A-processed-gene-3.56-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-3.56&CDS=1-1275, snap_masked-LANO0B-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-0.37&CDS=1-1185	YNL159C
37	OG0000037	snap_masked-LANO0A-processed-gene-4.105-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-4.105&CDS=1-957, snap_masked-LANO0A-processed-gene-6.177-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.177&CDS=1-945	YDR492W, YOL002C
38	OG0000038	genemark-LANO0H-processed-gene-14.69-mRNA-1_1&gene=genemark-LANO0H-processed-gene-14.69&CDS=1-633, snap_masked-LANO0A-processed-gene-5.98-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-5.98&CDS=1-1002, snap_masked-LANO0F-processed-gene-12.107-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-12.107&CDS=1-1020	YDL144C
39	OG0000039	snap_masked-LANO0A-processed-gene-6.150-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.150&CDS=1-2202, snap_masked-LANO0G-processed-gene-1.29-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-1.29&CDS=1-1974	YLR188W, YPL270W
40	OG0000040	maker-LANO0C-snap-gene-9.117-mRNA-1_1&gene=maker-LANO0C-snap-gene-9.117&CDS=1-1983, maker-LANO0H-augustus-gene-0.80-mRNA-1_1&gene=maker-LANO0H-augustus-gene-0.80&CDS=1-1980, snap_masked-LANO0A-processed-gene-6.166-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.166&CDS=1-2064	YBR019C
41	OG0000041	augustus_masked-LANO0H-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-3.130&CDS=1-4425, snap_masked-LANO0B-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-1.65&CDS=1-2811	YBR038W, YNL192W
42	OG0000042	snap_masked-LANO0B-processed-gene-2.48-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-2.48&CDS=1-951, snap_masked-LANO0D-processed-gene-8.118-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-8.118&CDS=1-936	YGR086C, YPL004C
43	OG0000043	snap_masked-LANO0B-processed-gene-3.76-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-3.76&CDS=1-2352, snap_masked-LANO0E-processed-gene-8.64-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-8.64&CDS=1-2157	YER047C, YPL074W
44	OG0000044	augustus_masked-LANO0F-processed-gene-16.43-mRNA-1_1&gene=augustus_masked-LANO0F-processed-gene-16.43&CDS=1-1680, maker-LANO0B-snap-gene-4.133-mRNA-1_1&gene=maker-LANO0B-snap-gene-4.133&CDS=1-3540	YFL011W, YMR011W
45	OG0000045	maker-LANO0B-augustus-gene-5.85-mRNA-1_1&gene=maker-LANO0B-augustus-gene-5.85&CDS=1-9819	YDR406W, YOR153W, YOR328W
46	OG0000046	maker-LANO0G-snap-gene-1.1-mRNA-1_1&gene=maker-LANO0G-snap-gene-1.1&CDS=1-3639, snap_masked-LANO0B-processed-gene-7.190-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-7.190&CDS=1-1779, snap_masked-LANO0D-processed-gene-10.112-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.112&CDS=1-1773	YKR039W
47	OG0000047	genemark-LANO0B-processed-gene-7.128-mRNA-1_1&gene=genemark-LANO0B-processed-gene-7.128&CDS=1-1617, snap_masked-LANO0E-processed-gene-15.104-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-15.104&CDS=1-1656, snap_masked-LANO0G-processed-gene-11.24-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-11.24&CDS=1-1662	YJR152W
48	OG0000048	snap_masked-LANO0C-processed-gene-2.37-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-2.37&CDS=1-2229, snap_masked-LANO0E-processed-gene-15.84-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-15.84&CDS=1-2253	YAL023C, YGR199W
49	OG0000049	snap_masked-LANO0C-processed-gene-3.47-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-3.47&CDS=1-408, snap_masked-LANO0H-processed-gene-5.24-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-5.24&CDS=1-408	YBR010W, YNL031C
50	OG0000050	snap_masked-LANO0C-processed-gene-3.27-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-3.27&CDS=1-309, snap_masked-LANO0H-processed-gene-5.49-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-5.49&CDS=1-309	YBR009C, YNL030W
51	OG0000051	snap_masked-LANO0C-processed-gene-4.6-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-4.6&CDS=1-1869, snap_masked-LANO0G-processed-gene-3.96-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-3.96&CDS=1-1686	YBR015C, YJL186W
52	OG0000052	snap_masked-LANO0C-processed-gene-4.8-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-4.8&CDS=1-1488, snap_masked-LANO0C-processed-gene-9.134-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.134&CDS=1-1581	YBR139W, YMR297W
53	OG0000053	snap_masked-LANO0C-processed-gene-5.109-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-5.109&CDS=1-6489, snap_masked-LANO0C-processed-gene-9.129-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.129&CDS=1-5862	YER172C, YGR271W
54	OG0000054	genemark-LANO0D-processed-gene-7.41-mRNA-1_1&gene=genemark-LANO0D-processed-gene-7.41&CDS=1-4422, snap_masked-LANO0C-processed-gene-7.64-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-7.64&CDS=1-4479	YDR135C, YLL015W
55	OG0000055	genemark-LANO0F-processed-gene-0.55-mRNA-1_1&gene=genemark-LANO0F-processed-gene-0.55&CDS=1-1341, snap_masked-LANO0C-processed-gene-8.116-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-8.116&CDS=1-1263, snap_masked-LANO0E-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-0.85&CDS=1-1596	YNL234W
56	OG0000056	augustus_masked-LANO0C-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-LANO0C-processed-gene-8.19&CDS=1-3012, snap_masked-LANO0G-processed-gene-4.86-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-4.86&CDS=1-1311	YGR254W, YHR174W
57	OG0000057	maker-LANO0C-augustus-gene-9.112-mRNA-1_1&gene=maker-LANO0C-augustus-gene-9.112&CDS=1-3303, snap_masked-LANO0D-processed-gene-9.4-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-9.4&CDS=1-1644	YLR343W, YMR307W
58	OG0000058	snap_masked-LANO0C-processed-gene-9.175-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.175&CDS=1-5295, snap_masked-LANO0D-processed-gene-9.5-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-9.5&CDS=1-5706	YLR342W, YMR306W
59	OG0000059	augustus_masked-LANO0H-processed-gene-18.40-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-18.40&CDS=1-4332, snap_masked-LANO0D-processed-gene-0.105-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-0.105&CDS=1-1158	YGL246C, YOL036W
60	OG0000060	augustus_masked-LANO0H-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-2.96&CDS=1-4059, snap_masked-LANO0D-processed-gene-3.57-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.57&CDS=1-7455	YDR420W, YGR014W
61	OG0000061	snap_masked-LANO0D-processed-gene-6.101-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-6.101&CDS=1-3645, snap_masked-LANO0G-processed-gene-1.18-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-1.18&CDS=1-3498	YDR507C, YKL101W
62	OG0000062	snap_masked-LANO0D-processed-gene-6.124-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-6.124&CDS=1-2469, snap_masked-LANO0H-processed-gene-18.100-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-18.100&CDS=1-2211	YER017C, YMR089C
63	OG0000063	augustus_masked-LANO0D-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-6.29&CDS=1-648	YFL060C, YMR095C, YNL334C
64	OG0000064	snap_masked-LANO0D-processed-gene-7.91-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-7.91&CDS=1-2328, snap_masked-LANO0G-processed-gene-3.108-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-3.108&CDS=1-2361	YJL200C, YLR304C
65	OG0000065	snap_masked-LANO0D-processed-gene-9.38-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-9.38&CDS=1-1407, snap_masked-LANO0F-processed-gene-5.71-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-5.71&CDS=1-1467	YBR263W, YLR058C
66	OG0000066	snap_masked-LANO0D-processed-gene-10.93-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.93&CDS=1-1125, snap_masked-LANO0E-processed-gene-11.22-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-11.22&CDS=1-1149	YFL039C, YHR129C
67	OG0000067	snap_masked-LANO0D-processed-gene-10.123-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.123&CDS=1-1869, snap_masked-LANO0E-processed-gene-13.122-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-13.122&CDS=1-1860	YFL041W, YMR058W
68	OG0000068	snap_masked-LANO0D-processed-gene-10.106-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.106&CDS=1-906, snap_masked-LANO0E-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-0.81&CDS=1-897, snap_masked-LANO0H-processed-gene-22.214-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-22.214&CDS=1-909	YKL107W
69	OG0000069	maker-LANO0H-augustus-gene-7.105-mRNA-1_1&gene=maker-LANO0H-augustus-gene-7.105&CDS=1-7425, snap_masked-LANO0E-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-3.12&CDS=1-5664	YNL059C, YPL231W
