	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034918_Nakazawaea_holstii
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_22-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.5&CDS=1-1959, snap_masked-flattened_line_36-processed-gene-0.184-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.184&CDS=1-2112, snap_masked-flattened_line_80-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.24&CDS=1-2145
11	OG0000011	YLR237W, YOR071C, YOR192C	genemark-flattened_line_163-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.52&CDS=1-1683, snap_masked-flattened_line_103-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_103-processed-gene-0.30&CDS=1-1704, snap_masked-flattened_line_214-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_214-processed-gene-0.4&CDS=1-1692, snap_masked-flattened_line_294-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_294-processed-gene-0.13&CDS=1-1701, snap_masked-flattened_line_38-processed-gene-0.192-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.192&CDS=1-1704
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_113-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.63&CDS=1-1419, snap_masked-flattened_line_226-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_226-processed-gene-0.16&CDS=1-1473
13	OG0000013	YDL230W, YER075C, YOR208W	snap_masked-flattened_line_145-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.0&CDS=1-2679, snap_masked-flattened_line_18-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.72&CDS=1-921, snap_masked-flattened_line_28-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.131&CDS=1-2151, snap_masked-flattened_line_300-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.20&CDS=1-873
14	OG0000014	YDR242W, YML102W	genemark-flattened_line_58-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.109&CDS=1-1707, maker-flattened_line_22-augustus-gene-1.54-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.54&CDS=1-3933, snap_masked-flattened_line_107-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.59&CDS=1-1701, snap_masked-flattened_line_12-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.17&CDS=1-1638, snap_masked-flattened_line_165-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.50&CDS=1-1662
15	OG0000015	YKL222C, YLR266C, YOR162C, YOR172W	maker-flattened_line_185-augustus-gene-0.26-mRNA-1_1&gene=maker-flattened_line_185-augustus-gene-0.26&CDS=1-4500, snap_masked-flattened_line_185-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_185-processed-gene-0.39&CDS=1-2073, snap_masked-flattened_line_2-processed-gene-2.55-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.55&CDS=1-2667
16	OG0000016	YMR172W, YOL116W	augustus_masked-flattened_line_28-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.67&CDS=1-1281, maker-flattened_line_113-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_113-snap-gene-0.33&CDS=1-2367, snap_masked-flattened_line_113-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.43&CDS=1-1389, snap_masked-flattened_line_113-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.60&CDS=1-1008, snap_masked-flattened_line_66-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.128&CDS=1-1077
17	OG0000017	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
18	OG0000018	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	snap_masked-flattened_line_173-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.60&CDS=1-618
19	OG0000019	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	
20	OG0000020	YDR342C, YDR343C, YDR345C, YHR094C	snap_masked-flattened_line_103-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_103-processed-gene-0.54&CDS=1-1632, snap_masked-flattened_line_24-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.23&CDS=1-1647
21	OG0000021	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_8-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.172&CDS=1-1557, snap_masked-flattened_line_133-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.39&CDS=1-1965
22	OG0000022	YFL040W	augustus_masked-flattened_line_222-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_222-processed-gene-0.30&CDS=1-1122, maker-flattened_line_109-snap-gene-0.122-mRNA-1_1&gene=maker-flattened_line_109-snap-gene-0.122&CDS=1-3216, snap_masked-flattened_line_161-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_161-processed-gene-0.34&CDS=1-1869, snap_masked-flattened_line_24-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.35&CDS=1-1632, snap_masked-flattened_line_38-processed-gene-0.176-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.176&CDS=1-1872
23	OG0000023	YIL120W, YIL121W, YNL065W	genemark-flattened_line_159-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.2&CDS=1-1776, snap_masked-flattened_line_224-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_224-processed-gene-0.22&CDS=1-1701, snap_masked-flattened_line_83-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.72&CDS=1-1557
24	OG0000024	YJL019W, YPL157W	augustus_masked-flattened_line_28-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.0&CDS=1-417, snap_masked-flattened_line_218-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_218-processed-gene-0.18&CDS=1-2130, snap_masked-flattened_line_343-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_343-processed-gene-0.11&CDS=1-597, snap_masked-flattened_line_763-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_763-processed-gene-0.1&CDS=1-279
25	OG0000025	YLR256W	augustus_masked-flattened_line_127-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.53&CDS=1-5682, augustus_masked-flattened_line_135-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_135-processed-gene-0.58&CDS=1-3855, maker-flattened_line_66-augustus-gene-0.61-mRNA-1_1&gene=maker-flattened_line_66-augustus-gene-0.61&CDS=1-5721, snap_masked-flattened_line_127-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_127-processed-gene-0.25&CDS=1-2844, snap_masked-flattened_line_66-processed-gene-0.166-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.166&CDS=1-3777
26	OG0000026	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_14-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.82&CDS=1-4659
27	OG0000027	YBL042C, YBR021W, YIR028W	snap_masked-flattened_line_24-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.63&CDS=1-1671, snap_masked-flattened_line_46-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.196&CDS=1-1749
28	OG0000028	YBR015C	genemark-flattened_line_46-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.77&CDS=1-2010, maker-flattened_line_121-snap-gene-0.109-mRNA-1_1&gene=maker-flattened_line_121-snap-gene-0.109&CDS=1-2727, snap_masked-flattened_line_137-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.62&CDS=1-1662, snap_masked-flattened_line_2-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.53&CDS=1-1794
29	OG0000029	YBR139W	genemark-flattened_line_312-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_312-processed-gene-0.15&CDS=1-1617, snap_masked-flattened_line_32-processed-gene-0.164-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.164&CDS=1-1545, snap_masked-flattened_line_56-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.23&CDS=1-1500, snap_masked-flattened_line_56-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.30&CDS=1-1620
30	OG0000030	YBR172C, YPL105C	snap_masked-flattened_line_165-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.33&CDS=1-1632, snap_masked-flattened_line_193-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.34&CDS=1-4257, snap_masked-flattened_line_2-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.15&CDS=1-1641
31	OG0000031	YBR177C, YMR210W, YPL095C	snap_masked-flattened_line_12-processed-gene-1.197-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.197&CDS=1-1338, snap_masked-flattened_line_343-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_343-processed-gene-0.13&CDS=1-1317
32	OG0000032	YBR273C, YJL048C	augustus_masked-flattened_line_99-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.81&CDS=1-873, snap_masked-flattened_line_290-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_290-processed-gene-0.13&CDS=1-1491, snap_masked-flattened_line_4-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.41&CDS=1-219
33	OG0000033	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_216-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.36&CDS=1-2223
34	OG0000034	YBR298C, YDL247W, YJR160C	snap_masked-flattened_line_119-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_119-processed-gene-0.0&CDS=1-1770, snap_masked-flattened_line_16-processed-gene-1.172-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.172&CDS=1-1773
35	OG0000035	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_74-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.25&CDS=1-4833
36	OG0000036	YCR037C, YJL198W, YNR013C	snap_masked-flattened_line_0-processed-gene-1.28-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.28&CDS=1-2499, snap_masked-flattened_line_60-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.15&CDS=1-2652
37	OG0000037	YCR045C, YLL028W	maker-flattened_line_87-augustus-gene-0.41-mRNA-1_1&gene=maker-flattened_line_87-augustus-gene-0.41&CDS=1-3135, snap_masked-flattened_line_109-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.54&CDS=1-1764, snap_masked-flattened_line_8-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.15&CDS=1-1770
38	OG0000038	YCR093W	augustus_masked-flattened_line_404-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_404-processed-gene-0.2&CDS=1-1785, snap_masked-flattened_line_36-processed-gene-0.252-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.252&CDS=1-6435, snap_masked-flattened_line_361-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_361-processed-gene-0.4&CDS=1-1563, snap_masked-flattened_line_85-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.132&CDS=1-885
39	OG0000039	YDL078C, YKL085W	genemark-flattened_line_256-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_256-processed-gene-0.10&CDS=1-1032, snap_masked-flattened_line_62-processed-gene-0.173-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.173&CDS=1-1011, snap_masked-flattened_line_85-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.135&CDS=1-1032
40	OG0000040	YDL124W	genemark-flattened_line_24-processed-gene-0.190-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.190&CDS=1-831, snap_masked-flattened_line_28-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.114&CDS=1-927, snap_masked-flattened_line_76-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.104&CDS=1-969, snap_masked-flattened_line_89-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.52&CDS=1-900
