	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035677_Kodamaea_ohmeri
10	OG0000010	YNL132W, YPR194C	augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-1.123&CDS=1-5850, maker-NODE_27_length_168658_cov_18.5265_ID_53-snap-gene-0.149-mRNA-1_1&gene=maker-NODE_27_length_168658_cov_18.5265_ID_53-snap-gene-0.149&CDS=1-5484, snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-1.146&CDS=1-2604, snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-1.159&CDS=1-2763, snap_masked-NODE_25_length_181833_cov_18.5809_ID_49-processed-gene-0.205-mRNA-1_1&gene=snap_masked-NODE_25_length_181833_cov_18.5809_ID_49-processed-gene-0.205&CDS=1-2751, snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.105&CDS=1-2760
11	OG0000011	YDR207C, YHR178W	snap_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-1.62&CDS=1-486, snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_16_length_237626_cov_15.7118_ID_31-processed-gene-0.30&CDS=1-975, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-7.174-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-7.174&CDS=1-1377, snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.195-mRNA-1_1&gene=snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.195&CDS=1-1047, snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-0.31&CDS=1-1428
12	OG0000012	YGR281W	augustus_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-2.105&CDS=1-4017, snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-0.22&CDS=1-4368, snap_masked-NODE_37_length_78312_cov_21.3472_ID_73-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_37_length_78312_cov_21.3472_ID_73-processed-gene-0.79&CDS=1-4434, snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-1.107&CDS=1-4329, snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-6.76&CDS=1-4692, snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-1.96&CDS=1-4305
13	OG0000013	YJR061W, YKL201C	genemark-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-4.54-mRNA-1_1&gene=genemark-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-4.54&CDS=1-2874, snap_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-0.31&CDS=1-1770, snap_masked-NODE_30_length_152298_cov_13.6929_ID_59-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_30_length_152298_cov_13.6929_ID_59-processed-gene-0.145&CDS=1-2595, snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-2.18-mRNA-1_1&gene=snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-2.18&CDS=1-2364, snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-2.36&CDS=1-2394
14	OG0000014	YLR129W, YMR006C, YMR008C, YOL011W	maker-NODE_17_length_234519_cov_13.9347_ID_33-augustus-gene-0.110-mRNA-1_1&gene=maker-NODE_17_length_234519_cov_13.9347_ID_33-augustus-gene-0.110&CDS=1-4944, snap_masked-NODE_32_length_142605_cov_13.3373_ID_63-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_32_length_142605_cov_13.3373_ID_63-processed-gene-0.141&CDS=1-1881, snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-1.88&CDS=1-1860
15	OG0000015	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-1.115&CDS=1-489
16	OG0000016	YBR189W, YBR191W, YPL079W, YPL081W	augustus_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-0.7&CDS=1-480, maker-NODE_3_length_792866_cov_15.5115_ID_5-snap-gene-2.40-mRNA-1_1&gene=maker-NODE_3_length_792866_cov_15.5115_ID_5-snap-gene-2.40&CDS=1-1035
17	OG0000017	YBR207W, YER145C	augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_5_length_558232_cov_15.6684_ID_9-processed-gene-3.90&CDS=1-1659, snap_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.46&CDS=1-1092, snap_masked-NODE_26_length_177896_cov_14.2002_ID_51-processed-gene-0.178-mRNA-1_1&gene=snap_masked-NODE_26_length_177896_cov_14.2002_ID_51-processed-gene-0.178&CDS=1-1143, snap_masked-NODE_48_length_44495_cov_13.0864_ID_95-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_48_length_44495_cov_13.0864_ID_95-processed-gene-0.39&CDS=1-1194
18	OG0000018	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-2.40&CDS=1-1506, snap_masked-NODE_53_length_36507_cov_25.1526_ID_105-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_53_length_36507_cov_25.1526_ID_105-processed-gene-0.36&CDS=1-1800
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_12_length_293403_cov_12.573_ID_23-snap-gene-1.6-mRNA-1_1&gene=maker-NODE_12_length_293403_cov_12.573_ID_23-snap-gene-1.6&CDS=1-3660, snap_masked-NODE_50_length_38362_cov_12.7623_ID_99-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_50_length_38362_cov_12.7623_ID_99-processed-gene-0.2&CDS=1-1794
20	OG0000020	YDL025C, YNL183C, YOR267C	snap_masked-NODE_18_length_232390_cov_14.1389_ID_35-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_18_length_232390_cov_14.1389_ID_35-processed-gene-1.130&CDS=1-2568, snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-3.26&CDS=1-2502, snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-1.16&CDS=1-2217
21	OG0000021	YDR216W, YJR127C, YML081W	snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-3.21&CDS=1-498, snap_masked-NODE_24_length_182254_cov_14.4319_ID_47-processed-gene-0.206-mRNA-1_1&gene=snap_masked-NODE_24_length_182254_cov_14.4319_ID_47-processed-gene-0.206&CDS=1-3468, snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.233-mRNA-1_1&gene=snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.233&CDS=1-3660
22	OG0000022	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_94_length_556_cov_31.1782_ID_187-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_94_length_556_cov_31.1782_ID_187-processed-gene-0.0&CDS=1-474, snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-0.74&CDS=1-984
23	OG0000023	YJR004C	augustus_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-0.82&CDS=1-3420, augustus_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.70&CDS=1-6660, augustus_masked-NODE_31_length_147191_cov_18.7956_ID_61-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_31_length_147191_cov_18.7956_ID_61-processed-gene-0.23&CDS=1-1545, genemark-NODE_33_length_134222_cov_19.6178_ID_65-processed-gene-0.155-mRNA-1_1&gene=genemark-NODE_33_length_134222_cov_19.6178_ID_65-processed-gene-0.155&CDS=1-6225, snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.144&CDS=1-8064
24	OG0000024	YKL096W	augustus_masked-NODE_21_length_212803_cov_14.0192_ID_41-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_21_length_212803_cov_14.0192_ID_41-processed-gene-0.48&CDS=1-828, augustus_masked-NODE_52_length_36693_cov_13.6611_ID_103-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_52_length_36693_cov_13.6611_ID_103-processed-gene-0.40&CDS=1-876, augustus_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-3.3&CDS=1-423, snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.148-mRNA-1_1&gene=snap_masked-NODE_27_length_168658_cov_18.5265_ID_53-processed-gene-0.148&CDS=1-813, snap_masked-NODE_53_length_36507_cov_25.1526_ID_105-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_53_length_36507_cov_25.1526_ID_105-processed-gene-0.34&CDS=1-510
25	OG0000025	Q0105, Q0110, Q0115, Q0120	maker-NODE_58_length_28883_cov_2362.5_ID_115-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_58_length_28883_cov_2362.5_ID_115-snap-gene-0.7&CDS=1-447, maker-NODE_58_length_28883_cov_2362.5_ID_115-snap-gene-0.8-mRNA-1_1&gene=maker-NODE_58_length_28883_cov_2362.5_ID_115-snap-gene-0.8&CDS=1-342
26	OG0000026		augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.200&CDS=1-2166, augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.201&CDS=1-1884, augustus_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-0.94&CDS=1-1494, snap_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-0.7&CDS=1-2235, snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.133&CDS=1-2199, snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.145&CDS=1-2124
27	OG0000027	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_30_length_152298_cov_13.6929_ID_59-augustus-gene-0.180-mRNA-1_1&gene=maker-NODE_30_length_152298_cov_13.6929_ID_59-augustus-gene-0.180&CDS=1-5067
28	OG0000028	YBL068W-A, YBL069W, YER101C, YMR152W	snap_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-1.11&CDS=1-2364
29	OG0000029	YBL089W, YER119C, YIL088C	snap_masked-NODE_20_length_227058_cov_17.6942_ID_39-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_20_length_227058_cov_17.6942_ID_39-processed-gene-1.4&CDS=1-1269, snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-2.94&CDS=1-1413
30	OG0000030	YBR293W, YMR088C	augustus_masked-NODE_32_length_142605_cov_13.3373_ID_63-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_32_length_142605_cov_13.3373_ID_63-processed-gene-0.117&CDS=1-1833, snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.130&CDS=1-1725, snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-5.22-mRNA-1_1&gene=snap_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-5.22&CDS=1-1644
