	OrthologID	Candida_succiphila	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.2&CDS=1-1281, -processed-gene-2.141-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.141&CDS=1-1254, -snap-gene-16.131-mRNA-1_1&gene=maker-gi|1002316223|dbj|BCGL01000001.1|-snap-gene-16.131&CDS=1-2415, -snap-gene-21.96-mRNA-1_1&gene=maker-gi|1002316223|dbj|BCGL01000001.1|-snap-gene-21.96&CDS=1-8403, -snap-gene-4.96-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-4.96&CDS=1-4731	YLL057C
11	OG0000011	-processed-gene-10.93-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-10.93&CDS=1-1662, -processed-gene-12.231-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-12.231&CDS=1-1701, -processed-gene-2.8-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.8&CDS=1-957	YML116W, YMR279C, YOR378W
12	OG0000012	-processed-gene-11.40-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-11.40&CDS=1-1779, -processed-gene-7.63-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-7.63&CDS=1-1716, -processed-gene-8.120-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-8.120&CDS=1-4578	YLR044C, YLR134W, YOR005C
13	OG0000013	-processed-gene-11.64-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-11.64&CDS=1-774, -processed-gene-19.95-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-19.95&CDS=1-2337, -processed-gene-4.81-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.81&CDS=1-2136	YCL037C, YDL051W, YDR515W
14	OG0000014	-processed-gene-10.118-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-10.118&CDS=1-1620, -processed-gene-18.107-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.107&CDS=1-1668	YBR298C, YDL247W, YGR289C, YJR160C
15	OG0000015	-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-12.31&CDS=1-4608, -processed-gene-8.49-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-8.49&CDS=1-4542	YBL017C, YIL173W, YJL222W, YNR065C
16	OG0000016	-processed-gene-1.123-mRNA-1_1&gene=genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.123&CDS=1-2862, -processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-1.58&CDS=1-1587, -processed-gene-7.74-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-7.74&CDS=1-3858	YHR206W, YOR140W
17	OG0000017	-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.22&CDS=1-2799, -processed-gene-5.87-mRNA-1_1&gene=augustus_masked-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-5.87&CDS=1-2328	YML111W, YMR275C, YNR069C
18	OG0000018	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-1.55&CDS=1-3159, -processed-gene-10.92-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-10.92&CDS=1-2304, -processed-gene-10.95-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-10.95&CDS=1-2475	YLR144C, YNR067C
19	OG0000019	-processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-4.79&CDS=1-2742, -processed-gene-5.118-mRNA-1_1&gene=augustus_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-5.118&CDS=1-2586	YCR037C, YJL198W, YNR013C
20	OG0000020	-processed-gene-4.105-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-4.105&CDS=1-2187, -processed-gene-7.57-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-7.57&CDS=1-2328, -snap-gene-5.4-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-5.4&CDS=1-2502	YJR061W, YKL201C
21	OG0000021	-augustus-gene-1.72-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-1.72&CDS=1-9165, -processed-gene-3.123-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-3.123&CDS=1-2928, -processed-gene-5.38-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-5.38&CDS=1-3102, -processed-gene-5.61-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-5.61&CDS=1-4941	YLR256W
22	OG0000022	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-3.103&CDS=1-1971	YCL069W, YGR224W, YKR105C, YPR198W
23	OG0000023	-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-0.20&CDS=1-1116, -processed-gene-0.25-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.25&CDS=1-1104, -processed-gene-15.22-mRNA-1_1&gene=augustus_masked-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-15.22&CDS=1-1104, -processed-gene-22.182-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-22.182&CDS=1-1104	YNR074C
24	OG0000024	-processed-gene-11.29-mRNA-1_1&gene=snap_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-11.29&CDS=1-3510, -processed-gene-9.87-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-9.87&CDS=1-4329	YML072C, YNL087W, YOR086C
25	OG0000025	-augustus-gene-17.49-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-17.49&CDS=1-2829, -processed-gene-10.180-mRNA-1_1&gene=snap_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-10.180&CDS=1-1638, -snap-gene-0.72-mRNA-1_1&gene=maker-gi|1002316220|dbj|BCGL01000004.1|-snap-gene-0.72&CDS=1-3126	YBL054W, YER088C
26	OG0000026	-processed-gene-0.60-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-0.60&CDS=1-1770, -processed-gene-15.66-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-15.66&CDS=1-3360	YDR253C, YGR067C, YPL038W
27	OG0000027	-processed-gene-2.57-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-2.57&CDS=1-1044	YDL244W, YFL058W, YJR156C, YNL332W
28	OG0000028	-augustus-gene-12.94-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-12.94&CDS=1-1944, -processed-gene-10.114-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-10.114&CDS=1-2913	YDR251W, YLR054C, YPL032C
29	OG0000029	-processed-gene-15.71-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.71&CDS=1-1998	YBR297W, YFL052W, YGR288W, YPR196W
30	OG0000030	-processed-gene-13.85-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-13.85&CDS=1-1926, -processed-gene-19.69-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-19.69&CDS=1-1188	YIR013C, YLR013W, YPL021W
31	OG0000031	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002316212|dbj|BCGL01000012.1|-processed-gene-0.34&CDS=1-738, -processed-gene-7.15-mRNA-1_1&gene=augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-7.15&CDS=1-738, -processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-8.85&CDS=1-738	YAL049C
32	OG0000032	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.124&CDS=1-3054, -processed-gene-5.32-mRNA-1_1&gene=snap_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-5.32&CDS=1-2964	YGR240C, YMR205C
33	OG0000033	-processed-gene-1.197-mRNA-1_1&gene=snap_masked-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.197&CDS=1-1248, -processed-gene-4.36-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-4.36&CDS=1-1278, -processed-gene-4.37-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-4.37&CDS=1-1260	YGR111W
34	OG0000034	-processed-gene-1.99-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-1.99&CDS=1-1860, -processed-gene-2.43-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-2.43&CDS=1-1485	YHR050W, YLR034C
35	OG0000035	-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.50&CDS=1-3264, -processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-8.10&CDS=1-3366	YBR245C, YOR304W
36	OG0000036	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-2.49&CDS=1-2304, -processed-gene-3.141-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.141&CDS=1-2436	YAR035W, YER024W
37	OG0000037	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-0.27&CDS=1-1719, -processed-gene-3.143-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.143&CDS=1-1611, -processed-gene-5.71-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-5.71&CDS=1-1689	YDR242W
38	OG0000038	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-8.39&CDS=1-1947, -snap-gene-0.35-mRNA-1_1&gene=maker-gi|1002316215|dbj|BCGL01000009.1|-snap-gene-0.35&CDS=1-1479	YBR239C, YJL103C
39	OG0000039	-processed-gene-2.112-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.112&CDS=1-906, -processed-gene-6.6-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-6.6&CDS=1-942	YBR151W, YML050W
40	OG0000040	-processed-gene-2.113-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.113&CDS=1-1641, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-9.47&CDS=1-1644	YBR139W, YMR297W
41	OG0000041	-processed-gene-2.144-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.144&CDS=1-309, -processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-2.64&CDS=1-309	YBR009C, YNL030W
42	OG0000042	-processed-gene-2.129-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.129&CDS=1-2010, -processed-gene-7.60-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-7.60&CDS=1-2046	YAL054C, YLR153C
43	OG0000043	-processed-gene-3.131-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-3.131&CDS=1-1800	YIL120W, YIL121W, YNL065W
44	OG0000044	-processed-gene-3.47-mRNA-1_1&gene=snap_masked-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-3.47&CDS=1-4023, -processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.72&CDS=1-5223	YIL126W, YOR290C
45	OG0000045	-processed-gene-11.104-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-11.104&CDS=1-573, -processed-gene-3.136-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-3.136&CDS=1-573	YGL147C, YNL067W
46	OG0000046	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-0.15&CDS=1-1377, -processed-gene-8.128-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.128&CDS=1-1377	YBR118W, YPR080W
47	OG0000047	-processed-gene-0.3-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.3&CDS=1-1587, -processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-3.64&CDS=1-1722, -processed-gene-5.22-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-5.22&CDS=1-2388	YBR180W
48	OG0000048	-processed-gene-19.91-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-19.91&CDS=1-1620, -processed-gene-3.48-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-3.48&CDS=1-1677, -processed-gene-5.83-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-5.83&CDS=1-1794	YMR145C
49	OG0000049	-processed-gene-11.94-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-11.94&CDS=1-1587, -processed-gene-3.49-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-3.49&CDS=1-1647	YFL011W, YMR011W
50	OG0000050	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.27&CDS=1-1767, -processed-gene-17.24-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.24&CDS=1-1749	YJL172W, YOL153C
51	OG0000051	-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-1.40&CDS=1-4155, -snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-2.1&CDS=1-4101	YCL024W, YDR507C
52	OG0000052	-processed-gene-11.73-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-11.73&CDS=1-585, -processed-gene-3.23-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.23&CDS=1-543	YER067W, YIL057C
53	OG0000053	-augustus-gene-14.2-mRNA-1_1&gene=maker-gi|1002316221|dbj|BCGL01000003.1|-augustus-gene-14.2&CDS=1-7722, -processed-gene-3.95-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.95&CDS=1-8232	YLR454W, YPR117W
54	OG0000054	-processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.74&CDS=1-2706, -processed-gene-8.87-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-8.87&CDS=1-2868	YMR266W, YOL084W
55	OG0000055	-processed-gene-1.64-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-1.64&CDS=1-1206, -processed-gene-7.68-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.68&CDS=1-1587	YGR059W, YHR107C
56	OG0000056	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-6.83&CDS=1-396, -processed-gene-8.171-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-8.171&CDS=1-396	YBL003C, YDR225W
57	OG0000057	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-0.27&CDS=1-1722, -processed-gene-18.75-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.75&CDS=1-1755, -processed-gene-4.107-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-4.107&CDS=1-1794	YBR132C
58	OG0000058	-processed-gene-0.31-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-0.31&CDS=1-759, -processed-gene-10.10-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-10.10&CDS=1-2673	YNL148C, YPL174C
59	OG0000059	-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-0.25&CDS=1-2154, -processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-1.88&CDS=1-1434	YBL052C, YOR244W
60	OG0000060	-processed-gene-1.45-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-1.45&CDS=1-2289	YAL051W, YLL054C, YOR363C
61	OG0000061	-processed-gene-12.76-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-12.76&CDS=1-4308, -processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-2.76&CDS=1-1593	YFR021W, YGR068C
62	OG0000062	-processed-gene-3.97-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-3.97&CDS=1-3072, -processed-gene-5.49-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-5.49&CDS=1-3006	YDR395W, YJR132W
63	OG0000063	-processed-gene-10.112-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-10.112&CDS=1-1578, -processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-3.99&CDS=1-1764, -processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-6.74&CDS=1-1617	YOL119C
64	OG0000064	-processed-gene-5.69-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-5.69&CDS=1-1563, -snap-gene-6.155-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-6.155&CDS=1-2025	YDR146C, YLR131C
65	OG0000065	-processed-gene-5.76-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-5.76&CDS=1-4782, -snap-gene-18.112-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-18.112&CDS=1-4308	YHR023W, YOR326W
66	OG0000066	-processed-gene-5.68-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-5.68&CDS=1-1992, -processed-gene-8.143-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.143&CDS=1-1764	YDL091C, YML013W
67	OG0000067	-processed-gene-6.64-mRNA-1_1&gene=snap_masked-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-6.64&CDS=1-2523, -processed-gene-8.147-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-8.147&CDS=1-2262	YER017C, YMR089C
