	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041840_Candida_wancherniae
10	OG0000010	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-5.97&CDS=1-471
11	OG0000011	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-2.1&CDS=1-3186, genemark-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.41-mRNA-1_1&gene=genemark-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.41&CDS=1-2667, snap_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-5.126-mRNA-1_1&gene=snap_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-5.126&CDS=1-3084
12	OG0000012	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-6.92&CDS=1-1260, genemark-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-1.53&CDS=1-1518
13	OG0000013	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.42&CDS=1-2496, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-7.129&CDS=1-2082, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-4.70&CDS=1-1650
14	OG0000014	YDL229W, YLL024C, YNL209W	augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.172-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.172&CDS=1-1953, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.35&CDS=1-1839, augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-2.137&CDS=1-1938
15	OG0000015	YDL230W, YER075C, YOR208W	augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.37&CDS=1-924, genemark-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-9.105-mRNA-1_1&gene=genemark-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-9.105&CDS=1-1896, genemark-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-3.63&CDS=1-3393
16	OG0000016	YDR338C, YHR032W	augustus_masked-NODE_19_length_105875_cov_41.28_ID_2904-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_19_length_105875_cov_41.28_ID_2904-processed-gene-0.19&CDS=1-1692, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-4.15&CDS=1-1437, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-5.40&CDS=1-1821, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-6.52&CDS=1-1728
17	OG0000017	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-2.96&CDS=1-1833, genemark-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-5.61-mRNA-1_1&gene=genemark-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-5.61&CDS=1-1902
18	OG0000018	YER156C	augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-0.104&CDS=1-1539, augustus_masked-NODE_162_length_405_cov_0.758503_ID_2347-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_162_length_405_cov_0.758503_ID_2347-processed-gene-0.2&CDS=1-402, augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-9.108&CDS=1-1584, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.42&CDS=1-1584, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-1.0&CDS=1-3972
19	OG0000019	YGR260W, YIL166C	augustus_masked-NODE_17_length_173294_cov_67.7439_ID_1487-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_17_length_173294_cov_67.7439_ID_1487-processed-gene-0.187&CDS=1-1650, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-12.12&CDS=1-1503, augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-8.30&CDS=1-1548, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.63&CDS=1-1650
20	OG0000020	YIL107C, YJL155C, YOL136C	augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-6.57&CDS=1-2889, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-3.149&CDS=1-909, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.7&CDS=1-1362
21	OG0000021	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.110&CDS=1-2562, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-0.33&CDS=1-2700, augustus_masked-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.61&CDS=1-1800
22	OG0000022	YLL057C	augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.94&CDS=1-1137, augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.95&CDS=1-1131, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.41&CDS=1-1140, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-0.52&CDS=1-1161, maker-NODE_12_length_339908_cov_62.0418_ID_1277-snap-gene-0.126-mRNA-1_1&gene=maker-NODE_12_length_339908_cov_62.0418_ID_1277-snap-gene-0.126&CDS=1-2982
23	OG0000023	YLR256W	augustus_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.16&CDS=1-3858, augustus_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.17&CDS=1-3099, augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.58&CDS=1-2499, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-6.19&CDS=1-3255, snap_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-1.113&CDS=1-3069
24	OG0000024	YMR006C, YMR008C, YOL011W	augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-3.24&CDS=1-1968, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-3.26&CDS=1-3708, genemark-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-2.105-mRNA-1_1&gene=genemark-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-2.105&CDS=1-2094
25	OG0000025	YMR092C	augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.118&CDS=1-2007, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-5.50&CDS=1-1521, maker-NODE_15_length_216817_cov_40.2879_ID_1764-snap-gene-1.182-mRNA-1_1&gene=maker-NODE_15_length_216817_cov_40.2879_ID_1764-snap-gene-1.182&CDS=1-12465, maker-NODE_3_length_991520_cov_48.5334_ID_1053-snap-gene-8.269-mRNA-1_1&gene=maker-NODE_3_length_991520_cov_48.5334_ID_1053-snap-gene-8.269&CDS=1-1074, snap_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-2.220-mRNA-1_1&gene=snap_masked-NODE_11_length_350663_cov_63.1148_ID_1849-processed-gene-2.220&CDS=1-5760
26	OG0000026	YAL051W, YCR106W, YLL054C, YOR363C	augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-1.7&CDS=1-3036
27	OG0000027	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_18_length_142348_cov_45.3673_ID_1608-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_18_length_142348_cov_45.3673_ID_1608-processed-gene-0.43&CDS=1-2304, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-4.15&CDS=1-2235
28	OG0000028	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-7.158-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-7.158&CDS=1-4476
29	OG0000029	YBR008C	augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.2&CDS=1-1620, augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-6.124&CDS=1-1647, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-1.116&CDS=1-1653, genemark-NODE_18_length_142348_cov_45.3673_ID_1608-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_18_length_142348_cov_45.3673_ID_1608-processed-gene-0.118&CDS=1-1653
30	OG0000030	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.79&CDS=1-2400, augustus_masked-NODE_25_length_1343_cov_99.1721_ID_2977-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_25_length_1343_cov_99.1721_ID_2977-processed-gene-0.0&CDS=1-1341
31	OG0000031	YBR177C, YMR210W, YPL095C	augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.158&CDS=1-1362, augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-1.53&CDS=1-1272
32	OG0000032	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.56&CDS=1-1689
33	OG0000033	YCR010C, YER072W, YNR002C	augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-0.115&CDS=1-777, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-4.77&CDS=1-1086
34	OG0000034	YCR037C, YJL198W, YNR013C	augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-5.0&CDS=1-2805, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-0.15&CDS=1-2505
35	OG0000035	YCR065W, YIL131C, YNL068C	augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.69&CDS=1-1554, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-0.104&CDS=1-2001
36	OG0000036	YDL109C, YDR444W, YGL144C	augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-0.43&CDS=1-2205, genemark-NODE_9_length_409039_cov_43.8455_ID_1818-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_9_length_409039_cov_43.8455_ID_1818-processed-gene-1.51&CDS=1-2106
37	OG0000037	YDL159W, YOR231W, YPL140C	augustus_masked-NODE_14_length_294837_cov_43.2695_ID_1346-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_14_length_294837_cov_43.2695_ID_1346-processed-gene-0.85&CDS=1-1125, augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-1.101&CDS=1-1326
38	OG0000038	YDR011W, YOR153W	augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-9.118&CDS=1-4545, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.127&CDS=1-4431, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.175-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.175&CDS=1-4524
39	OG0000039	YDR043C, YER028C	augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_16_length_188242_cov_42.4077_ID_1527-processed-gene-0.9&CDS=1-1455, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-6.109&CDS=1-1593, snap_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-0.48&CDS=1-447
