	OrthologID	Saccharomyces_cerevisiae	yHAB154_Kazachstania_transvaalensis
10	OG0000010	YER133W, YML016C, YPL179W	augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.131&CDS=1-1632, augustus_masked-NODE_28_length_133230_cov_21.3126_ID_55-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-NODE_28_length_133230_cov_21.3126_ID_55-processed-gene-0.173&CDS=1-2022, maker-NODE_51_length_80863_cov_22.6445_ID_101-augustus-gene-0.26-mRNA-1_1&gene=maker-NODE_51_length_80863_cov_22.6445_ID_101-augustus-gene-0.26&CDS=1-936, snap_masked-NODE_12_length_212699_cov_20.9426_ID_23-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_12_length_212699_cov_20.9426_ID_23-processed-gene-1.81&CDS=1-2109
11	OG0000011	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NODE_13_length_211033_cov_21.2569_ID_25-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_13_length_211033_cov_21.2569_ID_25-processed-gene-0.97&CDS=1-1050, augustus_masked-NODE_29_length_132202_cov_21.1597_ID_57-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_29_length_132202_cov_21.1597_ID_57-processed-gene-0.31&CDS=1-1089, augustus_masked-NODE_5_length_291280_cov_21.3733_ID_9-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_291280_cov_21.3733_ID_9-processed-gene-1.17&CDS=1-1443
12	OG0000012	YMR318C	augustus_masked-NODE_122_length_13637_cov_49.7813_ID_243-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_122_length_13637_cov_49.7813_ID_243-processed-gene-0.0&CDS=1-1077, augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.146&CDS=1-864, augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.30&CDS=1-1077, augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.74&CDS=1-1083, augustus_masked-NODE_51_length_80863_cov_22.6445_ID_101-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_51_length_80863_cov_22.6445_ID_101-processed-gene-0.14&CDS=1-1074, maker-NODE_3_length_418519_cov_21.3746_ID_5-augustus-gene-3.47-mRNA-1_1&gene=maker-NODE_3_length_418519_cov_21.3746_ID_5-augustus-gene-3.47&CDS=1-1485
13	OG0000013	YAL023C, YAL026C, YGR199W	augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.50&CDS=1-2268, genemark-NODE_32_length_116676_cov_22.1839_ID_63-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_32_length_116676_cov_22.1839_ID_63-processed-gene-0.114&CDS=1-2292, maker-NODE_22_length_154223_cov_21.7045_ID_43-augustus-gene-0.53-mRNA-1_1&gene=maker-NODE_22_length_154223_cov_21.7045_ID_43-augustus-gene-0.53&CDS=1-14166
14	OG0000014	YBR015C, YJL186W	augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.68&CDS=1-1788, augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_42_length_92250_cov_22.1094_ID_83-processed-gene-0.69&CDS=1-1752, augustus_masked-NODE_58_length_70197_cov_22.2879_ID_115-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_58_length_70197_cov_22.2879_ID_115-processed-gene-0.67&CDS=1-1863, snap_masked-NODE_1_length_598420_cov_21.3006_ID_1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_1_length_598420_cov_21.3006_ID_1-processed-gene-4.134&CDS=1-1809
15	OG0000015	YDL080C, YLR044C	augustus_masked-NODE_18_length_161649_cov_21.673_ID_35-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_18_length_161649_cov_21.673_ID_35-processed-gene-0.41&CDS=1-1845, augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_26_length_139539_cov_21.8854_ID_51-processed-gene-0.55&CDS=1-1689, augustus_masked-NODE_7_length_273688_cov_21.2628_ID_13-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_273688_cov_21.2628_ID_13-processed-gene-0.19&CDS=1-1692, genemark-NODE_24_length_153842_cov_21.3808_ID_47-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_24_length_153842_cov_21.3808_ID_47-processed-gene-0.115&CDS=1-1689
16	OG0000016	YDR150W	augustus_masked-NODE_27_length_136221_cov_21.3317_ID_53-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_27_length_136221_cov_21.3317_ID_53-processed-gene-0.109&CDS=1-1752, augustus_masked-NODE_786_length_261_cov_241.522_ID_1571-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_786_length_261_cov_241.522_ID_1571-processed-gene-0.0&CDS=1-261, augustus_masked-NODE_787_length_260_cov_328.897_ID_1573-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_787_length_260_cov_328.897_ID_1573-processed-gene-0.2&CDS=1-255, augustus_masked-NODE_837_length_234_cov_81.2893_ID_1673-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_837_length_234_cov_81.2893_ID_1673-processed-gene-0.0&CDS=1-234, augustus_masked-NODE_858_length_225_cov_96.9267_ID_1715-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_858_length_225_cov_96.9267_ID_1715-processed-gene-0.1&CDS=1-225
17	OG0000017	YER011W, YOR009W, YOR010C	augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.147&CDS=1-1335, augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.149&CDS=1-675, augustus_masked-NODE_81_length_42552_cov_24.5206_ID_161-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_81_length_42552_cov_24.5206_ID_161-processed-gene-0.2&CDS=1-705
18	OG0000018	YER013W, YGL120C, YKR086W	augustus_masked-NODE_37_length_112586_cov_20.9372_ID_73-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_37_length_112586_cov_20.9372_ID_73-processed-gene-0.107&CDS=1-2805, augustus_masked-NODE_81_length_42552_cov_24.5206_ID_161-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_81_length_42552_cov_24.5206_ID_161-processed-gene-0.5&CDS=1-4887, genemark-NODE_91_length_30628_cov_24.9064_ID_181-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_91_length_30628_cov_24.9064_ID_181-processed-gene-0.0&CDS=1-2259
19	OG0000019	YER103W, YJL034W, YLL024C	augustus_masked-NODE_17_length_171146_cov_21.89_ID_33-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_17_length_171146_cov_21.89_ID_33-processed-gene-0.160&CDS=1-1920, genemark-NODE_12_length_212699_cov_20.9426_ID_23-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_12_length_212699_cov_20.9426_ID_23-processed-gene-1.114&CDS=1-1941, maker-NODE_16_length_180433_cov_20.8659_ID_31-augustus-gene-0.156-mRNA-1_1&gene=maker-NODE_16_length_180433_cov_20.8659_ID_31-augustus-gene-0.156&CDS=1-4311
20	OG0000020	YGL084C, YJR127C, YML081W, YPL189W	augustus_masked-NODE_31_length_116780_cov_21.1543_ID_61-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_31_length_116780_cov_21.1543_ID_61-processed-gene-0.74&CDS=1-4680, genemark-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_21_length_155115_cov_22.4943_ID_41-processed-gene-0.9&CDS=1-9561
21	OG0000021	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_25_length_140488_cov_21.2057_ID_49-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_25_length_140488_cov_21.2057_ID_49-processed-gene-0.45&CDS=1-750, snap_masked-NODE_33_length_116086_cov_21.5873_ID_65-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_33_length_116086_cov_21.5873_ID_65-processed-gene-0.75&CDS=1-303
22	OG0000022	YHR092C, YNL318C	augustus_masked-NODE_31_length_116780_cov_21.1543_ID_61-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_31_length_116780_cov_21.1543_ID_61-processed-gene-0.67&CDS=1-1740, genemark-NODE_65_length_63952_cov_20.8103_ID_129-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_65_length_63952_cov_20.8103_ID_129-processed-gene-0.42&CDS=1-1674, maker-NODE_21_length_155115_cov_22.4943_ID_41-snap-gene-0.108-mRNA-1_1&gene=maker-NODE_21_length_155115_cov_22.4943_ID_41-snap-gene-0.108&CDS=1-3345, snap_masked-NODE_72_length_54961_cov_21.9115_ID_143-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_72_length_54961_cov_21.9115_ID_143-processed-gene-0.37&CDS=1-2127
23	OG0000023	YHR179W, YPL171C	augustus_masked-NODE_2_length_436411_cov_20.7563_ID_3-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_436411_cov_20.7563_ID_3-processed-gene-2.94&CDS=1-1194, augustus_masked-NODE_35_length_114343_cov_21.4675_ID_69-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_35_length_114343_cov_21.4675_ID_69-processed-gene-0.15&CDS=1-1200, maker-NODE_6_length_279243_cov_20.9027_ID_11-snap-gene-1.217-mRNA-1_1&gene=maker-NODE_6_length_279243_cov_20.9027_ID_11-snap-gene-1.217&CDS=1-1461, maker-NODE_6_length_279243_cov_20.9027_ID_11-snap-gene-1.218-mRNA-1_1&gene=maker-NODE_6_length_279243_cov_20.9027_ID_11-snap-gene-1.218&CDS=1-1341
24	OG0000024	YKL081W, YPL048W	augustus_masked-NODE_46_length_88373_cov_21.6343_ID_91-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_46_length_88373_cov_21.6343_ID_91-processed-gene-0.36&CDS=1-1248, augustus_masked-NODE_4_length_390199_cov_21.2824_ID_7-processed-gene-2.214-mRNA-1_1&gene=augustus_masked-NODE_4_length_390199_cov_21.2824_ID_7-processed-gene-2.214&CDS=1-1239, augustus_masked-NODE_83_length_40782_cov_20.7378_ID_165-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_83_length_40782_cov_20.7378_ID_165-processed-gene-0.54&CDS=1-1239, genemark-NODE_113_length_18656_cov_18.2094_ID_225-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_113_length_18656_cov_18.2094_ID_225-processed-gene-0.15&CDS=1-1221
