	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034669_Blastobotrys_raffinofermentans
10	OG0000010	YOR390W, YPL279C	augustus_masked-flattened_line_23-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.74&CDS=1-1005, augustus_masked-flattened_line_23-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.76&CDS=1-999, augustus_masked-flattened_line_23-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.100&CDS=1-999, augustus_masked-flattened_line_23-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.102&CDS=1-1005
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
12	OG0000012	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_21-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.78&CDS=1-4365
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_36-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.117&CDS=1-1458
14	OG0000014	YCR107W, YDL243C, YJR155W, YNL331C	augustus_masked-flattened_line_6-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.149&CDS=1-1152
15	OG0000015	YDR089W, YFL004W, YPL019C	augustus_masked-flattened_line_2-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.30&CDS=1-2412, augustus_masked-flattened_line_42-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.61&CDS=1-2256
16	OG0000016	YDR107C, YER113C, YLR083C	augustus_masked-flattened_line_32-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.102&CDS=1-1881, genemark-flattened_line_2-processed-gene-7.44-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.44&CDS=1-1875
17	OG0000017	YDR183W	augustus_masked-flattened_line_16-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.80&CDS=1-1638, augustus_masked-flattened_line_23-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.99&CDS=1-1638, augustus_masked-flattened_line_23-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.95&CDS=1-1638, maker-flattened_line_16-augustus-gene-3.211-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-3.211&CDS=1-2262
18	OG0000018	YDR242W	augustus_masked-flattened_line_12-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.85&CDS=1-1653, augustus_masked-flattened_line_2-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.42&CDS=1-1608, augustus_masked-flattened_line_8-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.147&CDS=1-1641, snap_masked-flattened_line_6-processed-gene-5.14-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.14&CDS=1-1662
19	OG0000019	YEL007W, YHR177W	augustus_masked-flattened_line_40-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.85&CDS=1-1128, snap_masked-flattened_line_10-processed-gene-2.9-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.9&CDS=1-2193, snap_masked-flattened_line_2-processed-gene-8.33-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.33&CDS=1-1008
20	OG0000020	YER015W	augustus_masked-flattened_line_0-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.61&CDS=1-2223, augustus_masked-flattened_line_16-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.161&CDS=1-2214, augustus_masked-flattened_line_24-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.22&CDS=1-3231, augustus_masked-flattened_line_8-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.85&CDS=1-4278
21	OG0000021	YGR070W, YLR371W, YLR425W	augustus_masked-flattened_line_0-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.72&CDS=1-4269, augustus_masked-flattened_line_24-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.99&CDS=1-4413
22	OG0000022	YIL124W	augustus_masked-flattened_line_0-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.12&CDS=1-831, augustus_masked-flattened_line_0-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.13&CDS=1-840, augustus_masked-flattened_line_12-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.122&CDS=1-834, augustus_masked-flattened_line_19-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.115&CDS=1-855
23	OG0000023	YJR119C, YMR176W	augustus_masked-flattened_line_23-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.58&CDS=1-4293, augustus_masked-flattened_line_23-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.156&CDS=1-4293, augustus_masked-flattened_line_6-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.43&CDS=1-2436
24	OG0000024	YKL128C	augustus_masked-flattened_line_18-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.20&CDS=1-885, augustus_masked-flattened_line_18-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.33&CDS=1-885, augustus_masked-flattened_line_21-processed-gene-2.241-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.241&CDS=1-915, augustus_masked-flattened_line_21-processed-gene-2.256-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.256&CDS=1-795
25	OG0000025	YKL217W	augustus_masked-flattened_line_14-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.101&CDS=1-1575, augustus_masked-flattened_line_30-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.119&CDS=1-1536, augustus_masked-flattened_line_4-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.72&CDS=1-1527, augustus_masked-flattened_line_6-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.141&CDS=1-1536
26	OG0000026	Q0105, Q0110, Q0115, Q0120	genemark-flattened_line_54-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.22&CDS=1-84
27	OG0000027	YAL015C, YOL043C	augustus_masked-flattened_line_18-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.18&CDS=1-930, augustus_masked-flattened_line_18-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.35&CDS=1-930
28	OG0000028	YAL017W, YOL045W	augustus_masked-flattened_line_18-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.23&CDS=1-2934, augustus_masked-flattened_line_18-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.150&CDS=1-2934
29	OG0000029	YAL040C	augustus_masked-flattened_line_0-processed-gene-19.117-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.117&CDS=1-1050, augustus_masked-flattened_line_16-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.148&CDS=1-969, augustus_masked-flattened_line_24-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.74&CDS=1-954
30	OG0000030	YBL068W-A, YBL069W, YER101C	augustus_masked-flattened_line_36-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.165&CDS=1-1089
31	OG0000031	YBR048W, YDR025W	augustus_masked-flattened_line_18-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.49&CDS=1-468, augustus_masked-flattened_line_18-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.73&CDS=1-468
32	OG0000032	YBR054W, YDR033W	augustus_masked-flattened_line_18-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.36&CDS=1-942, augustus_masked-flattened_line_18-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.5&CDS=1-942
33	OG0000033	YBR078W, YDR055W, YDR522C	augustus_masked-flattened_line_6-processed-gene-7.162-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.162&CDS=1-1200
34	OG0000034	YBR214W, YGL056C	augustus_masked-flattened_line_23-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.96&CDS=1-1314, augustus_masked-flattened_line_23-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.124&CDS=1-1314
35	OG0000035	YBR240C	augustus_masked-flattened_line_14-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.81&CDS=1-1725, augustus_masked-flattened_line_8-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.130&CDS=1-1662, genemark-flattened_line_0-processed-gene-8.130-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.130&CDS=1-1872
36	OG0000036	YCL064C, YIL167W	augustus_masked-flattened_line_28-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.88&CDS=1-1011, augustus_masked-flattened_line_28-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.148&CDS=1-966
37	OG0000037	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_0-processed-gene-15.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.59&CDS=1-1116
38	OG0000038	YDL049C, YJL174W	augustus_masked-flattened_line_2-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.6&CDS=1-783, snap_masked-flattened_line_12-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.104&CDS=1-786
39	OG0000039	YDL210W	augustus_masked-flattened_line_0-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.57&CDS=1-1587, augustus_masked-flattened_line_21-processed-gene-2.270-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.270&CDS=1-1581, maker-flattened_line_10-augustus-gene-4.190-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-4.190&CDS=1-1725
40	OG0000040	YDL230W, YOR208W	augustus_masked-flattened_line_0-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.95&CDS=1-2091, augustus_masked-flattened_line_0-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.79&CDS=1-813
41	OG0000041	YDR002W, YLR335W	augustus_masked-flattened_line_0-processed-gene-21.120-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-21.120&CDS=1-1947, augustus_masked-flattened_line_36-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.136&CDS=1-678
42	OG0000042	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_24-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.90&CDS=1-3189
43	OG0000043	YDR072C	genemark-flattened_line_10-processed-gene-3.75-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.75&CDS=1-960, maker-flattened_line_18-snap-gene-1.150-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.150&CDS=1-1095, maker-flattened_line_18-snap-gene-3.236-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-3.236&CDS=1-1095
44	OG0000044	YDR253C, YPL038W	augustus_masked-flattened_line_38-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.231&CDS=1-3291, snap_masked-flattened_line_28-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.148&CDS=1-2415
45	OG0000045	YDR277C, YOR047C	augustus_masked-flattened_line_23-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.87&CDS=1-906, augustus_masked-flattened_line_23-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.133&CDS=1-906
46	OG0000046	YDR300C, YHR033W	augustus_masked-flattened_line_18-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.115&CDS=1-1440, augustus_masked-flattened_line_18-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.137&CDS=1-1440
47	OG0000047	YDR347W, YJR101W	augustus_masked-flattened_line_0-processed-gene-18.155-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.155&CDS=1-777, augustus_masked-flattened_line_6-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.10&CDS=1-894
48	OG0000048	YDR368W, YOR120W	augustus_masked-flattened_line_19-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.156&CDS=1-906, augustus_masked-flattened_line_2-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.124&CDS=1-897
49	OG0000049	YDR406W, YOR153W	augustus_masked-flattened_line_0-processed-gene-27.129-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-27.129&CDS=1-4356, augustus_masked-flattened_line_10-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.119&CDS=1-4380
50	OG0000050	YDR453C, YML028W	augustus_masked-flattened_line_18-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.15&CDS=1-579, augustus_masked-flattened_line_18-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.38&CDS=1-579
51	OG0000051	YEL039C, YJR048W	augustus_masked-flattened_line_23-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.68&CDS=1-324, augustus_masked-flattened_line_23-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.149&CDS=1-324
52	OG0000052	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_36-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.103&CDS=1-1557
53	OG0000053	YER062C, YIL053W	augustus_masked-flattened_line_28-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.64&CDS=1-666, augustus_masked-flattened_line_34-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.63&CDS=1-690
54	OG0000054	YER185W, YGR213C	augustus_masked-flattened_line_0-processed-gene-28.156-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.156&CDS=1-885, augustus_masked-flattened_line_0-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.22&CDS=1-915
55	OG0000055	YFL059W, YMR096W, YNL333W	maker-flattened_line_28-augustus-gene-1.4-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-1.4&CDS=1-876
56	OG0000056	YFL060C, YMR095C, YNL334C	augustus_masked-flattened_line_28-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.158&CDS=1-693
57	OG0000057	YGL066W	genemark-flattened_line_18-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.55&CDS=1-1149, genemark-flattened_line_18-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.88&CDS=1-1149, snap_masked-flattened_line_32-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.23&CDS=1-1281
58	OG0000058	YGL156W	augustus_masked-flattened_line_0-processed-gene-26.28-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.28&CDS=1-3309, augustus_masked-flattened_line_23-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.77&CDS=1-3180, maker-flattened_line_23-augustus-gene-2.5-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-2.5&CDS=1-3180
59	OG0000059	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_4-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.69&CDS=1-1005
60	OG0000060	YGR197C, YJR015W	augustus_masked-flattened_line_0-processed-gene-18.153-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.153&CDS=1-1113, augustus_masked-flattened_line_0-processed-gene-24.11-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-24.11&CDS=1-1437
61	OG0000061	YHL017W, YKL039W	maker-flattened_line_21-augustus-gene-1.169-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-1.169&CDS=1-1662, snap_masked-flattened_line_36-processed-gene-0.214-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.214&CDS=1-1356
62	OG0000062	YHR048W	augustus_masked-flattened_line_23-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.70&CDS=1-1596, augustus_masked-flattened_line_23-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.161&CDS=1-1596, augustus_masked-flattened_line_24-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.64&CDS=1-1479
63	OG0000063	YHR210C, YNR071C	augustus_masked-flattened_line_0-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.99&CDS=1-993, augustus_masked-flattened_line_0-processed-gene-27.150-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-27.150&CDS=1-999
64	OG0000064	YIL111W, YNL052W	augustus_masked-flattened_line_18-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.130&CDS=1-549, genemark-flattened_line_18-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.89&CDS=1-549
65	OG0000065	YIL113W, YNL053W	augustus_masked-flattened_line_18-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.27&CDS=1-1251, augustus_masked-flattened_line_18-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.146&CDS=1-1251
66	OG0000066	YIL120W, YIL121W	augustus_masked-flattened_line_18-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.37&CDS=1-1578, augustus_masked-flattened_line_18-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.3&CDS=1-1578
67	OG0000067	YIR013C, YLR013W	snap_masked-flattened_line_23-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.36&CDS=1-879, snap_masked-flattened_line_23-processed-gene-2.220-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.220&CDS=1-879
68	OG0000068	YIR033W, YKL020C	augustus_masked-flattened_line_0-processed-gene-26.40-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.40&CDS=1-3108, snap_masked-flattened_line_4-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.13&CDS=1-3312
69	OG0000069	YJL112W, YKR036C	augustus_masked-flattened_line_18-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.54&CDS=1-1716, augustus_masked-flattened_line_18-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.68&CDS=1-1716
70	OG0000070	YJL134W, YKR053C	augustus_masked-flattened_line_23-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.87&CDS=1-1596, augustus_masked-flattened_line_23-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.112&CDS=1-1596
71	OG0000071	YJR094W-A, YPR043W	maker-flattened_line_18-augustus-gene-1.145-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.145&CDS=1-273, maker-flattened_line_18-augustus-gene-3.153-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-3.153&CDS=1-273
72	OG0000072	YKL188C, YPL147W	augustus_masked-flattened_line_0-processed-gene-24.43-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-24.43&CDS=1-2070, augustus_masked-flattened_line_38-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.177&CDS=1-2406
73	OG0000073	YLL028W	augustus_masked-flattened_line_0-processed-gene-18.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.143&CDS=1-1689, augustus_masked-flattened_line_32-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.65&CDS=1-1671, augustus_masked-flattened_line_32-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.155&CDS=1-1707
74	OG0000074	YLL052C, YLL053C, YPR192W	augustus_masked-flattened_line_32-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.122&CDS=1-927
75	OG0000075	YLR063W	augustus_masked-flattened_line_0-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.20&CDS=1-3303, genemark-flattened_line_0-processed-gene-6.66-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.66&CDS=1-1458, maker-flattened_line_0-augustus-gene-14.109-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-14.109&CDS=1-2535
