	OrthologID	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
10	OG0000010	YKR101W, YNL086W	augustus_masked-scf7180000046277-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000046277-processed-gene-0.34&CDS=1-1605, augustus_masked-scf7180000046323-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000046323-processed-gene-0.15&CDS=1-969, snap_masked-scf7180000045931-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045931-processed-gene-0.1&CDS=1-1254, snap_masked-scf7180000046055-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000046055-processed-gene-0.10&CDS=1-1008, snap_masked-scf7180000046142-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000046142-processed-gene-0.31&CDS=1-2283, snap_masked-scf7180000046257-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046257-processed-gene-0.2&CDS=1-345, snap_masked-scf7180000046331-processed-gene-2.144-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.144&CDS=1-768
11	OG0000011	YBR008C	augustus_masked-scf7180000044902-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044902-processed-gene-0.0&CDS=1-1554, augustus_masked-scf7180000046042-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000046042-processed-gene-0.12&CDS=1-1440, augustus_masked-scf7180000046266-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000046266-processed-gene-0.73&CDS=1-2748, genemark-scf7180000046261-processed-gene-0.134-mRNA-1_1&gene=genemark-scf7180000046261-processed-gene-0.134&CDS=1-1632, genemark-scf7180000046287-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000046287-processed-gene-0.101&CDS=1-1617, maker-scf7180000045078-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000045078-snap-gene-0.1&CDS=1-1275, maker-scf7180000046288-snap-gene-0.161-mRNA-1_1&gene=maker-scf7180000046288-snap-gene-0.161&CDS=1-1485
12	OG0000012	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-scf7180000046269-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000046269-processed-gene-0.64&CDS=1-1038, augustus_masked-scf7180000046279-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000046279-processed-gene-0.38&CDS=1-717, snap_masked-scf7180000046330-processed-gene-0.82-mRNA-1_1&gene=snap_masked-scf7180000046330-processed-gene-0.82&CDS=1-852
13	OG0000013	YMR284W	augustus_masked-scf7180000045001-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045001-processed-gene-0.0&CDS=1-981, augustus_masked-scf7180000046205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000046205-processed-gene-0.0&CDS=1-1071, genemark-scf7180000046331-processed-gene-2.92-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.92&CDS=1-1725, maker-scf7180000046336-snap-gene-0.12-mRNA-1_1&gene=maker-scf7180000046336-snap-gene-0.12&CDS=1-1002, snap_masked-scf7180000045917-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045917-processed-gene-0.0&CDS=1-690, snap_masked-scf7180000046278-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000046278-processed-gene-0.3&CDS=1-1260
14	OG0000014	YOL151W	augustus_masked-scf7180000046208-processed-gene-0.235-mRNA-1_1&gene=augustus_masked-scf7180000046208-processed-gene-0.235&CDS=1-1017, genemark-scf7180000046259-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000046259-processed-gene-0.3&CDS=1-1035, genemark-scf7180000046277-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046277-processed-gene-0.25&CDS=1-1035, genemark-scf7180000046305-processed-gene-1.249-mRNA-1_1&gene=genemark-scf7180000046305-processed-gene-1.249&CDS=1-1035, genemark-scf7180000046318-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.73&CDS=1-1035, genemark-scf7180000046331-processed-gene-2.87-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.87&CDS=1-1035
15	OG0000015	YBR012C	augustus_masked-scf7180000046328-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000046328-processed-gene-0.20&CDS=1-546, augustus_masked-scf7180000046328-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000046328-processed-gene-0.21&CDS=1-885, snap_masked-scf7180000044953-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044953-processed-gene-0.1&CDS=1-474, snap_masked-scf7180000045807-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000045807-processed-gene-0.4&CDS=1-546, snap_masked-scf7180000046090-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046090-processed-gene-0.2&CDS=1-624
16	OG0000016	YDR326C	augustus_masked-scf7180000045108-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045108-processed-gene-0.2&CDS=1-936, augustus_masked-scf7180000045119-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000045119-processed-gene-0.3&CDS=1-1029, augustus_masked-scf7180000045121-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000045121-processed-gene-0.3&CDS=1-1032, augustus_masked-scf7180000046283-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000046283-processed-gene-0.54&CDS=1-4353, snap_masked-scf7180000046208-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scf7180000046208-processed-gene-0.43&CDS=1-837
17	OG0000017	YGR192C, YJR009C	genemark-scf7180000046198-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000046198-processed-gene-0.15&CDS=1-996, genemark-scf7180000046218-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000046218-processed-gene-0.35&CDS=1-996, genemark-scf7180000046314-processed-gene-0.144-mRNA-1_1&gene=genemark-scf7180000046314-processed-gene-0.144&CDS=1-996, genemark-scf7180000046331-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-0.65&CDS=1-996
18	OG0000018	YPL088W	genemark-scf7180000046051-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046051-processed-gene-0.13&CDS=1-1017, genemark-scf7180000046141-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000046141-processed-gene-0.89&CDS=1-1026, genemark-scf7180000046186-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000046186-processed-gene-0.2&CDS=1-720, genemark-scf7180000046263-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000046263-processed-gene-0.48&CDS=1-1020, maker-scf7180000046263-snap-gene-0.61-mRNA-1_1&gene=maker-scf7180000046263-snap-gene-0.61&CDS=1-2046
19	OG0000019	YAL005C, YER103W, YLL024C	genemark-scf7180000046220-processed-gene-1.55-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-1.55&CDS=1-1947, genemark-scf7180000046267-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046267-processed-gene-0.25&CDS=1-1920
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	genemark-scf7180000046305-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000046305-processed-gene-0.52&CDS=1-4830
21	OG0000021	YBR145W, YMR083W, YMR303C, YOL086C	maker-scf7180000046332-augustus-gene-0.113-mRNA-1_1&gene=maker-scf7180000046332-augustus-gene-0.113&CDS=1-1872
22	OG0000022	YBR233W-A	genemark-scf7180000045126-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000045126-processed-gene-0.3&CDS=1-318, genemark-scf7180000045128-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000045128-processed-gene-0.3&CDS=1-318, genemark-scf7180000046030-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000046030-processed-gene-0.32&CDS=1-318, genemark-scf7180000046330-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.26&CDS=1-318
23	OG0000023	YCL028W	augustus_masked-scf7180000045077-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045077-processed-gene-0.0&CDS=1-981, augustus_masked-scf7180000045088-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000045088-processed-gene-0.5&CDS=1-990, augustus_masked-scf7180000046308-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000046308-processed-gene-0.77&CDS=1-756, snap_masked-scf7180000046175-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scf7180000046175-processed-gene-0.26&CDS=1-1074
24	OG0000024	YCL067C, YCR039C, YCR096C	snap_masked-scf7180000045006-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045006-processed-gene-0.1&CDS=1-468, snap_masked-scf7180000046211-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046211-processed-gene-0.2&CDS=1-597
25	OG0000025	YDR093W, YER166W	augustus_masked-scf7180000045140-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045140-processed-gene-0.0&CDS=1-1341, snap_masked-scf7180000046024-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000046024-processed-gene-0.1&CDS=1-3213, snap_masked-scf7180000046310-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000046310-processed-gene-0.113&CDS=1-5457
26	OG0000026	YDR533C, YOR391C, YPL280W	genemark-scf7180000046288-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046288-processed-gene-0.39&CDS=1-708, genemark-scf7180000046306-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046306-processed-gene-0.62&CDS=1-708
27	OG0000027	YER056C, YER060W, YER060W-A	genemark-scf7180000046255-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.32&CDS=1-1593, genemark-scf7180000046255-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.6&CDS=1-1605
28	OG0000028	YER167W	augustus_masked-scf7180000045083-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045083-processed-gene-0.2&CDS=1-1425, snap_masked-scf7180000045091-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000045091-processed-gene-0.3&CDS=1-792, snap_masked-scf7180000046024-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046024-processed-gene-0.0&CDS=1-1758, snap_masked-scf7180000046273-processed-gene-0.155-mRNA-1_1&gene=snap_masked-scf7180000046273-processed-gene-0.155&CDS=1-2439
29	OG0000029	YGL047W, YGR159C	augustus_masked-scf7180000044855-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000044855-processed-gene-0.5&CDS=1-1746, genemark-scf7180000044863-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000044863-processed-gene-0.5&CDS=1-492, genemark-scf7180000046232-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000046232-processed-gene-0.29&CDS=1-492
30	OG0000030	YGR197C, YJR015W	augustus_masked-scf7180000046197-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000046197-processed-gene-0.66&CDS=1-1779, genemark-scf7180000046197-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.10&CDS=1-1668, maker-scf7180000046235-snap-gene-0.30-mRNA-1_1&gene=maker-scf7180000046235-snap-gene-0.30&CDS=1-2994
31	OG0000031	YHL001W, YKL006W	genemark-scf7180000046333-processed-gene-2.39-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.39&CDS=1-399, snap_masked-scf7180000044918-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000044918-processed-gene-0.2&CDS=1-279, snap_masked-scf7180000045284-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045284-processed-gene-0.1&CDS=1-279
32	OG0000032	YHL029C	augustus_masked-scf7180000045089-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045089-processed-gene-0.2&CDS=1-1098, augustus_masked-scf7180000046267-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000046267-processed-gene-0.33&CDS=1-984, genemark-scf7180000045134-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045134-processed-gene-0.0&CDS=1-1347, genemark-scf7180000046133-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046133-processed-gene-0.47&CDS=1-2304
33	OG0000033	YHR154W, YHR159W	augustus_masked-scf7180000044852-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044852-processed-gene-0.2&CDS=1-525, augustus_masked-scf7180000046314-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000046314-processed-gene-0.85&CDS=1-5043, snap_masked-scf7180000045381-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045381-processed-gene-0.0&CDS=1-351
34	OG0000034	YHR216W, YLR432W, YML056C	augustus_masked-scf7180000046039-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000046039-processed-gene-0.0&CDS=1-1026, maker-scf7180000046125-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000046125-snap-gene-0.0&CDS=1-1566
35	OG0000035	YIL043C, YML087C, YML125C	genemark-scf7180000044861-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000044861-processed-gene-0.4&CDS=1-960, maker-scf7180000046331-augustus-gene-0.151-mRNA-1_1&gene=maker-scf7180000046331-augustus-gene-0.151&CDS=1-2802
36	OG0000036	YJL105W, YKR029C	augustus_masked-scf7180000046098-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046098-processed-gene-0.2&CDS=1-567, genemark-scf7180000046152-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000046152-processed-gene-0.20&CDS=1-2223, snap_masked-scf7180000046295-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000046295-processed-gene-0.11&CDS=1-1779
37	OG0000037	YKL068W, YMR047C	augustus_masked-scf7180000045825-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045825-processed-gene-0.0&CDS=1-540, augustus_masked-scf7180000046207-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000046207-processed-gene-0.29&CDS=1-2991, genemark-scf7180000046208-processed-gene-0.145-mRNA-1_1&gene=genemark-scf7180000046208-processed-gene-0.145&CDS=1-3201
38	OG0000038	YKR072C, YOR054C	augustus_masked-scf7180000045164-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045164-processed-gene-0.2&CDS=1-1110, genemark-scf7180000046117-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000046117-processed-gene-0.34&CDS=1-1380, genemark-scf7180000046300-processed-gene-0.123-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.123&CDS=1-2154
39	OG0000039	YKR099W	augustus_masked-scf7180000045808-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000045808-processed-gene-0.9&CDS=1-1002, genemark-scf7180000044830-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000044830-processed-gene-0.2&CDS=1-2571, snap_masked-scf7180000045131-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045131-processed-gene-0.1&CDS=1-1002, snap_masked-scf7180000045132-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000045132-processed-gene-0.2&CDS=1-1002
