	OrthologID	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
33	OG0000033	maker-NABA0S09-augustus-gene-0.87-mRNA-1_1&gene=maker-NABA0S09-augustus-gene-0.87&CDS=1-3057, snap_masked-NABA0S10-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-0.58&CDS=1-4080	YMR006C, YMR008C, YOL011W
34	OG0000034	augustus_masked-NABA0S10-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-0.0&CDS=1-1080, augustus_masked-NABA0S10-processed-gene-2.250-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.250&CDS=1-1080, augustus_masked-NABA0S33-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S33-processed-gene-0.2&CDS=1-939, snap_masked-NABA0S23-processed-gene-3.166-mRNA-1_1&gene=snap_masked-NABA0S23-processed-gene-3.166&CDS=1-1080	YMR318C
35	OG0000035	augustus_masked-NABA0S25-processed-gene-11.148-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.148&CDS=1-1719, augustus_masked-NABA0S34-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-7.113&CDS=1-1638, snap_masked-NABA0S15-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NABA0S15-processed-gene-3.84&CDS=1-1638	YLR343W, YMR307W
36	OG0000036	augustus_masked-NABA0S23-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-0.109&CDS=1-3783, augustus_masked-NABA0S23-processed-gene-3.260-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.260&CDS=1-2862	YIR033W, YKL020C, YKL021C
37	OG0000037	augustus_masked-NABA0S25-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.79&CDS=1-1935, maker-NABA0S26-snap-gene-1.54-mRNA-1_1&gene=maker-NABA0S26-snap-gene-1.54&CDS=1-3339	YNL292W, YNL293W, YOL112W
38	OG0000038	augustus_masked-NABA0S25-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.16&CDS=1-1059, augustus_masked-NABA0S37-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-1.6&CDS=1-1191	YMR083W, YMR303C, YOL086C
39	OG0000039	maker-NABA0S32-augustus-gene-1.120-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-1.120&CDS=1-5019	YBL017C, YIL173W, YJL222W, YNR065C
40	OG0000040	augustus_masked-NABA0S01-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.75&CDS=1-2058, augustus_masked-NABA0S32-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.39&CDS=1-2100	YAL054C, YLR153C
41	OG0000041	augustus_masked-NABA0S01-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.185&CDS=1-960, augustus_masked-NABA0S32-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.106&CDS=1-978	YGL162W, YPR009W
42	OG0000042	augustus_masked-NABA0S09-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-0.115&CDS=1-1923, genemark-NABA0S01-processed-gene-1.77-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.77&CDS=1-1221	YLR260W, YOR171C
43	OG0000043	augustus_masked-NABA0S01-processed-gene-1.243-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.243&CDS=1-1890, genemark-NABA0S23-processed-gene-3.90-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-3.90&CDS=1-1953	YFL041W, YMR058W
44	OG0000044	augustus_masked-NABA0S02-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.3&CDS=1-630, snap_masked-NABA0S02-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.24&CDS=1-447	YCL066W, YCR040W
45	OG0000045	augustus_masked-NABA0S02-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.118&CDS=1-1605, genemark-NABA0S37-processed-gene-8.87-mRNA-1_1&gene=genemark-NABA0S37-processed-gene-8.87&CDS=1-1764	YCL043C, YDR518W
46	OG0000046	augustus_masked-NABA0S02-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.102&CDS=1-3510, augustus_masked-NABA0S25-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-8.100&CDS=1-4368	YDR507C, YKL101W
47	OG0000047	snap_masked-NABA0S02-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-1.40&CDS=1-585	YCL067C, YCR039C, YCR096C
48	OG0000048	augustus_masked-NABA0S02-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.2&CDS=1-4266, augustus_masked-NABA0S23-processed-gene-3.216-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.216&CDS=1-4110	YCL068C, YCR038C
49	OG0000049	augustus_masked-NABA0S02-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.23&CDS=1-1065, augustus_masked-NABA0S03-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.81&CDS=1-966	YCR034W, YJL196C
50	OG0000050	augustus_masked-NABA0S02-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.6&CDS=1-1734, augustus_masked-NABA0S29-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.15&CDS=1-1770	YBR015C, YJL186W
51	OG0000051	augustus_masked-NABA0S02-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.28&CDS=1-2331, augustus_masked-NABA0S23-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-1.119&CDS=1-1494	YCR026C, YEL016C
52	OG0000052	augustus_masked-NABA0S02-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.15&CDS=1-843, augustus_masked-NABA0S23-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-1.116&CDS=1-822	YCR010C, YNR002C
53	OG0000053	augustus_masked-NABA0S02-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.9&CDS=1-2100, augustus_masked-NABA0S02-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-7.8&CDS=1-2100	YFR015C, YLR258W
54	OG0000054	augustus_masked-NABA0S02-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.69&CDS=1-2496, augustus_masked-NABA0S29-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-6.107&CDS=1-2691	YDR213W, YLR228C
55	OG0000055	snap_masked-NABA0S02-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.57&CDS=1-1719, snap_masked-NABA0S15-processed-gene-9.55-mRNA-1_1&gene=snap_masked-NABA0S15-processed-gene-9.55&CDS=1-2226	YJL099W, YKR027W
56	OG0000056	augustus_masked-NABA0S02-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-4.3&CDS=1-3792, augustus_masked-NABA0S26-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.0&CDS=1-4083	YJL129C, YKR050W
57	OG0000057	augustus_masked-NABA0S02-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-4.5&CDS=1-6657, augustus_masked-NABA0S08-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.15&CDS=1-3315	YJL130C, YJR109C
58	OG0000058	augustus_masked-NABA0S02-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-5.112&CDS=1-2346, augustus_masked-NABA0S17-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NABA0S17-processed-gene-0.126&CDS=1-2214	YJR059W, YKL198C
59	OG0000059	augustus_masked-NABA0S02-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-6.30&CDS=1-3261, genemark-NABA0S23-processed-gene-0.13-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-0.13&CDS=1-2799	YKL068W, YMR047C
60	OG0000060	augustus_masked-NABA0S03-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.80&CDS=1-2373, augustus_masked-NABA0S26-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.14&CDS=1-2334	YJL200C, YLR304C
61	OG0000061	augustus_masked-NABA0S10-processed-gene-2.264-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.264&CDS=1-1074, snap_masked-NABA0S03-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-1.103&CDS=1-1005	YHR139C, YNL160W
62	OG0000062	augustus_masked-NABA0S03-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.9&CDS=1-1707, snap_masked-NABA0S10-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-2.167&CDS=1-1941	YHR131C, YNL144C
63	OG0000063	augustus_masked-NABA0S03-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.27&CDS=1-2184, snap_masked-NABA0S10-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-2.112&CDS=1-1794	YHR117W, YNL121C
64	OG0000064	augustus_masked-NABA0S03-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.30&CDS=1-435, augustus_masked-NABA0S08-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-1.19&CDS=1-435	YGR118W, YPR132W
65	OG0000065	augustus_masked-NABA0S03-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.101&CDS=1-951, augustus_masked-NABA0S32-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-1.13&CDS=1-945	YGR086C, YPL004C
66	OG0000066	augustus_masked-NABA0S03-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.118&CDS=1-3837, augustus_masked-NABA0S37-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.91&CDS=1-5736	YIL159W, YNL271C
67	OG0000067	augustus_masked-NABA0S03-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.2&CDS=1-2988, augustus_masked-NABA0S29-processed-gene-7.153-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-7.153&CDS=1-2604	YER047C, YPL074W
