	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026197_Brettanomyces_custersianus
17	OG0000017	YKL217W	genemark-flattened_line_30-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.125&CDS=1-1665, genemark-flattened_line_42-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.75&CDS=1-1680, genemark-flattened_line_42-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.78&CDS=1-1620, maker-flattened_line_72-snap-gene-0.110-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.110&CDS=1-3039, snap_masked-flattened_line_28-processed-gene-1.83-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.83&CDS=1-1659
18	OG0000018	YMR083W, YMR303C, YOL086C	genemark-flattened_line_0-processed-gene-5.144-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.144&CDS=1-1131, genemark-flattened_line_32-processed-gene-0.165-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.165&CDS=1-1116, genemark-flattened_line_58-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.59&CDS=1-1056
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_20-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.131&CDS=1-4578
20	OG0000020	YBR205W, YDR483W, YOR099W	genemark-flattened_line_0-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.17&CDS=1-1098, genemark-flattened_line_0-processed-gene-9.80-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.80&CDS=1-1503
21	OG0000021	YCL040W, YDR516C, YLR446W	augustus_masked-flattened_line_4-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.110&CDS=1-1344, genemark-flattened_line_56-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.83&CDS=1-1425
22	OG0000022	YCR065W, YIL131C, YNL068C	genemark-flattened_line_28-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.76&CDS=1-1731, snap_masked-flattened_line_58-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.35&CDS=1-2136
23	OG0000023	YDL037C, YIR019C	genemark-flattened_line_104-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.10&CDS=1-2430, genemark-flattened_line_28-processed-gene-1.169-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.169&CDS=1-1788, maker-flattened_line_48-snap-gene-0.75-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.75&CDS=1-3120
24	OG0000024	YDR134C, YLR110C	genemark-flattened_line_10-processed-gene-3.39-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.39&CDS=1-924, maker-flattened_line_14-snap-gene-3.67-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-3.67&CDS=1-2166, maker-flattened_line_20-snap-gene-2.5-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-2.5&CDS=1-3708
25	OG0000025	YDR178W, YLR164W, YOR297C	genemark-flattened_line_12-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.74&CDS=1-879, genemark-flattened_line_12-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.24&CDS=1-516
26	OG0000026	YDR385W, YKL173W, YOR133W	genemark-flattened_line_24-processed-gene-1.288-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.288&CDS=1-2868, genemark-flattened_line_40-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.106&CDS=1-2526
27	OG0000027	YEL063C, YNL268W, YNL270C	augustus_masked-flattened_line_28-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.23&CDS=1-2931, maker-flattened_line_28-augustus-gene-1.207-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-1.207&CDS=1-2478
28	OG0000028	YER001W, YGL257C, YIL014W, YNR059W	snap_masked-flattened_line_14-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.52&CDS=1-2046
29	OG0000029	YER056C, YER060W, YER060W-A	genemark-flattened_line_18-processed-gene-2.84-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.84&CDS=1-1560, genemark-flattened_line_2-processed-gene-8.108-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.108&CDS=1-1581
30	OG0000030	YGR159C, YHL034C, YLL046C	genemark-flattened_line_0-processed-gene-8.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.63&CDS=1-1284, maker-flattened_line_0-snap-gene-4.0-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-4.0&CDS=1-945
31	OG0000031	YGR197C, YJR015W	genemark-flattened_line_10-processed-gene-3.16-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.16&CDS=1-1461, genemark-flattened_line_24-processed-gene-1.287-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.287&CDS=1-1437, genemark-flattened_line_26-processed-gene-1.286-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.286&CDS=1-1428
32	OG0000032	YGR287C, YIL172C, YJL221C, YOL157C	snap_masked-flattened_line_0-processed-gene-9.148-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.148&CDS=1-1725
33	OG0000033	YJL034W, YLL024C	genemark-flattened_line_0-processed-gene-7.13-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.13&CDS=1-1959, genemark-flattened_line_18-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.45&CDS=1-2049, genemark-flattened_line_60-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.51&CDS=1-1989
34	OG0000034	YKL215C	genemark-flattened_line_26-processed-gene-1.214-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.214&CDS=1-3921, genemark-flattened_line_26-processed-gene-1.279-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.279&CDS=1-3924, genemark-flattened_line_56-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.117&CDS=1-3852, genemark-flattened_line_56-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.94&CDS=1-3915
35	OG0000035	YLR237W, YOR071C, YOR192C	genemark-flattened_line_22-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.93&CDS=1-1707, genemark-flattened_line_70-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.29&CDS=1-1698
36	OG0000036	YML116W, YMR279C, YOR378W	genemark-flattened_line_0-processed-gene-5.162-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.162&CDS=1-1668, genemark-flattened_line_18-processed-gene-2.152-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.152&CDS=1-1545
37	OG0000037	YOL055C, YPL258C, YPR121W	genemark-flattened_line_6-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.36&CDS=1-1665, maker-flattened_line_64-augustus-gene-0.90-mRNA-1_1&gene=maker-flattened_line_64-augustus-gene-0.90&CDS=1-1089
38	OG0000038	Q0045, Q0065, Q0070	genemark-flattened_line_88-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.38&CDS=1-297, maker-flattened_line_88-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_88-snap-gene-0.6&CDS=1-549
39	OG0000039	Q0105, Q0110, Q0120	maker-flattened_line_88-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_88-snap-gene-0.11&CDS=1-432, maker-flattened_line_88-snap-gene-0.13-mRNA-1_1&gene=maker-flattened_line_88-snap-gene-0.13&CDS=1-354
40	OG0000040	YAL023C, YGR199W	genemark-flattened_line_10-processed-gene-1.135-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.135&CDS=1-2325, genemark-flattened_line_26-processed-gene-1.202-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.202&CDS=1-2262
41	OG0000041	YAR035W, YER024W	genemark-flattened_line_76-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.65&CDS=1-2193, maker-flattened_line_8-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-2.1&CDS=1-2457
42	OG0000042	YBL002W, YDR224C	genemark-flattened_line_10-processed-gene-2.20-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.20&CDS=1-366, genemark-flattened_line_6-processed-gene-2.28-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.28&CDS=1-366
43	OG0000043	YBL003C, YDR225W	genemark-flattened_line_10-processed-gene-2.41-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.41&CDS=1-387, snap_masked-flattened_line_6-processed-gene-2.145-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.145&CDS=1-387
44	OG0000044	YBL011W, YKR067W	genemark-flattened_line_10-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.156&CDS=1-2238, genemark-flattened_line_16-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.120&CDS=1-2091
45	OG0000045	YBL052C, YOR244W	genemark-flattened_line_8-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.65&CDS=1-1341, genemark-flattened_line_8-processed-gene-4.173-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.173&CDS=1-1635
46	OG0000046	YBL087C, YER117W	augustus_masked-flattened_line_102-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.24&CDS=1-2361, snap_masked-flattened_line_10-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.111&CDS=1-1725
47	OG0000047	YBR002C, YMR101C	genemark-flattened_line_62-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.57&CDS=1-831, genemark-flattened_line_86-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.24&CDS=1-930
48	OG0000048	YBR009C, YNL030W	genemark-flattened_line_18-processed-gene-2.100-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.100&CDS=1-309, genemark-flattened_line_22-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.53&CDS=1-309
49	OG0000049	YBR015C	augustus_masked-flattened_line_32-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.48&CDS=1-1977, genemark-flattened_line_4-processed-gene-4.71-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.71&CDS=1-2004, maker-flattened_line_24-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.3&CDS=1-3210
50	OG0000050	YBR025C, YHL014C	genemark-flattened_line_2-processed-gene-1.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.75&CDS=1-1188, snap_masked-flattened_line_2-processed-gene-7.31-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.31&CDS=1-1200
51	OG0000051	YBR160W, YPR161C	genemark-flattened_line_2-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.93&CDS=1-1533, genemark-flattened_line_66-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.23&CDS=1-948
52	OG0000052	YBR212W, YHR086W	genemark-flattened_line_26-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.49&CDS=1-1521, snap_masked-flattened_line_26-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.94&CDS=1-1593
53	OG0000053	YBR237W, YNL112W	maker-flattened_line_2-augustus-gene-4.146-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.146&CDS=1-2463, maker-flattened_line_58-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_58-augustus-gene-0.43&CDS=1-2118
54	OG0000054	YBR238C, YGL107C	genemark-flattened_line_22-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.82&CDS=1-1908, genemark-flattened_line_26-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.69&CDS=1-1881
55	OG0000055	YBR263W, YLR058C	genemark-flattened_line_0-processed-gene-8.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.59&CDS=1-1473, genemark-flattened_line_42-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.92&CDS=1-1410
56	OG0000056	YBR283C, YLR378C	genemark-flattened_line_2-processed-gene-7.65-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.65&CDS=1-1440, genemark-flattened_line_72-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.68&CDS=1-1506
57	OG0000057	YBR293W, YMR088C	genemark-flattened_line_22-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.76&CDS=1-1647, genemark-flattened_line_4-processed-gene-4.73-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.73&CDS=1-1767
58	OG0000058	YCL024W, YDR507C	augustus_masked-flattened_line_72-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.86&CDS=1-4143, augustus_masked-flattened_line_92-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.12&CDS=1-3624
59	OG0000059	YCL037C, YDR515W	genemark-flattened_line_4-processed-gene-2.157-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.157&CDS=1-1776, genemark-flattened_line_62-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.76&CDS=1-1245
60	OG0000060	YCR102C, YLR460C, YNL134C	genemark-flattened_line_58-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.77&CDS=1-1098
61	OG0000061	YDL091C, YDR432W	augustus_masked-flattened_line_0-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.107&CDS=1-2565, genemark-flattened_line_14-processed-gene-3.93-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.93&CDS=1-1773
62	OG0000062	YDL170W	genemark-flattened_line_14-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.113&CDS=1-1812, genemark-flattened_line_68-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.52&CDS=1-1692, maker-flattened_line_4-snap-gene-3.4-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.4&CDS=1-2559
63	OG0000063	YDL174C	genemark-flattened_line_0-processed-gene-9.115-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.115&CDS=1-1692, genemark-flattened_line_12-processed-gene-3.182-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.182&CDS=1-1683, genemark-flattened_line_26-processed-gene-1.275-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.275&CDS=1-1707
64	OG0000064	YDR011W	augustus_masked-flattened_line_12-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.56&CDS=1-4335, genemark-flattened_line_26-processed-gene-1.236-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.236&CDS=1-4365, genemark-flattened_line_4-processed-gene-5.18-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.18&CDS=1-4605
65	OG0000065	YDR037W, YNL073W	genemark-flattened_line_2-processed-gene-7.91-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.91&CDS=1-1704, genemark-flattened_line_38-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.105&CDS=1-1797
66	OG0000066	YDR038C, YDR039C, YDR040C	genemark-flattened_line_86-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.16&CDS=1-3249
67	OG0000067	YDR125C, YLR099C	genemark-flattened_line_4-processed-gene-3.44-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.44&CDS=1-1551, genemark-flattened_line_54-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.92&CDS=1-1314
68	OG0000068	YDR144C, YLR120C, YLR121C	maker-flattened_line_2-snap-gene-2.137-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.137&CDS=1-1809
69	OG0000069	YDR235W, YML046W	genemark-flattened_line_0-processed-gene-4.94-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.94&CDS=1-1896, genemark-flattened_line_6-processed-gene-4.213-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.213&CDS=1-1584
70	OG0000070	YDR458C, YML034W	augustus_masked-flattened_line_2-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.29&CDS=1-1947, genemark-flattened_line_0-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.13&CDS=1-2175
71	OG0000071	YDR463W, YHR006W	augustus_masked-flattened_line_2-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.116&CDS=1-1182, genemark-flattened_line_58-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.53&CDS=1-1728
72	OG0000072	YER017C, YMR089C	genemark-flattened_line_14-processed-gene-3.69-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.69&CDS=1-2262, genemark-flattened_line_68-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.51&CDS=1-2661
73	OG0000073	YER028C, YGL035C	genemark-flattened_line_4-processed-gene-3.33-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.33&CDS=1-1305, genemark-flattened_line_8-processed-gene-2.81-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.81&CDS=1-1665
74	OG0000074	YER054C, YIL045W	genemark-flattened_line_20-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.30&CDS=1-1620, genemark-flattened_line_32-processed-gene-0.186-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.186&CDS=1-1965
75	OG0000075	YER133W, YML016C	genemark-flattened_line_34-processed-gene-0.213-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.213&CDS=1-1830, genemark-flattened_line_62-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.42&CDS=1-1188
76	OG0000076	YFL041W, YMR058W	genemark-flattened_line_0-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.72&CDS=1-1950, genemark-flattened_line_2-processed-gene-5.34-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.34&CDS=1-1947
