	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034933_Kuraishia_molischiana
10	OG0000010	YFL007W	augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.57&CDS=1-5757, augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.58&CDS=1-5760, augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.80&CDS=1-5766, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.139&CDS=1-6330, genemark-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.68&CDS=1-2601, genemark-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.69&CDS=1-11400, snap_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.212-mRNA-1_1&gene=snap_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.212&CDS=1-5754
11	OG0000011	YKL071W	augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.71&CDS=1-738, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.72&CDS=1-744, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.73&CDS=1-741, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.126&CDS=1-726, maker-NODE_17_length_317659_cov_18.2064_ID_33-snap-gene-1.64-mRNA-1_1&gene=maker-NODE_17_length_317659_cov_18.2064_ID_33-snap-gene-1.64&CDS=1-1242, snap_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.22&CDS=1-744, snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.5&CDS=1-705
12	OG0000012	YKR064W	augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-3.45&CDS=1-2454, augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-1.67&CDS=1-2745, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.76&CDS=1-3102, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.7&CDS=1-1668, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-1.144&CDS=1-2355, augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.147&CDS=1-2241, snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.33&CDS=1-1809
13	OG0000013	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-2.263-mRNA-1_1&gene=augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-2.263&CDS=1-2514, augustus_masked-NODE_15_length_340529_cov_18.2287_ID_29-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_15_length_340529_cov_18.2287_ID_29-processed-gene-1.52&CDS=1-1221, augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-5.10&CDS=1-2154, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-2.72&CDS=1-1431
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.47&CDS=1-1476, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.192-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.192&CDS=1-1647, augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.120&CDS=1-1656
15	OG0000015	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-0.83&CDS=1-1815
16	OG0000016	YIL120W, YIL121W	augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.135&CDS=1-1458, augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-0.93&CDS=1-1500, augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-0.66&CDS=1-1458, maker-NODE_14_length_397692_cov_16.2609_ID_27-augustus-gene-1.162-mRNA-1_1&gene=maker-NODE_14_length_397692_cov_16.2609_ID_27-augustus-gene-1.162&CDS=1-2718, snap_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.54&CDS=1-1470
17	OG0000017	YJL089W, YMR280C	augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-0.77&CDS=1-2538, augustus_masked-NODE_27_length_112251_cov_21.0133_ID_53-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_27_length_112251_cov_21.0133_ID_53-processed-gene-0.114&CDS=1-1266, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-5.111&CDS=1-1689, genemark-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.138-mRNA-1_1&gene=genemark-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.138&CDS=1-1563, snap_masked-NODE_35_length_61953_cov_19.3232_ID_69-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_35_length_61953_cov_19.3232_ID_69-processed-gene-0.88&CDS=1-1905
18	OG0000018	YJR154W	augustus_masked-NODE_26_length_113800_cov_16.7253_ID_51-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_26_length_113800_cov_16.7253_ID_51-processed-gene-0.164&CDS=1-972, augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-3.5&CDS=1-1041, augustus_masked-NODE_7_length_451488_cov_17.0458_ID_13-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_7_length_451488_cov_17.0458_ID_13-processed-gene-1.38&CDS=1-1050, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.145&CDS=1-1035, snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.10&CDS=1-1035, snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.7&CDS=1-1041
19	OG0000019	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.51&CDS=1-1650, augustus_masked-NODE_36_length_51980_cov_17.3335_ID_71-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_36_length_51980_cov_17.3335_ID_71-processed-gene-0.74&CDS=1-1668, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.54&CDS=1-1749, snap_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.34&CDS=1-1683
20	OG0000020	YPL088W	augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.151&CDS=1-1026, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-1.112&CDS=1-2013, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.127&CDS=1-1044, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.160&CDS=1-1020, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-2.120&CDS=1-1041, augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.92&CDS=1-1023
21	OG0000021	YAL067C, YCR028C, YGR065C	augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.160&CDS=1-1488, augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.82&CDS=1-1470, augustus_masked-NODE_25_length_118054_cov_20.9661_ID_49-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_25_length_118054_cov_20.9661_ID_49-processed-gene-0.187&CDS=1-2850
