	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035654_Tortispora_ganteri
10	OG0000010	YDR536W, YFL040W	augustus_masked-flattened_line_2-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.130&CDS=1-1515, augustus_masked-flattened_line_2-processed-gene-6.200-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.200&CDS=1-2121, augustus_masked-flattened_line_30-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.150&CDS=1-1638, augustus_masked-flattened_line_60-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.137&CDS=1-1554, snap_masked-flattened_line_52-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.23&CDS=1-1539
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_10-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.80&CDS=1-1629
12	OG0000012	YBR160W, YKL139W, YPR161C	augustus_masked-flattened_line_14-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.118&CDS=1-960, augustus_masked-flattened_line_6-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.102&CDS=1-1296, genemark-flattened_line_0-processed-gene-4.138-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.138&CDS=1-1902
13	OG0000013	YBR237W, YDR243C, YNL112W	augustus_masked-flattened_line_18-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.110&CDS=1-1656, augustus_masked-flattened_line_56-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.59&CDS=1-2448, augustus_masked-flattened_line_6-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.97&CDS=1-1653
14	OG0000014	YBR293W, YMR088C	augustus_masked-flattened_line_0-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.18&CDS=1-1773, augustus_masked-flattened_line_0-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.72&CDS=1-1764, augustus_masked-flattened_line_20-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.214&CDS=1-1770, augustus_masked-flattened_line_4-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.102&CDS=1-1689
15	OG0000015	YDL048C, YDR463W, YHR006W, YLR375W	augustus_masked-flattened_line_2-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.77&CDS=1-1101, augustus_masked-flattened_line_6-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.55&CDS=1-1860
16	OG0000016	YDR242W	augustus_masked-flattened_line_22-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.170&CDS=1-1659, augustus_masked-flattened_line_64-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.54&CDS=1-1650, augustus_masked-flattened_line_8-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.68&CDS=1-4854, augustus_masked-flattened_line_8-processed-gene-4.262-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.262&CDS=1-1617, maker-flattened_line_0-snap-gene-6.252-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.252&CDS=1-4878
17	OG0000017	YKR089C, YMR313C, YOR081C	augustus_masked-flattened_line_2-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.122&CDS=1-2070, augustus_masked-flattened_line_36-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.82&CDS=1-1938, augustus_masked-flattened_line_4-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.120&CDS=1-1554
18	OG0000018	YMR215W, YOL132W	augustus_masked-flattened_line_0-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.70&CDS=1-1515, augustus_masked-flattened_line_20-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.79&CDS=1-1464, augustus_masked-flattened_line_64-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.60&CDS=1-1434, snap_masked-flattened_line_2-processed-gene-2.137-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.137&CDS=1-1392
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_6-processed-gene-4.105-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.105&CDS=1-4428
20	OG0000020	YBR118W, YKR084C, YPR080W	augustus_masked-flattened_line_18-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.95&CDS=1-4695, augustus_masked-flattened_line_22-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.180&CDS=1-1377
21	OG0000021	YBR145W, YMR083W, YMR303C, YOL086C	maker-flattened_line_60-snap-gene-0.48-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.48&CDS=1-2145
22	OG0000022	YCL024W, YDR477W, YDR507C	augustus_masked-flattened_line_26-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.6&CDS=1-2121, augustus_masked-flattened_line_6-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.62&CDS=1-2592
23	OG0000023	YCR065W, YIL131C, YNL068C	augustus_masked-flattened_line_28-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.11&CDS=1-2238, augustus_masked-flattened_line_46-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.59&CDS=1-1902
24	OG0000024	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_8-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.10&CDS=1-1050, augustus_masked-flattened_line_82-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.21&CDS=1-1131
25	OG0000025	YDL210W, YGL077C	augustus_masked-flattened_line_16-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.110&CDS=1-1608, augustus_masked-flattened_line_8-processed-gene-4.236-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.236&CDS=1-1728, augustus_masked-flattened_line_92-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.1&CDS=1-1746
26	OG0000026	YDR021W, YJL138C, YKR059W	augustus_masked-flattened_line_0-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.152&CDS=1-1182, augustus_masked-flattened_line_40-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.60&CDS=1-1188
27	OG0000027	YDR107C, YER113C, YLR083C	augustus_masked-flattened_line_2-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.119&CDS=1-1857, augustus_masked-flattened_line_56-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.67&CDS=1-1977
28	OG0000028	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_10-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.88&CDS=1-2856, augustus_masked-flattened_line_34-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.125&CDS=1-2526
29	OG0000029	YDR475C, YIL154C, YOR019W	augustus_masked-flattened_line_14-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.121&CDS=1-1650, augustus_masked-flattened_line_18-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.104&CDS=1-960
30	OG0000030	YDR523C, YHR102W	augustus_masked-flattened_line_10-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.138&CDS=1-2028, augustus_masked-flattened_line_22-processed-gene-1.226-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.226&CDS=1-1356, augustus_masked-flattened_line_8-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.67&CDS=1-1704
31	OG0000031	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_20-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.84&CDS=1-1023
32	OG0000032	YFL004W, YJL012C, YPL019C	augustus_masked-flattened_line_2-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.148&CDS=1-2247, augustus_masked-flattened_line_32-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.236&CDS=1-2061
33	OG0000033	YFL037W, YLR212C	augustus_masked-flattened_line_2-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.95&CDS=1-1350, augustus_masked-flattened_line_84-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.19&CDS=1-1395, maker-flattened_line_12-augustus-gene-2.89-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.89&CDS=1-1374
34	OG0000034	YFL050C, YKL064W, YOL130W	augustus_masked-flattened_line_14-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.134&CDS=1-1860, augustus_masked-flattened_line_22-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.216&CDS=1-2463
35	OG0000035	YGL216W, YPL155C	augustus_masked-flattened_line_14-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.17&CDS=1-2775, augustus_masked-flattened_line_2-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.26&CDS=1-1533, augustus_masked-flattened_line_46-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.48&CDS=1-1794
36	OG0000036	YGR056W, YKR008W, YLR357W	augustus_masked-flattened_line_10-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.75&CDS=1-1557, augustus_masked-flattened_line_54-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.116&CDS=1-2082
37	OG0000037	YGR070W, YLR371W, YLR425W	augustus_masked-flattened_line_2-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.76&CDS=1-3546, augustus_masked-flattened_line_8-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.29&CDS=1-4095
38	OG0000038	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_22-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.43&CDS=1-2055
39	OG0000039	YGR138C, YOR273C, YPR156C	augustus_masked-flattened_line_14-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.118&CDS=1-1632, augustus_masked-flattened_line_42-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.139&CDS=1-1794
40	OG0000040	YHL007C, YNL298W, YOL113W	augustus_masked-flattened_line_4-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.106&CDS=1-3276, augustus_masked-flattened_line_80-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.29&CDS=1-2964
41	OG0000041	YHR098C, YIL109C, YNL049C	snap_masked-flattened_line_12-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.72&CDS=1-2424, snap_masked-flattened_line_6-processed-gene-4.7-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.7&CDS=1-2886
42	OG0000042	YHR178W	augustus_masked-flattened_line_0-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.8&CDS=1-2352, augustus_masked-flattened_line_14-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.168&CDS=1-1887, snap_masked-flattened_line_0-processed-gene-3.102-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.102&CDS=1-2439, snap_masked-flattened_line_2-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.81&CDS=1-1716
43	OG0000043	YKR064W, YLR256W	augustus_masked-flattened_line_2-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.131&CDS=1-2748, augustus_masked-flattened_line_24-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.58&CDS=1-2364, augustus_masked-flattened_line_42-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.122&CDS=1-2115
44	OG0000044	YMR006C, YMR008C, YOL011W	augustus_masked-flattened_line_4-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.49&CDS=1-1878, snap_masked-flattened_line_4-processed-gene-2.37-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.37&CDS=1-1887
45	OG0000045	YNR055C	augustus_masked-flattened_line_0-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.56&CDS=1-1662, augustus_masked-flattened_line_0-processed-gene-6.359-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.359&CDS=1-1602, augustus_masked-flattened_line_10-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.92&CDS=1-1689, maker-flattened_line_10-augustus-gene-0.49-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-0.49&CDS=1-1836
46	OG0000046	YOL116W	augustus_masked-flattened_line_0-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.57&CDS=1-2340, augustus_masked-flattened_line_4-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.20&CDS=1-2400, augustus_masked-flattened_line_6-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.63&CDS=1-2394, genemark-flattened_line_6-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.32&CDS=1-2418
47	OG0000047	YOR087W	augustus_masked-flattened_line_248-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.4&CDS=1-786, augustus_masked-flattened_line_316-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_316-processed-gene-0.0&CDS=1-786, augustus_masked-flattened_line_32-processed-gene-0.258-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.258&CDS=1-2562, snap_masked-flattened_line_4-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.115&CDS=1-1107
48	OG0000048	YAL060W, YAL061W	augustus_masked-flattened_line_0-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.64&CDS=1-1107, augustus_masked-flattened_line_6-processed-gene-4.179-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.179&CDS=1-1107
49	OG0000049	YAR002C-A, YGL002W, YHR110W	augustus_masked-flattened_line_8-processed-gene-4.207-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.207&CDS=1-636
50	OG0000050	YBL037W, YPR029C	augustus_masked-flattened_line_26-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.10&CDS=1-2412, genemark-flattened_line_0-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.26&CDS=1-2670
51	OG0000051	YBL042C, YBR021W, YIR028W	augustus_masked-flattened_line_22-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.60&CDS=1-1611
52	OG0000052	YBL050W, YPL174C	augustus_masked-flattened_line_20-processed-gene-1.208-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.208&CDS=1-3780, augustus_masked-flattened_line_4-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.86&CDS=1-678
53	OG0000053	YBL063W, YHR190W	augustus_masked-flattened_line_24-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.93&CDS=1-1398, maker-flattened_line_24-augustus-gene-0.167-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.167&CDS=1-4362
54	OG0000054	YBL095W, YER182W	augustus_masked-flattened_line_30-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.137&CDS=1-687, augustus_masked-flattened_line_4-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.102&CDS=1-801
55	OG0000055	YBR038W, YNL192W	augustus_masked-flattened_line_12-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.113&CDS=1-2934, augustus_masked-flattened_line_38-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.18&CDS=1-2760
56	OG0000056	YBR062C, YDR143C	augustus_masked-flattened_line_22-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.92&CDS=1-1218, augustus_masked-flattened_line_24-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.69&CDS=1-1641
57	OG0000057	YBR073W, YGL163C	augustus_masked-flattened_line_48-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.25&CDS=1-2379, augustus_masked-flattened_line_8-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.105&CDS=1-2745
58	OG0000058	YBR114W, YOR191W	augustus_masked-flattened_line_16-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.60&CDS=1-2412, genemark-flattened_line_4-processed-gene-3.110-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.110&CDS=1-3720
59	OG0000059	YBR151W, YML050W	augustus_masked-flattened_line_0-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.125&CDS=1-822, augustus_masked-flattened_line_2-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.82&CDS=1-786
60	OG0000060	YBR199W, YOR099W	augustus_masked-flattened_line_4-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.48&CDS=1-1338, maker-flattened_line_22-augustus-gene-1.74-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.74&CDS=1-1695
61	OG0000061	YBR249C, YDR035W	augustus_masked-flattened_line_2-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.77&CDS=1-1143, snap_masked-flattened_line_2-processed-gene-6.156-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.156&CDS=1-1125
62	OG0000062	YCL039W	augustus_masked-flattened_line_32-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.191&CDS=1-993, augustus_masked-flattened_line_328-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_328-processed-gene-0.0&CDS=1-969, snap_masked-flattened_line_170-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_170-processed-gene-0.2&CDS=1-1035
63	OG0000063	YCL067C, YCR039C, YCR096C	snap_masked-flattened_line_126-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.4&CDS=1-978
64	OG0000064	YCL069W, YGR224W, YKR105C, YPR198W	
65	OG0000065	YCR072C, YOL087C	augustus_masked-flattened_line_48-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.39&CDS=1-2799, augustus_masked-flattened_line_8-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.121&CDS=1-1491
66	OG0000066	YCR095C, YNL099C	augustus_masked-flattened_line_10-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.95&CDS=1-522, augustus_masked-flattened_line_8-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.74&CDS=1-573
