	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035667_Kurtzmaniella_cleridarum
18	OG0000018	YBR189W, YBR191W, YPL079W, YPL081W	maker-flattened_line_0-augustus-gene-0.87-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.87&CDS=1-1062, snap_masked-flattened_line_208-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_208-processed-gene-0.14&CDS=1-480
19	OG0000019	YBR293W, YMR088C	augustus_masked-flattened_line_216-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.45&CDS=1-1704, snap_masked-flattened_line_216-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.1&CDS=1-1668, snap_masked-flattened_line_24-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.156&CDS=1-1644, snap_masked-flattened_line_338-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_338-processed-gene-0.9&CDS=1-1737
20	OG0000020	YDL230W, YER075C, YOR208W	augustus_masked-flattened_line_106-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.5&CDS=1-987, snap_masked-flattened_line_212-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_212-processed-gene-0.37&CDS=1-1914, snap_masked-flattened_line_82-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.60&CDS=1-2553
21	OG0000021	YDR135C	maker-flattened_line_124-snap-gene-0.89-mRNA-1_1&gene=maker-flattened_line_124-snap-gene-0.89&CDS=1-4584, snap_masked-flattened_line_154-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.58&CDS=1-4410, snap_masked-flattened_line_168-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.19&CDS=1-4677, snap_masked-flattened_line_2-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.162&CDS=1-4683, snap_masked-flattened_line_22-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.88&CDS=1-4581
22	OG0000022	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_38-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.159&CDS=1-1620, snap_masked-flattened_line_22-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.108&CDS=1-1722
23	OG0000023	YLL005C, YMR266W, YOL084W	snap_masked-flattened_line_18-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.42&CDS=1-2568, snap_masked-flattened_line_338-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_338-processed-gene-0.14&CDS=1-2133, snap_masked-flattened_line_378-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_378-processed-gene-0.8&CDS=1-2736
24	OG0000024	YAL053W, YGL139W, YPL221W	augustus_masked-flattened_line_224-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_224-processed-gene-0.31&CDS=1-2319, snap_masked-flattened_line_104-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.69&CDS=1-2226
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_8-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.104&CDS=1-4515
26	OG0000026	YBL056W, YBR125C, YER089C	snap_masked-flattened_line_176-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_176-processed-gene-0.3&CDS=1-1422, snap_masked-flattened_line_44-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.116&CDS=1-1023
27	OG0000027	YBL068W, YER099C, YHL011C	snap_masked-flattened_line_0-processed-gene-1.120-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.120&CDS=1-966, snap_masked-flattened_line_28-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.33&CDS=1-960
28	OG0000028	YBR038W, YNL192W	snap_masked-flattened_line_14-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.180&CDS=1-3057, snap_masked-flattened_line_4-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.44&CDS=1-2859, snap_masked-flattened_line_94-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.2&CDS=1-3012
29	OG0000029	YBR062C, YDR143C	snap_masked-flattened_line_172-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_172-processed-gene-0.61&CDS=1-1038, snap_masked-flattened_line_180-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_180-processed-gene-0.20&CDS=1-1287, snap_masked-flattened_line_98-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.5&CDS=1-579
30	OG0000030	YBR139W, YMR297W	snap_masked-flattened_line_0-processed-gene-1.175-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.175&CDS=1-1611, snap_masked-flattened_line_102-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.23&CDS=1-1629, snap_masked-flattened_line_508-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_508-processed-gene-0.4&CDS=1-1611
31	OG0000031	YBR207W, YER145C	snap_masked-flattened_line_142-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_142-processed-gene-0.6&CDS=1-1155, snap_masked-flattened_line_238-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_238-processed-gene-0.7&CDS=1-1263, snap_masked-flattened_line_384-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_384-processed-gene-0.9&CDS=1-1167
32	OG0000032	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_292-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_292-processed-gene-0.17&CDS=1-2124
33	OG0000033	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_292-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_292-processed-gene-0.20&CDS=1-1722
34	OG0000034	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_160-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.42&CDS=1-1785
35	OG0000035	YCR010C, YNR002C	snap_masked-flattened_line_134-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.27&CDS=1-771, snap_masked-flattened_line_2-processed-gene-1.165-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.165&CDS=1-795, snap_masked-flattened_line_40-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.109&CDS=1-759
36	OG0000036	YCR037C, YJL198W, YNR013C	snap_masked-flattened_line_192-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_192-processed-gene-0.35&CDS=1-2844, snap_masked-flattened_line_54-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.63&CDS=1-2406
37	OG0000037	YCR065W, YIL131C, YNL068C	augustus_masked-flattened_line_276-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_276-processed-gene-0.7&CDS=1-2118, snap_masked-flattened_line_18-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.43&CDS=1-1962
38	OG0000038	YCR094W, YNL323W, YNR048W	snap_masked-flattened_line_16-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.172&CDS=1-1272, snap_masked-flattened_line_286-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.14&CDS=1-1164
39	OG0000039	YDL078C, YKL085W	snap_masked-flattened_line_200-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_200-processed-gene-0.25&CDS=1-1032, snap_masked-flattened_line_230-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_230-processed-gene-0.6&CDS=1-1011, snap_masked-flattened_line_32-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.101&CDS=1-996
40	OG0000040	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-flattened_line_62-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.79&CDS=1-1017
41	OG0000041	YDR038C, YDR039C, YDR040C	maker-flattened_line_424-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_424-snap-gene-0.3&CDS=1-3171, snap_masked-flattened_line_116-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.77&CDS=1-3234
42	OG0000042	YDR144C, YLR120C, YLR121C	snap_masked-flattened_line_154-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.47&CDS=1-1656, snap_masked-flattened_line_62-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.48&CDS=1-1287
43	OG0000043	YDR242W	genemark-flattened_line_376-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_376-processed-gene-0.21&CDS=1-1638, snap_masked-flattened_line_278-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_278-processed-gene-0.13&CDS=1-1647, snap_masked-flattened_line_286-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.19&CDS=1-1335, snap_masked-flattened_line_384-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_384-processed-gene-0.11&CDS=1-1245
44	OG0000044	YDR253C, YGR067C, YPL038W	genemark-flattened_line_142-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_142-processed-gene-0.38&CDS=1-1146, snap_masked-flattened_line_206-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_206-processed-gene-0.13&CDS=1-3093
45	OG0000045	YDR326C, YFL042C, YHR080C	snap_masked-flattened_line_28-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.6&CDS=1-3171, snap_masked-flattened_line_92-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.71&CDS=1-2448
46	OG0000046	YDR338C, YHR032W	snap_masked-flattened_line_14-processed-gene-0.183-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.183&CDS=1-1779, snap_masked-flattened_line_30-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.47&CDS=1-1692, snap_masked-flattened_line_50-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.59&CDS=1-1827
47	OG0000047	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_58-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.46&CDS=1-2718, snap_masked-flattened_line_90-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.60&CDS=1-2559
48	OG0000048	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_34-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.80&CDS=1-720
49	OG0000049	YER045C, YIL036W, YNL167C	snap_masked-flattened_line_202-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_202-processed-gene-0.27&CDS=1-1602, snap_masked-flattened_line_30-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.32&CDS=1-2172
50	OG0000050	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_150-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.47&CDS=1-1524, snap_masked-flattened_line_152-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.66&CDS=1-1554
51	OG0000051	YFL021W	genemark-flattened_line_208-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.23&CDS=1-1731, genemark-flattened_line_92-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.73&CDS=1-1560, snap_masked-flattened_line_130-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.50&CDS=1-1944, snap_masked-flattened_line_398-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_398-processed-gene-0.8&CDS=1-1440
52	OG0000052	YFL050C, YKL064W, YOL130W	maker-flattened_line_94-snap-gene-0.59-mRNA-1_1&gene=maker-flattened_line_94-snap-gene-0.59&CDS=1-2583, snap_masked-flattened_line_340-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_340-processed-gene-0.17&CDS=1-2199
53	OG0000053	YFR032C, YHL034C, YLL046C	maker-flattened_line_334-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_334-snap-gene-0.25&CDS=1-1086, snap_masked-flattened_line_150-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.51&CDS=1-906
54	OG0000054	YFR038W, YOR304W	augustus_masked-flattened_line_10-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.85&CDS=1-5358, snap_masked-flattened_line_186-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_186-processed-gene-0.11&CDS=1-3141, snap_masked-flattened_line_8-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.114&CDS=1-2307
55	OG0000055	YGR192C, YJL052W, YJR009C	snap_masked-flattened_line_180-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_180-processed-gene-0.24&CDS=1-999, snap_masked-flattened_line_246-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_246-processed-gene-0.10&CDS=1-1002
56	OG0000056	YGR197C, YJR015W	snap_masked-flattened_line_102-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.24&CDS=1-1872, snap_masked-flattened_line_102-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.5&CDS=1-1668, snap_masked-flattened_line_110-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.39&CDS=1-1509
57	OG0000057	YHR178W, YLR014C	snap_masked-flattened_line_188-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_188-processed-gene-0.30&CDS=1-2010, snap_masked-flattened_line_308-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_308-processed-gene-0.11&CDS=1-2733, snap_masked-flattened_line_78-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.74&CDS=1-1896
