	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035011_Candida_pyralidae
10	OG0000010	YBR139W, YMR297W	augustus_masked-NODE_20_length_101543_cov_84.4483_ID_39-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_20_length_101543_cov_84.4483_ID_39-processed-gene-0.33&CDS=1-1620, snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-2.83&CDS=1-1626, snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.116&CDS=1-1365, snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-6.90-mRNA-1_1&gene=snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-6.90&CDS=1-1563, snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-5.90&CDS=1-1599
11	OG0000011	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_21_length_101387_cov_125.043_ID_41-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_21_length_101387_cov_125.043_ID_41-snap-gene-0.39&CDS=1-3588, maker-NODE_3_length_1252809_cov_66.5931_ID_5-snap-gene-7.61-mRNA-1_1&gene=maker-NODE_3_length_1252809_cov_66.5931_ID_5-snap-gene-7.61&CDS=1-1650, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.31&CDS=1-1872
12	OG0000012	YPR194C	augustus_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-8.27&CDS=1-2736, snap_masked-NODE_13_length_384245_cov_775.504_ID_25-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_13_length_384245_cov_775.504_ID_25-processed-gene-0.69&CDS=1-2748, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-0.44&CDS=1-2772, snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-1.110&CDS=1-2763, snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-4.68&CDS=1-2763, snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-6.157-mRNA-1_1&gene=snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-6.157&CDS=1-2772
13	OG0000013	YAR019C, YDR523C, YHR102W	snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.76&CDS=1-3567, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-8.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-8.79&CDS=1-2418, snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-8.60&CDS=1-1578
14	OG0000014	YBR008C	genemark-NODE_49_length_492_cov_94.5434_ID_97-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_49_length_492_cov_94.5434_ID_97-processed-gene-0.0&CDS=1-453, genemark-NODE_50_length_492_cov_125.923_ID_99-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_50_length_492_cov_125.923_ID_99-processed-gene-0.2&CDS=1-453, snap_masked-NODE_32_length_1107_cov_219.33_ID_63-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_32_length_1107_cov_219.33_ID_63-processed-gene-0.2&CDS=1-978, snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-11.144-mRNA-1_1&gene=snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-11.144&CDS=1-1626, snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.115&CDS=1-1626
15	OG0000015	YBR207W, YER145C	augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-6.43&CDS=1-1164, snap_masked-NODE_10_length_543506_cov_60.6878_ID_19-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_10_length_543506_cov_60.6878_ID_19-processed-gene-1.23&CDS=1-1170, snap_masked-NODE_13_length_384245_cov_775.504_ID_25-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_13_length_384245_cov_775.504_ID_25-processed-gene-1.14&CDS=1-1251, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.82-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.82&CDS=1-1212
16	OG0000016	YBR245C, YFR038W, YOR304W	snap_masked-NODE_14_length_293181_cov_65.7956_ID_27-processed-gene-1.277-mRNA-1_1&gene=snap_masked-NODE_14_length_293181_cov_65.7956_ID_27-processed-gene-1.277&CDS=1-3072, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-3.61&CDS=1-3195, snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-2.54&CDS=1-2448
17	OG0000017	YCR102C, YLR460C, YNL134C	maker-NODE_8_length_625582_cov_72.4763_ID_15-snap-gene-0.56-mRNA-1_1&gene=maker-NODE_8_length_625582_cov_72.4763_ID_15-snap-gene-0.56&CDS=1-540, snap_masked-NODE_15_length_199203_cov_79.2706_ID_29-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_15_length_199203_cov_79.2706_ID_29-processed-gene-0.124&CDS=1-1101, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.67&CDS=1-1101
18	OG0000018	YDL059C, YML032C, YPR066W	maker-NODE_11_length_439183_cov_74.16_ID_21-snap-gene-1.40-mRNA-1_1&gene=maker-NODE_11_length_439183_cov_74.16_ID_21-snap-gene-1.40&CDS=1-2607, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-11.88-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-11.88&CDS=1-585, snap_masked-NODE_55_length_463_cov_0.828877_ID_109-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_55_length_463_cov_0.828877_ID_109-processed-gene-0.1&CDS=1-375
19	OG0000019	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-4.116&CDS=1-1584, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-12.49-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-12.49&CDS=1-1677
20	OG0000020	YFL021W, YKR034W	snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.243-mRNA-1_1&gene=snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.243&CDS=1-1983, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-9.72-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-9.72&CDS=1-2076, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.104-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.104&CDS=1-2136, snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.127&CDS=1-1569
21	OG0000021	YGR087C, YLR044C, YLR134W	maker-NODE_1_length_1482744_cov_56.9864_ID_1-augustus-gene-8.50-mRNA-1_1&gene=maker-NODE_1_length_1482744_cov_56.9864_ID_1-augustus-gene-8.50&CDS=1-4332, snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.241-mRNA-1_1&gene=snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.241&CDS=1-1665, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-10.85-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-10.85&CDS=1-1731
22	OG0000022	YHR179W, YPL171C	snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-1.103&CDS=1-1206, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-10.85-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-10.85&CDS=1-1218, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-3.65&CDS=1-1206, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-6.25-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-6.25&CDS=1-1206
23	OG0000023	YJR019C	snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.107&CDS=1-1191, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.108&CDS=1-990, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.109&CDS=1-1035, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.110&CDS=1-1017, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.111&CDS=1-990
24	OG0000024	YKR064W	augustus_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.56&CDS=1-2586, maker-NODE_2_length_1424870_cov_63.5951_ID_3-augustus-gene-11.3-mRNA-1_1&gene=maker-NODE_2_length_1424870_cov_63.5951_ID_3-augustus-gene-11.3&CDS=1-7737, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-8.52-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-8.52&CDS=1-3114, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-9.111-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-9.111&CDS=1-2949, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-5.62&CDS=1-3156
25	OG0000025	YLL005C, YMR266W, YOL084W	genemark-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-6.101-mRNA-1_1&gene=genemark-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-6.101&CDS=1-2283, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-0.59&CDS=1-2709, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-8.10-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-8.10&CDS=1-2583
