	OrthologID	Botrytis_cinerea	Saccharomyces_cerevisiae
16	OG0000016	XP_001545647.1, XP_024547049.1, XP_024547050.1, XP_024547051.1, XP_024553703.1	YPL165C
17	OG0000017	XP_001547152.1, XP_024550092.1, XP_024550093.1, XP_024550094.1, XP_024550095.1	YDR536W
18	OG0000018	XP_001548936.2, XP_024549783.1, XP_024549784.1, XP_024549785.1, XP_024549786.1	YLL032C
19	OG0000019	XP_001549208.1, XP_024549435.1	YIL123W, YJL116C, YKR042W, YNL066W
20	OG0000020	XP_001549836.1	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
21	OG0000021	XP_001550847.1, XP_024554007.1, XP_024554008.1, XP_024554009.1	YDR409W, YOR156C
22	OG0000022	XP_001554693.2, XP_024550335.1, XP_024550336.1, XP_024550337.1, XP_024550338.1	YEL060C
23	OG0000023	XP_001560854.1	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
24	OG0000024	XP_024546156.1, XP_024546157.1, XP_024546158.1, XP_024546159.1	YHR001W, YKR003W
25	OG0000025	XP_024548903.1, XP_024551867.1, XP_024552285.1, XP_024553140.1, XP_024553882.1	YMR168C
26	OG0000026	XP_024549073.1, XP_024549074.1	YER001W, YGL257C, YIL014W, YNR059W
27	OG0000027	XP_024549304.1, XP_024549305.1, XP_024549306.1, XP_024549307.1	YDL222C, YNL194C
28	OG0000028	XP_024549329.1, XP_024549330.1, XP_024549331.1, XP_024549332.1	YAL051W, YOR363C
29	OG0000029	XP_024552849.1, XP_024552850.1, XP_024552851.1, XP_024552852.1	YBR021W, YIR028W
30	OG0000030	XP_024553871.1, XP_024553872.1, XP_024553873.1, XP_024553874.1, XP_024553875.1	YGL246C
31	OG0000031	XP_001547137.1	YBR297W, YFL052W, YGR288W, YPR196W
32	OG0000032	XP_001547246.2, XP_001551566.1, XP_024550885.1	YGR141W, YPR157W
33	OG0000033	XP_001548997.1, XP_024546217.1, XP_024553198.1	YAL018C, YOL048C
34	OG0000034	XP_001550103.1, XP_024552803.1, XP_024552804.1, XP_024552805.1	YOL071W
35	OG0000035	XP_001552245.1	YCR107W, YDL243C, YJR155W, YNL331C
36	OG0000036	XP_001553132.1, XP_024552886.1, XP_024552887.1, XP_024552888.1	YOR042W
37	OG0000037	XP_001553531.1, XP_024546570.1	YLL062C, YMR321C, YPL273W
38	OG0000038	XP_001553687.1, XP_001560310.2, XP_024553210.1, XP_024553211.1	YMR244C-A
39	OG0000039	XP_001553699.2	YBL017C, YIL173W, YJL222W, YNR065C
40	OG0000040	XP_001557098.1, XP_024547290.1, XP_024547291.1	YCR018C, YPL021W
41	OG0000041	XP_001557541.1, XP_024548063.1, XP_024548362.1, XP_024552193.1	YIL099W
42	OG0000042	XP_001557755.1, XP_024548473.1, XP_024548474.1, XP_024548475.1	YNL006W
43	OG0000043	XP_001558670.1, XP_024549727.1, XP_024551695.1	YLR260W, YOR171C
44	OG0000044	XP_001561009.1, XP_024552337.1	YCR102C, YLR460C, YNL134C
45	OG0000045	XP_024546298.1, XP_024546299.1, XP_024546300.1, XP_024546301.1	YBL021C
46	OG0000046	XP_024546653.1, XP_024546654.1, XP_024546655.1, XP_024546656.1	YIL156W-B
47	OG0000047	XP_024546758.1, XP_024553328.1, XP_024553329.1	YDR034C, YML099C
48	OG0000048	XP_024546983.1	YDR541C, YGL039W, YGL157W, YOL151W
49	OG0000049	XP_024546984.1, XP_024546985.1, XP_024546986.1, XP_024546987.1	YOR140W
50	OG0000050	XP_024547333.1, XP_024547334.1, XP_024547335.1, XP_024547336.1	YBL016W
51	OG0000051	XP_024548353.1, XP_024548354.1, XP_024548355.1, XP_024552349.1	YKL128C
52	OG0000052	XP_024548408.1	YDL244W, YFL058W, YJR156C, YNL332W
53	OG0000053	XP_024548602.1, XP_024548603.1, XP_024548604.1, XP_024548605.1	YDR359C
54	OG0000054	XP_024548668.1, XP_024552266.1, XP_024552267.1, XP_024552268.1	YER041W
55	OG0000055	XP_024548812.1, XP_024548813.1, XP_024553287.1	YJR061W, YKL201C
56	OG0000056	XP_024548969.1	YDR533C, YMR322C, YOR391C, YPL280W
57	OG0000057	XP_024549209.1, XP_024549210.1, XP_024549211.1, XP_024549212.1	YPL204W
58	OG0000058	XP_024549386.1, XP_024549387.1, XP_024549388.1, XP_024549389.1	YPR176C
59	OG0000059	XP_024549629.1, XP_024549630.1, XP_024549631.1, XP_024549632.1	YHR077C
60	OG0000060	XP_024549864.1, XP_024549865.1, XP_024549866.1	YLR449W, YML074C
61	OG0000061	XP_024549877.1, XP_024549878.1, XP_024549879.1	YBL067C, YER098W
62	OG0000062	XP_024549953.1, XP_024549954.1, XP_024549955.1, XP_024549956.1	YJL197W
63	OG0000063	XP_024549994.1, XP_024549995.1, XP_024549996.1, XP_024549997.1	YPR022C
64	OG0000064	XP_024550116.1, XP_024550117.1, XP_024550118.1, XP_024550119.1	YAL021C
65	OG0000065	XP_024550261.1, XP_024550263.1, XP_024550265.1, XP_024550266.1	YNL011C
66	OG0000066	XP_024550303.1, XP_024550304.1, XP_024550305.1, XP_024550306.1	YNL016W
67	OG0000067	XP_024550692.1	YLR155C, YLR157C, YLR158C, YLR160C
68	OG0000068	XP_024550892.1, XP_024550893.1, XP_024550894.1, XP_024550895.1	YGL243W
69	OG0000069	XP_024551858.1, XP_024551859.1, XP_024551860.1	YBR089C-A, YPR052C
70	OG0000070	XP_024552479.1, XP_024552480.1, XP_024552481.1, XP_024552482.1	YER068W
71	OG0000071	XP_024552904.1, XP_024552905.1, XP_024552906.1, XP_024552907.1	YER179W
72	OG0000072	XP_024553509.1, XP_024553510.1, XP_024553511.1, XP_024553512.1	YNL256W
73	OG0000073	XP_024553867.1, XP_024553868.1, XP_024553869.1, XP_024553870.1	YOR164C
74	OG0000074	XP_024553946.1, XP_024553947.1, XP_024553948.1, XP_024553949.1	YDR293C
75	OG0000075	XP_024554047.1, XP_024554048.1, XP_024554049.1, XP_024554050.1	YIL048W
76	OG0000076	XP_001545274.2, XP_024553312.1	YDR458C, YML034W
77	OG0000077	XP_001545339.1, XP_024548532.1, XP_024549185.1	YOR246C
78	OG0000078	XP_001545586.2, XP_024551515.1	YIL131C, YNL068C
79	OG0000079	XP_001545898.2	YOR389W, YPL277C, YPL278C
80	OG0000080	XP_001546130.1, XP_024546627.1, XP_024546628.1	YNL278W
81	OG0000081	XP_001546223.1, XP_001556054.1, XP_024547750.1	YJR149W
82	OG0000082	XP_001547129.1	YLL052C, YLL053C, YPR192W
83	OG0000083	XP_001547251.1, XP_024545949.1	YDR500C, YLR185W
84	OG0000084	XP_001547583.1, XP_024552725.1, XP_024552726.1	YPL042C
85	OG0000085	XP_001548082.1, XP_024548947.1	YOR233W, YPL141C
86	OG0000086	XP_001548468.1, XP_024546121.1, XP_024549723.1	YDR402C
87	OG0000087	XP_001548555.1, XP_024546090.1	YDL130W-A, YDL181W
88	OG0000088	XP_001548842.1, XP_024547433.1, XP_024547434.1	YGL240W
89	OG0000089	XP_001549087.1, XP_024552915.1	YNL283C, YOL105C
90	OG0000090	XP_001550330.1, XP_024548572.1, XP_024552155.1	YKL033W-A
91	OG0000091	XP_001550535.1	YFL060C, YMR095C, YNL334C
92	OG0000092	XP_001550574.1	YGR087C, YLR044C, YLR134W
93	OG0000093	XP_001551485.1, XP_024549640.1	YDR379W, YOR127W
94	OG0000094	XP_001551575.2, XP_024550880.1	YGR136W, YPR154W
95	OG0000095	XP_001551786.1, XP_024551045.1	YBR118W, YPR080W
96	OG0000096	XP_001552077.1, XP_024548601.1	YHR133C, YNL156C
97	OG0000097	XP_001552211.1, XP_024552220.1	YDL025C, YNL183C
98	OG0000098	XP_001552367.1, XP_024550474.1	YJL084C, YKR021W
99	OG0000099	XP_001552398.1, XP_024547393.1	YBR183W, YPL087W
100	OG0000100	XP_001552418.1, XP_024551567.1, XP_024551568.1	YDR432W
101	OG0000101	XP_001552705.1, XP_001559149.1, XP_024553119.1	YDL170W
102	OG0000102	XP_001553102.1, XP_024552876.1, XP_024552877.1	YLR170C
103	OG0000103	XP_001553457.1, XP_024548883.1, XP_024550220.1	YKL184W
104	OG0000104	XP_001553666.1, XP_024551570.1, XP_024551953.1	YOR084W
105	OG0000105	XP_001553991.1, XP_024550399.1, XP_024550400.1	YDR419W
106	OG0000106	XP_001554840.1, XP_024548026.1, XP_024548027.1	YLR314C
107	OG0000107	XP_001554907.2, XP_024547988.1	YGR188C, YJL013C
108	OG0000108	XP_001555017.1	YDR144C, YLR120C, YLR121C
109	OG0000109	XP_001555572.1, XP_024545987.1	YMR183C, YPL232W
110	OG0000110	XP_001556213.2, XP_024549231.1	YEL041W, YJR049C
111	OG0000111	XP_001556508.2, XP_024546671.1	YDL022W, YOL059W
112	OG0000112	XP_001556517.2, XP_024546661.1, XP_024546662.1	YNL315C
113	OG0000113	XP_001559974.1	YER056C, YER060W, YER060W-A
114	OG0000114	XP_001560626.1, XP_024550913.1, XP_024550914.1	YHL032C
115	OG0000115	XP_001560633.1, XP_024547710.1, XP_024547711.1	YMR272C
116	OG0000116	XP_001560986.1, XP_024546529.1	YGR241C, YHR161C
117	OG0000117	XP_001561075.1, XP_024546478.1	YGR004W, YLR324W
118	OG0000118	XP_001561291.2	YMR006C, YMR008C, YOL011W
119	OG0000119	XP_024546043.1, XP_024546044.1	YBR273C, YJL048C
120	OG0000120	XP_024546271.1, XP_024549781.1, XP_024550674.1	YNL229C
121	OG0000121	XP_024546436.1, XP_024546437.1	YDR200C, YLR238W
122	OG0000122	XP_024546836.1, XP_024546837.1, XP_024546838.1	YHL022C
123	OG0000123	XP_024547069.1, XP_024547070.1, XP_024547071.1	YHR051W
124	OG0000124	XP_024547113.1, XP_024547114.1, XP_024547115.1	YBR082C
125	OG0000125	XP_024547220.1, XP_024547221.1	YCL011C, YNL004W
126	OG0000126	XP_024547251.1, XP_024547252.1	YGR279C, YMR305C
127	OG0000127	XP_024547264.1, XP_024547265.1, XP_024547266.1	YJL127C
128	OG0000128	XP_024547326.1, XP_024547359.1	YGL160W, YLR047C
129	OG0000129	XP_024547741.1, XP_024547742.1	YDR132C, YLR108C
130	OG0000130	XP_024547783.1, XP_024547784.1, XP_024547785.1	YLL029W
131	OG0000131	XP_024547872.1, XP_024547873.1	YGL049C, YGR162W
132	OG0000132	XP_024547899.1	YOL055C, YPL258C, YPR121W
133	OG0000133	XP_024548052.1, XP_024551967.1, XP_024551968.1	YJR062C
134	OG0000134	XP_024548086.1, XP_024548087.1	YBL056W, YER089C
135	OG0000135	XP_024548154.1	YBR078W, YDR055W, YDR522C
136	OG0000136	XP_024548421.1, XP_024548422.1, XP_024548423.1	YDR457W
137	OG0000137	XP_024548506.1	YBR298C, YDL247W, YJR160C
138	OG0000138	XP_024548564.1	YBL068W-A, YBL069W, YER101C
139	OG0000139	XP_024548588.1, XP_024548589.1, XP_024548590.1	YAL041W
140	OG0000140	XP_024549152.1, XP_024549153.1	YDR326C, YHR080C
141	OG0000141	XP_024549556.1, XP_024550614.1, XP_024550615.1	YDR371W
142	OG0000142	XP_024549601.1, XP_024549602.1, XP_024549603.1	YDR074W
143	OG0000143	XP_024549842.1	YER028C, YGL035C, YGL209W
144	OG0000144	XP_024549987.1, XP_024549988.1, XP_024549989.1	YGR144W
145	OG0000145	XP_024550017.1, XP_024550018.1, XP_024550019.1	YGL125W
146	OG0000146	XP_024550111.1, XP_024550112.1, XP_024550113.1	YKL045W
147	OG0000147	XP_024550129.1, XP_024550130.1, XP_024550131.1, XP_024550132.1	
148	OG0000148	XP_024550420.1, XP_024550421.1, XP_024550422.1	YML020W
149	OG0000149	XP_024550440.1, XP_024550441.1, XP_024550442.1	YMR293C
150	OG0000150	XP_024550453.1, XP_024550454.1	YHL017W, YKL039W
151	OG0000151	XP_024550466.1, XP_024550467.1	YDR253C, YPL038W
152	OG0000152	XP_024550623.1, XP_024551728.1	YCR106W, YLL054C
153	OG0000153	XP_024550824.1, XP_024550825.1, XP_024550826.1	YOR070C
154	OG0000154	XP_024551067.1, XP_024551068.1, XP_024551069.1	YMR043W
155	OG0000155	XP_024551347.1, XP_024551348.1	YAL017W, YOL045W
156	OG0000156	XP_024551472.1, XP_024551473.1, XP_024551474.1	YNL280C
157	OG0000157	XP_024551684.1, XP_024551685.1	YER062C, YIL053W
158	OG0000158	XP_024551803.1, XP_024551804.1, XP_024551805.1	YBR094W
159	OG0000159	XP_024551917.1, XP_024551918.1, XP_024551919.1	YHR205W
160	OG0000160	XP_024552333.1	YIL120W, YIL121W, YNL065W
161	OG0000161	XP_024552436.1, XP_024552437.1	YGL133W, YPL216W
162	OG0000162	XP_024552486.1, XP_024552487.1, XP_024552488.1	YKL010C
163	OG0000163	XP_024552977.1, XP_024552978.1, XP_024552979.1	YLR298C
164	OG0000164	XP_024553111.1, XP_024553112.1	YDL070W, YLR399C
165	OG0000165	XP_024553223.1, XP_024553224.1, XP_024553225.1	YOR014W
166	OG0000166	XP_024553281.1	YGR192C, YJL052W, YJR009C
167	OG0000167	XP_024553301.1, XP_024553302.1, XP_024553303.1	YDL171C
168	OG0000168	XP_024553483.1, XP_024553484.1, XP_024553485.1	YBR196C
169	OG0000169	XP_024553486.1, XP_024553487.1	YKL126W, YMR104C
170	OG0000170	XP_024553563.1	YDR038C, YDR039C, YDR040C
171	OG0000171	XP_024553712.1, XP_024553713.1	YGL096W, YPL177C
172	OG0000172	XP_024553937.1, XP_024553938.1	YLR284C, YOR180C
173	OG0000173		YCL069W, YGR224W, YKR105C, YPR198W
174	OG0000174	XP_001545203.1	YAR002C-A, YGL002W
175	OG0000175	XP_001545468.2, XP_024549279.1	YNL139C
176	OG0000176	XP_001545545.1	YJL105W, YKR029C
177	OG0000177	XP_001545649.1	YEL065W, YHL040C
178	OG0000178	XP_001545700.1	YER054C, YIL045W
179	OG0000179	XP_001545862.1	YHR203C, YJR145C
180	OG0000180	XP_001545868.2, XP_024546036.1	YMR074C
181	OG0000181	XP_001545990.2, XP_024547930.1	YEL038W
182	OG0000182	XP_001545997.2, XP_001547089.2	YBR204C
183	OG0000183	XP_001546001.1	YGL076C, YPL198W
184	OG0000184	XP_001546070.1	YJR091C, YPR042C
185	OG0000185	XP_001546114.2	YGR273C, YMR295C
186	OG0000186	XP_001546158.1	YMR230W, YOR293W
187	OG0000187	XP_001546239.1, XP_024548292.1	YNL129W
188	OG0000188	XP_001546444.1	YBR191W, YPL079W
189	OG0000189	XP_001546459.2, XP_001556488.1	YBR265W
190	OG0000190	XP_001546606.1	YGR209C, YLR043C
191	OG0000191	XP_001546621.2	YBR014C, YDL010W
192	OG0000192	XP_001546878.2, XP_024551959.1	YDR242W
193	OG0000193	XP_001546899.2, XP_024553633.1	YBR176W
194	OG0000194	XP_001546996.2, XP_024549821.1	YOR119C
195	OG0000195	XP_001547041.2	YML109W, YMR273C
196	OG0000196	XP_001547075.1	YKL141W, YMR118C
197	OG0000197	XP_001547158.1	YLR456W, YPR172W
198	OG0000198	XP_001547284.1	YBR054W, YDR033W
199	OG0000199	XP_001547292.1	YCR010C, YNR002C
200	OG0000200	XP_001547337.2	YBR033W, YKL038W
201	OG0000201	XP_001547400.1	YGR056W, YLR357W
202	OG0000202	XP_001547402.1	YBR104W, YPR058W
203	OG0000203	XP_001547434.1	YFL004W, YPL019C
204	OG0000204	XP_001547584.2	YBR241C, YGL104C
205	OG0000205	XP_001547602.1	YDR263C, YOR033C
206	OG0000206	XP_001547644.1, XP_024547014.1	YLL009C
207	OG0000207	XP_001547816.2, XP_024550725.1	YMR212C
208	OG0000208	XP_001547872.1	YFL034C-A, YLR061W
209	OG0000209	XP_001547873.1, XP_001560452.1	YDR276C
210	OG0000210	XP_001547995.1	YGR138C, YPR156C
211	OG0000211	XP_001547997.2	YBR214W, YGL056C
212	OG0000212	XP_001548041.1	YNL108C, YOR110W
213	OG0000213	XP_001548183.1	YCR052W, YNR023W
214	OG0000214	XP_001548264.1	YER185W, YGR213C
215	OG0000215	XP_001548308.2	YNL293W, YOL112W
216	OG0000216	XP_001548443.2, XP_024551991.1	YLR142W
217	OG0000217	XP_001548549.1, XP_024546086.1	YFR028C
218	OG0000218	XP_001548641.1	YER057C, YIL051C
219	OG0000219	XP_001548642.1, XP_024548809.1	YLR248W
220	OG0000220	XP_001548661.1	YBR009C, YNL030W
221	OG0000221	XP_001548662.1	YBR010W, YNL031C
222	OG0000222	XP_001548782.1	YEL047C, YJR051W
223	OG0000223	XP_001548931.1, XP_024549788.1	YDR308C
224	OG0000224	XP_001548932.1, XP_024549787.1	YGL224C
225	OG0000225	XP_001548941.1, XP_024552221.1	YDR346C
226	OG0000226	XP_001549070.1	YLR300W, YOR190W
227	OG0000227	XP_001549092.1, XP_024551885.1	YGR185C
228	OG0000228	XP_001549113.1, XP_024551893.1	YJL012C
229	OG0000229	XP_001549136.1	YLR448W, YML073C
230	OG0000230	XP_001549174.1, XP_024553989.1	YGR036C
231	OG0000231	XP_001549243.2, XP_024549450.1	YNL064C
232	OG0000232	XP_001549496.2	YDR497C, YOL103W
233	OG0000233	XP_001549546.1	YIL111W, YNL052W
234	OG0000234	XP_001549622.2, XP_024550001.1	YPL084W
235	OG0000235	XP_001549727.1	YBL079W, YER105C
236	OG0000236	XP_001549744.2, XP_024553547.1	YIL041W
237	OG0000237	XP_001549772.1, XP_001558404.1	YPR127W
238	OG0000238	XP_001549820.2, XP_024550058.1	YNR016C
239	OG0000239	XP_001549835.1, XP_024550067.1	YIL030C
240	OG0000240	XP_001549887.2	YOR231W, YPL140C
241	OG0000241	XP_001549919.2, XP_024546128.1	YML046W
242	OG0000242	XP_001549977.1	YMR233W, YOR295W
243	OG0000243	XP_001550097.1	YGL139W, YPL221W
244	OG0000244	XP_001550155.1, XP_001550353.1	YGR263C
245	OG0000245	XP_001550264.1, XP_024552079.1	YDL045C
246	OG0000246	XP_001550272.1, XP_024552075.1	YPL117C
247	OG0000247	XP_001550298.2, XP_024552063.1	YER168C
248	OG0000248	XP_001550311.1, XP_024552055.1	YKL014C
249	OG0000249	XP_001550325.1, XP_024552049.1	YBR038W
250	OG0000250	XP_001550468.1	YGR092W, YPR111W
251	OG0000251	XP_001550544.1	YBL002W, YDR224C
252	OG0000252	XP_001550695.1, XP_024549009.1	YJR126C
253	OG0000253	XP_001550718.1, XP_024553936.1	YLR215C
254	OG0000254	XP_001550742.1	YDR264C, YOR034C
255	OG0000255	XP_001550762.1	YDL049C, YJL174W
256	OG0000256	XP_001550855.1	YOR226C, YPL135W
257	OG0000257	XP_001550889.1	YHR132W-A, YNL157W
258	OG0000258	XP_001550912.2	YEL006W, YIL006W
259	OG0000259	XP_001550924.1	YNL301C, YOL120C
260	OG0000260	XP_001550993.2, XP_024546170.1	YOR064C
261	OG0000261	XP_001550995.1, XP_024549958.1	YPL067C
262	OG0000262	XP_001551204.1, XP_024553568.1	YJR099W
263	OG0000263	XP_001551229.1, XP_024552361.1	YGL241W
264	OG0000264	XP_001551271.1	YER074W, YIL069C
265	OG0000265	XP_001551272.2, XP_024552935.1	YJR129C
266	OG0000266	XP_001551452.1	YML106W, YMR271C
267	OG0000267	XP_001551512.1	YEL034W, YJR047C
268	OG0000268	XP_001551515.2	YOR285W, YOR286W
269	OG0000269	XP_001551631.1, XP_024550960.1	YBR055C
270	OG0000270	XP_001551718.2	YDL036C, YOL066C
271	OG0000271	XP_001551724.1	YDL138W, YDL194W
272	OG0000272	XP_001551773.2	YAR042W, YDL019C
273	OG0000273	XP_001551862.1, XP_024553847.1	YMR128W
274	OG0000274	XP_001551956.1	YOR390W, YPL279C
275	OG0000275	XP_001551972.1	YJL083W, YKR019C
276	OG0000276	XP_001551994.1, XP_024550319.1	YJR076C
277	OG0000277	XP_001551998.1	YIR035C, YIR036C
278	OG0000278	XP_001552084.1	YDL246C, YJR159W
279	OG0000279	XP_001552377.1	YKL121W, YMR102C
280	OG0000280	XP_001552395.1	YBL089W, YER119C
281	OG0000281	XP_001552402.2, XP_024551579.1	YJL126W
282	OG0000282	XP_001552420.2, XP_024551566.1	YGL153W
283	OG0000283	XP_001552520.1	YDL061C, YLR388W
284	OG0000284	XP_001552839.1	YAL015C, YOL043C
285	OG0000285	XP_001552915.1	YCL026C-A, YCL026C-B
286	OG0000286	XP_001552990.1, XP_024550499.1	YDR050C
287	OG0000287	XP_001553000.1	YIL085C, YNL029C
288	OG0000288	XP_001553070.2, XP_024550526.1	YNL189W
289	OG0000289	XP_001553094.2, XP_024552872.1	YIL147C
290	OG0000290	XP_001553162.1	YEL039C, YJR048W
291	OG0000291	XP_001553207.1, XP_024548526.1	YLR299W
292	OG0000292	XP_001553231.1, XP_024551120.1	YKL025C
293	OG0000293	XP_001553283.1	YGL031C, YGR148C
294	OG0000294	XP_001553358.2, XP_024553774.1	YOR113W
295	OG0000295	XP_001553435.2, XP_024550236.1	YOR049C
296	OG0000296	XP_001553463.2, XP_024550214.1	YLR006C
297	OG0000297	XP_001553491.1, XP_024550190.1	YGR042W
298	OG0000298	XP_001553525.2	YLR307W, YLR308W
299	OG0000299	XP_001553556.1	YJL079C, YKR013W
300	OG0000300	XP_001553576.1	YMR194W, YPL249C-A
301	OG0000301	XP_001553615.1, XP_024546610.1	YMR120C
302	OG0000302	XP_001553619.1, XP_024546614.1	YGL080W
303	OG0000303	XP_001553621.1	YGR085C, YPR102C
304	OG0000304	XP_001553626.1	YOR234C, YPL143W
305	OG0000305	XP_001553628.1	YJL133W, YKR052C
306	OG0000306	XP_001553722.1, XP_024553228.1	YDR244W
307	OG0000307	XP_001553725.2	YER075C, YOR208W
308	OG0000308	XP_001554043.1	YJR127C, YML081W
309	OG0000309	XP_001554046.1	YLL016W, YLR310C
310	OG0000310	XP_001554060.1, XP_024549893.1	YDL217C
311	OG0000311	XP_001554064.1	YAL007C, YOR016C
312	OG0000312	XP_001554205.2, XP_024551182.1	YJR098C
313	OG0000313	XP_001554259.1, XP_024546821.1	YOR320C
314	OG0000314	XP_001554357.2	YBL106C, YPR032W
315	OG0000315	XP_001554449.1	YDR185C, YLR168C
316	OG0000316	XP_001554456.1	YBL027W, YBR084C-A
317	OG0000317	XP_001554544.1	YHR141C, YNL162W
318	OG0000318	XP_001554553.2	YHR117W, YNL121C
319	OG0000319	XP_001554555.1, XP_024550777.1	YHR030C
320	OG0000320	XP_001554613.1	YER056C-A, YIL052C
321	OG0000321	XP_001554765.1, XP_024552697.1	YCL034W
322	OG0000322	XP_001554996.1	YCR067C, YNR026C
323	OG0000323	XP_001554998.2, XP_024548534.1	YIL164C
324	OG0000324	XP_001555047.2	YFR031C-A, YIL018W
325	OG0000325	XP_001555374.1	YER027C, YGL208W
326	OG0000326	XP_001555448.1, XP_024547852.1	YNL036W
327	OG0000327	XP_001555449.1	YHL033C, YLL045C
328	OG0000328	XP_001555503.2, XP_024547880.1	YJL141C
329	OG0000329	XP_001555510.1	YCR031C, YJL191W
330	OG0000330	XP_001555524.1, XP_024545964.1	YDR519W
331	OG0000331	XP_001555582.1	YDL109C, YGL144C
332	OG0000332	XP_001555613.1, XP_024546009.1	YLR244C
333	OG0000333	XP_001555735.1	YCL035C, YDR513W
334	OG0000334	XP_001555736.1	YHR198C, YHR199C
335	OG0000335	XP_001555753.1	YCL050C, YDR530C
336	OG0000336	XP_001555790.1	YHR131C, YNL144C
337	OG0000337	XP_001555920.1, XP_024546853.1	YBL007C
338	OG0000338	XP_001556037.1	YDR471W, YHR010W
339	OG0000339	XP_001556190.1	YDL082W, YMR142C
340	OG0000340	XP_001556233.1	YBR150C, YOL089C
341	OG0000341	XP_001556267.1	YHR021C, YKL156W
342	OG0000342	XP_001556324.1	YGR034W, YLR344W
343	OG0000343	XP_001556637.1	YBR066C, YDR043C
344	OG0000344	XP_001556674.1	YOR256C, YPL176C
345	OG0000345	XP_001556801.2	YDR247W, YPL026C
346	OG0000346	XP_001556809.1	YBR020W, YDR009W
347	OG0000347	XP_001556817.1	YOR237W, YPL145C
348	OG0000348	XP_001556843.1	YDL136W, YDL191W
349	OG0000349	XP_001557003.2	YMR177W, YPL224C
350	OG0000350	XP_001557050.1	YDR111C, YLR089C
351	OG0000351	XP_001557074.1	YGR010W, YLR328W
352	OG0000352	XP_001557171.1	YFL048C, YLR080W
353	OG0000353	XP_001557401.1	YNL096C, YOR096W
354	OG0000354	XP_001557403.1	YDR418W, YEL054C
355	OG0000355	XP_001557449.1	YDR450W, YML026C
356	OG0000356	XP_001557450.1	YJL177W, YKL180W
357	OG0000357	XP_001557475.1, XP_024551398.1	YNL092W
358	OG0000358	XP_001557567.2	YBL091C-A, YER120W
359	OG0000359	XP_001557576.1	YGR124W, YPR145W
360	OG0000360	XP_001557577.1	YIL114C, YNL055C
361	OG0000361	XP_001557615.1, XP_024548396.1	YOL140W
362	OG0000362	XP_001557655.1	YBR181C, YPL090C
363	OG0000363	XP_001557680.1	YGR118W, YPR132W
364	OG0000364	XP_001557684.1, XP_024548451.1	YLR414C
