	OrthologID	Lachancea_thermotolerans	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-CU928166-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.145&CDS=1-5286, maker-CU928166-augustus-gene-7.158-mRNA-1_1&gene=maker-CU928166-augustus-gene-7.158&CDS=1-3279, maker-CU928171-augustus-gene-15.55-mRNA-1_1&gene=maker-CU928171-augustus-gene-15.55&CDS=1-7293	YGR032W, YLR342W, YMR306W, YMR307W
11	OG0000011	augustus_masked-CU928167-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.18&CDS=1-1794, maker-CU928170-augustus-gene-1.99-mRNA-1_1&gene=maker-CU928170-augustus-gene-1.99&CDS=1-2409, maker-CU928170-snap-gene-1.48-mRNA-1_1&gene=maker-CU928170-snap-gene-1.48&CDS=1-1887	YBR068C, YCL025C, YDR046C, YDR508C
12	OG0000012	augustus_masked-CU928165-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.88&CDS=1-2217, snap_masked-CU928165-processed-gene-5.37-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-5.37&CDS=1-2199, snap_masked-CU928167-processed-gene-8.77-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.77&CDS=1-2193	YKL222C, YOR162C, YOR172W
13	OG0000013	augustus_masked-CU928165-processed-gene-5.181-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.181&CDS=1-1323, augustus_masked-CU928166-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.77&CDS=1-1323, augustus_masked-CU928167-processed-gene-8.253-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.253&CDS=1-1320, augustus_masked-CU928169-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-14.45&CDS=1-1323, augustus_masked-CU928180-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.15&CDS=1-1320	YJL213W
14	OG0000014	augustus_masked-CU928166-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.28&CDS=1-1692, augustus_masked-CU928168-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-7.59&CDS=1-1689, augustus_masked-CU928169-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-8.22&CDS=1-1821	YDL080C, YLR044C, YLR134W
15	OG0000015	augustus_masked-CU928167-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.18&CDS=1-1407, augustus_masked-CU928168-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.49&CDS=1-1407	YAR071W, YBR092C, YBR093C, YHR215W
16	OG0000016	augustus_masked-CU928168-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.56&CDS=1-1539, augustus_masked-CU928171-processed-gene-16.23-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.23&CDS=1-1539, augustus_masked-CU928180-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.4&CDS=1-1530, maker-CU928180-augustus-gene-2.48-mRNA-1_1&gene=maker-CU928180-augustus-gene-2.48&CDS=1-3129	YDL138W, YDL194W
17	OG0000017	augustus_masked-CU928171-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.120&CDS=1-1989, augustus_masked-CU928180-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.63&CDS=1-1545, maker-CU928169-augustus-gene-5.66-mRNA-1_1&gene=maker-CU928169-augustus-gene-5.66&CDS=1-933	YER133W, YML016C, YPL179W
18	OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
19	OG0000019	augustus_masked-CU928165-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.64&CDS=1-924, augustus_masked-CU928169-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-13.43&CDS=1-927, augustus_masked-CU928170-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-13.86&CDS=1-927	YDR368W, YOR120W
20	OG0000020	augustus_masked-CU928165-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.77&CDS=1-1548, augustus_masked-CU928168-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.51&CDS=1-1545	YER056C, YER060W, YER060W-A
21	OG0000021	augustus_masked-CU928165-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.108&CDS=1-2532, augustus_masked-CU928170-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.42&CDS=1-2709	YCR037C, YJL198W, YNR013C
22	OG0000022	augustus_masked-CU928166-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.94&CDS=1-6189, augustus_masked-CU928180-processed-gene-13.81-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-13.81&CDS=1-4947	YLL048C, YOR389W, YPL277C
23	OG0000023	augustus_masked-CU928166-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.21&CDS=1-996, augustus_masked-CU928171-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-13.79&CDS=1-996	YGR192C, YJL052W, YJR009C
24	OG0000024	augustus_masked-CU928166-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-2.134&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
25	OG0000025	maker-CU928167-augustus-gene-1.153-mRNA-1_1&gene=maker-CU928167-augustus-gene-1.153&CDS=1-1245, maker-CU928169-snap-gene-10.4-mRNA-1_1&gene=maker-CU928169-snap-gene-10.4&CDS=1-4881	YDR256C, YKL081W, YPL048W
26	OG0000026	augustus_masked-CU928167-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.147&CDS=1-1155, maker-CU928169-augustus-gene-11.5-mRNA-1_1&gene=maker-CU928169-augustus-gene-11.5&CDS=1-2220	YBR183W, YEL046C, YPL087W
27	OG0000027	augustus_masked-CU928167-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.88&CDS=1-1971, augustus_masked-CU928171-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-6.133&CDS=1-2034, maker-CU928180-augustus-gene-7.12-mRNA-1_1&gene=maker-CU928180-augustus-gene-7.12&CDS=1-2718	YER103W, YJL034W
28	OG0000028	augustus_masked-CU928167-processed-gene-8.251-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.251&CDS=1-1374, augustus_masked-CU928168-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.92&CDS=1-3666, augustus_masked-CU928169-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-0.88&CDS=1-3309, maker-CU928168-snap-gene-14.3-mRNA-1_1&gene=maker-CU928168-snap-gene-14.3&CDS=1-10497, maker-CU928180-augustus-gene-0.56-mRNA-1_1&gene=maker-CU928180-augustus-gene-0.56&CDS=1-3765	
29	OG0000029	augustus_masked-CU928168-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-11.120&CDS=1-1941, genemark-CU928171-processed-gene-2.39-mRNA-1_1&gene=genemark-CU928171-processed-gene-2.39&CDS=1-1812	YBL042C, YBR021W, YIR028W
30	OG0000030	augustus_masked-CU928169-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-9.79&CDS=1-999, augustus_masked-CU928171-processed-gene-15.100-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-15.100&CDS=1-930, augustus_masked-CU928171-processed-gene-16.1-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.1&CDS=1-1881, snap_masked-CU928169-processed-gene-6.39-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-6.39&CDS=1-1023	YIL119C
31	OG0000031	augustus_masked-CU928170-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.84&CDS=1-4296, genemark-CU928180-processed-gene-10.71-mRNA-1_1&gene=genemark-CU928180-processed-gene-10.71&CDS=1-1629	YCR008W, YJL165C, YKL168C
32	OG0000032	augustus_masked-CU928170-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.83&CDS=1-1083, augustus_masked-CU928171-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-7.113&CDS=1-1332	YIL123W, YKR042W, YNL066W
33	OG0000033	augustus_masked-CU928171-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-6.137&CDS=1-1707, genemark-CU928170-processed-gene-11.84-mRNA-1_1&gene=genemark-CU928170-processed-gene-11.84&CDS=1-5775, snap_masked-CU928180-processed-gene-7.27-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-7.27&CDS=1-2109	YER001W, YIL014W
34	OG0000034	maker-CU928180-augustus-gene-7.11-mRNA-1_1&gene=maker-CU928180-augustus-gene-7.11&CDS=1-4983	YBL017C, YIL173W, YJL222W, YNR065C
35	OG0000035	maker-CU928180-snap-gene-11.1-mRNA-1_1&gene=maker-CU928180-snap-gene-11.1&CDS=1-183	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
36	OG0000036	augustus_masked-CU928167-processed-gene-8.250-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.250&CDS=1-1029, genemark-CU928165-processed-gene-0.50-mRNA-1_1&gene=genemark-CU928165-processed-gene-0.50&CDS=1-1002, genemark-CU928169-processed-gene-0.54-mRNA-1_1&gene=genemark-CU928169-processed-gene-0.54&CDS=1-1002	YDL144C
37	OG0000037	augustus_masked-CU928165-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.12&CDS=1-2442, augustus_masked-CU928168-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-5.87&CDS=1-2862	YHL007C, YNL298W
38	OG0000038	genemark-CU928166-processed-gene-6.6-mRNA-1_1&gene=genemark-CU928166-processed-gene-6.6&CDS=1-3546, snap_masked-CU928165-processed-gene-1.134-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.134&CDS=1-2790	YBR038W, YNL192W
39	OG0000039	augustus_masked-CU928165-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.92&CDS=1-3753, augustus_masked-CU928169-processed-gene-11.130-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-11.130&CDS=1-2145	YIL039W, YPL074W
40	OG0000040	augustus_masked-CU928166-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-3.107&CDS=1-2925, snap_masked-CU928165-processed-gene-5.5-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-5.5&CDS=1-3204	YGR240C, YMR205C
41	OG0000041	augustus_masked-CU928166-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.35&CDS=1-2262, augustus_masked-CU928168-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-2.33&CDS=1-2220	YAL023C, YGR199W
42	OG0000042	augustus_masked-CU928168-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-10.45&CDS=1-2460, genemark-CU928166-processed-gene-3.60-mRNA-1_1&gene=genemark-CU928166-processed-gene-3.60&CDS=1-2562	YMR054W, YOR270C
43	OG0000043	augustus_masked-CU928166-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-3.102&CDS=1-1893, maker-CU928171-augustus-gene-16.119-mRNA-1_1&gene=maker-CU928171-augustus-gene-16.119&CDS=1-4134	YLR069C, YMR058W
44	OG0000044	augustus_masked-CU928169-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-7.12&CDS=1-1122, maker-CU928166-augustus-gene-4.56-mRNA-1_1&gene=maker-CU928166-augustus-gene-4.56&CDS=1-3267	YCR105W, YMR318C
45	OG0000045	augustus_masked-CU928166-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.80&CDS=1-1113	YCR102C, YLR460C, YNL134C
46	OG0000046	augustus_masked-CU928166-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.105&CDS=1-741, snap_masked-CU928168-processed-gene-9.56-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-9.56&CDS=1-2457	YNL148C, YPL174C
47	OG0000047	augustus_masked-CU928166-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.106&CDS=1-1149, genemark-CU928171-processed-gene-16.68-mRNA-1_1&gene=genemark-CU928171-processed-gene-16.68&CDS=1-1170	YFL039C, YHR129C
48	OG0000048	augustus_masked-CU928166-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-5.98&CDS=1-1494, augustus_masked-CU928169-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-6.128&CDS=1-1260	YER123W, YNL154C
49	OG0000049	augustus_masked-CU928166-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-6.91&CDS=1-1704, augustus_masked-CU928169-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-1.127&CDS=1-1716, augustus_masked-CU928171-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-9.139&CDS=1-1704	YDL210W
50	OG0000050	augustus_masked-CU928180-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.19&CDS=1-1656, genemark-CU928166-processed-gene-6.51-mRNA-1_1&gene=genemark-CU928166-processed-gene-6.51&CDS=1-1293, snap_masked-CU928170-processed-gene-15.36-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-15.36&CDS=1-1170	YNL234W
51	OG0000051	augustus_masked-CU928166-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.95&CDS=1-5862, augustus_masked-CU928171-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-12.42&CDS=1-6519	YER172C, YGR271W
52	OG0000052	augustus_masked-CU928166-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.98&CDS=1-1575, augustus_masked-CU928171-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-14.52&CDS=1-1488	YBR139W, YMR297W
53	OG0000053	augustus_masked-CU928171-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.29&CDS=1-1524, genemark-CU928166-processed-gene-7.72-mRNA-1_1&gene=genemark-CU928166-processed-gene-7.72&CDS=1-1509, genemark-CU928169-processed-gene-0.44-mRNA-1_1&gene=genemark-CU928169-processed-gene-0.44&CDS=1-1509	YGR260W
54	OG0000054	snap_masked-CU928167-processed-gene-1.113-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.113&CDS=1-891, snap_masked-CU928169-processed-gene-14.119-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-14.119&CDS=1-933	YMR316W, YOR385W
55	OG0000055	augustus_masked-CU928167-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.118&CDS=1-3096, augustus_masked-CU928167-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.135&CDS=1-2706	YJR061W, YKL201C
56	OG0000056	augustus_masked-CU928167-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.13&CDS=1-3843, genemark-CU928171-processed-gene-9.88-mRNA-1_1&gene=genemark-CU928171-processed-gene-9.88&CDS=1-4368	YLR144C, YNR067C
57	OG0000057	augustus_masked-CU928167-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.66&CDS=1-2703, augustus_masked-CU928171-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-8.64&CDS=1-2370	YBR059C, YIL095W
58	OG0000058	augustus_masked-CU928167-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.116&CDS=1-4596, augustus_masked-CU928171-processed-gene-10.54-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-10.54&CDS=1-4500	YDR135C, YLL015W
59	OG0000059	genemark-CU928167-processed-gene-8.197-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.197&CDS=1-945, maker-CU928167-augustus-gene-7.69-mRNA-1_1&gene=maker-CU928167-augustus-gene-7.69&CDS=1-1803	YOL002C, YOL102C
60	OG0000060	augustus_masked-CU928170-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-1.24&CDS=1-2055, maker-CU928167-augustus-gene-8.5-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.5&CDS=1-2397	YLR188W, YPL270W
61	OG0000061	augustus_masked-CU928168-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-2.30&CDS=1-4668, augustus_masked-CU928171-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-5.143&CDS=1-5586	YHR023W, YOR326W
62	OG0000062	augustus_masked-CU928168-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-3.62&CDS=1-2337, augustus_masked-CU928170-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.59&CDS=1-2361	YJL200C, YLR304C
63	OG0000063	snap_masked-CU928168-processed-gene-4.143-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-4.143&CDS=1-762	YFL060C, YMR095C, YNL334C
64	OG0000064	augustus_masked-CU928168-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-4.88&CDS=1-5454, augustus_masked-CU928170-processed-gene-11.136-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-11.136&CDS=1-2217	YER017C, YMR089C
65	OG0000065	augustus_masked-CU928169-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-3.121&CDS=1-1362, maker-CU928168-augustus-gene-6.4-mRNA-1_1&gene=maker-CU928168-augustus-gene-6.4&CDS=1-1851	YKL046C, YMR238W
66	OG0000066	augustus_masked-CU928168-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-8.99&CDS=1-2613, augustus_masked-CU928171-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-5.125&CDS=1-2460	YHR028C, YOR219C
67	OG0000067	augustus_masked-CU928168-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-9.126&CDS=1-1209, augustus_masked-CU928170-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.76&CDS=1-1662	YJL127C, YPL148C
68	OG0000068	augustus_masked-CU928171-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-7.109&CDS=1-3924, maker-CU928168-augustus-gene-10.89-mRNA-1_1&gene=maker-CU928168-augustus-gene-10.89&CDS=1-4629	YIL126W, YOR290C
69	OG0000069	augustus_masked-CU928170-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.65&CDS=1-390, maker-CU928168-augustus-gene-11.50-mRNA-1_1&gene=maker-CU928168-augustus-gene-11.50&CDS=1-390	YJL190C, YLR367W
70	OG0000070	augustus_masked-CU928168-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-11.111&CDS=1-1968, augustus_masked-CU928170-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.52&CDS=1-1941	YJR045C, YLR369W
71	OG0000071	genemark-CU928180-processed-gene-10.57-mRNA-1_1&gene=genemark-CU928180-processed-gene-10.57&CDS=1-1239, snap_masked-CU928168-processed-gene-11.47-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-11.47&CDS=1-1260	YDL066W, YLR174W
72	OG0000072	augustus_masked-CU928168-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-13.107&CDS=1-2619, snap_masked-CU928171-processed-gene-5.24-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-5.24&CDS=1-1986	YHR031C, YML061C
73	OG0000073	augustus_masked-CU928168-processed-gene-14.98-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.98&CDS=1-1392, augustus_masked-CU928170-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-12.32&CDS=1-2484	YHR206W, YOR140W
74	OG0000074	augustus_masked-CU928169-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-0.81&CDS=1-4167, maker-CU928170-augustus-gene-2.92-mRNA-1_1&gene=maker-CU928170-augustus-gene-2.92&CDS=1-8124	YIL159W, YNL271C
75	OG0000075	augustus_masked-CU928169-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-1.134&CDS=1-3363, augustus_masked-CU928170-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.74&CDS=1-7695	YJL130C, YJR109C
76	OG0000076	augustus_masked-CU928170-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.59&CDS=1-1716, maker-CU928169-augustus-gene-1.0-mRNA-1_1&gene=maker-CU928169-augustus-gene-1.0&CDS=1-2487	YBL041W, YJL172W
