	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035640_Yamadazyma_philogaea
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-1.46&CDS=1-1350, maker-NODE_21_length_186516_cov_33.4099_ID_41-augustus-gene-0.273-mRNA-1_1&gene=maker-NODE_21_length_186516_cov_33.4099_ID_41-augustus-gene-0.273&CDS=1-2733
11	OG0000011	YBR240C, YDL170W, YDR207C	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.36&CDS=1-2277, augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.85&CDS=1-927, augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-3.61&CDS=1-1158, genemark-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.172-mRNA-1_1&gene=genemark-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.172&CDS=1-897
12	OG0000012	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.56&CDS=1-1167, augustus_masked-NODE_19_length_222602_cov_29.8229_ID_37-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-NODE_19_length_222602_cov_29.8229_ID_37-processed-gene-1.171&CDS=1-1758, genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.67-mRNA-1_1&gene=genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.67&CDS=1-1320, genemark-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-0.68&CDS=1-1791
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.13&CDS=1-990, augustus_masked-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.52&CDS=1-1002, snap_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.57&CDS=1-975
14	OG0000014	YFL004W, YPL019C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.42&CDS=1-1566, augustus_masked-NODE_36_length_79797_cov_38.9479_ID_71-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_36_length_79797_cov_38.9479_ID_71-processed-gene-0.33&CDS=1-2601, augustus_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.57&CDS=1-1293, genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.10-mRNA-1_1&gene=genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.10&CDS=1-1545, maker-NODE_1_length_1146432_cov_29.4029_ID_1-augustus-gene-5.137-mRNA-1_1&gene=maker-NODE_1_length_1146432_cov_29.4029_ID_1-augustus-gene-5.137&CDS=1-8907
15	OG0000015	YFL021W, YKR034W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-4.69&CDS=1-1131, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-4.95&CDS=1-1638, augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.84&CDS=1-1725, genemark-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.124-mRNA-1_1&gene=genemark-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.124&CDS=1-1671, genemark-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.142&CDS=1-1443
16	OG0000016	YBR025C, YGL257C, YNR059W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.88&CDS=1-3249, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.94&CDS=1-1944, augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.65&CDS=1-2331
17	OG0000017	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.46&CDS=1-3243, augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.50&CDS=1-3054, augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-2.103&CDS=1-2052
18	OG0000018	YBR298C, YDL247W, YJR160C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.55&CDS=1-1743, augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.130&CDS=1-1743, genemark-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-0.63&CDS=1-1656
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-2.108&CDS=1-1764, maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-1.7&CDS=1-3915
20	OG0000020	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_40_length_64544_cov_36.0662_ID_79-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_40_length_64544_cov_36.0662_ID_79-processed-gene-0.59&CDS=1-2295, augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-0.68&CDS=1-2097, snap_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-0.21&CDS=1-1302
21	OG0000021	YDR011W, YNR070W, YOR153W	augustus_masked-NODE_39_length_75211_cov_36.8898_ID_77-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_39_length_75211_cov_36.8898_ID_77-processed-gene-0.45&CDS=1-5310, augustus_masked-NODE_46_length_40160_cov_46.8213_ID_91-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_46_length_40160_cov_46.8213_ID_91-processed-gene-0.31&CDS=1-4515, augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.81&CDS=1-4443
22	OG0000022	YDR216W, YJR127C, YML081W	augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.13&CDS=1-2511, augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-0.18&CDS=1-3756, genemark-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.79&CDS=1-3210
23	OG0000023	YDR338C, YHR032W	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.79&CDS=1-2307, augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.71&CDS=1-1785, augustus_masked-NODE_27_length_135834_cov_30.1618_ID_53-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-NODE_27_length_135834_cov_30.1618_ID_53-processed-gene-0.175&CDS=1-1743, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.111&CDS=1-1731
24	OG0000024	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.103&CDS=1-702, maker-NODE_31_length_112976_cov_35.8483_ID_61-augustus-gene-0.152-mRNA-1_1&gene=maker-NODE_31_length_112976_cov_35.8483_ID_61-augustus-gene-0.152&CDS=1-3468
25	OG0000025	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_29_length_118492_cov_32.443_ID_57-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_29_length_118492_cov_32.443_ID_57-processed-gene-0.160&CDS=1-852, augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.21&CDS=1-1869
26	OG0000026	YER056C, YER060W, YER060W-A, YMR152W	augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.117&CDS=1-3705, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.76&CDS=1-1104
27	OG0000027	YHR047C, YIL137C, YKL157W	augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.138&CDS=1-2703, augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.126&CDS=1-4419, augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.167&CDS=1-1683
28	OG0000028	YHR155W, YNL257C, YOR374W	augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.126&CDS=1-1503, augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-1.66&CDS=1-4446, maker-NODE_9_length_359155_cov_29.4677_ID_17-augustus-gene-2.249-mRNA-1_1&gene=maker-NODE_9_length_359155_cov_29.4677_ID_17-augustus-gene-2.249&CDS=1-1935
29	OG0000029	YIL126W, YKR008W, YOR290C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.27&CDS=1-3786, augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-2.143&CDS=1-5250, augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-2.31&CDS=1-1749
30	OG0000030	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-2.76&CDS=1-2259, augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-3.82&CDS=1-2352
31	OG0000031	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.34&CDS=1-4635
32	OG0000032	YBL056W, YBR125C, YER089C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.59&CDS=1-1572, augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.111&CDS=1-1017
33	OG0000033	YBL089W, YER119C, YIL088C	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-1.52&CDS=1-1314, augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.106&CDS=1-1365
34	OG0000034	YBL091C, YBL091C-A, YER120W	genemark-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.212-mRNA-1_1&gene=genemark-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.212&CDS=1-879, genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-1.109&CDS=1-1929
