	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041862_Candida_golubevii
10	OG0000010	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-flattened_line_108-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.39&CDS=1-435
11	OG0000011	YBR147W, YOL092W	augustus_masked-flattened_line_152-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.49&CDS=1-2850, augustus_masked-flattened_line_228-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.13&CDS=1-3615, augustus_masked-flattened_line_6-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.99&CDS=1-2865, maker-flattened_line_26-augustus-gene-1.61-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-1.61&CDS=1-4182, snap_masked-flattened_line_228-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.21&CDS=1-3639
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
13	OG0000013	YBR118W, YKR084C, YPR080W	augustus_masked-flattened_line_140-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.93&CDS=1-1374, augustus_masked-flattened_line_152-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.65&CDS=1-2517, augustus_masked-flattened_line_216-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.11&CDS=1-1374
14	OG0000014	YBR245C, YFR038W, YOR304W	augustus_masked-flattened_line_102-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.17&CDS=1-3165, augustus_masked-flattened_line_106-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.83&CDS=1-3111, augustus_masked-flattened_line_60-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.52&CDS=1-3930
15	OG0000015	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_22-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.145&CDS=1-1782, augustus_masked-flattened_line_68-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.117&CDS=1-1773
16	OG0000016	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_134-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.54&CDS=1-1890, snap_masked-flattened_line_170-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_170-processed-gene-0.16&CDS=1-1911
17	OG0000017	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_14-snap-gene-1.172-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.172&CDS=1-219, maker-flattened_line_140-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_140-snap-gene-0.0&CDS=1-219
18	OG0000018	YMR006C, YMR008C, YOL011W	augustus_masked-flattened_line_174-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.4&CDS=1-1977, genemark-flattened_line_162-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_162-processed-gene-0.4&CDS=1-2172, maker-flattened_line_14-snap-gene-0.84-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-0.84&CDS=1-3603
19	OG0000019	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_255-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_255-snap-gene-0.5&CDS=1-414, maker-flattened_line_280-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_280-snap-gene-0.1&CDS=1-276
20	OG0000020	YAL053W, YGL139W, YPL221W	augustus_masked-flattened_line_14-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.15&CDS=1-2307, augustus_masked-flattened_line_80-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.68&CDS=1-2256
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_50-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.16&CDS=1-4497
22	OG0000022	YBR015C, YJL186W	augustus_masked-flattened_line_2-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.32&CDS=1-1689, augustus_masked-flattened_line_38-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.147&CDS=1-2028, snap_masked-flattened_line_64-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.58&CDS=1-1884
23	OG0000023	YBR062C, YDR143C	augustus_masked-flattened_line_134-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.59&CDS=1-1938, genemark-flattened_line_208-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.11&CDS=1-981, maker-flattened_line_154-augustus-gene-0.34-mRNA-1_1&gene=maker-flattened_line_154-augustus-gene-0.34&CDS=1-606
24	OG0000024	YBR151W, YML050W	augustus_masked-flattened_line_42-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.91&CDS=1-660, augustus_masked-flattened_line_88-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.55&CDS=1-885, genemark-flattened_line_100-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.86&CDS=1-423
25	OG0000025	YBR207W, YER145C	augustus_masked-flattened_line_263-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_263-processed-gene-0.14&CDS=1-1122, augustus_masked-flattened_line_90-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.12&CDS=1-1206, genemark-flattened_line_8-processed-gene-2.125-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.125&CDS=1-1167
26	OG0000026	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_230-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.4&CDS=1-2304
27	OG0000027	YCL024W, YDR477W, YDR507C	augustus_masked-flattened_line_36-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.219&CDS=1-3942, maker-flattened_line_68-augustus-gene-0.107-mRNA-1_1&gene=maker-flattened_line_68-augustus-gene-0.107&CDS=1-2316
28	OG0000028	YCL036W, YDR514C	augustus_masked-flattened_line_116-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.30&CDS=1-900, maker-flattened_line_196-augustus-gene-0.14-mRNA-1_1&gene=maker-flattened_line_196-augustus-gene-0.14&CDS=1-1758, snap_masked-flattened_line_196-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_196-processed-gene-0.44&CDS=1-903
29	OG0000029	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_106-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.111&CDS=1-2823, snap_masked-flattened_line_348-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_348-processed-gene-0.1&CDS=1-1137
30	OG0000030	YCR065W, YIL131C, YNL068C	augustus_masked-flattened_line_16-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.83&CDS=1-1713, augustus_masked-flattened_line_72-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.8&CDS=1-2172
31	OG0000031	YCR094W, YNL323W, YNR048W	augustus_masked-flattened_line_222-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_222-processed-gene-0.6&CDS=1-1194, augustus_masked-flattened_line_26-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.81&CDS=1-1263
32	OG0000032	YDL078C, YKL085W	augustus_masked-flattened_line_10-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.71&CDS=1-1005, augustus_masked-flattened_line_4-processed-gene-2.198-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.198&CDS=1-1026, augustus_masked-flattened_line_82-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.55&CDS=1-993
33	OG0000033	YDL109C, YDR444W, YGL144C	augustus_masked-flattened_line_100-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.22&CDS=1-2103, augustus_masked-flattened_line_158-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.44&CDS=1-2190
34	OG0000034	YDL127W, YDL179W, YNL289W	augustus_masked-flattened_line_228-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.11&CDS=1-873, augustus_masked-flattened_line_257-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_257-processed-gene-0.17&CDS=1-837
35	OG0000035	YDR326C, YFL042C, YHR080C	augustus_masked-flattened_line_26-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.99&CDS=1-2325, augustus_masked-flattened_line_78-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.131&CDS=1-2469
36	OG0000036	YDR342C, YDR343C, YHR092C	augustus_masked-flattened_line_20-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.76&CDS=1-1662, augustus_masked-flattened_line_90-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.32&CDS=1-1638
37	OG0000037	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_104-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.57&CDS=1-3003, augustus_masked-flattened_line_212-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_212-processed-gene-0.4&CDS=1-2526
38	OG0000038	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_46-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.43&CDS=1-699
39	OG0000039	YER028C, YGL209W	augustus_masked-flattened_line_116-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.5&CDS=1-1419, augustus_masked-flattened_line_128-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.24&CDS=1-591, augustus_masked-flattened_line_44-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.159&CDS=1-1770
40	OG0000040	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_18-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.213&CDS=1-1512, augustus_masked-flattened_line_32-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.51&CDS=1-1548
41	OG0000041	YER133W, YML016C	augustus_masked-flattened_line_22-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.52&CDS=1-1671, augustus_masked-flattened_line_8-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.103&CDS=1-2385, maker-flattened_line_14-augustus-gene-1.79-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-1.79&CDS=1-1191
42	OG0000042	YGL097W, YNL192W	augustus_masked-flattened_line_108-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.68&CDS=1-2949, augustus_masked-flattened_line_72-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.27&CDS=1-3033, maker-flattened_line_26-augustus-gene-1.63-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-1.63&CDS=1-3936
43	OG0000043	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_66-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.103&CDS=1-504
44	OG0000044	YGR197C, YJR015W	augustus_masked-flattened_line_74-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.21&CDS=1-1791, augustus_masked-flattened_line_74-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.4&CDS=1-1515, augustus_masked-flattened_line_84-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.47&CDS=1-1617
45	OG0000045	YGR260W	augustus_masked-flattened_line_100-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.4&CDS=1-1515, augustus_masked-flattened_line_24-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.15&CDS=1-1512, augustus_masked-flattened_line_249-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_249-processed-gene-0.10&CDS=1-1509, augustus_masked-flattened_line_4-processed-gene-2.255-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.255&CDS=1-1503
46	OG0000046	YHR206W, YOR140W	augustus_masked-flattened_line_160-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.19&CDS=1-2397, augustus_masked-flattened_line_40-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.79&CDS=1-1410, genemark-flattened_line_52-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.85&CDS=1-1662
47	OG0000047	YIL002C, YNL106C, YOR109W	augustus_masked-flattened_line_14-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.38&CDS=1-3108, augustus_masked-flattened_line_214-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_214-processed-gene-0.22&CDS=1-3369
48	OG0000048	YIL123W, YKR042W, YNL066W	augustus_masked-flattened_line_290-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_290-processed-gene-0.4&CDS=1-1077, augustus_masked-flattened_line_4-processed-gene-2.248-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.248&CDS=1-1257
49	OG0000049	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_164-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.41&CDS=1-3837, augustus_masked-flattened_line_232-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_232-processed-gene-0.30&CDS=1-3369
50	OG0000050	YKL073W, YLL024C	augustus_masked-flattened_line_0-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.104&CDS=1-4059, augustus_masked-flattened_line_22-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.195&CDS=1-1923, genemark-flattened_line_2-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.39&CDS=1-1932
51	OG0000051	YKL106W, YLR027C	augustus_masked-flattened_line_128-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.14&CDS=1-1206, augustus_masked-flattened_line_14-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.55&CDS=1-1260, augustus_masked-flattened_line_90-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.31&CDS=1-1272
52	OG0000052	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
53	OG0000053	YML072C, YNL087W, YOR086C	augustus_masked-flattened_line_6-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.152&CDS=1-3558, maker-flattened_line_12-snap-gene-1.66-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.66&CDS=1-4818
54	OG0000054	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_192-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.4&CDS=1-2241, genemark-flattened_line_36-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.111&CDS=1-2727
55	OG0000055	YAR002C-A, YGL002W, YHR110W	augustus_masked-flattened_line_114-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.60&CDS=1-2049
56	OG0000056	YAR035W, YER024W	augustus_masked-flattened_line_0-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.27&CDS=1-2265, augustus_masked-flattened_line_14-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.24&CDS=1-2460
57	OG0000057	YBL047C	augustus_masked-flattened_line_172-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_172-processed-gene-0.0&CDS=1-1410, augustus_masked-flattened_line_788-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_788-processed-gene-0.2&CDS=1-297, genemark-flattened_line_267-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_267-processed-gene-0.12&CDS=1-2790
58	OG0000058	YBL052C, YOR244W	augustus_masked-flattened_line_16-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.9&CDS=1-2610, augustus_masked-flattened_line_38-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.158&CDS=1-1491
59	OG0000059	YBR002C, YMR101C	augustus_masked-flattened_line_36-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.186&CDS=1-951, maker-flattened_line_180-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_180-augustus-gene-0.2&CDS=1-909
60	OG0000060	YBR009C, YNL030W	augustus_masked-flattened_line_2-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.72&CDS=1-309, augustus_masked-flattened_line_68-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.134&CDS=1-309
61	OG0000061	YBR010W, YNL031C	augustus_masked-flattened_line_2-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.56&CDS=1-408, augustus_masked-flattened_line_34-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.110&CDS=1-408
62	OG0000062	YBR025C, YHL014C	augustus_masked-flattened_line_30-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.53&CDS=1-1188, genemark-flattened_line_26-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.25&CDS=1-1221
63	OG0000063	YBR043C	augustus_masked-flattened_line_104-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.60&CDS=1-1845, augustus_masked-flattened_line_16-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.110&CDS=1-1863, augustus_masked-flattened_line_18-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.33&CDS=1-1860
64	OG0000064	YBR053C	augustus_masked-flattened_line_102-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.21&CDS=1-522, augustus_masked-flattened_line_124-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.79&CDS=1-510, augustus_masked-flattened_line_44-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.161&CDS=1-1530
